RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,48084,Wesley Bryan,250.3,639689,71
2,0,28420,Ryan Brehm,250.9,1490168,165
3,0,40250,Taylor Pendrith,251.5,1756460,194
4,0,27974,Sung Kang,252.2,599151,66
5,0,48867,Matti Schmid,252.7,1355217,149
6,0,51491,Brandon Matthews,252.8,1101188,121
7,0,24140,Sean O'Hair,252.9,519007,57
8,0,22056,Cameron Percy,253.4,839233,92
9,0,33408,Tyson Alexander,253.5,1432531,157
10,0,34098,Russell Henley,254.2,951597,104
11,0,39335,Kevin Roy,254.5,1071990,117
12,0,50493,Justin Suh,254.8,1531910,167
13,0,19803,Ryan Armour,255.0,817125,89
14,0,27554,Scott Harrington,255.1,1496797,163
14,0,27095,Nick Watney,255.1,909147,99
16,0,47347,Adam Schenk,255.5,1830289,199
17,0,51997,Andrew Novak,255.6,1417177,154
18,0,25900,Lucas Glover,255.8,1381187,150
18,0,51070,Vincent Norrman,255.8,1620967,176
20,0,39067,MJ Daffue,255.9,2008114,218
21,0,47988,Nick Hardy,256.3,1956361,212
21,0,50095,Austin Smotherman,256.3,1669975,181
23,0,28237,Rory McIlroy,257.1,1443637,156
24,0,31557,Jim Herman,257.3,981803,106
24,0,12716,Charley Hoffman,257.3,1287580,139
26,0,31577,Tano Goya,257.6,1437204,155
26,0,58168,Davis Thompson,257.6,2253816,243
28,0,33653,Thomas Detry,257.7,1326665,143
28,0,49298,Kramer Hickok,257.7,1419179,153
28,0,49947,Taylor Moore,257.7,1614405,174
28,0,35617,Martin Trainer,257.7,899927,97
32,0,48117,Kurt Kitayama,257.9,1049149,113
33,0,35879,Kelly Kraft,258.0,1309746,141
34,0,33948,Byeong Hun An,258.1,2034509,219
34,0,28775,Nate Lashley,258.1,1663039,179
36,0,52955,Ludvig Åberg,258.2,1059515,114
37,0,37338,Zecheng Dou,258.3,1794793,193
37,0,36724,Augusto Núñez,258.3,1339203,144
39,0,29221,Webb Simpson,258.4,1107070,119
40,0,53165,Doc Redman,258.5,1032773,111
40,0,47128,Richy Werenski,258.5,1610045,173
42,0,51766,Wyndham Clark,258.6,1973860,212
42,0,57975,Harry Hall,258.6,1461885,157
44,0,46970,Jon Rahm,258.7,1397043,150
44,0,22405,Justin Rose,258.7,912865,98
46,0,51950,Max McGreevy,259.1,1231433,132
47,0,32757,Patton Kizzire,259.2,1716739,184
47,0,32839,Hideki Matsuyama,259.2,1474365,158
49,0,52372,Cameron Champ,259.3,1643155,176
50,0,32662,Michael Gligic,259.5,1186646,127
51,0,39975,Michael Kim,259.7,1280802,137
51,0,55454,Carl Yuan,259.7,1701717,182
53,0,45242,Kevin Yu,259.8,1300264,139
54,0,45157,Cam Davis,259.9,1880905,201
55,0,35450,Patrick Cantlay,260.0,1684821,180
55,0,39546,Keith Mitchell,260.0,1778549,190
57,0,22371,Aaron Baddeley,260.1,1001866,107
57,0,25686,Jason Dufner,260.1,1451088,155
59,0,29289,S.Y. Noh,260.4,778124,83
60,0,29420,Billy Horschel,260.5,1050360,112
61,0,20229,Stewart Cink,260.7,1435863,153
61,0,32102,Rickie Fowler,260.7,1783376,190
61,0,40115,Adam Svensson,260.7,2261766,241
64,0,33597,Harry Higgs,260.9,1145956,122
65,0,46441,Robby Shelton,261.0,1540987,164
66,0,34563,Chesson Hadley,261.1,1663781,177
66,0,47995,Davis Riley,261.1,1560327,166
66,0,34431,Robert Streb,261.1,1240622,132
69,0,31202,William McGirt,261.3,583153,62
