RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,12716,Charley Hoffman,35.97%,50,139,-47,-10.00
2,0,39335,Kevin Roy,35.04%,41,117,-46,-7.00
3,0,39971,Sungjae Im,32.56%,70,215,-71,-23.00
4,0,52955,Ludvig Åberg,32.46%,37,114,-46,-3.00
5,0,48867,Matti Schmid,32.21%,48,149,-55,+13.00
6,0,45242,Kevin Yu,31.65%,44,139,-43,-8.00
7,0,32757,Patton Kizzire,30.98%,57,184,-61,-14.00
8,0,48084,Wesley Bryan,29.58%,21,71,-24,-12.00
9,0,32333,Kevin Tway,29.03%,54,186,-65,-12.00
10,0,35617,Martin Trainer,28.87%,28,97,-30,-5.00
11,0,28420,Ryan Brehm,28.48%,47,165,-50,+7.00
12,0,35532,Tom Hoge,28.33%,51,180,-52,-32.00
13,0,28237,Rory McIlroy,28.21%,44,156,-43,+10.00
14,0,47347,Adam Schenk,28.14%,56,199,-61,-21.00
15,0,50095,Austin Smotherman,27.62%,50,181,-49,-25.00
16,0,33448,Justin Thomas,27.57%,51,185,-49,-7.00
17,0,39067,MJ Daffue,27.52%,60,218,-56,-6.00
18,0,30692,Scott Stallings,27.38%,46,168,-42,-9.00
19,0,33122,Russell Knox,27.34%,35,128,-34,-20.00
20,0,51997,Andrew Novak,27.27%,42,154,-39,-6.00
21,0,27644,Brian Harman,27.03%,40,148,-40,-26.00
22,0,29420,Billy Horschel,26.79%,30,112,-30,-1.00
23,0,58696,Peter Kuest,26.72%,31,116,-35,-14.00
24,0,51491,Brandon Matthews,26.45%,32,121,-33,-6.00
25,0,49947,Taylor Moore,26.44%,46,174,-49,-23.00
26,0,57366,Cameron Young,26.42%,51,193,-43,-12.00
27,0,45157,Cam Davis,26.37%,53,201,-57,-4.00
28,0,24140,Sean O'Hair,26.32%,15,57,-9,-14.00
29,0,23320,Ryan Palmer,26.19%,44,168,-46,-14.00
30,0,35450,Patrick Cantlay,26.11%,47,180,-46,-19.00
31,0,39954,Cody Gribble,25.86%,30,116,-24,-7.00
32,0,29725,Tony Finau,25.81%,48,186,-44,-11.00
33,0,27554,Scott Harrington,25.77%,42,163,-45,-3.00
34,0,50493,Justin Suh,25.75%,43,167,-44,-33.00
35,0,36724,Augusto Núñez,25.69%,37,144,-42,-3.00
36,0,48117,Kurt Kitayama,25.66%,29,113,-27,-8.00
37,0,51414,Brent Grant,25.60%,43,168,-48,-18.00
38,0,46970,Jon Rahm,25.33%,38,150,-43,-21.00
39,0,27095,Nick Watney,25.25%,25,99,-27,+3.00
40,0,27936,Martin Laird,25.16%,39,155,-30,-22.00
41,0,46340,Alex Smalley,25.13%,50,199,-49,-27.00
41,0,31323,Gary Woodland,25.13%,50,199,-55,-8.00
43,0,51766,Wyndham Clark,25.00%,53,212,-50,-18.00
43,0,51070,Vincent Norrman,25.00%,44,176,-42,-15.00
45,0,40115,Adam Svensson,24.90%,60,241,-62,-23.00
46,0,30163,Henrik Norlander,24.63%,33,134,-30,-25.00
47,0,28775,Nate Lashley,24.58%,44,179,-48,-37.00
48,0,31557,Jim Herman,24.53%,26,106,-25,-9.00
49,0,26476,Chez Reavie,24.52%,38,155,-40,-8.00
50,0,49453,Trevor Cone,24.44%,44,180,-47,-10.00
51,0,52372,Cameron Champ,24.43%,43,176,-42,+12.00
52,0,32662,Michael Gligic,24.41%,31,127,-33,E
53,0,24502,Adam Scott,24.29%,34,140,-35,+1.00
54,0,40250,Taylor Pendrith,24.23%,47,194,-47,-11.00
55,0,52411,Kyle Westmoreland,24.14%,35,145,-37,-5.00
56,0,47995,Davis Riley,24.10%,40,166,-43,-8.00
57,0,32839,Hideki Matsuyama,24.05%,38,158,-35,-31.00
58,0,39997,Corey Conners,24.04%,44,183,-47,-16.00
59,0,54421,Garrick Higgo,23.97%,58,242,-62,-29.00
59,0,27129,Luke List,23.97%,64,267,-62,+15.00
61,0,31577,Tano Goya,23.87%,37,155,-32,-21.00
61,0,58168,Davis Thompson,23.87%,58,243,-54,-25.00
63,0,25818,Scott Piercy,23.78%,34,143,-33,-14.00
63,0,46441,Robby Shelton,23.78%,39,164,-41,-32.00
65,0,33141,Keegan Bradley,23.75%,38,160,-35,-9.00
66,0,50525,Collin Morikawa,23.70%,32,135,-37,-13.00
67,0,27214,Kevin Streelman,23.53%,40,170,-38,-14.00
68,0,36799,Stephan Jaeger,23.51%,67,285,-65,-10.00
69,0,52375,Doug Ghim,23.46%,42,179,-42,-25.00
69,0,52453,Nicolai Hojgaard,23.46%,19,81,-20,-4.00
71,0,46046,Scottie Scheffler,23.41%,48,205,-50,-17.00
72,0,45609,Tyler Duncan,23.40%,44,188,-40,-22.00
72,0,55182,Tom Kim,23.40%,44,188,-47,-29.00
74,0,56630,Akshay Bhatia,23.38%,36,154,-37,-8.00
75,0,25686,Jason Dufner,23.23%,36,155,-35,-8.00
76,0,49771,J.T. Poston,23.12%,40,173,-47,-33.00
77,0,32791,K.H. Lee,23.08%,45,195,-44,-27.00
78,0,59018,Ryan Gerard,22.95%,28,122,-30,-12.00
79,0,33399,Adam Hadwin,22.94%,39,170,-38,-20.00
80,0,49298,Kramer Hickok,22.88%,35,153,-34,-19.00
81,0,48119,Ben Taylor,22.84%,37,162,-32,-18.00
82,0,46601,Trey Mullinax,22.75%,38,167,-37,+6.00
82,0,25632,Jimmy Walker,22.75%,38,167,-38,-29.00
84,0,35461,Beau Hossler,22.69%,49,216,-53,-19.00
85,0,57362,Austin Eckroat,22.60%,40,177,-42,-8.00
86,0,31202,William McGirt,22.58%,14,62,-16,-6.00
86,0,26596,Ryan Moore,22.58%,28,124,-28,-36.00
86,0,36871,Matt NeSmith,22.58%,42,186,-45,-18.00
89,0,40058,Zac Blair,22.55%,23,102,-26,-42.00
90,0,55454,Carl Yuan,22.53%,41,182,-41,-7.00
91,0,23108,Matt Kuchar,22.52%,34,151,-34,-38.00
92,0,19803,Ryan Armour,22.47%,20,89,-21,-30.00
93,0,48887,Matt Wallace,22.45%,33,147,-32,-5.00
94,0,56762,Will Gordon,22.44%,57,254,-65,-11.00
95,0,33653,Thomas Detry,22.38%,32,143,-31,-1.00
96,0,55789,Taylor Montgomery,22.35%,40,179,-55,-25.00
97,0,58967,Trevor Werbylo,22.22%,32,144,-32,-13.00
98,0,34098,Russell Henley,22.12%,23,104,-23,-39.00
99,0,47079,Harrison Endycott,22.07%,32,145,-34,-14.00
100,0,48081,Xander Schauffele,22.00%,33,150,-41,-12.00
101,0,27349,Alex Noren,21.95%,36,164,-37,-4.00
102,0,47504,Sam Burns,21.91%,39,178,-37,-15.00
103,0,39975,Michael Kim,21.90%,30,137,-32,-17.00
104,0,33408,Tyson Alexander,21.66%,34,157,-34,-3.00
105,0,20229,Stewart Cink,21.57%,33,153,-36,-10.00
106,0,48699,Callum Tarren,21.53%,45,209,-42,-1.00
107,0,28089,Jason Day,21.47%,35,163,-37,-3.00
107,0,34563,Chesson Hadley,21.47%,38,177,-41,-17.00
109,0,47128,Richy Werenski,21.39%,37,173,-41,-11.00
110,0,34363,Tyrrell Hatton,21.38%,31,145,-36,-12.00
111,0,54783,Dylan Wu,21.26%,37,174,-38,-34.00
112,0,49960,Sepp Straka,21.25%,34,160,-37,-19.00
113,0,27974,Sung Kang,21.21%,14,66,-16,-10.00
114,0,32102,Rickie Fowler,21.05%,40,190,-43,-23.00
114,0,33204,Shane Lowry,21.05%,28,133,-31,-6.00
114,0,36699,Patrick Rodgers,21.05%,40,190,-45,-11.00
114,0,55893,Sam Stevens,21.05%,40,190,-40,-14.00
118,0,30926,Chris Kirk,20.95%,31,148,-36,-13.00
118,0,52513,Carson Young,20.95%,31,148,-31,-20.00
120,0,46717,Viktor Hovland,20.92%,41,196,-40,-3.00
121,0,40006,Erik van Rooyen,20.81%,31,149,-32,-7.00
122,0,36326,David Lipsky,20.71%,35,169,-38,-28.00
123,0,29970,Dylan Frittelli,20.59%,28,136,-29,-7.00
123,0,47983,Chad Ramey,20.59%,42,204,-44,-15.00
125,0,40162,Justin Lower,20.51%,32,156,-35,-40.00
126,0,29908,C.T. Pan,20.45%,18,88,-24,-6.00
127,0,39977,Max Homa,20.41%,40,196,-43,-12.00
127,0,22405,Justin Rose,20.41%,20,98,-22,-11.00
129,0,51890,Greyson Sigg,20.31%,39,192,-44,-27.00
130,0,45522,Christiaan Bezuidenhout,20.28%,29,143,-33,-23.00
130,0,47988,Nick Hardy,20.28%,43,212,-48,-13.00
132,0,37338,Zecheng Dou,20.21%,39,193,-42,-11.00
133,0,39324,J.J. Spaun,20.20%,40,198,-40,-15.00
134,0,35310,Lanto Griffin,20.18%,23,114,-27,-5.00
135,0,32448,James Hahn,20.13%,31,154,-29,-19.00
136,0,55708,Hayden Buckley,20.00%,29,145,-35,-12.00
136,0,25900,Lucas Glover,20.00%,30,150,-31,-24.00
136,0,34466,Peter Malnati,20.00%,33,165,-37,-21.00
136,0,27963,Chris Stroud,20.00%,15,75,-16,-15.00
140,0,34255,Joseph Bramlett,19.89%,37,186,-34,-19.00
141,0,57975,Harry Hall,19.75%,31,157,-36,-32.00
142,0,54628,Lee Hodges,19.71%,41,208,-44,-11.00
143,0,34431,Robert Streb,19.70%,26,132,-29,-8.00
144,0,47993,Denny McCarthy,19.59%,29,148,-34,-30.00
145,0,32816,Satoshi Kodaira,19.51%,16,82,-15,-17.00
146,0,54591,Ben Griffin,19.47%,37,190,-37,-22.00
147,0,32640,Troy Merritt,19.31%,28,145,-29,-10.00
