RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,35450,Patrick Cantlay,76.63%,141,43
2,0,46717,Viktor Hovland,74.51%,152,52
3,0,39067,MJ Daffue,74.17%,178,62
4,0,57366,Cameron Young,73.00%,146,54
5,0,28237,Rory McIlroy,72.56%,119,45
6,0,56762,Will Gordon,72.54%,206,78
7,0,48867,Matti Schmid,72.41%,126,48
8,0,45242,Kevin Yu,72.30%,107,41
9,0,27554,Scott Harrington,71.73%,137,54
10,0,46046,Scottie Scheffler,71.30%,154,62
11,0,52372,Cameron Champ,70.97%,132,54
12,0,51070,Vincent Norrman,70.79%,143,59
13,0,37455,Si Woo Kim,70.56%,175,73
14,0,51414,Brent Grant,70.33%,128,54
15,0,58696,Peter Kuest,70.16%,87,37
16,0,36799,Stephan Jaeger,70.03%,229,98
17,0,58168,Davis Thompson,69.86%,197,85
18,0,51491,Brandon Matthews,69.85%,95,41
19,0,56630,Akshay Bhatia,69.78%,127,55
20,0,39971,Sungjae Im,69.20%,173,77
20,0,27129,Luke List,69.20%,191,85
22,0,29725,Tony Finau,67.73%,149,71
23,0,39058,Lucas Herbert,67.57%,100,48
24,0,34046,Jordan Spieth,67.55%,127,61
25,0,28089,Jason Day,67.37%,128,62
26,0,55454,Carl Yuan,66.82%,147,73
27,0,39546,Keith Mitchell,66.81%,151,75
28,0,45157,Cam Davis,66.67%,156,78
28,0,33448,Justin Thomas,66.67%,144,72
30,0,40115,Adam Svensson,66.56%,205,103
31,0,39977,Max Homa,66.53%,157,79
32,0,40006,Erik van Rooyen,66.12%,121,62
33,0,23320,Ryan Palmer,65.84%,133,69
34,0,47988,Nick Hardy,65.44%,178,94
35,0,31323,Gary Woodland,65.40%,155,82
36,0,39997,Corey Conners,64.81%,140,76
37,0,34255,Joseph Bramlett,64.73%,145,79
38,0,37338,Zecheng Dou,64.63%,159,87
38,0,33204,Shane Lowry,64.63%,106,58
40,0,35617,Martin Trainer,64.62%,84,46
41,0,50188,S.H. Kim,64.60%,208,114
42,0,32102,Rickie Fowler,64.40%,161,89
43,0,52955,Ludvig Åberg,64.29%,90,50
44,0,47504,Sam Burns,64.25%,142,79
45,0,33948,Byeong Hun An,64.13%,177,99
46,0,24502,Adam Scott,64.10%,100,56
47,0,54421,Garrick Higgo,63.91%,193,109
48,0,39324,J.J. Spaun,63.89%,161,91
49,0,46970,Jon Rahm,63.59%,117,67
49,0,48081,Xander Schauffele,63.59%,117,67
51,0,28420,Ryan Brehm,63.55%,136,78
52,0,40250,Taylor Pendrith,63.46%,165,95
53,0,46414,Aaron Rai,63.43%,170,98
54,0,51634,Sahith Theegala,63.33%,171,99
55,0,29221,Webb Simpson,63.29%,100,58
56,0,51997,Andrew Novak,63.21%,134,78
57,0,55182,Tom Kim,62.83%,142,84
58,0,51766,Wyndham Clark,62.69%,168,100
59,0,32839,Hideki Matsuyama,62.39%,136,82
60,0,49453,Trevor Cone,62.38%,131,79
61,0,30911,Tommy Fleetwood,62.36%,111,67
62,0,59018,Ryan Gerard,62.35%,101,61
63,0,57362,Austin Eckroat,62.05%,139,85
64,0,47128,Richy Werenski,61.97%,145,89
65,0,48084,Wesley Bryan,61.76%,63,39
66,0,45609,Tyler Duncan,61.69%,153,95
67,0,36801,Mark Hubbard,61.57%,173,108
68,0,48699,Callum Tarren,61.54%,160,100
69,0,35461,Beau Hossler,61.35%,173,109
70,0,34099,Harris English,61.30%,141,89
71,0,12716,Charley Hoffman,61.17%,115,73
72,0,29420,Billy Horschel,60.67%,91,59
73,0,31577,Tano Goya,60.65%,131,85
74,0,32791,K.H. Lee,60.40%,151,99
75,0,51349,Nico Echavarria,60.34%,105,69
75,0,32662,Michael Gligic,60.34%,105,69
77,0,50525,Collin Morikawa,60.33%,111,73
78,0,33141,Keegan Bradley,60.29%,123,81
79,0,40098,Matt Fitzpatrick,60.11%,113,75
80,0,54628,Lee Hodges,60.07%,167,111
81,0,36724,Augusto Núñez,60.00%,114,76
82,0,52375,Doug Ghim,59.58%,143,97
83,0,47347,Adam Schenk,59.31%,172,118
84,0,32366,Kevin Chappell,59.02%,72,50
85,0,33408,Tyson Alexander,59.01%,131,91
86,0,58967,Trevor Werbylo,58.97%,115,80
87,0,35506,Mackenzie Hughes,58.93%,132,92
88,0,36699,Patrick Rodgers,58.75%,151,106
89,0,39335,Kevin Roy,58.72%,101,71
90,0,31646,Emiliano Grillo,58.46%,159,113
91,0,48117,Kurt Kitayama,58.44%,90,64
92,0,52374,Brandon Wu,58.40%,153,109
93,0,27936,Martin Laird,58.33%,133,95
94,0,32333,Kevin Tway,58.23%,145,104
95,0,20229,Stewart Cink,58.17%,121,87
96,0,33413,Ben Martin,57.94%,146,106
97,0,46601,Trey Mullinax,57.73%,127,93
98,0,50095,Austin Smotherman,57.59%,148,109
99,0,34563,Chesson Hadley,57.38%,140,104
100,0,35310,Lanto Griffin,57.32%,90,67
101,0,55708,Hayden Buckley,57.29%,110,82
102,0,49947,Taylor Moore,57.26%,142,106
103,0,52411,Kyle Westmoreland,57.22%,111,83
