RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,10649,Tom Scherrer,36.36,11,0,4
2,0,12388,Michael Clark II,29.41,17,1,4
2,0,10201,Matt Gogel,29.41,17,0,5
4,0,10213,Dicky Pride,27.27,11,1,2
4,0,02106,Chris Smith,27.27,11,1,2
6,0,06036,Scott Dunlap,25.00,12,0,3
7,0,20098,Stuart Appleby,23.68,38,1,8
8,0,20566,Kaname Yokoo,21.74,23,0,5
9,0,01042,Paul Azinger,20.83,24,0,5
10,0,06315,Pete Jordan,20.00,15,1,2
10,0,08535,Gary Nicklaus,20.00,15,0,3
12,0,08633,Per-Ulrik Johansson,18.75,16,0,3
13,0,19972,José Coceres,17.65,34,0,6
14,0,02223,Bob Tway,17.14,35,1,5
15,0,20099,Doug Barron,16.67,12,0,2
15,0,01928,Corey Pavin,16.67,12,0,2
15,0,10423,Mike Weir,16.67,24,0,4
18,0,23621,Rory Sabbatini,16.00,25,0,4
19,0,21007,Gabriel Hjertstedt,15.79,19,0,3
20,0,21961,Charles Howell III,15.63,32,0,5
20,0,01941,Tom Pernice Jr.,15.63,32,0,5
22,0,08545,Glen Hnatiuk,15.38,26,0,4
22,0,08075,Jerry Kelly,15.38,13,0,2
22,0,01619,Skip Kendall,15.38,26,0,4
22,0,19817,Michael Muehr,15.38,26,0,4
26,0,10585,Scott McCarron,15.22,46,0,7
27,0,01132,Mark Brooks,15.00,20,1,2
27,0,10912,Craig Perks,15.00,20,0,3
29,0,01797,Rocco Mediate,14.29,14,0,2
30,0,01685,J.L. Lewis,13.79,29,0,4
31,0,22046,Geoff Ogilvy,13.33,15,0,2
32,0,01968,Nick Price,13.04,23,0,3
32,0,08375,Paul Stankowski,13.04,23,0,3
34,0,01139,Olin Browne,12.50,24,0,3
34,0,21805,Harrison Frazar,12.50,16,0,2
34,0,01487,Jeff Hart,12.50,16,0,2
37,0,01666,Bernhard Langer,12.00,25,0,3
38,0,01226,Fred Couples,11.76,17,0,2
39,0,11011,Mike Sposa,11.11,27,0,3
40,0,07867,Woody Austin,10.53,19,0,2
40,0,20229,Stewart Cink,10.53,57,0,6
40,0,01249,John Daly,10.53,19,0,2
40,0,01320,Bob Estes,10.53,38,0,4
40,0,02099,Scott Simpson,10.53,19,0,2
45,0,08931,Glen Day,10.34,29,1,2
45,0,01381,Fred Funk,10.34,29,0,3
47,0,06012,Greg Kraft,10.26,39,0,4
48,0,07457,Steve Flesch,10.00,30,0,3
48,0,06573,Brandt Jobe,10.00,20,0,2
48,0,06332,Neal Lancaster,10.00,20,1,1
48,0,08553,Lee Porter,10.00,10,0,1
52,0,01175,Jim Carter,9.68,31,0,3
53,0,12645,Brent Geiberger,9.52,21,1,1
53,0,01766,Billy Mayfair,9.52,42,1,3
55,0,01098,Jay Don Blake,9.38,32,0,3
55,0,02206,David Toms,9.38,32,0,3
57,0,06251,Chris DiMarco,9.09,44,0,4
57,0,12760,Danny Ellis,9.09,33,0,3
59,0,06809,Bob Burns,8.70,23,0,2
60,0,01677,Tom Lehman,8.57,35,0,3
61,0,01577,Lee Janzen,8.33,24,0,2
61,0,10425,Jay Williamson,8.33,24,0,2
63,0,01945,Kenny Perry,8.16,49,0,4
64,0,02104,Jeff Sluman,8.00,50,0,4
65,0,01219,John Cook,7.69,26,1,1
65,0,06350,Bob May,7.69,13,0,1
65,0,06567,Vijay Singh,7.69,39,0,3
68,0,01035,Tommy Armour III,7.41,27,0,2
69,0,01707,Steve Lowery,7.32,41,0,3
70,0,10860,Justin Leonard,7.14,42,0,3
70,0,12660,Jesper Parnevik,7.14,28,0,2
70,0,02002,John Riegger,7.14,28,0,2
73,0,08793,Tiger Woods,6.67,30,0,2
74,0,23353,J.J. Henry,6.45,31,0,2
75,0,06004,Stephen Ames,6.25,16,0,1
75,0,01724,Jeff Maggert,6.25,16,0,1
75,0,12753,David Morland IV,6.25,16,0,1
78,0,06522,Ernie Els,6.06,33,0,2
78,0,06617,Brian Henninger,6.06,33,1,1
80,0,06643,Paul Goydos,5.88,17,0,1
80,0,20127,Chris Riley,5.88,17,0,1
