RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,47663,Kevin Dougherty,65.70%,452,688,-0.148
2,0,33948,Byeong Hun An,65.66%,608,926,-0.158
3,0,37378,Min Woo Lee,64.22%,524,816,-0.160
4,0,38991,Alejandro Tosti,62.44%,527,844,-0.163
5,0,39546,Keith Mitchell,61.31%,645,1052,-0.205
6,0,40250,Taylor Pendrith,61.26%,604,986,-0.156
7,0,28237,Rory McIlroy,61.00%,527,864,-0.201
8,0,51766,Wyndham Clark,59.61%,515,864,-0.183
9,0,52372,Cameron Champ,59.50%,401,674,-0.140
10,0,59095,Chris Gotterup,59.19%,538,909,-0.171
11,0,55893,Sam Stevens,58.62%,646,1102,-0.198
12,0,57366,Cameron Young,57.94%,584,1008,-0.134
13,0,27064,Jhonattan Vegas,57.74%,485,840,-0.221
14,0,56149,Wilson Furr,57.57%,365,634,-0.132
15,0,50484,Hayden Springer,57.49%,445,774,-0.220
16,0,59836,Pierceson Coody,57.42%,495,862,-0.186
17,0,29936,Ryan Fox,57.37%,545,950,-0.121
18,0,34255,Joseph Bramlett,57.33%,571,996,-0.186
19,0,36799,Stephan Jaeger,57.20%,580,1014,-0.148
20,0,47504,Sam Burns,56.48%,523,926,-0.231
21,0,24502,Adam Scott,55.90%,483,864,-0.172
22,0,29725,Tony Finau,55.87%,552,988,-0.176
23,0,51070,Vincent Norrman,55.85%,358,641,-0.042
24,0,52955,Ludvig Åberg,55.74%,515,924,-0.188
25,0,33448,Justin Thomas,55.43%,459,828,-0.153
26,0,48081,Xander Schauffele,55.32%,530,958,-0.258
27,0,31323,Gary Woodland,54.93%,546,994,-0.147
28,0,37212,Paul Barjon,54.59%,333,610,-0.141
29,0,48699,Callum Tarren,54.24%,435,802,-0.129
30,0,54576,Patrick Fishburn,54.01%,418,774,-0.230
31,0,54421,Garrick Higgo,53.55%,468,874,-0.147
32,0,52453,Nicolai Højgaard,53.38%,332,622,-0.054
33,0,34046,Jordan Spieth,53.06%,468,882,-0.188
34,0,51977,Max Greyserman,52.67%,463,879,-0.151
35,0,28420,Ryan Brehm,52.21%,331,634,-0.103
36,0,45242,Kevin Yu,52.07%,477,916,-0.151
37,0,51634,Sahith Theegala,51.95%,614,1182,-0.194
38,0,46717,Viktor Hovland,51.92%,378,728,-0.148
39,0,40006,Erik van Rooyen,51.64%,504,976,-0.188
40,0,46046,Scottie Scheffler,51.61%,448,868,-0.259
41,0,55454,Carl Yuan,51.21%,382,746,-0.202
42,0,36699,Patrick Rodgers,51.05%,631,1236,-0.209
43,0,60767,Blaine Hale Jr.,50.95%,268,526,-0.108
44,0,49947,Taylor Moore,50.57%,618,1222,-0.188
45,0,51696,Rico Hoey,50.00%,463,926,-0.214
46,0,47988,Nick Hardy,49.81%,529,1062,-0.221
47,0,52215,Robert MacIntyre,49.54%,430,868,-0.263
48,0,27129,Luke List,49.24%,453,920,-0.126
49,0,46113,Ryan McCormick,49.08%,319,650,-0.191
50,0,48084,Wesley Bryan,48.98%,240,490,-0.213
51,0,46340,Alex Smalley,48.78%,400,820,-0.228
52,0,35450,Patrick Cantlay,48.71%,377,774,-0.191
53,0,32070,Rafael Campos,48.52%,295,608,-0.159
54,0,58168,Davis Thompson,48.46%,536,1106,-0.188
55,0,47420,Jake Knapp,48.44%,465,960,-0.163
56,0,32333,Kevin Tway,48.25%,303,628,-0.149
57,0,59866,Nick Dunlap,48.09%,429,892,-0.145
58,0,48117,Kurt Kitayama,47.84%,465,972,-0.163
59,0,47995,Davis Riley,47.53%,461,970,-0.230
60,0,33141,Keegan Bradley,47.29%,471,996,-0.180
61,0,51894,Vince Whaley,46.79%,350,748,-0.231
62,0,33653,Thomas Detry,46.54%,417,896,-0.149
63,0,32366,Kevin Chappell,46.32%,264,570,-0.246
64,0,39997,Corey Conners,46.25%,505,1092,-0.218
65,0,12716,Charley Hoffman,46.20%,389,842,-0.260
66,0,47483,Will Zalatoris,46.08%,376,816,-0.133
67,0,48867,Matti Schmid,45.98%,400,870,-0.228
68,0,50497,Adrien Dumont de Chassart,45.90%,369,804,-0.114
69,0,56630,Akshay Bhatia,45.83%,505,1102,-0.160
70,0,60067,Joe Highsmith,45.65%,367,804,-0.199
71,0,28089,Jason Day,45.53%,377,828,-0.207
72,0,45157,Cam Davis,45.12%,453,1004,-0.163
73,0,59442,Parker Coody,44.41%,294,662,-0.146
74,0,39975,Michael Kim,44.38%,387,872,-0.163
74,0,50188,S.H. Kim,44.38%,553,1246,-0.156
76,0,52514,Trace Crowe,43.19%,317,734,-0.183
77,0,33408,Tyson Alexander,42.91%,363,846,-0.102
78,0,39324,J.J. Spaun,42.67%,431,1010,-0.255
79,0,34563,Chesson Hadley,42.55%,360,846,-0.183
80,0,48153,Matthieu Pavon,42.30%,313,740,-0.109
81,0,47679,Victor Perez,42.22%,353,836,-0.187
82,0,30926,Chris Kirk,42.14%,397,942,-0.194
83,0,35461,Beau Hossler,41.79%,458,1096,-0.245
84,0,46442,Maverick McNealy,41.75%,458,1097,-0.269
85,0,35310,Lanto Griffin,41.67%,335,804,-0.263
86,0,47347,Adam Schenk,41.50%,469,1130,-0.128
87,0,50095,Austin Smotherman,41.48%,219,528,-0.228
88,0,57975,Harry Hall,41.21%,403,978,-0.270
89,0,34374,Erik Barnes,41.19%,250,607,-0.088
90,0,39977,Max Homa,40.96%,394,962,-0.162
91,0,32839,Hideki Matsuyama,40.83%,365,894,-0.219
