RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,32334,Charlie Beljan,35' 11",77162,179,6430.167,+4.00
2,0,30925,Dustin Johnson,37' 11",105451,232,8787.583,+3.00
3,0,20848,Ángel Cabrera,38' 9",66078,142,5506.500,+9.00
4,0,27302,Garth Mulroy,39' 3",78739,167,6561.583,+10.00
5,0,28308,Troy Kelly,39' 4",104722,222,8726.833,+27.00
6,0,26289,Boo Weekley,39' 7",87420,184,7285.000,+15.00
7,0,26329,Louis Oosthuizen,39' 8",82330,173,6860.833,+9.00
7,0,25804,Bubba Watson,39' 8",105175,221,8764.583,-8.00
9,0,24925,Jonathan Byrd,39' 9",110081,231,9173.417,+22.00
9,0,26287,Roland Thatcher,39' 9",67741,142,5645.083,+26.00
11,0,29221,Webb Simpson,40' 3",125118,259,10426.500,-10.00
11,0,27330,Josh Teater,40' 3",148308,307,12359.000,+37.00
11,0,23623,Bo Van Pelt,40' 3",103899,215,8658.250,+12.00
14,0,27895,Jonas Blixt,40' 4",127846,264,10653.833,+20.00
15,0,30110,Kyle Stanley,40' 6",139425,287,11618.750,+9.00
16,0,26331,Charl Schwartzel,40' 8",66418,136,5534.833,+5.00
16,0,22582,Kyle Thompson,40' 8",67305,138,5608.750,+21.00
18,0,25686,Jason Dufner,40' 11",101556,207,8463.000,+25.00
18,0,20691,Greg Owen,40' 11",147226,300,12268.833,+37.00
20,0,06567,Vijay Singh,41' 0",147987,301,12332.250,+33.00
21,0,20850,Daniel Chopra,41' 2",104656,212,8721.333,+22.00
22,0,20623,Gavin Coles,41' 5",98358,198,8196.500,+26.00
22,0,25345,Carl Pettersson,41' 5",145651,293,12137.583,+42.00
22,0,06527,Steve Stricker,41' 5",87408,176,7284.000,E
25,0,10885,Robert Allenby,41' 6",121111,243,10092.583,+67.00
26,0,22621,Ben Curtis,41' 7",79857,160,6654.750,+21.00
26,0,25572,Graeme McDowell,41' 7",52870,106,4405.833,+19.00
28,0,34021,Bud Cauley,41' 8",159055,318,13254.583,+25.00
29,0,28237,Rory McIlroy,41' 9",95725,191,7977.083,+4.00
30,0,29476,Kyle Reifers,41' 10",126891,253,10574.250,+28.00
30,0,22293,Heath Slocum,41' 10",97322,194,8110.167,+46.00
32,0,22046,Geoff Ogilvy,41' 11",105115,209,8759.583,+35.00
32,0,02206,David Toms,41' 11",63358,126,5279.833,+6.00
34,0,33141,Keegan Bradley,42' 0",128030,254,10669.167,+21.00
34,0,06251,Chris DiMarco,42' 0",113305,225,9442.083,+44.00
34,0,12782,Tim Herron,42' 0",144596,287,12049.667,+38.00
34,0,23548,Bill Lunde,42' 0",129055,256,10754.583,+25.00
38,0,24846,Ricky Barnes,42' 1",165796,328,13816.333,+61.00
38,0,11123,Chris Couch,42' 1",86859,172,7238.250,+9.00
38,0,27060,John Mallinger,42' 1",99900,198,8325.000,+47.00
41,0,24781,Hunter Mahan,42' 2",105254,208,8771.167,+26.00
42,0,28093,Miguel Angel Carballo,42' 3",114683,226,9556.917,+46.00
42,0,01249,John Daly,42' 3",83119,164,6926.583,+27.00
42,0,22378,Trevor Immelman,42' 3",113585,224,9465.417,+29.00
45,0,23541,Ben Crane,42' 5",106445,209,8870.417,-12.00
45,0,25834,Daniel Summerhays,42' 5",125677,247,10473.083,+47.00
47,0,12716,Charley Hoffman,42' 6",135688,266,11307.333,+48.00
47,0,29518,Brendan Steele,42' 6",113766,223,9480.500,+31.00
47,0,20160,Charlie Wi,42' 6",137567,270,11463.917,+43.00
50,0,29926,Danny Lee,42' 7",116058,227,9671.500,+10.00
50,0,26476,Chez Reavie,42' 7",95553,187,7962.750,+41.00
52,0,12652,Cameron Beckman,42' 8",128037,250,10669.750,+42.00
52,0,29479,Scott Brown,42' 8",89613,175,7467.750,+31.00
52,0,06522,Ernie Els,42' 8",137651,269,11470.917,+21.00
55,0,23542,Tommy Biershenk,42' 9",114852,224,9571.000,+55.00
55,0,33122,Russell Knox,42' 9",87677,171,7306.417,+15.00
55,0,25818,Scott Piercy,42' 9",181614,354,15134.500,+30.00
55,0,30692,Scott Stallings,42' 9",142056,277,11838.000,+27.00
55,0,23325,Vaughn Taylor,42' 9",120457,235,10038.083,+44.00
60,0,28500,Martin Flores,42' 10",182628,355,15219.000,+38.00
