RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
177,0,21209,Sergio Garcia,49' 0",76,3726.417,+5.00
178,0,01724,Jeff Maggert,49' 4",110,5424.917,+20.00
179,0,25632,Jimmy Walker,49' 8",211,10479.250,+33.00
179,0,20396,Lee Westwood,49' 8",69,3427.333,+7.00
181,0,10809,Jim Furyk,49' 9",93,4628.583,+13.00
182,0,20645,John Senden,49' 11",108,5387.583,+16.00
183,0,08725,Tom Gillis,50' 4",90,4531.583,+27.00
184,0,24940,Edward Loar,50' 11",76,3870.750,+17.00
185,0,24490,George McNeill,51' 0",143,7295.750,+28.00
185,0,24663,Y.E. Yang,51' 0",82,4182.917,+20.00
187,0,21528,Henrik Stenson,51' 1",71,3624.500,+4.00
188,0,21350,Ryuji Imada,51' 2",126,6448.750,+27.00
189,0,24507,Jason Bohn,51' 3",97,4974.917,+20.00
190,0,27466,Spencer Levin,51' 5",128,6580.417,+29.00
191,0,08075,Jerry Kelly,51' 9",102,5279.000,+44.00
