RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,10885,Robert Allenby,1.217,104.658,86
2,0,21209,Sergio Garcia,.891,49.887,56
3,0,01810,Phil Mickelson,.842,49.664,59
4,0,12510,Chad Campbell,.830,70.587,85
5,0,06522,Ernie Els,.790,28.440,36
6,0,25190,Jeff Quinney,.781,57.047,73
7,0,27770,Camilo Villegas,.777,48.935,63
8,0,24781,Hunter Mahan,.742,53.419,72
9,0,20472,Alex Cejka,.677,40.606,60
10,0,20498,Briny Baird,.650,62.411,96
11,0,20645,John Senden,.630,51.687,82
12,0,06004,Stephen Ames,.623,41.135,66
13,0,25364,Paul Casey,.616,22.173,36
14,0,24024,Zach Johnson,.612,43.475,71
15,0,02206,David Toms,.610,34.157,56
16,0,06567,Vijay Singh,.607,38.211,63
17,0,01945,Kenny Perry,.599,55.117,92
18,0,23135,Tim Clark,.597,43.604,73
19,0,10809,Jim Furyk,.590,44.264,75
20,0,12602,Dean Wilson,.563,52.330,93
21,0,01677,Tom Lehman,.546,20.749,38
22,0,22293,Heath Slocum,.545,46.887,86
23,0,19846,Brian Gay,.537,46.153,86
24,0,01161,Mark Calcavecchia,.513,27.708,54
25,0,02239,Scott Verplank,.508,32.989,65
26,0,20229,Stewart Cink,.501,32.040,64
27,0,23788,D.J. Trahan,.496,38.689,78
28,0,22348,Nick O'Hern,.491,34.858,71
29,0,29718,Anthony Kim,.474,30.829,65
30,0,23108,Matt Kuchar,.470,32.927,70
30,0,23320,Ryan Palmer,.470,28.210,60
32,0,20623,Gavin Coles,.454,19.971,44
33,0,06621,Joe Durant,.447,35.294,79
34,0,26289,Boo Weekley,.443,28.322,64
35,0,24490,George McNeill,.434,39.097,90
36,0,24361,Pat Perez,.423,33.413,79
37,0,25804,Bubba Watson,.416,33.309,80
38,0,07867,Woody Austin,.410,36.115,88
39,0,01797,Rocco Mediate,.400,27.565,69
40,0,01320,Bob Estes,.396,34.075,86
41,0,24502,Adam Scott,.384,13.441,35
42,0,06527,Steve Stricker,.377,21.890,58
43,0,06595,Kevin Sutherland,.352,30.948,88
44,0,02223,Bob Tway,.350,19.928,57
45,0,01142,Bart Bryant,.347,23.279,67
46,0,27649,Brandt Snedeker,.325,21.796,67
47,0,07749,Brett Quigley,.321,23.451,73
48,0,20098,Stuart Appleby,.310,20.742,67
49,0,01941,Tom Pernice Jr.,.305,29.875,98
50,0,22378,Trevor Immelman,.303,16.361,54
51,0,12705,Cliff Kresge,.302,22.019,73
52,0,01706,Davis Love III,.289,18.807,65
53,0,25900,Lucas Glover,.288,23.873,83
54,0,21961,Charles Howell III,.283,24.599,87
55,0,10423,Mike Weir,.268,17.701,66
56,0,06573,Brandt Jobe,.265,12.469,47
57,0,22046,Geoff Ogilvy,.263,12.871,49
58,0,23325,Vaughn Taylor,.256,24.034,94
59,0,20848,Ángel Cabrera,.249,9.706,39
60,0,08845,Scott Sterling,.246,18.198,74
61,0,10860,Justin Leonard,.244,17.829,73
62,0,24663,Y.E. Yang,.239,19.110,80
63,0,25345,Carl Pettersson,.236,22.926,97
64,0,21731,Freddie Jacobson,.234,14.969,64
65,0,01553,John Huston,.233,11.409,49
66,0,21350,Ryuji Imada,.232,15.798,68
67,0,01928,Corey Pavin,.227,12.688,56
68,0,20766,Padraig Harrington,.221,7.061,32
69,0,01226,Fred Couples,.218,11.106,51
70,0,02002,John Riegger,.217,13.914,64
71,0,06197,Michael Allen,.216,16.827,78
72,0,26476,Chez Reavie,.209,18.796,90
73,0,06575,Dudley Hart,.204,13.680,67
74,0,28158,Steve Marino,.194,20.187,104
75,0,20157,Retief Goosen,.187,7.871,42
76,0,01388,Robert Gamez,.180,12.796,71
77,0,24140,Sean O'Hair,.179,12.171,68
78,0,12652,Cameron Beckman,.174,12.864,74
78,0,24358,Robert Garrigus,.174,14.989,86
80,0,20104,Ken Duke,.159,16.727,105
81,0,24357,K.J. Choi,.158,9.033,57
82,0,10733,Kent Jones,.154,8.464,55
83,0,07457,Steve Flesch,.149,12.097,81
84,0,10425,Jay Williamson,.147,11.789,80
