RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,06527,Steve Stricker,+.225,129,+29.00
2,0,23983,Luke Donald,+.252,103,+26.00
3,0,20691,Greg Owen,+.253,150,+38.00
4,0,19846,Brian Gay,+.260,262,+68.00
5,0,22046,Geoff Ogilvy,+.266,139,+37.00
6,0,23718,Nathan Green,+.272,232,+63.00
7,0,01887,Mark O'Meara,+.280,107,+30.00
8,0,07749,Brett Quigley,+.281,231,+65.00
9,0,06595,Kevin Sutherland,+.285,200,+57.00
10,0,01042,Paul Azinger,+.292,209,+61.00
10,0,06575,Dudley Hart,+.292,171,+50.00
12,0,22378,Trevor Immelman,+.293,164,+48.00
13,0,06522,Ernie Els,+.299,134,+40.00
14,0,08075,Jerry Kelly,+.300,217,+65.00
15,0,24357,K.J. Choi,+.302,162,+49.00
16,0,01024,Billy Andrade,+.303,152,+46.00
16,0,02110,Jerry Smith,+.303,201,+61.00
18,0,20628,Arron Oberholser,+.305,141,+43.00
19,0,20382,Stephen Leaney,+.307,176,+54.00
19,0,02214,Kirk Triplett,+.307,127,+39.00
21,0,01313,Steve Elkington,+.313,112,+35.00
21,0,26420,Richard Johnson,+.313,217,+68.00
23,0,10809,Jim Furyk,+.315,146,+46.00
23,0,10860,Justin Leonard,+.315,146,+46.00
25,0,20098,Stuart Appleby,+.316,155,+49.00
26,0,20593,Greg Chalmers,+.317,142,+45.00
26,0,08537,J.P. Hayes,+.317,120,+38.00
28,0,20572,Rod Pampling,+.318,176,+56.00
29,0,20105,Jeff Gove,+.319,188,+60.00
30,0,20099,Doug Barron,+.322,183,+59.00
31,0,12645,Brent Geiberger,+.323,226,+73.00
32,0,26360,Bubba Dickerson,+.324,210,+68.00
32,0,12760,Danny Ellis,+.324,170,+55.00
34,0,02239,Scott Verplank,+.326,181,+59.00
35,0,20121,Todd Fischer,+.327,245,+80.00
36,0,06515,Shaun Micheel,+.328,180,+59.00
37,0,01928,Corey Pavin,+.331,160,+53.00
38,0,21961,Charles Howell III,+.333,213,+71.00
38,0,01666,Bernhard Langer,+.333,153,+51.00
38,0,20127,Chris Riley,+.333,201,+67.00
41,0,12510,Chad Campbell,+.335,161,+54.00
41,0,20850,Daniel Chopra,+.335,245,+82.00
43,0,07457,Steve Flesch,+.337,261,+88.00
43,0,20157,Retief Goosen,+.337,86,+29.00
45,0,01219,John Cook,+.338,133,+45.00
46,0,11032,Frank Lickliter II,+.339,221,+75.00
46,0,01823,Larry Mize,+.339,109,+37.00
48,0,21753,Brian Davis,+.341,223,+76.00
48,0,24924,Bill Haas,+.341,229,+78.00
