RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,32070,Rafael Campos,21.1,78057.000,103
2,0,40026,Daniel Berger,21.2,144782.000,190
3,0,48045,Michael Gellerman,21.3,50564.000,66
3,0,39975,Michael Kim,21.3,77556.000,101
3,0,27129,Luke List,21.3,168916.000,220
3,0,47483,Will Zalatoris,21.3,128343.000,167
7,0,35891,Cameron Smith,21.5,137248.000,177
7,0,56278,Matthew Wolff,21.5,110112.000,142
9,0,31646,Emiliano Grillo,21.6,113520.000,146
9,0,31557,Jim Herman,21.6,87144.000,112
11,0,47347,Adam Schenk,21.7,130977.000,168
12,0,29479,Scott Brown,21.8,116021.000,148
12,0,47959,Bryson DeChambeau,21.8,191758.000,244
14,0,27942,Rob Oppenheim,21.9,79514.000,101
14,0,27064,Jhonattan Vegas,21.9,132701.000,168
16,0,46435,Austin Cook,22.1,89937.000,113
16,0,35310,Lanto Griffin,22.1,148856.000,187
18,0,30944,Jason Kokrak,22.2,161202.000,202
18,0,29518,Brendan Steele,22.2,120635.000,151
20,0,49766,Hank Lebioda,22.3,79332.000,99
20,0,28237,Rory McIlroy,22.3,150119.000,187
20,0,23320,Ryan Palmer,22.3,154156.000,192
20,0,33448,Justin Thomas,22.3,144343.000,180
24,0,32448,James Hahn,22.4,105814.000,131
24,0,33490,Bo Hoag,22.4,120193.000,149
26,0,34099,Harris English,22.5,175303.000,216
26,0,39977,Max Homa,22.5,126385.000,156
28,0,25364,Paul Casey,22.7,121904.000,149
28,0,32839,Hideki Matsuyama,22.7,184628.000,226
30,0,32254,Xinjun Zhang,22.8,79790.000,97
31,0,52372,Cameron Champ,22.9,165003.000,200
31,0,34076,Joel Dahmen,22.9,112860.000,137
31,0,46402,Talor Gooch,22.9,178161.000,216
31,0,28775,Nate Lashley,22.9,95603.000,116
31,0,45486,Joaquin Niemann,22.9,203806.000,247
36,0,39997,Corey Conners,23.0,155923.000,188
36,0,45157,Cam Davis,23.0,199958.000,241
36,0,34563,Chesson Hadley,23.0,97492.000,118
36,0,37189,Harold Varner III,23.0,147584.000,178
40,0,34098,Russell Henley,23.1,129811.000,156
40,0,24361,Pat Perez,23.1,130686.000,157
40,0,24502,Adam Scott,23.1,113258.000,136
43,0,21209,Sergio Garcia,23.2,172164.000,206
43,0,31420,Anirban Lahiri,23.2,97805.000,117
43,0,25396,Kevin Na,23.2,142869.000,171
43,0,27349,Alex Noren,23.2,160135.000,192
43,0,46970,Jon Rahm,23.2,165065.000,198
43,0,25804,Bubba Watson,23.2,139348.000,167
49,0,24357,K.J. Choi,23.3,37771.000,45
49,0,36689,Brooks Koepka,23.3,124391.000,148
49,0,48822,Sebastián Muñoz,23.3,189258.000,226
49,0,53165,Doc Redman,23.3,120938.000,144
53,0,34363,Tyrrell Hatton,23.4,91635.000,109
53,0,35461,Beau Hossler,23.4,157800.000,187
53,0,35449,Adam Long,23.4,115600.000,137
53,0,33413,Ben Martin,23.4,66654.000,79
53,0,33667,Carlos Ortiz,23.4,188727.000,224
53,0,27556,Ted Potter Jr.,23.4,93654.000,111
53,0,40006,Erik van Rooyen,23.4,130659.000,155
60,0,35450,Patrick Cantlay,23.5,155686.000,184
60,0,56762,Will Gordon,23.5,158912.000,188
60,0,50525,Collin Morikawa,23.5,144367.000,171
60,0,26331,Charl Schwartzel,23.5,166052.000,196
64,0,46550,Brandon Hagy,23.6,121549.000,143
64,0,12716,Charley Hoffman,23.6,167497.000,197
66,0,30163,Henrik Norlander,23.7,147878.000,173
66,0,34360,Patrick Reed,23.7,130508.000,153
68,0,47504,Sam Burns,23.8,162718.000,190
68,0,27936,Martin Laird,23.8,132035.000,154
68,0,32791,K.H. Lee,23.8,194502.000,227
68,0,26329,Louis Oosthuizen,23.8,117626.000,137
68,0,32333,Kevin Tway,23.8,104434.000,122
73,0,30911,Tommy Fleetwood,23.9,105625.000,123
73,0,27644,Brian Harman,23.9,169531.000,197
73,0,35506,Mackenzie Hughes,23.9,141240.000,164
73,0,39971,Sungjae Im,23.9,258059.000,300
73,0,26300,Matt Jones,23.9,171963.000,200
73,0,40042,Tyler McCumber,23.9,120425.000,140
73,0,33486,Roger Sloan,23.9,118103.000,137
80,0,46046,Scottie Scheffler,24.0,205604.000,238
81,0,29268,Bronson Burgoon,24.1,114466.000,132
81,0,24781,Hunter Mahan,24.1,77274.000,89
81,0,27330,Josh Teater,24.1,60820.000,70
84,0,49298,Kramer Hickok,24.2,102719.000,118
84,0,35532,Tom Hoge,24.2,162195.000,186
84,0,36871,Matthew NeSmith,24.2,179225.000,206
84,0,34264,Hudson Swafford,24.2,136679.000,157
84,0,35658,Kris Ventura,24.2,113038.000,130
84,0,31323,Gary Woodland,24.2,130528.000,150
90,0,52375,Doug Ghim,24.3,131455.000,150
90,0,28252,Seamus Power,24.3,89242.000,102
90,0,27214,Kevin Streelman,24.3,157204.000,180
93,0,33122,Russell Knox,24.4,129793.000,148
94,0,33141,Keegan Bradley,24.5,178235.000,202
94,0,28089,Jason Day,24.5,134007.000,152
94,0,34046,Jordan Spieth,24.5,165502.000,188
94,0,32150,Michael Thompson,24.5,122814.000,139
94,0,23788,D.J. Trahan,24.5,102294.000,116
94,0,23623,Bo Van Pelt,24.5,97727.000,111
94,0,32139,Danny Willett,24.5,48442.000,55
94,0,49964,Aaron Wise,24.5,160497.000,182
102,0,29926,Danny Lee,24.6,125704.000,142
102,0,27095,Nick Watney,24.6,67236.000,76
104,0,22371,Aaron Baddeley,24.7,57807.000,65
104,0,34255,Joseph Bramlett,24.7,134375.000,151
104,0,26499,Rafa Cabrera Bello,24.7,96979.000,109
104,0,36801,Mark Hubbard,24.7,142910.000,161
104,0,35104,Tom Lewis,24.7,139737.000,157
104,0,39546,Keith Mitchell,24.7,168948.000,190
110,0,33399,Adam Hadwin,24.8,130357.000,146
110,0,24140,Sean O'Hair,24.8,82957.000,93
112,0,29974,Branden Grace,24.9,115711.000,129
112,0,29221,Webb Simpson,24.9,145849.000,163
114,0,24924,Bill Haas,25.0,59282.000,66
114,0,49771,J.T. Poston,25.0,175311.000,195
116,0,19846,Brian Gay,25.1,95027.000,105
116,0,21961,Charles Howell III,25.1,113086.000,125
116,0,48081,Xander Schauffele,25.1,169294.000,187
116,0,48119,Ben Taylor,25.1,57808.000,64
116,0,48887,Matt Wallace,25.1,68613.000,76
121,0,32662,Michael Gligic,25.2,128000.000,141
121,0,27649,Brandt Snedeker,25.2,113514.000,125
121,0,30110,Kyle Stanley,25.2,121593.000,134
121,0,25493,Nick Taylor,25.2,170702.000,188
125,0,45526,Abraham Ancer,25.3,168440.000,185
125,0,20229,Stewart Cink,25.3,172310.000,189
125,0,29535,Brice Garnett,25.3,117296.000,129
125,0,46717,Viktor Hovland,25.3,186798.000,205
125,0,34213,Grayson Murray,25.3,81998.000,90
125,0,34431,Robert Streb,25.3,123702.000,136
131,0,29725,Tony Finau,25.4,158069.000,173
