RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,47959,Bryson DeChambeau,75.68,168,54
2,0,21209,Sergio Garcia,75.00,162,54
3,0,29221,Webb Simpson,71.88,138,54
4,0,45486,Joaquin Niemann,71.58,199,79
5,0,48081,Xander Schauffele,70.75,150,62
6,0,27129,Luke List,70.40,176,74
7,0,46970,Jon Rahm,70.35,159,67
8,0,28420,Ryan Brehm,69.83,81,35
9,0,28237,Rory McIlroy,69.63,149,65
10,0,46717,Viktor Hovland,69.55,169,74
11,0,37455,Si Woo Kim,68.48,189,87
12,0,30925,Dustin Johnson,68.23,131,61
13,0,23320,Ryan Palmer,68.10,158,74
14,0,34099,Harris English,67.74,168,80
15,0,36689,Brooks Koepka,67.47,112,54
16,0,30944,Jason Kokrak,67.46,170,82
17,0,39546,Keith Mitchell,67.31,140,68
18,0,40042,Tyler McCumber,67.26,113,55
19,0,39971,Sungjae Im,67.12,247,121
20,0,45157,Cam Davis,67.01,197,97
21,0,56762,Will Gordon,66.82,147,73
22,0,50525,Collin Morikawa,66.20,143,73
23,0,52372,Cameron Champ,66.09,152,78
24,0,56278,Matthew Wolff,66.05,107,55
25,0,36871,Matthew NeSmith,66.02,169,87
26,0,33448,Justin Thomas,65.93,149,77
27,0,25804,Bubba Watson,65.50,131,69
28,0,40098,Matt Fitzpatrick,65.22,120,64
29,0,35450,Patrick Cantlay,65.18,146,78
30,0,32839,Hideki Matsuyama,65.14,185,99
31,0,28089,Jason Day,64.95,126,68
32,0,35461,Beau Hossler,64.78,149,81
33,0,40026,Daniel Berger,64.71,154,84
34,0,46046,Scottie Scheffler,64.48,187,103
35,0,34213,Grayson Murray,64.46,78,43
36,0,32070,Rafael Campos,64.39,85,47
37,0,46402,Talor Gooch,64.18,181,101
38,0,20229,Stewart Cink,64.17,154,86
39,0,49960,Sepp Straka,63.98,151,85
40,0,24502,Adam Scott,63.79,111,63
41,0,31323,Gary Woodland,63.78,125,71
42,0,47504,Sam Burns,63.64,154,88
43,0,35891,Cameron Smith,63.51,141,81
44,0,51894,Vince Whaley,63.40,123,71
45,0,29268,Bronson Burgoon,63.33,114,66
46,0,01810,Phil Mickelson,63.24,129,75
47,0,33667,Carlos Ortiz,63.21,177,103
47,0,34264,Hudson Swafford,63.21,134,78
49,0,33141,Keegan Bradley,62.98,165,97
49,0,26331,Charl Schwartzel,62.98,165,97
51,0,26300,Matt Jones,62.89,161,95
52,0,28252,Seamus Power,62.88,83,49
53,0,47483,Will Zalatoris,62.73,138,82
54,0,23788,D.J. Trahan,62.67,94,56
55,0,34046,Jordan Spieth,61.81,157,97
56,0,34255,Joseph Bramlett,61.58,117,73
57,0,27349,Alex Noren,61.54,160,100
58,0,29970,Dylan Frittelli,61.50,123,77
59,0,33948,Byeong Hun An,61.34,146,92
60,0,30911,Tommy Fleetwood,61.18,93,59
61,0,12716,Charley Hoffman,61.07,160,102
62,0,29420,Billy Horschel,61.06,138,88
63,0,29725,Tony Finau,61.02,144,92
64,0,25364,Paul Casey,61.00,122,78
65,0,20396,Lee Westwood,60.98,100,64
66,0,51766,Wyndham Clark,60.87,140,90
67,0,32791,K.H. Lee,60.86,185,119
68,0,25818,Scott Piercy,60.85,129,83
68,0,49771,J.T. Poston,60.85,157,101
70,0,35658,Kris Ventura,60.80,107,69
71,0,32662,Michael Gligic,60.71,119,77
72,0,36699,Patrick Rodgers,60.47,156,102
73,0,46550,Brandon Hagy,60.42,116,76
74,0,29479,Scott Brown,60.10,125,83
74,0,29926,Danny Lee,60.10,116,77
76,0,45609,Tyler Duncan,59.77,153,103
77,0,27064,Jhonattan Vegas,59.72,129,87
78,0,49964,Aaron Wise,59.57,137,93
79,0,37275,Sam Ryder,59.43,126,86
80,0,48822,Sebastián Muñoz,59.40,177,121
81,0,40006,Erik van Rooyen,59.35,127,87
82,0,21961,Charles Howell III,59.30,102,70
83,0,46442,Maverick McNealy,59.26,128,88
84,0,27644,Brian Harman,58.71,155,109
85,0,33486,Roger Sloan,58.50,117,83
86,0,30163,Henrik Norlander,58.40,146,104
87,0,26851,Marc Leishman,58.33,126,90
88,0,34360,Patrick Reed,58.18,128,92
89,0,32333,Kevin Tway,58.13,93,67
90,0,32816,Satoshi Kodaira,58.08,115,83
91,0,46441,Robby Shelton,58.04,130,94
92,0,33597,Harry Higgs,58.00,145,105
93,0,27141,J.B. Holmes,57.93,84,61
94,0,47128,Richy Werenski,57.91,161,117
95,0,39977,Max Homa,57.39,132,98
96,0,25396,Kevin Na,57.38,140,104
97,0,27554,Scott Harrington,57.28,118,88
98,0,22405,Justin Rose,57.03,73,55
99,0,34363,Tyrrell Hatton,56.96,90,68
100,0,30692,Scott Stallings,56.82,125,95
101,0,26329,Louis Oosthuizen,56.57,112,86
102,0,35310,Lanto Griffin,56.25,153,119
103,0,39953,Chase Seiffert,56.18,100,78
104,0,35104,Tom Lewis,56.14,128,100
105,0,33413,Ben Martin,56.03,65,51
106,0,35230,Nelson Ledesma,55.93,66,52
107,0,31420,Anirban Lahiri,55.68,98,78
108,0,27214,Kevin Streelman,55.51,151,121
109,0,25900,Lucas Glover,55.38,144,116
110,0,37189,Harold Varner III,55.20,138,112
111,0,28775,Nate Lashley,55.17,96,78
112,0,39997,Corey Conners,54.96,155,127
113,0,45526,Abraham Ancer,54.92,145,119
114,0,48119,Ben Taylor,54.81,57,47
115,0,32757,Patton Kizzire,54.70,163,135
116,0,47347,Adam Schenk,54.69,140,116
117,0,35617,Martin Trainer,54.61,83,69
118,0,33419,Cameron Tringale,54.35,150,126
119,0,27770,Camilo Villegas,54.33,113,95
120,0,24140,Sean O'Hair,54.23,77,65
121,0,52375,Doug Ghim,54.20,129,109
122,0,29908,C.T. Pan,54.04,107,91
123,0,48045,Michael Gellerman,53.85,56,48
123,0,24924,Bill Haas,53.85,56,48
123,0,34563,Chesson Hadley,53.85,98,84
126,0,25493,Nick Taylor,53.57,150,130
126,0,27330,Josh Teater,53.57,60,52
128,0,33404,Chris Baker,53.33,64,56
129,0,32150,Michael Thompson,53.21,116,102
130,0,31646,Emiliano Grillo,53.10,120,106
131,0,49298,Kramer Hickok,53.04,96,85
132,0,33410,Andrew Landry,53.03,105,93
133,0,29518,Brendan Steele,53.02,123,109
134,0,32448,James Hahn,53.00,106,94
135,0,35532,Tom Hoge,52.98,160,142
136,0,35506,Mackenzie Hughes,52.87,129,115
137,0,34431,Robert Streb,52.36,111,101
138,0,31557,Jim Herman,52.15,97,89
139,0,23108,Matt Kuchar,52.11,99,91
140,0,29535,Brice Garnett,51.92,108,100
141,0,29974,Branden Grace,51.89,110,102
142,0,24781,Hunter Mahan,51.88,69,64
143,0,32254,Xinjun Zhang,51.85,84,78
