RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,47959,Bryson DeChambeau,77.54,214,62,-158,-2
2,0,21209,Sergio Garcia,75.29,198,65,-116,-8
3,0,27129,Luke List,71.91,215,84,-133,+6
4,0,48081,Xander Schauffele,71.65,187,74,-119,-3
5,0,45486,Joaquin Niemann,71.47,243,97,-148,-8
6,0,30925,Dustin Johnson,71.43,170,68,-97,-2
7,0,39546,Keith Mitchell,71.26,186,75,-100,-1
8,0,28237,Rory McIlroy,71.21,183,74,-108,-5
9,0,36689,Brooks Koepka,70.53,146,61,-95,-6
10,0,46970,Jon Rahm,70.46,198,83,-134,-7
11,0,28420,Ryan Brehm,70.29,97,41,-40,+10
12,0,46717,Viktor Hovland,70.10,204,87,-108,-16
13,0,56278,Matthew Wolff,69.59,135,59,-95,+10
14,0,40042,Tyler McCumber,69.23,135,60,-71,-1
15,0,56762,Will Gordon,69.06,183,82,-99,+13
16,0,25804,Bubba Watson,68.20,163,76,-97,E
17,0,37455,Si Woo Kim,67.99,223,105,-132,-2
18,0,52372,Cameron Champ,67.97,191,90,-120,+16
19,0,39971,Sungjae Im,67.87,300,142,-178,-5
20,0,29221,Webb Simpson,67.63,163,78,-91,-17
21,0,23320,Ryan Palmer,67.61,192,92,-124,-1
22,0,45157,Cam Davis,67.43,236,114,-153,+14
23,0,35461,Beau Hossler,67.39,186,90,-112,+4
24,0,35450,Patrick Cantlay,66.91,184,91,-113,-13
25,0,46046,Scottie Scheffler,66.67,234,117,-150,E
26,0,30944,Jason Kokrak,66.33,197,100,-123,-6
27,0,36871,Matthew NeSmith,66.24,206,105,-120,-5
28,0,34099,Harris English,66.15,213,109,-131,-13
29,0,49960,Sepp Straka,66.10,193,99,-108,-7
30,0,32839,Hideki Matsuyama,65.79,225,117,-146,-4
30,0,31323,Gary Woodland,65.79,150,78,-81,+6
32,0,40098,Matt Fitzpatrick,65.63,147,77,-87,-2
33,0,24502,Adam Scott,65.37,134,71,-80,+2
34,0,50525,Collin Morikawa,65.27,171,91,-98,-11
35,0,47504,Sam Burns,65.17,189,101,-128,-12
36,0,32070,Rafael Campos,64.56,102,56,-55,+6
37,0,01810,Phil Mickelson,64.41,152,84,-74,+9
38,0,36699,Patrick Rodgers,64.40,199,110,-117,-4
39,0,30911,Tommy Fleetwood,64.36,121,67,-67,+4
40,0,26300,Matt Jones,64.29,198,110,-118,-4
41,0,33667,Carlos Ortiz,64.27,223,124,-134,-3
42,0,40026,Daniel Berger,64.19,190,106,-120,-21
43,0,29970,Dylan Frittelli,64.10,150,84,-73,+14
44,0,34255,Joseph Bramlett,64.07,148,83,-91,+9
45,0,33448,Justin Thomas,64.00,176,99,-117,-7
46,0,33141,Keegan Bradley,63.92,202,114,-116,-8
47,0,51894,Vince Whaley,63.91,147,83,-85,-3
48,0,33948,Byeong Hun An,63.90,177,100,-79,+2
48,0,35891,Cameron Smith,63.90,177,100,-127,-16
50,0,28089,Jason Day,63.87,152,86,-85,+1
51,0,20229,Stewart Cink,63.39,187,108,-107,-5
52,0,47483,Will Zalatoris,63.12,166,97,-112,-9
53,0,46402,Talor Gooch,63.05,215,126,-123,-6
54,0,49771,J.T. Poston,62.99,194,114,-109,+2
55,0,34213,Grayson Murray,62.94,90,53,-39,+13
56,0,27064,Jhonattan Vegas,62.88,166,98,-102,+6
57,0,26331,Charl Schwartzel,62.87,193,114,-114,+3
58,0,35658,Kris Ventura,62.80,130,77,-71,+6
59,0,25818,Scott Piercy,62.73,170,101,-94,+4
60,0,49964,Aaron Wise,62.72,180,107,-111,-5
61,0,25364,Paul Casey,62.61,149,89,-91,-9
62,0,34046,Jordan Spieth,62.54,187,112,-110,-15
63,0,12716,Charley Hoffman,62.30,195,118,-100,-20
64,0,29420,Billy Horschel,62.27,170,103,-95,-11
65,0,51766,Wyndham Clark,62.04,170,104,-99,+12
66,0,46550,Brandon Hagy,61.93,135,83,-82,+8
