YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2024,1,0,52372,Cameron Champ,55.26%,63,114,-0.41
2024,2,0,28237,Rory McIlroy,52.17%,72,138,-0.36
2024,3,0,59095,Chris Gotterup,44.37%,63,142,-0.29
2024,4,0,38991,Alejandro Tosti,42.75%,59,138,-0.47
2024,5,0,37378,Min Woo Lee,42.42%,56,132,-0.23
2024,6,0,33948,Byeong Hun An,41.33%,62,150,-0.18
2024,7,0,47663,Kevin Dougherty,41.13%,51,124,-0.43
2024,8,0,31323,Gary Woodland,36.88%,59,160,-0.42
2024,9,0,56149,Wilson Furr,36.84%,42,114,-0.12
2024,10,0,27064,Jhonattan Vegas,36.81%,53,144,-0.25
2024,11,0,51977,Max Greyserman,36.36%,56,154,-0.43
2024,12,0,59836,Pierceson Coody,34.62%,54,156,-0.50
2024,13,0,34255,Joseph Bramlett,33.93%,57,168,-0.42
2024,14,0,52955,Ludvig Åberg,33.33%,50,150,-0.32
2024,14,0,28420,Ryan Brehm,33.33%,40,120,-0.45
2024,14,0,29936,Ryan Fox,33.33%,52,156,-0.67
2024,14,0,48867,Matti Schmid,33.33%,52,156,-0.54
2024,18,0,37212,Paul Barjon,33.02%,35,106,-0.51
2024,19,0,40250,Taylor Pendrith,32.89%,50,152,-0.28
2024,20,0,51766,Wyndham Clark,32.84%,44,134,-0.07
2024,21,0,55454,Carl Yuan,32.81%,42,128,-0.43
2024,22,0,50484,Hayden Springer,32.64%,47,144,-0.32
2024,23,0,52453,Nicolai Højgaard,32.46%,37,114,-0.14
2024,24,0,36799,Stephan Jaeger,32.28%,51,158,-0.33
2024,25,0,51070,Vincent Norrman,31.63%,31,98,-0.19
2024,26,0,39546,Keith Mitchell,31.48%,51,162,-0.49
2024,27,0,47420,Jake Knapp,31.33%,47,150,-0.28
2024,28,0,54576,Patrick Fishburn,30.00%,42,140,-0.38
2024,29,0,47504,Sam Burns,29.45%,43,146,-0.44
2024,30,0,48699,Callum Tarren,28.57%,40,140,-0.45
2024,31,0,54421,Garrick Higgo,28.48%,45,158,-0.51
2024,32,0,51696,Rico Hoey,27.98%,47,168,-0.47
2024,33,0,35310,Lanto Griffin,27.78%,40,144,-0.48
2024,34,0,40006,Erik van Rooyen,27.22%,43,158,-0.93
2024,35,0,34046,Jordan Spieth,27.14%,38,140,-0.08
2024,36,0,46340,Alex Smalley,27.03%,40,148,-0.45
2024,37,0,48081,Xander Schauffele,26.58%,42,158,-0.31
2024,38,0,60067,Joe Highsmith,26.43%,37,140,-0.59
2024,39,0,52215,Robert MacIntyre,26.39%,38,144,-0.50
2024,40,0,46113,Ryan McCormick,26.23%,32,122,-0.31
2024,41,0,48117,Kurt Kitayama,25.95%,41,158,-0.22
2024,42,0,32333,Kevin Tway,25.00%,30,120,-0.20
2024,43,0,57366,Cameron Young,24.69%,40,162,-0.18
2024,44,0,45242,Kevin Yu,24.66%,36,146,-0.33
2024,45,0,24502,Adam Scott,24.65%,35,142,-0.17
2024,46,0,34563,Chesson Hadley,24.24%,32,132,-0.31
2024,47,0,51634,Sahith Theegala,24.19%,45,186,-0.47
2024,48,0,59866,Nick Dunlap,23.88%,32,134,-0.19
2024,49,0,51894,Vince Whaley,23.61%,34,144,-0.53
2024,50,0,29725,Tony Finau,23.42%,37,158,-0.14
2024,51,0,50188,S.H. Kim,23.33%,49,210,-0.41
2024,52,0,27139,David Skinns,23.17%,38,164,-0.42
2024,53,0,33448,Justin Thomas,23.13%,31,134,-0.26
2024,54,0,60767,Blaine Hale Jr.,23.08%,24,104,-0.38
2024,55,0,58168,Davis Thompson,22.78%,41,180,-0.32
2024,56,0,32070,Rafael Campos,22.50%,27,120,-0.37
2024,57,0,50497,Adrien Dumont de Chassart,22.30%,33,148,-0.30
2024,58,0,47988,Nick Hardy,21.84%,38,174,-0.47
2024,59,0,46046,Scottie Scheffler,21.83%,31,142,-0.35
2024,60,0,32757,Patton Kizzire,21.77%,27,124,-0.48
2024,61,0,59143,Mac Meissner,21.53%,31,144,-0.39
2024,62,0,33141,Keegan Bradley,21.52%,34,158,-0.35
2024,63,0,27129,Luke List,21.43%,33,154,-0.45
2024,64,0,33408,Tyson Alexander,21.33%,32,150,-0.44
2024,65,0,46717,Viktor Hovland,21.05%,24,114,-0.21
2024,66,0,48084,Wesley Bryan,21.00%,21,100,-0.24
2024,66,0,36699,Patrick Rodgers,21.00%,42,200,-0.43
2024,68,0,45157,Cam Davis,20.78%,32,154,-0.50
2024,69,0,60004,Jacob Bridgeman,20.51%,32,156,-0.50
2024,69,0,32791,K.H. Lee,20.51%,32,156,-0.78
2024,71,0,34374,Erik Barnes,20.37%,22,108,-0.18
2024,72,0,49947,Taylor Moore,20.20%,40,198,-0.23
2024,73,0,57975,Harry Hall,20.00%,32,160,-0.56
2024,74,0,46442,Maverick McNealy,19.57%,36,184,-0.47
2024,75,0,55893,Sam Stevens,19.39%,38,196,-0.42
2024,76,0,34587,Chan Kim,19.38%,31,160,-0.29
2024,77,0,39975,Michael Kim,19.14%,31,162,-0.52
2024,78,0,59442,Parker Coody,19.09%,21,110,-0.24
2024,79,0,35617,Martin Trainer,19.00%,19,100,-0.16
2024,80,0,47483,Will Zalatoris,18.94%,25,132,-0.24
2024,81,0,29221,Webb Simpson,18.63%,19,102,-0.32
2024,82,0,48119,Ben Taylor,18.55%,23,124,-0.43
2024,83,0,35450,Patrick Cantlay,18.46%,24,130,-0.46
2024,84,0,52514,Trace Crowe,18.38%,25,136,-0.20
2024,85,0,27330,Josh Teater,18.27%,19,104,-0.53
2024,86,0,39324,J.J. Spaun,18.13%,29,160,-0.48
2024,87,0,33968,Thorbjørn Olesen,17.71%,17,96,-0.41
2024,88,0,35461,Beau Hossler,17.65%,30,170,-0.33
2024,89,0,47679,Victor Perez,17.36%,25,144,-0.48
2024,90,0,48887,Matt Wallace,17.19%,22,128,-0.55
2024,91,0,39977,Max Homa,17.09%,27,158,-0.04
2024,92,0,57362,Austin Eckroat,16.67%,30,180,-0.50
