YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2024,0,34098,Russell Henley,78.33%,47,60
2024,0,27349,Alex Noren,74.47%,35,47
2024,0,55454,Carl Yuan,74.42%,32,43
2024,0,22405,Justin Rose,73.47%,36,49
2024,0,35461,Beau Hossler,73.02%,46,63
2024,0,50188,S.H. Kim,72.63%,69,95
2024,0,55708,Hayden Buckley,72.22%,26,36
2024,0,39327,Ben Silverman,71.70%,38,53
2024,0,50525,Collin Morikawa,71.43%,50,70
2024,0,22371,Aaron Baddeley,70.83%,34,48
2024,0,32366,Kevin Chappell,70.83%,17,24
2024,0,51766,Wyndham Clark,70.49%,43,61
2024,0,25493,Nick Taylor,70.00%,42,60
2024,0,36871,Matt NeSmith,69.77%,30,43
2024,0,23320,Ryan Palmer,69.70%,23,33
2024,0,48887,Matt Wallace,69.70%,23,33
2024,0,52375,Doug Ghim,69.57%,32,46
2024,0,52215,Robert MacIntyre,69.23%,36,52
2024,0,45522,Christiaan Bezuidenhout,69.01%,49,71
2024,0,33948,Byeong Hun An,68.52%,37,54
2024,0,26476,Chez Reavie,68.18%,30,44
2024,0,50484,Hayden Springer,68.18%,30,44
2024,0,33399,Adam Hadwin,67.61%,48,71
2024,0,32757,Patton Kizzire,67.50%,27,40
2024,0,39971,Sungjae Im,67.47%,56,83
2024,0,29420,Billy Horschel,66.67%,40,60
2024,0,27936,Martin Laird,66.67%,24,36
2024,0,47806,Raul Pereda,66.67%,22,33
2024,0,28252,Seamus Power,66.67%,48,72
2024,0,54783,Dylan Wu,66.67%,30,45
2024,0,52513,Carson Young,66.67%,28,42
2024,0,51997,Andrew Novak,66.18%,45,68
2024,0,33141,Keegan Bradley,66.15%,43,65
2024,0,47983,Chad Ramey,66.10%,39,59
2024,0,30927,Brendon Todd,66.10%,39,59
2024,0,40098,Matt Fitzpatrick,65.67%,44,67
2024,0,54628,Lee Hodges,65.67%,44,67
2024,0,59836,Pierceson Coody,65.63%,21,32
2024,0,37455,Si Woo Kim,65.63%,42,64
2024,0,47420,Jake Knapp,65.52%,38,58
2024,0,59143,Mac Meissner,65.22%,30,46
2024,0,47993,Denny McCarthy,65.15%,43,66
2024,0,23108,Matt Kuchar,65.08%,41,63
2024,0,48081,Xander Schauffele,64.91%,37,57
2024,0,56630,Akshay Bhatia,64.71%,44,68
2024,0,32102,Rickie Fowler,64.62%,42,65
2024,0,24024,Zach Johnson,64.52%,20,31
2024,0,29908,C.T. Pan,64.52%,20,31
2024,0,40006,Erik van Rooyen,64.44%,29,45
2024,0,57362,Austin Eckroat,64.38%,47,73
2024,0,27330,Josh Teater,64.29%,18,28
2024,0,39977,Max Homa,64.18%,43,67
2024,0,47483,Will Zalatoris,64.15%,34,53
2024,0,27644,Brian Harman,63.77%,44,69
2024,0,46441,Robby Shelton,63.64%,35,55
2024,0,35450,Patrick Cantlay,63.27%,31,49
2024,0,39975,Michael Kim,63.27%,31,49
2024,0,25900,Lucas Glover,63.24%,43,68
2024,0,33448,Justin Thomas,63.04%,29,46
2024,0,37378,Min Woo Lee,62.96%,34,54
2024,0,34256,Andrew Putnam,62.90%,39,62
2024,0,45157,Cam Davis,62.82%,49,78
2024,0,33968,Thorbjørn Olesen,62.50%,20,32
2024,0,47347,Adam Schenk,62.50%,40,64
2024,0,36699,Patrick Rodgers,62.35%,53,85
2024,0,48153,Matthieu Pavon,61.90%,26,42
2024,0,31646,Emiliano Grillo,61.82%,34,55
2024,0,30911,Tommy Fleetwood,61.67%,37,60
2024,0,49771,J.T. Poston,61.64%,45,73
2024,0,29725,Tony Finau,61.54%,32,52
2024,0,32791,K.H. Lee,61.40%,35,57
2024,0,32839,Hideki Matsuyama,61.40%,35,57
2024,0,27214,Kevin Streelman,61.36%,27,44
2024,0,36801,Mark Hubbard,61.11%,44,72
2024,0,47679,Victor Perez,61.11%,22,36
2024,0,40115,Adam Svensson,61.04%,47,77
2024,0,47591,Eric Cole,60.98%,50,82
2024,0,60067,Joe Highsmith,60.66%,37,61
2024,0,28237,Rory McIlroy,60.66%,37,61
2024,0,34046,Jordan Spieth,60.61%,40,66
2024,0,27770,Camilo Villegas,60.61%,20,33
2024,0,51349,Nico Echavarria,60.34%,35,58
2024,0,28420,Ryan Brehm,60.00%,21,35
2024,0,39997,Corey Conners,60.00%,42,70
2024,0,33204,Shane Lowry,60.00%,24,40
2024,0,48867,Matti Schmid,60.00%,27,45
2024,0,49947,Taylor Moore,59.72%,43,72
2024,0,28089,Jason Day,59.62%,31,52
2024,0,35532,Tom Hoge,59.60%,59,99
2024,0,48699,Callum Tarren,59.46%,22,37
2024,0,57900,Chandler Phillips,59.32%,35,59
2024,0,24502,Adam Scott,59.26%,32,54
2024,0,29221,Webb Simpson,59.26%,32,54
2024,0,33653,Thomas Detry,59.15%,42,71
2024,0,35617,Martin Trainer,59.09%,13,22
2024,0,40058,Zac Blair,58.93%,33,56
2024,0,34255,Joseph Bramlett,58.82%,30,51
2024,0,33408,Tyson Alexander,58.73%,37,63
2024,0,34099,Harris English,58.62%,34,58
2024,0,34587,Chan Kim,58.62%,34,58
2024,0,55182,Tom Kim,58.62%,51,87
2024,0,55789,Taylor Montgomery,58.54%,24,41
2024,0,52374,Brandon Wu,58.54%,24,41
2024,0,35506,Mackenzie Hughes,58.46%,38,65
2024,0,57366,Cameron Young,58.21%,39,67
2024,0,27139,David Skinns,57.89%,22,38
2024,0,52372,Cameron Champ,57.14%,20,35
2024,0,34076,Joel Dahmen,57.14%,32,56
2024,0,37275,Sam Ryder,57.14%,28,49
2024,0,51634,Sahith Theegala,56.94%,41,72
2024,0,46442,Maverick McNealy,56.90%,33,58
2024,0,30926,Chris Kirk,56.67%,34,60
2024,0,48117,Kurt Kitayama,56.60%,30,53
2024,0,30163,Henrik Norlander,56.52%,13,23
2024,0,46046,Scottie Scheffler,56.52%,26,46
2024,0,31323,Gary Woodland,56.52%,26,46
2024,0,47995,Davis Riley,56.14%,32,57
