YEAR,MOVEMENT,PLAYER_ID,PLAYER,ROUNDS
2024,0,54591,Ben Griffin,74
2024,0,55893,Sam Stevens,73
2024,0,46442,Maverick McNealy,70
2024,0,35532,Tom Hoge,69
2024,0,51349,Nico Echavarria,67
2024,0,52375,Doug Ghim,66
2024,0,36801,Mark Hubbard,66
2024,0,50188,S.H. Kim,66
2024,0,40162,Justin Lower,65
2024,0,60004,Jacob Bridgeman,64
2024,0,39546,Keith Mitchell,62
2024,0,49947,Taylor Moore,62
2024,0,36699,Patrick Rodgers,62
2024,0,35506,Mackenzie Hughes,61
2024,0,48081,Xander Schauffele,61
2024,0,47591,Eric Cole,60
2024,0,51696,Rico Hoey,60
2024,0,46046,Scottie Scheffler,60
2024,0,40115,Adam Svensson,60
2024,0,39975,Michael Kim,59
2024,0,51997,Andrew Novak,59
2024,0,28252,Seamus Power,59
2024,0,52513,Carson Young,59
2024,0,57975,Harry Hall,58
2024,0,35461,Beau Hossler,58
2024,0,37455,Si Woo Kim,58
2024,0,58168,Davis Thompson,58
2024,0,29725,Tony Finau,57
2024,0,34587,Chan Kim,57
2024,0,46414,Aaron Rai,57
2024,0,51634,Sahith Theegala,57
2024,0,39997,Corey Conners,56
2024,0,25900,Lucas Glover,56
2024,0,51287,Ryo Hisatsune,56
2024,0,39971,Sungjae Im,56
2024,0,57900,Chandler Phillips,56
2024,0,56630,Akshay Bhatia,55
2024,0,51977,Max Greyserman,55
2024,0,54628,Lee Hodges,55
2024,0,50525,Collin Morikawa,55
2024,0,30927,Brendon Todd,55
2024,0,34076,Joel Dahmen,54
2024,0,57362,Austin Eckroat,54
2024,0,27644,Brian Harman,54
2024,0,48117,Kurt Kitayama,54
2024,0,47993,Denny McCarthy,54
2024,0,40006,Erik van Rooyen,54
2024,0,34255,Joseph Bramlett,53
2024,0,30163,Henrik Norlander,53
2024,0,39327,Ben Silverman,53
2024,0,27064,Jhonattan Vegas,53
2024,0,40026,Daniel Berger,52
2024,0,47504,Sam Burns,52
2024,0,59143,Mac Meissner,52
2024,0,54576,Patrick Fishburn,51
2024,0,27349,Alex Noren,51
2024,0,49771,J.T. Poston,51
2024,0,34256,Andrew Putnam,51
2024,0,37275,Sam Ryder,51
2024,0,47347,Adam Schenk,51
2024,0,51890,Greyson Sigg,51
2024,0,39324,J.J. Spaun,51
2024,0,54783,Dylan Wu,51
2024,0,40058,Zac Blair,50
2024,0,34099,Harris English,50
2024,0,47988,Nick Hardy,50
2024,0,60067,Joe Highsmith,50
2024,0,55182,Tom Kim,50
2024,0,32839,Hideki Matsuyama,50
2024,0,27139,David Skinns,50
2024,0,59836,Pierceson Coody,49
2024,0,36884,Ben Kohles,49
2024,0,47983,Chad Ramey,49
2024,0,48867,Matti Schmid,49
2024,0,50493,Justin Suh,49
2024,0,25493,Nick Taylor,49
2024,0,51894,Vince Whaley,49
2024,0,54421,Garrick Higgo,48
2024,0,29420,Billy Horschel,48
2024,0,27936,Martin Laird,48
2024,0,32791,K.H. Lee,48
2024,0,28237,Rory McIlroy,48
2024,0,46340,Alex Smalley,48
2024,0,33948,Byeong Hun An,47
2024,0,33141,Keegan Bradley,47
2024,0,34098,Russell Henley,47
2024,0,27129,Luke List,47
2024,0,52215,Robert MacIntyre,47
2024,0,46441,Robby Shelton,47
2024,0,50484,Hayden Springer,47
2024,0,52955,Ludvig Åberg,46
2024,0,59095,Chris Gotterup,46
2024,0,35310,Lanto Griffin,46
2024,0,31646,Emiliano Grillo,46
2024,0,40250,Taylor Pendrith,46
2024,0,52374,Brandon Wu,46
2024,0,45242,Kevin Yu,46
2024,0,45522,Christiaan Bezuidenhout,45
2024,0,34563,Chesson Hadley,45
2024,0,36799,Stephan Jaeger,45
2024,0,32757,Patton Kizzire,45
2024,0,26596,Ryan Moore,45
2024,0,51766,Wyndham Clark,44
2024,0,52514,Trace Crowe,44
2024,0,28089,Jason Day,44
2024,0,30926,Chris Kirk,44
2024,0,33204,Shane Lowry,44
2024,0,47679,Victor Perez,44
2024,0,33448,Justin Thomas,44
2024,0,40098,Matt Fitzpatrick,43
2024,0,30911,Tommy Fleetwood,43
2024,0,39977,Max Homa,43
2024,0,23108,Matt Kuchar,43
2024,0,36871,Matt NeSmith,43
2024,0,33408,Tyson Alexander,42
2024,0,22371,Aaron Baddeley,42
2024,0,33399,Adam Hadwin,42
2024,0,12716,Charley Hoffman,42
2024,0,28775,Nate Lashley,42
2024,0,36326,David Lipsky,42
2024,0,32640,Troy Merritt,42
2024,0,24502,Adam Scott,42
2024,0,57366,Cameron Young,42
2024,0,33653,Thomas Detry,41
2024,0,32102,Rickie Fowler,41
2024,0,47483,Will Zalatoris,41
2024,0,35450,Patrick Cantlay,40
2024,0,45157,Cam Davis,40
