YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
2024,0,40058,Zac Blair,7.50%,77,1026,+0.10
2024,0,40026,Daniel Berger,7.80%,65,833,+0.06
2024,0,46414,Aaron Rai,8.14%,84,1032,-0.07
2024,0,50525,Collin Morikawa,8.24%,79,959,+0.10
2024,0,45609,Tyler Duncan,8.27%,64,774,+0.08
2024,0,36801,Mark Hubbard,8.40%,102,1214,+0.14
2024,0,52374,Brandon Wu,9.11%,79,867,+0.10
2024,0,30911,Tommy Fleetwood,9.15%,82,896,+0.06
2024,0,32640,Troy Merritt,9.38%,75,800,-0.09
2024,0,49960,Sepp Straka,9.76%,90,922,+0.10
2024,0,28237,Rory McIlroy,10.10%,87,861,-0.14
2024,0,57362,Austin Eckroat,10.14%,110,1085,+0.14
2024,0,33204,Shane Lowry,10.21%,87,852,+0.02
2024,0,55182,Tom Kim,10.24%,103,1006,+0.02
2024,0,27330,Josh Teater,10.33%,54,523,+0.22
2024,0,36884,Ben Kohles,10.40%,105,1010,+0.19
2024,0,49771,J.T. Poston,10.45%,113,1081,+0.13
2024,0,50493,Justin Suh,10.55%,90,853,+0.04
2024,0,51349,Nico Echavarria,10.58%,102,964,+0.20
2024,0,29535,Brice Garnett,10.59%,63,595,+0.16
2024,0,39997,Corey Conners,10.65%,116,1089,+0.05
2024,0,34099,Harris English,10.73%,117,1090,+0.08
2024,0,22405,Justin Rose,10.78%,80,742,+0.10
2024,0,32102,Rickie Fowler,10.89%,103,946,+0.02
2024,0,25900,Lucas Glover,10.89%,117,1074,+0.04
2024,0,48117,Kurt Kitayama,10.95%,106,968,E
2024,0,40115,Adam Svensson,10.95%,152,1388,+0.05
2024,0,47504,Sam Burns,10.97%,101,921,-0.02
2024,0,34046,Jordan Spieth,10.97%,96,875,-0.05
2024,0,37455,Si Woo Kim,10.99%,119,1083,+0.08
2024,0,48081,Xander Schauffele,11.03%,105,952,-0.01
2024,0,27214,Kevin Streelman,11.13%,88,791,+0.09
2024,0,30926,Chris Kirk,11.17%,105,940,+0.10
2024,0,47993,Denny McCarthy,11.18%,123,1100,+0.02
2024,0,32757,Patton Kizzire,11.20%,82,732,+0.07
2024,0,32366,Kevin Chappell,11.37%,64,563,-0.02
2024,0,46441,Robby Shelton,11.39%,103,904,+0.07
2024,0,28089,Jason Day,11.42%,94,823,-0.01
2024,0,55708,Hayden Buckley,11.43%,95,831,+0.19
2024,0,35532,Tom Hoge,11.45%,144,1258,+0.03
2024,0,51070,Vincent Norrman,11.46%,73,637,+0.10
2024,0,52513,Carson Young,11.46%,117,1021,+0.03
2024,0,30163,Henrik Norlander,11.50%,78,678,-0.03
2024,0,34256,Andrew Putnam,11.51%,120,1043,+0.07
2024,0,47483,Will Zalatoris,11.51%,93,808,+0.05
2024,0,48153,Matthieu Pavon,11.56%,85,735,-0.12
