YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
2024,0,30927,Brendon Todd,11.56%,143,1237,+0.04
2024,0,51287,Ryo Hisatsune,11.59%,111,958,+0.03
2024,0,28252,Seamus Power,11.60%,143,1233,+0.02
2024,0,34076,Joel Dahmen,11.61%,117,1008,+0.05
2024,0,51696,Rico Hoey,11.62%,107,921,+0.07
2024,0,47988,Nick Hardy,11.66%,123,1055,+0.02
2024,0,36799,Stephan Jaeger,11.72%,118,1007,+0.11
2024,0,54628,Lee Hodges,11.75%,140,1191,+0.13
2024,0,33653,Thomas Detry,11.77%,105,892,-0.10
2024,0,46717,Viktor Hovland,11.81%,86,728,-0.19
2024,0,51890,Greyson Sigg,11.95%,109,912,+0.06
2024,0,26476,Chez Reavie,12.02%,93,774,+0.11
2024,0,39324,J.J. Spaun,12.05%,121,1004,-0.03
2024,0,34021,Bud Cauley,12.07%,85,704,+0.01
2024,0,37275,Sam Ryder,12.09%,100,827,+0.12
2024,0,47983,Chad Ramey,12.12%,115,949,+0.02
2024,0,51634,Sahith Theegala,12.15%,143,1177,+0.01
2024,0,33486,Roger Sloan,12.18%,90,739,+0.01
2024,0,37378,Min Woo Lee,12.27%,99,807,-0.01
2024,0,29908,C.T. Pan,12.31%,97,788,+0.04
2024,0,52666,Sami Valimaki,12.48%,97,777,+0.11
2024,0,51766,Wyndham Clark,12.49%,107,857,+0.01
2024,0,24024,Zach Johnson,12.52%,75,599,+0.03
2024,0,50095,Austin Smotherman,12.55%,66,526,+0.03
2024,0,54576,Patrick Fishburn,12.58%,97,771,+0.05
2024,0,51997,Andrew Novak,12.58%,132,1049,+0.07
2024,0,26596,Ryan Moore,12.59%,111,882,+0.08
2024,0,40006,Erik van Rooyen,12.67%,123,971,+0.03
2024,0,56630,Akshay Bhatia,12.68%,139,1096,E
2024,0,34098,Russell Henley,12.68%,114,899,+0.10
2024,0,24502,Adam Scott,12.69%,109,859,+0.08
2024,0,54591,Ben Griffin,12.70%,158,1244,-0.05
2024,0,46046,Scottie Scheffler,12.70%,110,866,-0.11
2024,0,46340,Alex Smalley,12.73%,104,817,+0.08
2024,0,36871,Matt NeSmith,12.79%,110,860,+0.14
2024,0,46442,Maverick McNealy,12.81%,140,1093,-0.10
2024,0,50484,Hayden Springer,12.81%,98,765,-0.09
2024,0,49947,Taylor Moore,12.87%,156,1212,-0.04
2024,0,40098,Matt Fitzpatrick,13.11%,113,862,+0.11
2024,0,32839,Hideki Matsuyama,13.15%,117,890,+0.02
2024,0,33141,Keegan Bradley,13.18%,131,994,+0.05
2024,0,47347,Adam Schenk,13.27%,149,1123,+0.06
2024,0,39327,Ben Silverman,13.27%,130,980,-0.09
2024,0,25493,Nick Taylor,13.28%,140,1054,+0.06
2024,0,37212,Paul Barjon,13.29%,80,602,+0.16
2024,0,52375,Doug Ghim,13.33%,145,1088,+0.06
2024,0,29478,Kevin Kisner,13.34%,87,652,+0.20
2024,0,23108,Matt Kuchar,13.36%,124,928,+0.05
2024,0,31323,Gary Woodland,13.41%,132,984,-0.02
2024,0,35310,Lanto Griffin,13.47%,108,802,+0.08
2024,0,45157,Cam Davis,13.52%,134,991,+0.05
2024,0,57900,Chandler Phillips,13.52%,139,1028,+0.05
2024,0,58168,Davis Thompson,13.52%,149,1102,-0.06
2024,0,27644,Brian Harman,13.53%,149,1101,+0.04
2024,0,45242,Kevin Yu,13.58%,124,913,+0.01
2024,0,47663,Kevin Dougherty,13.59%,92,677,+0.03
2024,0,48319,Tom Whitney,13.64%,94,689,+0.06
2024,0,52955,Ludvig Åberg,13.65%,126,923,+0.02
2024,0,32791,K.H. Lee,13.66%,127,930,+0.07
2024,0,57366,Cameron Young,13.67%,137,1002,+0.04
2024,0,51977,Max Greyserman,13.73%,120,874,+0.02
2024,0,52453,Nicolai Højgaard,13.73%,84,612,+0.11
2024,0,36326,David Lipsky,13.77%,110,799,+0.22
2024,0,31646,Emiliano Grillo,13.79%,148,1073,+0.07
2024,0,48867,Matti Schmid,13.81%,119,862,+0.11
2024,0,29936,Ryan Fox,13.82%,130,941,+0.07
2024,0,39971,Sungjae Im,13.83%,152,1099,+0.03
2024,0,59866,Nick Dunlap,13.85%,122,881,+0.06
2024,0,36699,Patrick Rodgers,13.88%,171,1232,+0.02
2024,0,12716,Charley Hoffman,13.96%,116,831,+0.16
2024,0,48119,Ben Taylor,14.13%,104,736,+0.12
2024,0,33448,Justin Thomas,14.13%,116,821,+0.02
2024,0,29725,Tony Finau,14.14%,139,983,-0.09
2024,0,54421,Garrick Higgo,14.20%,122,859,+0.04
2024,0,27349,Alex Noren,14.23%,118,829,-0.05
2024,0,40250,Taylor Pendrith,14.27%,139,974,-0.06
2024,0,60004,Jacob Bridgeman,14.34%,118,823,E
2024,0,33968,Thorbjørn Olesen,14.34%,77,537,-0.05
2024,0,27649,Brandt Snedeker,14.37%,103,717,+0.19
2024,0,52514,Trace Crowe,14.46%,105,726,+0.04
2024,0,52215,Robert MacIntyre,14.48%,125,863,-0.02
2024,0,45522,Christiaan Bezuidenhout,14.61%,146,999,+0.16
2024,0,59095,Chris Gotterup,14.67%,130,886,-0.08
2024,0,40162,Justin Lower,14.67%,167,1138,+0.02
2024,0,59143,Mac Meissner,14.67%,131,893,+0.09
2024,0,35617,Martin Trainer,14.67%,82,559,+0.05
2024,0,27936,Martin Laird,14.71%,118,802,+0.08
2024,0,39977,Max Homa,14.72%,140,951,+0.01
2024,0,32333,Kevin Tway,14.79%,92,622,+0.09
2024,0,34587,Chan Kim,14.81%,144,972,+0.01
2024,0,48699,Callum Tarren,14.83%,117,789,+0.10
2024,0,39975,Michael Kim,14.94%,128,857,+0.03
2024,0,33408,Tyson Alexander,15.02%,125,832,+0.01
2024,0,22371,Aaron Baddeley,15.05%,121,804,+0.07
2024,0,47679,Victor Perez,15.13%,125,826,+0.09
2024,0,28775,Nate Lashley,15.34%,131,854,+0.08
2024,0,59836,Pierceson Coody,15.39%,131,851,+0.01
2024,0,33399,Adam Hadwin,15.40%,152,987,+0.14
2024,0,34255,Joseph Bramlett,15.48%,152,982,-0.01
2024,0,55893,Sam Stevens,15.49%,169,1091,-0.07
2024,0,47591,Eric Cole,15.51%,205,1322,+0.11
2024,0,50188,S.H. Kim,15.52%,191,1231,+0.04
2024,0,34466,Peter Malnati,15.57%,145,931,+0.10
2024,0,27129,Luke List,15.65%,143,914,+0.13
2024,0,55454,Carl Yuan,15.69%,115,733,+0.09
2024,0,34563,Chesson Hadley,15.70%,132,841,-0.08
2024,0,29221,Webb Simpson,15.70%,106,675,+0.02
2024,0,27770,Camilo Villegas,15.70%,97,618,+0.16
2024,0,52372,Cameron Champ,15.80%,106,671,-0.02
2024,0,56149,Wilson Furr,15.82%,100,632,-0.04
2024,0,60767,Blaine Hale Jr.,15.83%,82,518,E
2024,0,33948,Byeong Hun An,16.03%,147,917,E
2024,0,35461,Beau Hossler,16.03%,175,1092,+0.02
2024,0,35506,Mackenzie Hughes,16.08%,187,1163,E
2024,0,47420,Jake Knapp,16.28%,154,946,+0.05
2024,0,60067,Joe Highsmith,16.33%,130,796,+0.14
2024,0,35450,Patrick Cantlay,16.36%,126,770,+0.03
2024,0,54783,Dylan Wu,16.48%,158,959,+0.08
2024,0,39546,Keith Mitchell,16.67%,174,1044,+0.02
2024,0,50497,Adrien Dumont de Chassart,16.86%,133,789,+0.14
2024,0,38991,Alejandro Tosti,16.92%,142,839,+0.03
2024,0,23320,Ryan Palmer,16.94%,83,490,+0.11
2024,0,29420,Billy Horschel,17.01%,157,923,+0.06
2024,0,47995,Davis Riley,17.03%,163,957,-0.04
2024,0,28420,Ryan Brehm,17.07%,106,621,-0.01
2024,0,48084,Wesley Bryan,17.08%,83,486,-0.05
2024,0,32367,Jorge Campillo,17.08%,97,568,-0.02
2024,0,57975,Harry Hall,17.30%,165,954,-0.02
2024,0,32070,Rafael Campos,17.44%,105,602,+0.02
2024,0,47806,Raul Pereda,17.48%,86,492,+0.10
2024,0,59442,Parker Coody,17.76%,116,653,E
2024,0,46113,Ryan McCormick,17.89%,112,626,+0.14
2024,0,51894,Vince Whaley,18.12%,133,734,+0.02
2024,0,27064,Jhonattan Vegas,18.25%,152,833,+0.07
2024,0,48887,Matt Wallace,18.35%,145,790,-0.01
2024,0,34374,Erik Barnes,18.54%,109,588,+0.06
2024,0,27139,David Skinns,18.55%,172,927,+0.12
2024,0,55789,Taylor Montgomery,19.52%,123,630,+0.01
2023,0,55182,Tom Kim,9.74%,103,1058,+0.08
2023,0,37455,Si Woo Kim,9.95%,119,1196,+0.08
2023,0,45609,Tyler Duncan,10.09%,111,1100,+0.10
2023,0,19803,Ryan Armour,10.15%,94,926,+0.12
2023,0,51950,Max McGreevy,10.32%,91,882,+0.21
2023,0,26596,Ryan Moore,10.40%,93,894,+0.14
2023,0,33410,Andrew Landry,10.48%,92,878,+0.11
2023,0,50493,Justin Suh,10.66%,143,1341,+0.18
2023,0,35310,Lanto Griffin,10.77%,67,622,+0.04
2023,0,31577,Tano Goya,10.85%,97,894,+0.15
2023,0,32816,Satoshi Kodaira,10.92%,65,595,+0.06
2023,0,50525,Collin Morikawa,10.96%,95,867,+0.21
2023,0,25818,Scott Piercy,10.96%,106,967,+0.04
2023,0,34256,Andrew Putnam,11.04%,137,1241,+0.13
2023,0,34098,Russell Henley,11.09%,113,1019,+0.12
2023,0,35449,Adam Long,11.12%,133,1196,+0.16
2023,0,40058,Zac Blair,11.23%,98,873,+0.19
2023,0,23320,Ryan Palmer,11.26%,101,897,+0.03
2023,0,31557,Jim Herman,11.32%,98,866,+0.06
2023,0,12716,Charley Hoffman,11.42%,90,788,+0.02
2023,0,46414,Aaron Rai,11.49%,139,1210,+0.09
2023,0,27936,Martin Laird,11.50%,108,939,+0.09
2023,0,32640,Troy Merritt,11.55%,112,970,+0.12
2023,0,49960,Sepp Straka,11.59%,124,1070,+0.01
2023,0,45522,Christiaan Bezuidenhout,11.66%,128,1098,+0.02
2023,0,47988,Nick Hardy,11.75%,144,1226,+0.06
2023,0,51890,Greyson Sigg,11.81%,146,1236,+0.05
2023,0,30927,Brendon Todd,11.97%,144,1203,+0.13
2023,0,51997,Andrew Novak,12.03%,113,939,+0.03
2023,0,40115,Adam Svensson,12.09%,174,1439,+0.09
2023,0,34363,Tyrrell Hatton,12.10%,111,917,-0.02
2023,0,33122,Russell Knox,12.11%,141,1164,+0.11
2023,0,24140,Sean O'Hair,12.12%,52,429,-0.08
2023,0,22056,Cameron Percy,12.14%,75,618,-0.01
2023,0,39997,Corey Conners,12.20%,128,1049,E
2023,0,32139,Danny Willett,12.21%,90,737,+0.12
2023,0,52513,Carson Young,12.22%,127,1039,+0.09
2023,0,36801,Mark Hubbard,12.23%,151,1235,+0.06
2023,0,31560,Brian Stuard,12.28%,85,692,+0.07
2023,0,39058,Lucas Herbert,12.29%,81,659,+0.11
2023,0,49771,J.T. Poston,12.44%,148,1190,+0.03
2023,0,35532,Tom Hoge,12.45%,147,1181,+0.01
2023,0,46717,Viktor Hovland,12.45%,121,972,-0.02
2023,0,33204,Shane Lowry,12.48%,97,777,+0.13
2023,0,35450,Patrick Cantlay,12.49%,108,865,-0.01
2023,0,52374,Brandon Wu,12.53%,147,1173,+0.10
2023,0,57362,Austin Eckroat,12.54%,124,989,+0.15
2023,0,28089,Jason Day,12.56%,111,884,E
2023,0,26476,Chez Reavie,12.68%,151,1191,+0.12
2023,0,28252,Seamus Power,12.72%,115,904,+0.10
2023,0,32448,James Hahn,12.76%,121,948,+0.02
2023,0,27644,Brian Harman,12.76%,140,1097,+0.04
2023,0,34099,Harris English,12.83%,145,1130,+0.13
2023,0,24024,Zach Johnson,12.90%,100,775,+0.20
2023,0,46442,Maverick McNealy,12.93%,86,665,+0.15
2023,0,47983,Chad Ramey,12.96%,161,1242,+0.06
2023,0,39324,J.J. Spaun,12.99%,151,1162,+0.08
2023,0,49947,Taylor Moore,13.03%,145,1113,+0.06
2023,0,51070,Vincent Norrman,13.03%,117,898,+0.13
2023,0,39977,Max Homa,13.10%,140,1069,+0.04
2023,0,33413,Ben Martin,13.10%,144,1099,+0.01
2023,0,39971,Sungjae Im,13.12%,156,1189,+0.02
2023,0,30692,Scott Stallings,13.12%,122,930,+0.03
2023,0,24925,Jonathan Byrd,13.14%,67,510,+0.06
2023,0,52375,Doug Ghim,13.15%,135,1027,+0.03
2023,0,47504,Sam Burns,13.21%,133,1007,+0.14
2023,0,25900,Lucas Glover,13.35%,149,1116,-0.01
2023,0,34610,Matthias Schwab,13.35%,149,1116,+0.07
2023,0,55708,Hayden Buckley,13.36%,121,906,+0.13
2023,0,52372,Cameron Champ,13.39%,109,814,+0.03
2023,0,33399,Adam Hadwin,13.42%,151,1125,+0.13
2023,0,23108,Matt Kuchar,13.44%,148,1101,+0.10
2023,0,51414,Brent Grant,13.51%,107,792,+0.17
2023,0,54628,Lee Hodges,13.54%,167,1233,+0.10
2023,0,32839,Hideki Matsuyama,13.55%,132,974,+0.01
2023,0,35901,Paul Haley II,13.56%,129,951,+0.14
2023,0,52955,Ludvig Åberg,13.58%,85,626,-0.01
2023,0,27349,Alex Noren,13.66%,137,1003,+0.09
2023,0,25632,Jimmy Walker,13.67%,140,1024,+0.08
2023,0,29420,Billy Horschel,13.72%,100,729,+0.07
2023,0,47993,Denny McCarthy,13.76%,167,1214,+0.12
2023,0,27963,Chris Stroud,13.76%,78,567,+0.05
2023,0,45242,Kevin Yu,13.77%,91,661,+0.05
2023,0,39546,Keith Mitchell,13.78%,141,1023,+0.11
2023,0,32366,Kevin Chappell,13.85%,68,491,-0.09
2023,0,55789,Taylor Montgomery,13.86%,162,1169,-0.02
2023,0,32757,Patton Kizzire,13.91%,159,1143,+0.06
2023,0,53165,Doc Redman,13.99%,130,929,+0.08
2023,0,25493,Nick Taylor,14.00%,145,1036,-0.03
2023,0,29725,Tony Finau,14.07%,141,1002,+0.08
2023,0,29535,Brice Garnett,14.07%,123,874,+0.09
2023,0,29908,C.T. Pan,14.07%,76,540,+0.03
2023,0,56762,Will Gordon,14.10%,173,1227,+0.07
2023,0,36871,Matt NeSmith,14.14%,165,1167,+0.08
2023,0,22371,Aaron Baddeley,14.18%,116,818,-0.04
2023,0,36724,Augusto Núñez,14.20%,112,789,E
2023,0,27214,Kevin Streelman,14.22%,167,1174,+0.01
2023,0,32102,Rickie Fowler,14.23%,159,1117,+0.07
2023,0,46340,Alex Smalley,14.23%,183,1286,+0.01
2023,0,51349,Nico Echavarria,14.25%,107,751,+0.02
2023,0,30911,Tommy Fleetwood,14.27%,122,855,+0.08
2023,0,34076,Joel Dahmen,14.36%,145,1010,+0.02
2023,0,24502,Adam Scott,14.40%,104,722,E
2023,0,31323,Gary Woodland,14.40%,145,1007,+0.01
2023,0,29221,Webb Simpson,14.42%,106,735,+0.10
2023,0,50095,Austin Smotherman,14.43%,162,1123,+0.12
2023,0,47995,Davis Riley,14.46%,151,1044,+0.09
2023,0,59018,Ryan Gerard,14.50%,97,669,-0.05
2023,0,37338,Zecheng Dou,14.60%,153,1048,+0.09
2023,0,33448,Justin Thomas,14.67%,136,927,-0.04
2023,0,57366,Cameron Young,14.70%,137,932,+0.18
2023,0,54591,Ben Griffin,14.75%,181,1227,-0.01
2023,0,36326,David Lipsky,14.80%,166,1122,+0.10
2023,0,58168,Davis Thompson,14.80%,178,1203,+0.11
2023,0,33141,Keegan Bradley,14.81%,138,932,+0.09
2023,0,37275,Sam Ryder,14.82%,181,1221,+0.13
2023,0,51766,Wyndham Clark,14.83%,172,1160,-0.06
2023,0,46435,Austin Cook,14.88%,115,773,+0.07
2023,0,56630,Akshay Bhatia,14.89%,120,806,+0.11
2023,0,45157,Cam Davis,14.92%,164,1099,+0.01
2023,0,28775,Nate Lashley,14.92%,174,1166,+0.01
2023,0,54421,Garrick Higgo,14.93%,185,1239,+0.01
2023,0,50188,S.H. Kim,14.95%,200,1338,-0.04
2023,0,49298,Kramer Hickok,14.99%,162,1081,+0.04
2023,0,34409,David Lingmerth,15.07%,123,816,+0.12
2023,0,25686,Jason Dufner,15.08%,144,955,+0.12
2023,0,31202,William McGirt,15.12%,78,516,+0.13
2023,0,40162,Justin Lower,15.13%,169,1117,+0.11
2023,0,47347,Adam Schenk,15.23%,206,1353,+0.04
2023,0,33948,Byeong Hun An,15.26%,184,1206,+0.01
2023,0,54783,Dylan Wu,15.27%,166,1087,+0.04
2023,0,32662,Michael Gligic,15.37%,109,709,+0.10
2023,0,30163,Henrik Norlander,15.39%,145,942,+0.08
2023,0,33408,Tyson Alexander,15.45%,148,958,+0.07
2023,0,34255,Joseph Bramlett,15.45%,142,919,+0.05
2023,0,34046,Jordan Spieth,15.45%,133,861,+0.05
2023,0,31646,Emiliano Grillo,15.47%,188,1215,+0.10
2023,0,52453,Nicolai Hojgaard,15.47%,71,459,+0.07
2023,0,39067,MJ Daffue,15.53%,159,1024,+0.01
2023,0,51491,Brandon Matthews,15.58%,86,552,+0.15
2023,0,46441,Robby Shelton,15.60%,178,1141,+0.03
2023,0,39975,Michael Kim,15.78%,149,944,+0.10
2023,0,35879,Kelly Kraft,15.78%,160,1014,+0.09
2023,0,39335,Kevin Roy,15.82%,115,727,E
2023,0,47079,Harrison Endycott,15.96%,150,940,+0.15
2023,0,29970,Dylan Frittelli,15.96%,125,783,+0.20
2023,0,22405,Justin Rose,16.04%,119,742,+0.03
2023,0,55893,Sam Stevens,16.07%,183,1139,-0.02
2023,0,48117,Kurt Kitayama,16.09%,122,758,+0.19
2023,0,46970,Jon Rahm,16.09%,134,833,+0.05
2023,0,58696,Peter Kuest,16.11%,87,540,-0.10
2023,0,33653,Thomas Detry,16.16%,149,922,+0.05
2023,0,40006,Erik van Rooyen,16.25%,125,769,+0.14
2023,0,35461,Beau Hossler,16.28%,198,1216,-0.01
2023,0,30926,Chris Kirk,16.38%,173,1056,+0.02
2023,0,48081,Xander Schauffele,16.39%,140,854,+0.11
2023,0,36699,Patrick Rodgers,16.41%,189,1152,+0.07
2023,0,39954,Cody Gribble,16.42%,113,688,+0.08
2023,0,36799,Stephan Jaeger,16.47%,243,1475,-0.01
2023,0,34563,Chesson Hadley,16.57%,178,1074,-0.02
2023,0,35506,Mackenzie Hughes,16.72%,163,975,E
2023,0,32333,Kevin Tway,16.74%,183,1093,+0.07
2023,0,27974,Sung Kang,16.78%,72,429,+0.04
2023,0,29289,S.Y. Noh,16.80%,106,631,+0.08
2023,0,33597,Harry Higgs,16.87%,137,812,+0.18
2023,0,52411,Kyle Westmoreland,16.95%,131,773,+0.10
2023,0,32791,K.H. Lee,17.03%,194,1139,E
2023,0,49766,Hank Lebioda,17.04%,98,575,+0.17
2023,0,20229,Stewart Cink,17.07%,154,902,+0.10
2023,0,48699,Callum Tarren,17.09%,193,1129,-0.01
2023,0,40098,Matt Fitzpatrick,17.12%,150,876,+0.02
2023,0,51634,Sahith Theegala,17.13%,203,1185,-0.01
2023,0,58967,Trevor Werbylo,17.19%,137,797,+0.12
2023,0,27554,Scott Harrington,17.39%,136,782,-0.01
2023,0,48887,Matt Wallace,17.42%,158,907,+0.03
2023,0,55454,Carl Yuan,17.46%,165,945,+0.15
2023,0,28237,Rory McIlroy,17.63%,141,800,-0.03
2023,0,27129,Luke List,17.71%,203,1146,+0.06
2023,0,48867,Matti Schmid,17.77%,126,709,-0.02
2023,0,40250,Taylor Pendrith,18.01%,199,1105,+0.06
2023,0,47128,Richy Werenski,18.06%,179,991,+0.11
2023,0,48119,Ben Taylor,18.14%,209,1152,-0.03
2023,0,49453,Trevor Cone,18.18%,156,858,-0.03
2023,0,46601,Trey Mullinax,18.37%,167,909,+0.03
2023,0,35617,Martin Trainer,18.74%,98,523,+0.04
2023,0,46046,Scottie Scheffler,18.75%,192,1024,-0.03
2023,0,34466,Peter Malnati,18.76%,197,1050,+0.02
2023,0,34431,Robert Streb,18.84%,162,860,+0.05
2023,0,48084,Wesley Bryan,18.90%,79,418,+0.01
2023,0,27095,Nick Watney,18.97%,140,738,+0.08
2023,0,57975,Harry Hall,19.02%,191,1004,+0.05
2023,0,47591,Eric Cole,19.65%,295,1501,-0.04
2023,0,28420,Ryan Brehm,20.48%,188,918,+0.10
2022,0,45526,Abraham Ancer,7.79,50,642,+0.10
2022,0,27936,Martin Laird,8.75,74,846,+0.18
2022,0,32816,Satoshi Kodaira,8.8,50,568,+0.22
2022,0,24138,Ian Poulter,8.8,46,523,+0.04
2022,0,31560,Brian Stuard,9.27,88,949,+0.15
2022,0,33122,Russell Knox,9.46,102,1078,+0.12
2022,0,36801,Mark Hubbard,9.54,72,755,+0.06
2022,0,27214,Kevin Streelman,9.68,107,1105,-0.05
2022,0,29974,Branden Grace,9.69,63,650,+0.13
2022,0,27349,Alex Noren,9.82,70,713,+0.06
2022,0,19803,Ryan Armour,9.86,50,507,+0.34
2022,0,34256,Andrew Putnam,9.89,111,1122,+0.11
2022,0,37455,Si Woo Kim,9.92,115,1159,+0.16
2022,0,49298,Kramer Hickok,9.93,101,1017,+0.04
2022,0,48081,Xander Schauffele,9.94,84,845,-0.01
2022,0,39324,J.J. Spaun,10.08,107,1061,+0.12
2022,0,23108,Matt Kuchar,10.19,90,883,+0.01
2022,0,26476,Chez Reavie,10.27,106,1032,+0.20
2022,0,45609,Tyler Duncan,10.28,92,895,+0.12
2022,0,32150,Michael Thompson,10.36,106,1023,+0.16
2022,0,30978,Kiradech Aphibarnrat,10.38,54,520,+0.13
2022,0,30927,Brendon Todd,10.42,101,969,+0.03
2022,0,32662,Michael Gligic,10.43,82,786,+0.05
2022,0,32839,Hideki Matsuyama,10.53,87,826,+0.03
2022,0,32640,Troy Merritt,10.58,114,1077,+0.22
2022,0,55708,Hayden Buckley,10.59,113,1067,+0.25
2022,0,31420,Anirban Lahiri,10.61,91,858,+0.11
2022,0,35532,Tom Hoge,10.62,112,1055,+0.10
2022,0,25900,Lucas Glover,10.82,127,1174,+0.13
2022,0,24024,Zach Johnson,10.92,83,760,+0.13
2022,0,49766,Hank Lebioda,10.93,102,933,+0.08
2022,0,23621,Rory Sabbatini,10.94,76,695,+0.20
2022,0,46970,Jon Rahm,10.99,90,819,-0.01
2022,0,52374,Brandon Wu,11.05,82,742,+0.11
2022,0,21961,Charles Howell III,11.06,72,651,+0.13
2022,0,47983,Chad Ramey,11.18,85,760,+0.13
2022,0,39953,Chase Seiffert,11.2,57,509,+0.07
2022,0,56278,Matthew Wolff,11.2,58,518,+0.12
2022,0,25818,Scott Piercy,11.3,104,920,+0.11
2022,0,40098,Matt Fitzpatrick,11.33,81,715,+0.05
2022,0,26851,Marc Leishman,11.33,102,900,-0.01
2022,0,34264,Hudson Swafford,11.38,75,659,+0.01
2022,0,22405,Justin Rose,11.42,66,578,+0.12
2022,0,48822,Sebastián Muñoz,11.45,112,978,+0.16
2022,0,34098,Russell Henley,11.5,101,878,+0.01
2022,0,39997,Corey Conners,11.55,120,1039,+0.03
2022,0,32102,Rickie Fowler,11.58,96,829,+0.09
2022,0,12716,Charley Hoffman,11.69,99,847,+0.09
2022,0,49960,Sepp Straka,11.7,123,1051,+0.07
2022,0,39971,Sungjae Im,11.73,126,1074,-0.06
2022,0,51997,Andrew Novak,11.75,90,766,+0.06
2022,0,35879,Kelly Kraft,11.78,92,781,+0.16
2022,0,46442,Maverick McNealy,11.81,126,1067,-0.01
2022,0,36326,David Lipsky,11.85,121,1021,+0.15
2022,0,27644,Brian Harman,11.87,128,1078,+0.08
2022,0,31557,Jim Herman,11.97,71,593,+0.13
2022,0,40162,Justin Lower,11.99,89,742,+0.17
2022,0,29420,Billy Horschel,12.0,96,800,+0.05
2022,0,50525,Collin Morikawa,12.07,84,696,+0.02
2022,0,47993,Denny McCarthy,12.15,146,1202,+0.05
2022,0,29478,Kevin Kisner,12.17,93,764,+0.14
2022,0,46435,Austin Cook,12.18,89,731,+0.15
2022,0,25198,Francesco Molinari,12.2,71,582,+0.14
2022,0,29518,Brendan Steele,12.2,105,861,+0.07
2022,0,39546,Keith Mitchell,12.21,128,1048,+0.01
2022,0,37275,Sam Ryder,12.21,132,1081,+0.06
2022,0,33486,Roger Sloan,12.23,103,842,+0.08
2022,0,34076,Joel Dahmen,12.24,129,1054,+0.17
2022,0,39977,Max Homa,12.26,126,1028,-0.01
2022,0,51890,Greyson Sigg,12.3,122,992,+0.13
2022,0,35310,Lanto Griffin,12.33,115,933,+0.02
2022,0,29535,Brice Garnett,12.34,103,835,+0.17
2022,0,31646,Emiliano Grillo,12.38,119,961,-0.02
2022,0,52375,Doug Ghim,12.4,123,992,+0.12
2022,0,46402,Talor Gooch,12.4,95,766,-0.03
2022,0,27974,Sung Kang,12.44,105,844,-0.03
2022,0,32139,Danny Willett,12.44,75,603,+0.11
