YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
2024,0,34098,Russell Henley,2.90%,7,241,97.1
2024,0,48081,Xander Schauffele,3.28%,10,305,96.72
2024,0,27214,Kevin Streelman,4.60%,12,261,95.4
2024,0,31646,Emiliano Grillo,4.68%,16,342,95.32
2024,0,47679,Victor Perez,4.84%,14,289,95.16
2024,0,34466,Peter Malnati,5.35%,17,318,94.65
2024,0,35506,Mackenzie Hughes,5.43%,22,405,94.57
2024,0,23108,Matt Kuchar,5.45%,17,312,94.55
2024,0,34256,Andrew Putnam,5.56%,21,378,94.44
2024,0,33968,Thorbjørn Olesen,5.59%,10,179,94.41
2024,0,45522,Christiaan Bezuidenhout,5.67%,16,282,94.33
2024,0,51997,Andrew Novak,5.73%,18,314,94.27
2024,0,33448,Justin Thomas,5.75%,13,226,94.25
2024,0,27644,Brian Harman,5.76%,19,330,94.24
2024,0,37455,Si Woo Kim,5.86%,18,307,94.14
2024,0,52215,Robert MacIntyre,5.86%,18,307,94.14
2024,0,59836,Pierceson Coody,5.88%,17,289,94.12
2024,0,47993,Denny McCarthy,5.88%,21,357,94.12
2024,0,45609,Tyler Duncan,5.92%,18,304,94.08
2024,0,50095,Austin Smotherman,5.99%,10,167,94.01
2024,0,55789,Taylor Montgomery,6.03%,12,199,93.97
2024,0,39975,Michael Kim,6.08%,18,296,93.92
2024,0,37378,Min Woo Lee,6.16%,17,276,93.84
2024,0,51766,Wyndham Clark,6.17%,15,243,93.83
2024,0,24502,Adam Scott,6.19%,18,291,93.81
2024,0,47504,Sam Burns,6.23%,16,257,93.77
2024,0,51894,Vince Whaley,6.23%,16,257,93.77
2024,0,48119,Ben Taylor,6.30%,16,254,93.7
2024,0,46717,Viktor Hovland,6.31%,14,222,93.69
2024,0,54421,Garrick Higgo,6.40%,19,297,93.6
2024,0,47995,Davis Riley,6.44%,21,326,93.56
2024,0,29908,C.T. Pan,6.54%,17,260,93.46
2024,0,25900,Lucas Glover,6.64%,20,301,93.36
2024,0,22371,Aaron Baddeley,6.67%,17,255,93.33
2024,0,28237,Rory McIlroy,6.67%,19,285,93.33
2024,0,27139,David Skinns,6.71%,21,313,93.29
2024,0,56630,Akshay Bhatia,6.74%,23,341,93.26
2024,0,46046,Scottie Scheffler,6.75%,16,237,93.25
2024,0,39997,Corey Conners,6.76%,25,370,93.24
2024,0,39324,J.J. Spaun,6.76%,23,340,93.24
2024,0,28089,Jason Day,6.77%,17,251,93.23
2024,0,49771,J.T. Poston,6.80%,24,353,93.2
2024,0,34563,Chesson Hadley,6.84%,21,307,93.16
2024,0,35450,Patrick Cantlay,6.87%,16,233,93.13
2024,0,35461,Beau Hossler,6.91%,25,362,93.09
2024,0,51977,Max Greyserman,6.95%,21,302,93.05
2024,0,39327,Ben Silverman,7.01%,23,328,92.99
2024,0,47591,Eric Cole,7.05%,26,369,92.95
2024,0,49960,Sepp Straka,7.07%,20,283,92.93
2024,0,48084,Wesley Bryan,7.14%,11,154,92.86
2024,0,59143,Mac Meissner,7.14%,21,294,92.86
2024,0,34046,Jordan Spieth,7.17%,20,279,92.83
2024,0,46414,Aaron Rai,7.18%,27,376,92.82
2024,0,29221,Webb Simpson,7.18%,15,209,92.82
2024,0,49947,Taylor Moore,7.23%,30,415,92.77
2024,0,50525,Collin Morikawa,7.23%,18,249,92.77
2024,0,32333,Kevin Tway,7.23%,17,235,92.77
2024,0,30911,Tommy Fleetwood,7.24%,22,304,92.76
2024,0,30927,Brendon Todd,7.33%,28,382,92.67
2024,0,52372,Cameron Champ,7.34%,19,259,92.66
2024,0,45157,Cam Davis,7.37%,23,312,92.63
2024,0,33653,Thomas Detry,7.37%,21,285,92.63
2024,0,34099,Harris English,7.39%,28,379,92.61
2024,0,48153,Matthieu Pavon,7.39%,19,257,92.61
2024,0,40250,Taylor Pendrith,7.43%,24,323,92.57
2024,0,46442,Maverick McNealy,7.51%,26,346,92.49
2024,0,52514,Trace Crowe,7.54%,15,199,92.46
2024,0,35532,Tom Hoge,7.60%,25,329,92.4
2024,0,54591,Ben Griffin,7.62%,31,407,92.38
2024,0,29936,Ryan Fox,7.69%,24,312,92.31
2024,0,52375,Doug Ghim,7.76%,28,361,92.24
2024,0,33204,Shane Lowry,7.77%,22,283,92.23
2024,0,33408,Tyson Alexander,7.79%,25,321,92.21
2024,0,27349,Alex Noren,7.89%,24,304,92.11
2024,0,55182,Tom Kim,7.90%,23,291,92.1
2024,0,50188,S.H. Kim,7.93%,34,429,92.07
2024,0,54576,Patrick Fishburn,7.94%,25,315,92.06
2024,0,36801,Mark Hubbard,7.96%,34,427,92.04
2024,0,36699,Patrick Rodgers,7.96%,32,402,92.04
2024,0,51634,Sahith Theegala,7.97%,31,389,92.03
2024,0,57900,Chandler Phillips,7.99%,23,288,92.01
2024,0,39971,Sungjae Im,8.00%,26,325,92.0
2024,0,33141,Keegan Bradley,8.08%,24,297,91.92
2024,0,57975,Harry Hall,8.09%,22,272,91.91
2024,0,40026,Daniel Berger,8.10%,23,284,91.9
2024,0,36799,Stephan Jaeger,8.14%,25,307,91.86
2024,0,29725,Tony Finau,8.15%,26,319,91.85
2024,0,52955,Ludvig Åberg,8.22%,24,292,91.78
2024,0,40098,Matt Fitzpatrick,8.22%,24,292,91.78
2024,0,37212,Paul Barjon,8.33%,19,228,91.67
2024,0,34021,Bud Cauley,8.33%,19,228,91.67
2024,0,40162,Justin Lower,8.37%,34,406,91.63
2024,0,59442,Parker Coody,8.46%,17,201,91.54
2024,0,57362,Austin Eckroat,8.46%,27,319,91.54
