YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
2024,1,0,47663,Kevin Dougherty,307.9,211866,688
2024,2,0,33948,Byeong Hun An,307.7,284934,926
2024,3,0,38991,Alejandro Tosti,305.9,258158,844
2024,4,0,28237,Rory McIlroy,305.5,263926,864
2024,5,0,40250,Taylor Pendrith,305.4,301149,986
2024,6,0,52372,Cameron Champ,305.3,205744,674
2024,6,0,51766,Wyndham Clark,305.3,263795,864
2024,8,0,37378,Min Woo Lee,304.4,248387,816
2024,9,0,39546,Keith Mitchell,303.1,318902,1052
2024,10,0,52955,Ludvig Åberg,302.9,279897,924
2024,11,0,57366,Cameron Young,302.5,304955,1008
2024,12,0,29936,Ryan Fox,302.3,287206,950
2024,13,0,56149,Wilson Furr,302.2,191583,634
2024,14,0,59095,Chris Gotterup,302.0,274529,909
2024,15,0,34255,Joseph Bramlett,301.6,300372,996
2024,15,0,29725,Tony Finau,301.6,297985,988
2024,15,0,24502,Adam Scott,301.6,260616,864
2024,15,0,55893,Sam Stevens,301.6,332336,1102
2024,19,0,36799,Stephan Jaeger,301.3,305490,1014
2024,20,0,50484,Hayden Springer,301.2,233158,774
2024,21,0,47504,Sam Burns,301.0,278718,926
2024,21,0,27064,Jhonattan Vegas,301.0,252844,840
2024,23,0,46717,Viktor Hovland,300.9,219045,728
2024,24,0,59836,Pierceson Coody,300.8,259326,862
2024,25,0,37212,Paul Barjon,300.6,183366,610
2024,26,0,46046,Scottie Scheffler,300.4,260789,868
2024,26,0,34046,Jordan Spieth,300.4,264943,882
2024,28,0,51977,Max Greyserman,300.3,264005,879
2024,29,0,51070,Vincent Norrman,300.2,192420,641
2024,30,0,48081,Xander Schauffele,300.1,287492,958
2024,30,0,33448,Justin Thomas,300.1,248442,828
2024,30,0,40006,Erik van Rooyen,300.1,292907,976
2024,33,0,54576,Patrick Fishburn,299.8,232037,774
2024,34,0,54421,Garrick Higgo,299.6,261848,874
2024,35,0,27129,Luke List,299.5,275582,920
2024,36,0,35450,Patrick Cantlay,299.3,231655,774
2024,37,0,28420,Ryan Brehm,299.0,189562,634
2024,37,0,51634,Sahith Theegala,299.0,353414,1182
2024,39,0,36699,Patrick Rodgers,298.8,369309,1236
2024,40,0,55454,Carl Yuan,298.6,222761,746
2024,41,0,52453,Nicolai Højgaard,298.5,185637,622
2024,42,0,60767,Blaine Hale Jr.,298.4,156962,526
2024,43,0,48117,Kurt Kitayama,298.2,289816,972
2024,44,0,48699,Callum Tarren,298.0,239031,802
2024,44,0,45242,Kevin Yu,298.0,273001,916
2024,46,0,46113,Ryan McCormick,297.8,193572,650
2024,47,0,51696,Rico Hoey,297.7,275707,926
2024,47,0,31323,Gary Woodland,297.7,295962,994
2024,49,0,47988,Nick Hardy,297.6,316061,1062
2024,50,0,52215,Robert MacIntyre,297.3,258073,868
2024,50,0,49947,Taylor Moore,297.3,363270,1222
2024,52,0,47420,Jake Knapp,297.1,285204,960
2024,53,0,46340,Alex Smalley,296.8,243358,820
2024,54,0,39997,Corey Conners,296.7,323975,1092
2024,54,0,59866,Nick Dunlap,296.7,264652,892
2024,54,0,58168,Davis Thompson,296.7,328149,1106
2024,57,0,56630,Akshay Bhatia,296.6,326805,1102
2024,57,0,33141,Keegan Bradley,296.6,295374,996
2024,57,0,48084,Wesley Bryan,296.6,145335,490
2024,57,0,32366,Kevin Chappell,296.6,169045,570
2024,61,0,47995,Davis Riley,296.3,287413,970
2024,62,0,28089,Jason Day,295.9,245035,828
2024,63,0,50497,Adrien Dumont de Chassart,295.8,237803,804
2024,63,0,32333,Kevin Tway,295.8,185763,628
2024,65,0,39975,Michael Kim,295.7,257809,872
2024,65,0,48867,Matti Schmid,295.7,257293,870
2024,67,0,51894,Vince Whaley,295.6,221136,748
2024,68,0,32070,Rafael Campos,295.4,179610,608
2024,69,0,60067,Joe Highsmith,295.3,237421,804
2024,70,0,52514,Trace Crowe,295.2,216675,734
2024,70,0,33653,Thomas Detry,295.2,264500,896
2024,70,0,30926,Chris Kirk,295.2,278080,942
2024,73,0,45157,Cam Davis,295.1,296328,1004
2024,74,0,57975,Harry Hall,295.0,288535,978
2024,75,0,12716,Charley Hoffman,294.9,248287,842
2024,76,0,35461,Beau Hossler,294.6,322935,1096
2024,77,0,34563,Chesson Hadley,294.5,249115,846
2024,77,0,47483,Will Zalatoris,294.5,240303,816
2024,79,0,39977,Max Homa,294.4,283244,962
2024,80,0,32839,Hideki Matsuyama,294.3,263101,894
2024,81,0,48153,Matthieu Pavon,293.9,217499,740
2024,82,0,34374,Erik Barnes,293.8,178336,607
2024,82,0,39971,Sungjae Im,293.8,323232,1100
2024,84,0,57362,Austin Eckroat,293.7,318966,1086
2024,84,0,35310,Lanto Griffin,293.7,236152,804
2024,86,0,33408,Tyson Alexander,293.5,248271,846
2024,86,0,39324,J.J. Spaun,293.5,296424,1010
2024,88,0,60004,Jacob Bridgeman,293.4,244082,832
2024,88,0,29420,Billy Horschel,293.4,272307,928
2024,90,0,50188,S.H. Kim,293.3,365498,1246
2024,90,0,46442,Maverick McNealy,293.3,321717,1097
2024,92,0,33399,Adam Hadwin,293.2,290309,990
2024,93,0,47347,Adam Schenk,293.1,331180,1130
2024,94,0,40098,Matt Fitzpatrick,292.9,254235,868
2024,94,0,51997,Andrew Novak,292.9,309908,1058
2024,96,0,50095,Austin Smotherman,292.8,154573,528
2024,96,0,35617,Martin Trainer,292.8,166328,568
2024,98,0,33968,Thorbjørn Olesen,292.7,160380,548
2024,99,0,59442,Parker Coody,292.6,193713,662
2024,99,0,45609,Tyler Duncan,292.6,228209,780
2024,99,0,30911,Tommy Fleetwood,292.6,262173,896
2024,102,0,33204,Shane Lowry,292.5,249783,854
2024,103,0,34587,Chan Kim,292.2,285775,978
2024,103,0,32757,Patton Kizzire,292.2,215650,738
2024,103,0,23320,Ryan Palmer,292.2,143773,492
2024,106,0,37455,Si Woo Kim,292.0,316544,1084
2024,106,0,34466,Peter Malnati,292.0,275635,944
2024,108,0,34099,Harris English,291.9,318752,1092
2024,109,0,47591,Eric Cole,291.7,389653,1336
2024,109,0,32791,K.H. Lee,291.7,273323,937
2024,109,0,48887,Matt Wallace,291.7,234555,804
2024,112,0,35506,Mackenzie Hughes,291.6,339960,1166
2024,112,0,50525,Collin Morikawa,291.6,280499,962
2024,114,0,48319,Tom Whitney,291.3,201585,692
2024,115,0,27330,Josh Teater,291.2,153189,526
2024,116,0,35532,Tom Hoge,291.0,369050,1268
2024,117,0,47679,Victor Perez,290.9,243215,836
2024,118,0,55182,Tom Kim,290.6,292957,1008
2024,118,0,59143,Mac Meissner,290.6,260921,898
2024,118,0,22405,Justin Rose,290.6,216185,744
2024,118,0,50493,Justin Suh,290.6,249891,860
2024,122,0,34021,Bud Cauley,290.5,205644,708
2024,123,0,32102,Rickie Fowler,290.4,275875,950
2024,123,0,52666,Sami Valimaki,290.4,227692,784
2024,125,0,55708,Hayden Buckley,290.2,242061,834
2024,126,0,40026,Daniel Berger,290.1,241905,834
2024,127,0,27139,David Skinns,289.9,271965,938
2024,127,0,49960,Sepp Straka,289.9,267843,924
2024,129,0,27349,Alex Noren,289.8,241095,832
2024,129,0,49771,J.T. Poston,289.8,313547,1082
2024,129,0,33486,Roger Sloan,289.8,216160,746
2024,132,0,34076,Joel Dahmen,289.5,292934,1012
2024,132,0,48119,Ben Taylor,289.5,217133,750
2024,134,0,51349,Nico Echavarria,289.4,281325,972
2024,134,0,51287,Ryo Hisatsune,289.4,279520,966
2024,134,0,27214,Kevin Streelman,289.4,229759,794
2024,137,0,52375,Doug Ghim,289.3,315381,1090
2024,138,0,27644,Brian Harman,289.1,319195,1104
2024,139,0,40115,Adam Svensson,289.0,402241,1392
2024,140,0,28252,Seamus Power,288.9,357642,1238
2024,141,0,54591,Ben Griffin,288.7,363226,1258
2024,142,0,57900,Chandler Phillips,288.6,297831,1032
2024,142,0,46414,Aaron Rai,288.6,298986,1036
2024,144,0,54783,Dylan Wu,288.3,279108,968
2024,145,0,36801,Mark Hubbard,288.1,350850,1218
2024,145,0,52513,Carson Young,288.1,294454,1022
2024,147,0,47983,Chad Ramey,288.0,274180,952
