YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
2024,0,47993,Denny McCarthy,46.3
2024,0,35506,Mackenzie Hughes,50.0
2024,0,48081,Xander Schauffele,52.2
2024,0,45522,Christiaan Bezuidenhout,68.8
2024,0,55789,Taylor Montgomery,71.4
2024,0,47504,Sam Burns,77.7
2024,0,34256,Andrew Putnam,80.5
2024,0,33653,Thomas Detry,81.8
2024,0,34098,Russell Henley,85.2
2024,0,28089,Jason Day,87.5
2024,0,47995,Davis Riley,87.9
2024,0,30927,Brendon Todd,88.7
2024,0,51766,Wyndham Clark,89.1
2024,0,34466,Peter Malnati,93.7
2024,0,39327,Ben Silverman,94.3
2024,0,56630,Akshay Bhatia,96.7
2024,0,35461,Beau Hossler,100.2
2024,0,22371,Aaron Baddeley,103.7
2024,0,40250,Taylor Pendrith,103.8
2024,0,51977,Max Greyserman,105.1
2024,0,46442,Maverick McNealy,108.0
2024,0,27644,Brian Harman,108.3
2024,0,52215,Robert MacIntyre,108.3
2024,0,60004,Jacob Bridgeman,108.8
2024,0,31646,Emiliano Grillo,110.6
2024,0,23108,Matt Kuchar,112.0
2024,0,49771,J.T. Poston,113.1
2024,0,47591,Eric Cole,113.2
2024,0,50188,S.H. Kim,113.5
2024,0,24502,Adam Scott,114.8
2024,0,40098,Matt Fitzpatrick,115.0
2024,0,59836,Pierceson Coody,116.1
2024,0,34563,Chesson Hadley,118.8
2024,0,57900,Chandler Phillips,120.5
2024,0,52372,Cameron Champ,120.8
2024,0,29420,Billy Horschel,120.8
2024,0,28237,Rory McIlroy,127.3
2024,0,51894,Vince Whaley,129.5
2024,0,35450,Patrick Cantlay,129.9
2024,0,50525,Collin Morikawa,130.6
2024,0,34099,Harris English,131.6
2024,0,47983,Chad Ramey,133.5
2024,0,46717,Viktor Hovland,136.8
2024,0,39971,Sungjae Im,137.0
2024,0,49960,Sepp Straka,140.1
2024,0,50493,Justin Suh,142.5
2024,0,29908,C.T. Pan,146.2
2024,0,40162,Justin Lower,150.4
2024,0,51634,Sahith Theegala,151.9
2024,0,33968,Thorbjørn Olesen,152.8
2024,0,40006,Erik van Rooyen,154.7
2024,0,30911,Tommy Fleetwood,156.5
2024,0,33408,Tyson Alexander,159.4
2024,0,49947,Taylor Moore,159.9
2024,0,47679,Victor Perez,160.3
2024,0,57975,Harry Hall,161.3
2024,0,35532,Tom Hoge,161.3
2024,0,54591,Ben Griffin,163.6
2024,0,47347,Adam Schenk,163.7
2024,0,48153,Matthieu Pavon,163.8
2024,0,48119,Ben Taylor,164.2
2024,0,46046,Scottie Scheffler,168.3
2024,0,48867,Matti Schmid,168.5
2024,0,22405,Justin Rose,173.0
2024,0,35617,Martin Trainer,173.8
2024,0,52955,Ludvig Åberg,174.9
2024,0,24024,Zach Johnson,175.5
2024,0,29936,Ryan Fox,175.8
2024,0,37378,Min Woo Lee,177.2
2024,0,39975,Michael Kim,177.3
2024,0,36699,Patrick Rodgers,178.8
2024,0,39997,Corey Conners,180.3
2024,0,39977,Max Homa,180.5
2024,0,32102,Rickie Fowler,180.7
2024,0,27936,Martin Laird,181.9
2024,0,51997,Andrew Novak,184.0
2024,0,28252,Seamus Power,184.3
2024,0,54421,Garrick Higgo,184.5
2024,0,46414,Aaron Rai,184.7
2024,0,45157,Cam Davis,185.1
2024,0,36801,Mark Hubbard,187.8
2024,0,32791,K.H. Lee,189.1
2024,0,33948,Byeong Hun An,189.8
2024,0,33399,Adam Hadwin,191.1
2024,0,59866,Nick Dunlap,192.5
2024,0,55893,Sam Stevens,193.8
2024,0,46113,Ryan McCormick,197.2
2024,0,52514,Trace Crowe,198.3
2024,0,54576,Patrick Fishburn,198.3
2024,0,27214,Kevin Streelman,198.3
2024,0,27349,Alex Noren,198.8
2024,0,54783,Dylan Wu,199.7
2024,0,32839,Hideki Matsuyama,202.5
2024,0,55182,Tom Kim,203.3
2024,0,33204,Shane Lowry,203.7
2024,0,33448,Justin Thomas,204.0
2024,0,39324,J.J. Spaun,204.3
2024,0,50095,Austin Smotherman,206.8
2024,0,36799,Stephan Jaeger,206.9
2024,0,46441,Robby Shelton,206.9
2024,0,51349,Nico Echavarria,207.2
2024,0,51287,Ryo Hisatsune,207.8
2024,0,56149,Wilson Furr,208.5
2024,0,52666,Sami Valimaki,210.5
2024,0,33141,Keegan Bradley,210.9
2024,0,37455,Si Woo Kim,211.8
2024,0,27139,David Skinns,212.1
2024,0,58168,Davis Thompson,213.3
2024,0,34046,Jordan Spieth,213.9
2024,0,45609,Tyler Duncan,214.9
2024,0,50484,Hayden Springer,215.8
2024,0,59095,Chris Gotterup,217.4
2024,0,52513,Carson Young,219.8
2024,0,59143,Mac Meissner,220.2
2024,0,25900,Lucas Glover,220.6
2024,0,33486,Roger Sloan,222.7
2024,0,25493,Nick Taylor,224.9
2024,0,32333,Kevin Tway,225.6
2024,0,48084,Wesley Bryan,225.9
2024,0,32367,Jorge Campillo,227.8
2024,0,29478,Kevin Kisner,228.4
2024,0,52375,Doug Ghim,232.9
2024,0,27129,Luke List,236.2
2024,0,28775,Nate Lashley,236.3
2024,0,47806,Raul Pereda,236.9
2024,0,47420,Jake Knapp,237.8
2024,0,37212,Paul Barjon,239.6
2024,0,54628,Lee Hodges,240.8
2024,0,30163,Henrik Norlander,240.8
2024,0,29725,Tony Finau,241.1
2024,0,57362,Austin Eckroat,241.3
2024,0,47988,Nick Hardy,242.6
2024,0,48887,Matt Wallace,244.0
2024,0,34374,Erik Barnes,245.7
2024,0,27649,Brandt Snedeker,245.9
2024,0,32366,Kevin Chappell,246.3
2024,0,59442,Parker Coody,246.4
2024,0,35310,Lanto Griffin,246.8
2024,0,34021,Bud Cauley,249.3
2024,0,32757,Patton Kizzire,252.0
2024,0,40058,Zac Blair,256.1
2024,0,36871,Matt NeSmith,258.1
2024,0,50497,Adrien Dumont de Chassart,259.3
2024,0,52374,Brandon Wu,262.5
2024,0,30926,Chris Kirk,264.2
2024,0,57366,Cameron Young,264.2
2024,0,52453,Nicolai Højgaard,266.0
2024,0,29221,Webb Simpson,266.1
2024,0,60067,Joe Highsmith,267.7
2024,0,37275,Sam Ryder,269.7
2024,0,36884,Ben Kohles,270.4
2024,0,26476,Chez Reavie,270.9
2024,0,31323,Gary Woodland,273.5
2024,0,28420,Ryan Brehm,276.3
2024,0,12716,Charley Hoffman,277.8
2024,0,47483,Will Zalatoris,282.2
2024,0,40026,Daniel Berger,282.3
2024,0,48117,Kurt Kitayama,282.4
2024,0,45242,Kevin Yu,283.1
2024,0,23320,Ryan Palmer,286.2
2024,0,39546,Keith Mitchell,287.3
2024,0,40115,Adam Svensson,287.7
2024,0,27064,Jhonattan Vegas,288.5
2024,0,29535,Brice Garnett,289.1
2024,0,51696,Rico Hoey,293.8
2024,0,60767,Blaine Hale Jr.,295.2
2024,0,55708,Hayden Buckley,298.2
2024,0,46340,Alex Smalley,303.1
2024,0,32640,Troy Merritt,305.8
2024,0,38991,Alejandro Tosti,306.2
2024,0,34587,Chan Kim,308.2
2024,0,32070,Rafael Campos,311.7
