YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
2024,1,0,46717,Viktor Hovland,"40' 0""",120.083,3,53,"25' 2"""
2024,2,0,60767,Blaine Hale Jr.,"35' 3""",105.75,3,62,"15' 1"""
2024,3,0,27139,David Skinns,"34' 3""",137.0,4,77,"5' 3"""
2024,4,0,33399,Adam Hadwin,"31' 5""",125.5,4,54,"3' 5"""
2024,5,0,50095,Austin Smotherman,"30' 7""",122.333,4,53,"2' 10"""
2024,6,0,28775,Nate Lashley,"29' 9""",208.5,7,79,"11' 6"""
2024,7,0,12716,Charley Hoffman,"29' 5""",117.75,4,47,"16' 9"""
2024,8,0,29420,Billy Horschel,"28' 10""",86.417,3,48,"4' 1"""
2024,9,0,48319,Tom Whitney,"27' 2""",54.333,2,45,"9' 6"""
2024,10,0,40026,Daniel Berger,"27' 1""",54.083,2,42,"12' 1"""
2024,11,0,46113,Ryan McCormick,"25' 11""",103.667,4,45,"4' 0"""
2024,11,0,28237,Rory McIlroy,"25' 11""",129.667,5,51,"9' 2"""
2024,13,0,52374,Brandon Wu,"25' 10""",129.083,5,48,"9' 4"""
2024,14,0,36884,Ben Kohles,"25' 7""",76.75,3,54,"11' 0"""
2024,15,0,46441,Robby Shelton,"25' 6""",51.0,2,26,"24' 11"""
2024,16,0,29936,Ryan Fox,"25' 5""",152.25,6,89,"2' 4"""
2024,16,0,30927,Brendon Todd,"25' 5""",126.917,5,51,"6' 0"""
2024,18,0,27330,Josh Teater,"25' 3""",75.667,3,34,"12' 3"""
2024,19,0,47591,Eric Cole,"24' 4""",194.333,8,52,"7' 11"""
2024,20,0,48153,Matthieu Pavon,"23' 10""",214.667,9,48,"4' 5"""
2024,21,0,33204,Shane Lowry,"23' 7""",94.167,4,57,"3' 0"""
2024,22,0,49960,Sepp Straka,"23' 5""",46.833,2,26,"20' 9"""
2024,23,0,39975,Michael Kim,"23' 4""",46.667,2,43,"3' 11"""
2024,24,0,59143,Mac Meissner,"23' 1""",138.5,6,45,"8' 11"""
2024,25,0,36326,David Lipsky,"21' 11""",87.667,4,34,"6' 3"""
2024,26,0,34255,Joseph Bramlett,"21' 10""",174.667,8,40,"6' 0"""
2024,26,0,30163,Henrik Norlander,"21' 10""",65.5,3,44,"6' 6"""
2024,28,0,47679,Victor Perez,"21' 7""",107.917,5,40,"10' 9"""
2024,29,0,22371,Aaron Baddeley,"21' 4""",42.667,2,34,"8' 11"""
2024,30,0,35506,Mackenzie Hughes,"20' 9""",187.083,9,67,"5' 6"""
2024,30,0,40250,Taylor Pendrith,"20' 9""",83.0,4,49,"6' 2"""
2024,32,0,55182,Tom Kim,"20' 6""",143.75,7,33,"3' 3"""
2024,33,0,54783,Dylan Wu,"20' 2""",20.167,1,20,"20' 2"""
2024,34,0,33968,Thorbjørn Olesen,"20' 1""",40.083,2,29,"11' 2"""
2024,35,0,51766,Wyndham Clark,"20' 0""",279.667,14,45,"3' 4"""
2024,35,0,32791,K.H. Lee,"20' 0""",239.667,12,46,"5' 3"""
2024,35,0,47347,Adam Schenk,"20' 0""",139.917,7,47,"8' 10"""
2024,35,0,55893,Sam Stevens,"20' 0""",100.083,5,35,"6' 0"""
2024,39,0,27214,Kevin Streelman,"19' 11""",99.5,5,32,"10' 7"""
2024,40,0,51287,Ryo Hisatsune,"19' 10""",118.75,6,48,"3' 0"""
2024,41,0,32070,Rafael Campos,"19' 9""",39.5,2,20,"19' 1"""
2024,41,0,51696,Rico Hoey,"19' 9""",157.667,8,38,"9' 0"""
2024,41,0,37275,Sam Ryder,"19' 9""",79.083,4,28,"4' 6"""
2024,44,0,34563,Chesson Hadley,"19' 5""",135.667,7,34,"6' 6"""
2024,44,0,27644,Brian Harman,"19' 5""",136.0,7,46,"4' 7"""
2024,46,0,54591,Ben Griffin,"19' 3""",192.667,10,57,"2' 10"""
2024,46,0,52215,Robert MacIntyre,"19' 3""",134.833,7,43,"6' 1"""
2024,48,0,55789,Taylor Montgomery,"19' 1""",57.25,3,29,"14' 4"""
2024,48,0,48699,Callum Tarren,"19' 1""",171.75,9,39,"3' 5"""
2024,50,0,34256,Andrew Putnam,"19' 0""",19.0,1,19,"19' 0"""
2024,51,0,35450,Patrick Cantlay,"18' 9""",112.417,6,47,"7' 7"""
2024,52,0,45242,Kevin Yu,"18' 7""",92.917,5,40,"5' 9"""
2024,53,0,34098,Russell Henley,"18' 6""",55.583,3,20,"15' 3"""
2024,54,0,36871,Matt NeSmith,"18' 4""",146.917,8,45,"8' 4"""
2024,55,0,32333,Kevin Tway,"18' 1""",144.417,8,75,"1' 10"""
2024,56,0,48867,Matti Schmid,"18' 0""",143.833,8,53,"4' 5"""
2024,57,0,24502,Adam Scott,"17' 10""",107.0,6,43,"3' 0"""
2024,58,0,48084,Wesley Bryan,"17' 8""",70.667,4,30,"6' 4"""
2024,58,0,30911,Tommy Fleetwood,"17' 8""",88.417,5,42,"3' 9"""
2024,58,0,35532,Tom Hoge,"17' 8""",141.167,8,45,"2' 9"""
2024,61,0,39997,Corey Conners,"17' 7""",211.417,12,63,"4' 8"""
2024,61,0,22405,Justin Rose,"17' 7""",70.25,4,33,"3' 2"""
2024,63,0,39977,Max Homa,"17' 5""",52.333,3,39,"4' 9"""
2024,64,0,52375,Doug Ghim,"17' 2""",120.417,7,42,"2' 3"""
2024,64,0,32839,Hideki Matsuyama,"17' 2""",51.417,3,32,"4' 3"""
2024,66,0,46414,Aaron Rai,"17' 1""",119.417,7,36,"6' 2"""
2024,67,0,51997,Andrew Novak,"16' 11""",101.417,6,39,"5' 10"""
2024,67,0,36699,Patrick Rodgers,"16' 11""",50.833,3,26,"11' 10"""
2024,69,0,40098,Matt Fitzpatrick,"16' 10""",100.917,6,32,"2' 4"""
2024,69,0,39971,Sungjae Im,"16' 10""",50.417,3,26,"8' 10"""
2024,71,0,34046,Jordan Spieth,"16' 9""",66.833,4,40,"7' 4"""
2024,71,0,27770,Camilo Villegas,"16' 9""",33.417,2,28,"5' 0"""
2024,73,0,34587,Chan Kim,"16' 8""",66.583,4,42,"5' 6"""
2024,74,0,55708,Hayden Buckley,"16' 7""",66.25,4,25,"9' 5"""
2024,74,0,59836,Pierceson Coody,"16' 7""",66.167,4,31,"6' 1"""
2024,76,0,49771,J.T. Poston,"16' 6""",98.75,6,45,"3' 5"""
2024,77,0,33141,Keegan Bradley,"16' 4""",98.083,6,27,"5' 11"""
2024,77,0,36801,Mark Hubbard,"16' 4""",114.583,7,28,"2' 1"""
2024,79,0,54421,Garrick Higgo,"16' 3""",65.0,4,33,"4' 4"""
2024,79,0,47806,Raul Pereda,"16' 3""",64.917,4,30,"4' 7"""
2024,81,0,37212,Paul Barjon,"16' 1""",144.5,9,46,"2' 9"""
2024,82,0,52955,Ludvig Åberg,"16' 0""",208.25,13,34,"1' 7"""
2024,83,0,47995,Davis Riley,"15' 11""",95.25,6,42,"7' 1"""
2024,84,0,58168,Davis Thompson,"15' 9""",94.583,6,48,"2' 0"""
2024,85,0,51349,Nico Echavarria,"15' 8""",109.917,7,35,"2' 8"""
2024,85,0,32640,Troy Merritt,"15' 8""",78.417,5,21,"5' 8"""
2024,87,0,30926,Chris Kirk,"15' 6""",15.5,1,16,"15' 6"""
2024,87,0,28252,Seamus Power,"15' 6""",155.167,10,47,"3' 2"""
2024,89,0,32366,Kevin Chappell,"15' 3""",91.667,6,53,"6"""
2024,89,0,52666,Sami Valimaki,"15' 3""",137.5,9,37,"4' 2"""
2024,89,0,31323,Gary Woodland,"15' 3""",76.167,5,44,"3' 2"""
2024,92,0,25900,Lucas Glover,"15' 2""",60.583,4,30,"8' 9"""
2024,93,0,34099,Harris English,"14' 11""",134.583,9,37,"3' 8"""
2024,94,0,34466,Peter Malnati,"14' 9""",73.583,5,25,"6' 3"""
2024,95,0,27129,Luke List,"14' 8""",175.5,12,51,"8"""
2024,96,0,47504,Sam Burns,"14' 7""",145.917,10,30,"4' 1"""
2024,96,0,37455,Si Woo Kim,"14' 7""",116.583,8,32,"5"""
2024,98,0,32367,Jorge Campillo,"14' 4""",100.417,7,32,"11"""
2024,98,0,25493,Nick Taylor,"14' 4""",43.0,3,21,"6' 1"""
2024,100,0,51894,Vince Whaley,"14' 3""",42.833,3,24,"9' 6"""
2024,101,0,45609,Tyler Duncan,"14' 2""",56.667,4,34,"4' 9"""
2024,101,0,35461,Beau Hossler,"14' 2""",56.5,4,31,"2' 0"""
2024,101,0,39546,Keith Mitchell,"14' 2""",113.25,8,47,"1' 8"""
2024,104,0,46046,Scottie Scheffler,"14' 1""",56.167,4,24,"7' 9"""
2024,105,0,27936,Martin Laird,"14' 0""",27.917,2,17,"10' 8"""
2024,105,0,48887,Matt Wallace,"14' 0""",139.833,10,26,"1' 3"""
2024,107,0,46442,Maverick McNealy,"13' 10""",96.667,7,41,"3' 11"""
2024,107,0,57900,Chandler Phillips,"13' 10""",69.083,5,35,"2' 1"""
2024,109,0,47420,Jake Knapp,"13' 5""",120.917,9,34,"3' 11"""
2024,110,0,50484,Hayden Springer,"13' 4""",106.75,8,24,"4' 4"""
2024,111,0,28089,Jason Day,"13' 2""",39.417,3,24,"4' 0"""
2024,111,0,50497,Adrien Dumont de Chassart,"13' 2""",52.5,4,28,"2' 2"""
2024,111,0,51634,Sahith Theegala,"13' 2""",78.917,6,27,"5' 10"""
2024,114,0,46340,Alex Smalley,"13' 1""",65.417,5,23,"7' 1"""
2024,115,0,36799,Stephan Jaeger,"13' 0""",38.917,3,27,"2' 7"""
2024,115,0,52513,Carson Young,"13' 0""",103.917,8,21,"4' 8"""
2024,117,0,33408,Tyson Alexander,"12' 11""",77.25,6,41,"1' 11"""
2024,118,0,29478,Kevin Kisner,"12' 9""",38.333,3,23,"6' 7"""
2024,118,0,48081,Xander Schauffele,"12' 9""",101.833,8,41,"2' 5"""
2024,120,0,47663,Kevin Dougherty,"12' 8""",76.0,6,20,"9' 3"""
2024,121,0,39324,J.J. Spaun,"12' 5""",87.0,7,27,"5' 11"""
2024,122,0,48117,Kurt Kitayama,"12' 4""",74.167,6,41,"2' 7"""
2024,123,0,59442,Parker Coody,"12' 3""",61.417,5,24,"4' 2"""
2024,124,0,55454,Carl Yuan,"12' 1""",84.75,7,25,"3' 2"""
2024,125,0,40115,Adam Svensson,"12' 0""",119.917,10,31,"8"""
2024,126,0,60067,Joe Highsmith,"11' 11""",35.667,3,25,"11"""
2024,127,0,59866,Nick Dunlap,"11' 9""",35.167,3,23,"3' 1"""
2024,127,0,51977,Max Greyserman,"11' 9""",94.25,8,23,"6' 2"""
2024,129,0,57975,Harry Hall,"11' 5""",91.0,8,21,"4' 9"""
2024,130,0,34076,Joel Dahmen,"11' 4""",33.917,3,18,"1' 5"""
2024,131,0,33948,Byeong Hun An,"10' 10""",97.833,9,17,"4' 2"""
2024,131,0,31646,Emiliano Grillo,"10' 10""",43.167,4,17,"5' 1"""
2024,133,0,56149,Wilson Furr,"10' 9""",53.917,5,21,"2' 9"""
2024,134,0,39327,Ben Silverman,"10' 8""",74.583,7,19,"5' 6"""
2024,135,0,54628,Lee Hodges,"10' 7""",42.25,4,16,"5' 9"""
2024,135,0,40006,Erik van Rooyen,"10' 7""",105.75,10,20,"1' 10"""
2024,137,0,50525,Collin Morikawa,"10' 5""",20.833,2,18,"3' 0"""
2024,137,0,27064,Jhonattan Vegas,"10' 5""",83.583,8,30,"2' 2"""
2024,139,0,52372,Cameron Champ,"10' 2""",91.25,9,19,"2' 2"""
2024,139,0,47983,Chad Ramey,"10' 2""",40.667,4,14,"5' 7"""
2024,141,0,57366,Cameron Young,"10' 1""",121.333,12,27,"10"""
2024,142,0,56630,Akshay Bhatia,"10' 0""",50.0,5,29,"2' 11"""
2024,142,0,29725,Tony Finau,"10' 0""",59.917,6,22,"3' 11"""
2024,142,0,48119,Ben Taylor,"10' 0""",20.0,2,10,"9' 10"""
2024,145,0,45157,Cam Davis,"9' 11""",19.75,2,16,"3' 10"""
2024,146,0,38991,Alejandro Tosti,"9' 9""",58.333,6,18,"2' 4"""
