YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
2024,0,55789,Taylor Montgomery,26.63,506,19
2024,0,50525,Collin Morikawa,27.48,577,21
2024,0,35506,Mackenzie Hughes,27.62,718,26
2024,0,35450,Patrick Cantlay,27.94,475,17
2024,0,47504,Sam Burns,27.95,559,20
2024,0,33408,Tyson Alexander,27.96,727,26
2024,0,35461,Beau Hossler,27.96,699,25
2024,0,45157,Cam Davis,28.0,616,22
2024,0,48081,Xander Schauffele,28.0,560,20
2024,0,30927,Brendon Todd,28.0,784,28
2024,0,28089,Jason Day,28.05,533,19
2024,0,33448,Justin Thomas,28.11,534,19
2024,0,51977,Max Greyserman,28.13,647,23
2024,0,46717,Viktor Hovland,28.13,450,16
2024,0,33653,Thomas Detry,28.16,535,19
2024,0,28237,Rory McIlroy,28.22,508,18
2024,0,47993,Denny McCarthy,28.33,680,24
2024,0,36801,Mark Hubbard,28.37,766,27
2024,0,27349,Alex Noren,28.37,539,19
2024,0,60004,Jacob Bridgeman,28.38,681,24
2024,0,57975,Harry Hall,28.39,653,23
2024,0,46442,Maverick McNealy,28.42,739,26
2024,0,46441,Robby Shelton,28.42,682,24
2024,0,57900,Chandler Phillips,28.44,711,25
2024,0,35532,Tom Hoge,28.46,797,28
2024,0,22371,Aaron Baddeley,28.48,655,23
2024,0,59866,Nick Dunlap,28.48,598,21
2024,0,25493,Nick Taylor,28.48,712,25
2024,0,29420,Billy Horschel,28.52,599,21
2024,0,54783,Dylan Wu,28.52,713,25
2024,0,51766,Wyndham Clark,28.55,571,20
2024,0,39977,Max Homa,28.55,628,22
2024,0,55182,Tom Kim,28.55,628,22
2024,0,29221,Webb Simpson,28.56,457,16
2024,0,48119,Ben Taylor,28.56,714,25
2024,0,49947,Taylor Moore,28.61,801,28
2024,0,27214,Kevin Streelman,28.61,658,23
2024,0,55893,Sam Stevens,28.63,773,27
2024,0,34099,Harris English,28.65,745,26
2024,0,40098,Matt Fitzpatrick,28.65,573,20
2024,0,50188,S.H. Kim,28.65,888,31
2024,0,37455,Si Woo Kim,28.67,688,24
2024,0,49771,J.T. Poston,28.67,688,24
2024,0,39971,Sungjae Im,28.68,717,25
2024,0,33486,Roger Sloan,28.68,631,22
2024,0,47591,Eric Cole,28.72,919,32
2024,0,33204,Shane Lowry,28.72,517,18
2024,0,34046,Jordan Spieth,28.73,632,22
2024,0,29936,Ryan Fox,28.74,661,23
2024,0,22405,Justin Rose,28.74,546,19
2024,0,52955,Ludvig Åberg,28.75,575,20
2024,0,59836,Pierceson Coody,28.8,720,25
2024,0,33948,Byeong Hun An,28.81,605,21
2024,0,49960,Sepp Straka,28.83,663,23
2024,0,32333,Kevin Tway,28.83,519,18
2024,0,50493,Justin Suh,28.85,750,26
2024,0,34374,Erik Barnes,28.86,606,21
2024,0,40250,Taylor Pendrith,28.86,635,22
2024,0,36699,Patrick Rodgers,28.86,837,29
2024,0,39327,Ben Silverman,28.86,635,22
2024,0,23320,Ryan Palmer,28.87,433,15
2024,0,48084,Wesley Bryan,28.88,491,17
2024,0,57362,Austin Eckroat,28.88,722,25
2024,0,23108,Matt Kuchar,28.88,693,24
2024,0,51349,Nico Echavarria,28.89,809,28
2024,0,34098,Russell Henley,28.89,549,19
2024,0,12716,Charley Hoffman,28.9,607,21
2024,0,35617,Martin Trainer,28.9,578,20
2024,0,28775,Nate Lashley,28.92,723,25
2024,0,39975,Michael Kim,28.93,781,27
2024,0,24024,Zach Johnson,28.94,463,16
2024,0,52666,Sami Valimaki,28.95,608,21
2024,0,27644,Brian Harman,28.96,666,23
2024,0,59442,Parker Coody,29.0,551,19
2024,0,52514,Trace Crowe,29.0,638,22
2024,0,30911,Tommy Fleetwood,29.0,551,19
2024,0,51696,Rico Hoey,29.0,725,25
2024,0,32839,Hideki Matsuyama,29.0,580,20
2024,0,24502,Adam Scott,29.0,551,19
2024,0,48887,Matt Wallace,29.0,551,19
2024,0,56630,Akshay Bhatia,29.04,726,25
2024,0,60067,Joe Highsmith,29.04,668,23
2024,0,32791,K.H. Lee,29.04,784,27
2024,0,34466,Peter Malnati,29.04,755,26
2024,0,45522,Christiaan Bezuidenhout,29.05,639,22
2024,0,57366,Cameron Young,29.05,610,21
2024,0,32367,Jorge Campillo,29.06,465,16
2024,0,47983,Chad Ramey,29.07,785,27
2024,0,33141,Keegan Bradley,29.09,640,22
2024,0,52215,Robert MacIntyre,29.09,669,23
2024,0,47806,Raul Pereda,29.1,611,21
2024,0,59095,Chris Gotterup,29.13,699,24
2024,0,33968,Thorbjørn Olesen,29.13,437,15
2024,0,50497,Adrien Dumont de Chassart,29.16,729,25
2024,0,27936,Martin Laird,29.17,671,23
2024,0,51997,Andrew Novak,29.17,700,24
2024,0,46046,Scottie Scheffler,29.17,525,18
2024,0,55708,Hayden Buckley,29.19,759,26
2024,0,32640,Troy Merritt,29.19,759,26
2024,0,50484,Hayden Springer,29.22,672,23
2024,0,30926,Chris Kirk,29.23,643,22
2024,0,27139,David Skinns,29.23,760,26
2024,0,29725,Tony Finau,29.24,614,21
2024,0,40162,Justin Lower,29.24,848,29
2024,0,40006,Erik van Rooyen,29.26,673,23
2024,0,40026,Daniel Berger,29.29,703,24
2024,0,33399,Adam Hadwin,29.29,703,24
2024,0,47995,Davis Riley,29.29,703,24
2024,0,40115,Adam Svensson,29.29,908,31
2024,0,39997,Corey Conners,29.32,645,22
2024,0,55454,Carl Yuan,29.32,733,25
2024,0,34255,Joseph Bramlett,29.35,763,26
2024,0,32366,Kevin Chappell,29.35,499,17
2024,0,54421,Garrick Higgo,29.35,763,26
2024,0,27129,Luke List,29.35,763,26
2024,0,46414,Aaron Rai,29.35,675,23
2024,0,32102,Rickie Fowler,29.36,646,22
2024,0,54591,Ben Griffin,29.36,969,33
2024,0,59143,Mac Meissner,29.36,646,22
2024,0,39546,Keith Mitchell,29.36,734,25
2024,0,30163,Henrik Norlander,29.37,558,19
2024,0,31646,Emiliano Grillo,29.39,676,23
2024,0,25900,Lucas Glover,29.41,794,27
2024,0,38991,Alejandro Tosti,29.44,736,25
2024,0,56149,Wilson Furr,29.45,648,22
2024,0,51634,Sahith Theegala,29.48,737,25
2024,0,36799,Stephan Jaeger,29.5,708,24
2024,0,34563,Chesson Hadley,29.52,679,23
2024,0,47679,Victor Perez,29.52,620,21
2024,0,52374,Brandon Wu,29.52,797,27
2024,0,54628,Lee Hodges,29.54,827,28
2024,0,47347,Adam Schenk,29.57,887,30
2024,0,40058,Zac Blair,29.58,769,26
2024,0,34587,Chan Kim,29.58,710,24
2024,0,27770,Camilo Villegas,29.58,710,24
2024,0,34076,Joel Dahmen,29.59,799,27
2024,0,46113,Ryan McCormick,29.59,651,22
2024,0,58168,Davis Thompson,29.6,740,25
2024,0,48153,Matthieu Pavon,29.61,533,18
2024,0,29478,Kevin Kisner,29.62,622,21
2024,0,45609,Tyler Duncan,29.63,711,24
2024,0,48117,Kurt Kitayama,29.64,652,22
2024,0,36326,David Lipsky,29.64,741,25
2024,0,48867,Matti Schmid,29.64,741,25
2024,0,51894,Vince Whaley,29.64,652,22
2024,0,32070,Rafael Campos,29.65,682,23
2024,0,34021,Bud Cauley,29.65,504,17
2024,0,32757,Patton Kizzire,29.67,623,21
2024,0,26596,Ryan Moore,29.71,713,24
2024,0,52375,Doug Ghim,29.74,803,27
2024,0,34256,Andrew Putnam,29.75,714,24
2024,0,45242,Kevin Yu,29.75,714,24
2024,0,47483,Will Zalatoris,29.75,595,20
2024,0,47420,Jake Knapp,29.76,625,21
2024,0,47988,Nick Hardy,29.78,804,27
2024,0,48699,Callum Tarren,29.81,775,26
2024,0,46340,Alex Smalley,29.85,806,27
2024,0,52513,Carson Young,29.85,806,27
2024,0,27064,Jhonattan Vegas,29.86,627,21
2024,0,27649,Brandt Snedeker,29.87,687,23
2024,0,52453,Nicolai Højgaard,29.88,508,17
2024,0,36884,Ben Kohles,29.89,807,27
2024,0,37378,Min Woo Lee,29.89,538,18
2024,0,52372,Cameron Champ,29.91,688,23
2024,0,28252,Seamus Power,29.93,838,28
2024,0,50095,Austin Smotherman,29.93,449,15
2024,0,60767,Blaine Hale Jr.,29.95,629,21
2024,0,29908,C.T. Pan,29.95,629,21
2024,0,37275,Sam Ryder,29.96,779,26
2024,0,31323,Gary Woodland,30.04,751,25
2024,0,51287,Ryo Hisatsune,30.08,782,26
2024,0,47663,Kevin Dougherty,30.09,692,23
2024,0,39324,J.J. Spaun,30.15,784,26
2024,0,54576,Patrick Fishburn,30.17,694,23
2024,0,48319,Tom Whitney,30.17,724,24
2024,0,27330,Josh Teater,30.18,664,22
2024,0,26476,Chez Reavie,30.24,756,25
2024,0,37212,Paul Barjon,30.25,726,24
2024,0,36871,Matt NeSmith,30.27,787,26
2024,0,28420,Ryan Brehm,30.36,759,25
2024,0,29535,Brice Garnett,30.5,488,16
2024,0,35310,Lanto Griffin,30.65,613,20
2024,0,51890,Greyson Sigg,30.77,800,26
2024,0,51070,Vincent Norrman,31.56,568,18
2023,0,55789,Taylor Montgomery,27.43,823,30
2023,0,47591,Eric Cole,27.47,989,36
2023,0,24502,Adam Scott,27.5,495,18
2023,0,52453,Nicolai Hojgaard,27.54,358,13
2023,0,47504,Sam Burns,27.79,667,24
2023,0,57975,Harry Hall,27.81,890,32
2023,0,34046,Jordan Spieth,27.81,584,21
2023,0,46717,Viktor Hovland,27.82,612,22
2023,0,28237,Rory McIlroy,27.82,473,17
2023,0,33948,Byeong Hun An,27.83,835,30
2023,0,39977,Max Homa,27.91,642,23
2023,0,34466,Peter Malnati,27.94,922,33
2023,0,50493,Justin Suh,27.97,867,31
2023,0,24140,Sean O'Hair,28.0,532,19
2023,0,37275,Sam Ryder,28.0,952,34
2023,0,22405,Justin Rose,28.05,561,20
2023,0,33597,Harry Higgs,28.07,814,29
2023,0,39058,Lucas Herbert,28.11,534,19
2023,0,39971,Sungjae Im,28.17,817,29
2023,0,30927,Brendon Todd,28.17,845,30
2023,0,34099,Harris English,28.18,789,28
2023,0,33653,Thomas Detry,28.25,791,28
2023,0,48081,Xander Schauffele,28.29,594,21
2023,0,47993,Denny McCarthy,28.32,793,28
2023,0,59018,Ryan Gerard,28.35,567,20
2023,0,32102,Rickie Fowler,28.36,709,25
2023,0,52955,Ludvig Åberg,28.38,369,13
2023,0,48084,Wesley Bryan,28.41,483,17
2023,0,36801,Mark Hubbard,28.41,1051,37
2023,0,50188,S.H. Kim,28.44,967,34
2023,0,40162,Justin Lower,28.46,996,35
2023,0,51950,Max McGreevy,28.46,996,35
2023,0,54591,Ben Griffin,28.49,997,35
2023,0,47128,Richy Werenski,28.49,997,35
2023,0,46442,Maverick McNealy,28.5,570,20
2023,0,45522,Christiaan Bezuidenhout,28.52,770,27
2023,0,40098,Matt Fitzpatrick,28.52,599,21
2023,0,39546,Keith Mitchell,28.52,770,27
2023,0,48887,Matt Wallace,28.52,770,27
2023,0,23108,Matt Kuchar,28.54,742,26
2023,0,34409,David Lingmerth,28.55,885,31
2023,0,51766,Wyndham Clark,28.56,771,27
2023,0,35461,Beau Hossler,28.56,914,32
2023,0,31577,Tano Goya,28.57,800,28
2023,0,34563,Chesson Hadley,28.57,857,30
2023,0,33399,Adam Hadwin,28.58,743,26
2023,0,46970,Jon Rahm,28.58,543,19
2023,0,29221,Webb Simpson,28.58,543,19
2023,0,36799,Stephan Jaeger,28.59,915,32
2023,0,55182,Tom Kim,28.6,715,25
2023,0,58967,Trevor Werbylo,28.62,830,29
2023,0,28089,Jason Day,28.65,659,23
2023,0,22371,Aaron Baddeley,28.67,688,24
2023,0,37455,Si Woo Kim,28.68,803,28
