YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
2024,0,48081,Xander Schauffele,70.73%,302,427
2024,0,32839,Hideki Matsuyama,68.17%,302,443
2024,0,27349,Alex Noren,67.26%,265,394
2024,0,30163,Henrik Norlander,66.96%,225,336
2024,0,46046,Scottie Scheffler,66.18%,227,343
2024,0,47993,Denny McCarthy,66.15%,387,585
2024,0,30911,Tommy Fleetwood,66.03%,276,418
2024,0,34021,Bud Cauley,65.73%,188,286
2024,0,50525,Collin Morikawa,65.45%,324,495
2024,0,46442,Maverick McNealy,65.16%,346,531
2024,0,34098,Russell Henley,65.00%,299,460
2024,0,45522,Christiaan Bezuidenhout,64.93%,337,519
2024,0,51890,Greyson Sigg,64.87%,253,390
2024,0,52215,Robert MacIntyre,64.85%,286,441
2024,0,35506,Mackenzie Hughes,64.73%,402,621
2024,0,22371,Aaron Baddeley,64.24%,309,481
2024,0,28237,Rory McIlroy,64.08%,273,426
2024,0,39327,Ben Silverman,64.05%,269,420
2024,0,34587,Chan Kim,63.98%,270,422
2024,0,28252,Seamus Power,63.96%,355,555
2024,0,52955,Ludvig Åberg,63.95%,275,430
2024,0,35450,Patrick Cantlay,63.89%,276,432
2024,0,54591,Ben Griffin,63.88%,389,609
2024,0,34099,Harris English,63.75%,364,571
2024,0,28775,Nate Lashley,63.75%,255,400
2024,0,39971,Sungjae Im,63.74%,348,546
2024,0,37455,Si Woo Kim,63.69%,349,548
2024,0,29420,Billy Horschel,63.62%,292,459
2024,0,57900,Chandler Phillips,63.44%,328,517
2024,0,46414,Aaron Rai,63.18%,278,440
2024,0,40058,Zac Blair,63.01%,310,492
2024,0,28089,Jason Day,63.00%,286,454
2024,0,55893,Sam Stevens,62.95%,333,529
2024,0,35461,Beau Hossler,62.88%,293,466
2024,0,51997,Andrew Novak,62.88%,271,431
2024,0,29908,C.T. Pan,62.87%,215,342
2024,0,48117,Kurt Kitayama,62.75%,278,443
2024,0,59143,Mac Meissner,62.72%,244,389
2024,0,22405,Justin Rose,62.53%,252,403
2024,0,57975,Harry Hall,62.40%,302,484
2024,0,52375,Doug Ghim,62.28%,279,448
2024,0,34256,Andrew Putnam,62.22%,275,442
2024,0,39977,Max Homa,62.21%,321,516
2024,0,51894,Vince Whaley,62.18%,268,431
2024,0,33448,Justin Thomas,62.17%,258,415
2024,0,51977,Max Greyserman,62.16%,271,436
