YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2024,72,0,46046,Scottie Scheffler,.70%,1,142,E
2024,74,0,35310,Lanto Griffin,.69%,1,144,E
2024,74,0,52215,Robert MacIntyre,.69%,1,144,+1.00
2024,74,0,59143,Mac Meissner,.69%,1,144,+1.00
2024,77,0,50497,Adrien Dumont de Chassart,.68%,1,148,E
2024,77,0,34098,Russell Henley,.68%,1,146,-1.00
2024,77,0,50493,Justin Suh,.68%,1,148,+1.00
2024,80,0,33408,Tyson Alexander,.67%,1,150,E
2024,81,0,29420,Billy Horschel,.66%,1,152,E
2024,81,0,46441,Robby Shelton,.66%,1,152,E
2024,81,0,51890,Greyson Sigg,.66%,1,152,+1.00
2024,84,0,27129,Luke List,.65%,1,154,+1.00
2024,84,0,49960,Sepp Straka,.65%,1,154,-1.00
2024,86,0,60004,Jacob Bridgeman,.64%,1,156,+1.00
2024,86,0,29936,Ryan Fox,.64%,1,156,E
2024,86,0,32791,K.H. Lee,.64%,1,156,E
2024,86,0,48867,Matti Schmid,.64%,1,156,+1.00
2024,86,0,39327,Ben Silverman,.64%,1,156,+1.00
2024,91,0,29725,Tony Finau,.63%,1,158,E
2024,91,0,34587,Chan Kim,.63%,1,160,-1.00
2024,91,0,48117,Kurt Kitayama,.63%,1,158,+2.00
2024,91,0,48081,Xander Schauffele,.63%,1,158,+1.00
2024,91,0,40006,Erik van Rooyen,.63%,1,158,+1.00
2024,91,0,31323,Gary Woodland,.63%,1,160,-1.00
2024,97,0,39975,Michael Kim,.62%,1,162,-1.00
2024,97,0,39546,Keith Mitchell,.62%,1,162,+1.00
2024,99,0,51696,Rico Hoey,.60%,1,168,+1.00
2024,99,0,57900,Chandler Phillips,.60%,1,166,E
2024,99,0,25493,Nick Taylor,.60%,1,166,E
2024,102,0,35461,Beau Hossler,.59%,1,170,+1.00
2024,102,0,49771,J.T. Poston,.59%,1,170,+1.00
2024,104,0,46414,Aaron Rai,.58%,1,172,E
2024,105,0,51349,Nico Echavarria,.57%,1,176,+2.00
2024,105,0,47988,Nick Hardy,.57%,1,174,E
2024,107,0,34076,Joel Dahmen,.56%,1,178,E
2024,107,0,57362,Austin Eckroat,.56%,1,180,E
2024,109,0,52375,Doug Ghim,.55%,1,182,-1.00
2024,110,0,34099,Harris English,.54%,1,186,-1.00
2024,111,0,35506,Mackenzie Hughes,.53%,1,190,+1.00
2024,112,0,40162,Justin Lower,.52%,1,194,+1.00
2024,113,0,36801,Mark Hubbard,.51%,1,198,E
2024,113,0,49947,Taylor Moore,.51%,1,198,E
2024,115,0,40115,Adam Svensson,.47%,1,214,E
2024,116,0,52955,Ludvig Åberg,.00%,0,150,E
2024,116,0,33948,Byeong Hun An,.00%,0,150,E
2024,116,0,37212,Paul Barjon,.00%,0,106,E
2024,116,0,34374,Erik Barnes,.00%,0,108,E
2024,116,0,45522,Christiaan Bezuidenhout,.00%,0,152,E
2024,116,0,33141,Keegan Bradley,.00%,0,158,E
2024,116,0,34255,Joseph Bramlett,.00%,0,168,E
2024,116,0,28420,Ryan Brehm,.00%,0,120,E
2024,116,0,55708,Hayden Buckley,.00%,0,142,E
2024,116,0,47504,Sam Burns,.00%,0,146,E
2024,116,0,34021,Bud Cauley,.00%,0,108,E
2024,116,0,52372,Cameron Champ,.00%,0,114,E
2024,116,0,32366,Kevin Chappell,.00%,0,112,E
2024,116,0,51766,Wyndham Clark,.00%,0,134,E
2024,116,0,39997,Corey Conners,.00%,0,174,E
2024,116,0,59442,Parker Coody,.00%,0,110,E
2024,116,0,59836,Pierceson Coody,.00%,0,156,E
2024,116,0,45157,Cam Davis,.00%,0,154,E
2024,116,0,28089,Jason Day,.00%,0,138,E
2024,116,0,33653,Thomas Detry,.00%,0,134,E
2024,116,0,59866,Nick Dunlap,.00%,0,134,E
2024,116,0,54576,Patrick Fishburn,.00%,0,140,E
2024,116,0,56149,Wilson Furr,.00%,0,114,E
2024,116,0,59095,Chris Gotterup,.00%,0,142,E
2024,116,0,51977,Max Greyserman,.00%,0,154,E
2024,116,0,31646,Emiliano Grillo,.00%,0,170,E
2024,116,0,34563,Chesson Hadley,.00%,0,132,E
2024,116,0,33399,Adam Hadwin,.00%,0,158,E
2024,116,0,57975,Harry Hall,.00%,0,160,E
2024,116,0,27644,Brian Harman,.00%,0,174,E
2024,116,0,54421,Garrick Higgo,.00%,0,158,E
2024,116,0,12716,Charley Hoffman,.00%,0,140,E
2024,116,0,52453,Nicolai Højgaard,.00%,0,114,E
2024,116,0,46717,Viktor Hovland,.00%,0,114,E
2024,116,0,36799,Stephan Jaeger,.00%,0,158,E
2024,116,0,24024,Zach Johnson,.00%,0,96,E
2024,116,0,47420,Jake Knapp,.00%,0,150,E
2024,116,0,36884,Ben Kohles,.00%,0,170,E
2024,116,0,28775,Nate Lashley,.00%,0,148,E
2024,116,0,33204,Shane Lowry,.00%,0,140,E
2024,116,0,34466,Peter Malnati,.00%,0,150,E
2024,116,0,32839,Hideki Matsuyama,.00%,0,148,E
2024,116,0,50525,Collin Morikawa,.00%,0,158,E
2024,116,0,27349,Alex Noren,.00%,0,138,E
2024,116,0,30163,Henrik Norlander,.00%,0,132,E
2024,116,0,51070,Vincent Norrman,.00%,0,98,E
2024,116,0,29908,C.T. Pan,.00%,0,118,E
2024,116,0,48153,Matthieu Pavon,.00%,0,126,E
2024,116,0,40250,Taylor Pendrith,.00%,0,152,E
2024,116,0,28252,Seamus Power,.00%,0,192,E
2024,116,0,47983,Chad Ramey,.00%,0,166,E
2024,116,0,47995,Davis Riley,.00%,0,146,E
2024,116,0,36699,Patrick Rodgers,.00%,0,200,E
2024,116,0,47347,Adam Schenk,.00%,0,184,E
2024,116,0,24502,Adam Scott,.00%,0,142,E
2024,116,0,29221,Webb Simpson,.00%,0,102,E
2024,116,0,34046,Jordan Spieth,.00%,0,140,E
2024,116,0,50484,Hayden Springer,.00%,0,144,E
2024,116,0,55893,Sam Stevens,.00%,0,196,E
2024,116,0,58168,Davis Thompson,.00%,0,180,E
2024,116,0,35617,Martin Trainer,.00%,0,100,E
2024,116,0,32333,Kevin Tway,.00%,0,120,E
2024,116,0,52666,Sami Valimaki,.00%,0,120,E
2024,116,0,27064,Jhonattan Vegas,.00%,0,144,E
2024,116,0,48887,Matt Wallace,.00%,0,128,E
2024,116,0,51894,Vince Whaley,.00%,0,144,E
2024,116,0,52513,Carson Young,.00%,0,172,E
2024,116,0,45242,Kevin Yu,.00%,0,146,E
2024,116,0,55454,Carl Yuan,.00%,0,128,E
2023,1,0,31560,Brian Stuard,8.90%,13,146,+0.31
2023,2,0,27974,Sung Kang,6.12%,6,98,+0.50
2023,3,0,35901,Paul Haley II,4.89%,9,184,+0.11
2023,4,0,24140,Sean O'Hair,3.85%,4,104,-0.25
2023,5,0,48887,Matt Wallace,3.57%,6,168,+1.00
2023,6,0,33122,Russell Knox,3.51%,8,228,+0.25
2023,7,0,51950,Max McGreevy,3.26%,6,184,+0.67
2023,8,0,40058,Zac Blair,3.21%,5,156,+0.40
2023,9,0,58967,Trevor Werbylo,3.01%,5,166,+0.20
2023,10,0,22405,Justin Rose,2.94%,4,136,+0.50
2023,11,0,39954,Cody Gribble,2.86%,4,140,+0.25
2023,12,0,48117,Kurt Kitayama,2.78%,4,144,+0.75
2023,13,0,30163,Henrik Norlander,2.75%,5,182,E
2023,14,0,34076,Joel Dahmen,2.72%,5,184,+0.20
2023,15,0,22371,Aaron Baddeley,2.50%,4,160,+0.50
2023,15,0,34255,Joseph Bramlett,2.50%,4,160,-0.50
2023,17,0,26596,Ryan Moore,2.41%,4,166,E
2023,18,0,46435,Austin Cook,2.35%,4,170,+0.50
2023,19,0,39997,Corey Conners,2.33%,4,172,E
2023,20,0,32839,Hideki Matsuyama,2.30%,4,174,+0.25
2023,21,0,34256,Andrew Putnam,2.25%,5,222,+0.20
2023,22,0,32139,Danny Willett,2.24%,3,134,-0.33
2023,23,0,19803,Ryan Armour,2.17%,4,184,E
2023,24,0,25493,Nick Taylor,2.15%,4,186,E
2023,25,0,48084,Wesley Bryan,2.08%,2,96,-0.50
2023,26,0,34610,Matthias Schwab,1.94%,4,206,+0.75
2023,27,0,46441,Robby Shelton,1.92%,4,208,+0.50
2023,28,0,48119,Ben Taylor,1.89%,4,212,+0.25
2023,29,0,54628,Lee Hodges,1.87%,4,214,+0.25
2023,29,0,32791,K.H. Lee,1.87%,4,214,E
2023,31,0,29725,Tony Finau,1.79%,3,168,+1.33
2023,32,0,35310,Lanto Griffin,1.75%,2,114,E
2023,33,0,27936,Martin Laird,1.70%,3,176,E
2023,33,0,34409,David Lingmerth,1.70%,3,176,-0.33
2023,35,0,24925,Jonathan Byrd,1.67%,2,120,+0.50
2023,36,0,27349,Alex Noren,1.63%,3,184,+0.33
2023,37,0,32102,Rickie Fowler,1.56%,3,192,+0.67
2023,37,0,29420,Billy Horschel,1.56%,2,128,+0.50
2023,37,0,28237,Rory McIlroy,1.56%,2,128,+0.50
2023,40,0,57975,Harry Hall,1.47%,3,204,-0.67
2023,41,0,30927,Brendon Todd,1.44%,3,208,+0.67
2023,42,0,51890,Greyson Sigg,1.43%,3,210,+0.67
2023,43,0,51634,Sahith Theegala,1.42%,3,212,+1.33
2023,44,0,34046,Jordan Spieth,1.39%,2,144,E
2023,45,0,40098,Matt Fitzpatrick,1.37%,2,146,E
2023,46,0,46340,Alex Smalley,1.34%,3,224,+1.33
2023,47,0,51349,Nico Echavarria,1.28%,2,156,E
2023,47,0,40006,Erik van Rooyen,1.28%,2,156,-0.50
2023,49,0,32448,James Hahn,1.25%,2,160,+0.50
2023,49,0,27554,Scott Harrington,1.25%,2,160,+0.50
2023,51,0,47504,Sam Burns,1.23%,2,162,E
2023,51,0,12716,Charley Hoffman,1.23%,2,162,E
2023,51,0,48081,Xander Schauffele,1.23%,2,162,E
2023,54,0,28252,Seamus Power,1.22%,2,164,-0.50
2023,55,0,31323,Gary Woodland,1.20%,2,166,-0.50
2023,56,0,47591,Eric Cole,1.19%,3,252,+0.67
2023,56,0,34098,Russell Henley,1.19%,2,168,+1.00
2023,56,0,30692,Scott Stallings,1.19%,2,168,+0.50
2023,56,0,55454,Carl Yuan,1.19%,2,168,+0.50
2023,60,0,29535,Brice Garnett,1.16%,2,172,-0.50
2023,60,0,39977,Max Homa,1.16%,2,172,E
2023,62,0,33399,Adam Hadwin,1.14%,2,176,-0.50
2023,62,0,46717,Viktor Hovland,1.14%,2,176,E
2023,64,0,45522,Christiaan Bezuidenhout,1.12%,2,178,+0.50
2023,64,0,47079,Harrison Endycott,1.12%,2,178,E
2023,66,0,52453,Nicolai Hojgaard,1.09%,1,92,-1.00
2023,66,0,32640,Troy Merritt,1.09%,2,184,+1.00
2023,66,0,49960,Sepp Straka,1.09%,2,184,E
2023,69,0,27644,Brian Harman,1.08%,2,186,E
2023,70,0,34099,Harris English,1.03%,2,194,E
2023,70,0,49298,Kramer Hickok,1.03%,2,194,+0.50
2023,72,0,57362,Austin Eckroat,1.02%,2,196,E
2023,73,0,33653,Thomas Detry,1.01%,2,198,+0.50
2023,73,0,36871,Matt NeSmith,1.01%,2,198,E
2023,73,0,47128,Richy Werenski,1.01%,2,198,E
2023,76,0,47993,Denny McCarthy,1.00%,2,200,+0.50
2023,76,0,49771,J.T. Poston,1.00%,2,200,-0.50
2023,78,0,47983,Chad Ramey,.99%,2,202,E
2023,79,0,51766,Wyndham Clark,.98%,2,204,E
2023,80,0,33413,Ben Martin,.97%,2,206,E
2023,81,0,39971,Sungjae Im,.96%,2,208,+1.00
2023,82,0,33948,Byeong Hun An,.95%,2,210,+0.50
2023,83,0,31202,William McGirt,.94%,1,106,E
2023,83,0,29908,C.T. Pan,.94%,1,106,+1.00
2023,83,0,54783,Dylan Wu,.94%,2,212,-0.50
2023,86,0,35461,Beau Hossler,.91%,2,220,+0.50
2023,87,0,37275,Sam Ryder,.90%,2,222,+0.50
2023,88,0,32366,Kevin Chappell,.89%,1,112,+1.00
2023,89,0,29221,Webb Simpson,.88%,1,114,E
2023,89,0,50493,Justin Suh,.88%,2,228,+1.00
2023,91,0,36801,Mark Hubbard,.86%,2,232,+0.50
2023,92,0,54591,Ben Griffin,.84%,2,238,E
2023,93,0,49766,Hank Lebioda,.82%,1,122,+1.00
2023,94,0,59018,Ryan Gerard,.81%,1,124,E
2023,94,0,33204,Shane Lowry,.81%,1,124,E
2023,96,0,32816,Satoshi Kodaira,.79%,1,126,E
2023,96,0,46442,Maverick McNealy,.79%,1,126,E
2023,96,0,35617,Martin Trainer,.79%,1,126,+1.00
2023,99,0,24502,Adam Scott,.74%,1,136,E
2023,100,0,46601,Trey Mullinax,.70%,1,142,E
2023,101,0,30911,Tommy Fleetwood,.68%,1,148,-1.00
2023,101,0,32662,Michael Gligic,.68%,1,146,-1.00
2023,103,0,39335,Kevin Roy,.66%,1,152,E
2023,103,0,27095,Nick Watney,.66%,1,152,+1.00
2023,105,0,31557,Jim Herman,.65%,1,154,E
2023,106,0,29970,Dylan Frittelli,.64%,1,156,E
2023,106,0,34363,Tyrrell Hatton,.64%,1,156,E
2023,108,0,28089,Jason Day,.63%,1,160,E
2023,108,0,23320,Ryan Palmer,.63%,1,158,+1.00
2023,110,0,50525,Collin Morikawa,.62%,1,162,+1.00
2023,111,0,56630,Akshay Bhatia,.60%,1,168,+1.00
2023,111,0,33597,Harry Higgs,.60%,1,168,+2.00
2023,113,0,51070,Vincent Norrman,.59%,1,170,-1.00
2023,114,0,28420,Ryan Brehm,.58%,1,172,+1.00
2023,115,0,46046,Scottie Scheffler,.57%,1,176,-1.00
2023,116,0,55182,Tom Kim,.56%,1,180,-1.00
2023,116,0,35879,Kelly Kraft,.56%,1,180,+1.00
2023,118,0,23108,Matt Kuchar,.55%,1,182,+1.00
2023,119,0,52375,Doug Ghim,.54%,1,186,+1.00
2023,119,0,30926,Chris Kirk,.54%,1,184,-1.00
2023,121,0,33408,Tyson Alexander,.53%,1,190,+1.00
2023,121,0,45609,Tyler Duncan,.53%,1,188,E
2023,121,0,34563,Chesson Hadley,.53%,1,188,-1.00
2023,121,0,34466,Peter Malnati,.53%,1,190,-1.00
2023,121,0,51997,Andrew Novak,.53%,1,190,-1.00
2023,126,0,39975,Michael Kim,.52%,1,194,E
2023,126,0,26476,Chez Reavie,.52%,1,192,+1.00
2023,128,0,48699,Callum Tarren,.51%,1,198,+2.00
2023,128,0,52513,Carson Young,.51%,1,198,E
2023,130,0,25900,Lucas Glover,.50%,1,200,+2.00
2023,130,0,32757,Patton Kizzire,.50%,1,200,E
2023,130,0,32333,Kevin Tway,.50%,1,202,E
2023,133,0,39067,MJ Daffue,.49%,1,206,-1.00
2023,133,0,36326,David Lipsky,.49%,1,206,+1.00
2023,133,0,47995,Davis Riley,.49%,1,204,E
2023,133,0,39324,J.J. Spaun,.49%,1,204,+2.00
2023,137,0,35532,Tom Hoge,.48%,1,208,E
2023,137,0,46414,Aaron Rai,.48%,1,210,E
2023,139,0,40162,Justin Lower,.46%,1,218,E
2023,140,0,50188,S.H. Kim,.45%,1,222,+1.00
2023,141,0,31646,Emiliano Grillo,.44%,1,226,E
2023,141,0,35449,Adam Long,.44%,1,226,E
2023,143,0,52374,Brandon Wu,.43%,1,230,E
2023,144,0,47347,Adam Schenk,.42%,1,238,-1.00
2023,145,0,40115,Adam Svensson,.41%,1,244,E
2023,146,0,52955,Ludvig Åberg,.00%,0,100,E
2023,146,0,33141,Keegan Bradley,.00%,0,164,E
2023,146,0,55708,Hayden Buckley,.00%,0,168,E
2023,146,0,35450,Patrick Cantlay,.00%,0,144,E
2023,146,0,52372,Cameron Champ,.00%,0,156,E
2023,146,0,20229,Stewart Cink,.00%,0,160,E
2023,146,0,49453,Trevor Cone,.00%,0,164,E
2023,146,0,45157,Cam Davis,.00%,0,182,E
2023,146,0,37338,Zecheng Dou,.00%,0,194,E
2023,146,0,25686,Jason Dufner,.00%,0,182,E
2023,146,0,56762,Will Gordon,.00%,0,222,E
2023,146,0,31577,Tano Goya,.00%,0,180,E
2023,146,0,51414,Brent Grant,.00%,0,168,E
2023,146,0,47988,Nick Hardy,.00%,0,236,E
2023,146,0,39058,Lucas Herbert,.00%,0,124,E
2023,146,0,54421,Garrick Higgo,.00%,0,206,E
2023,146,0,35506,Mackenzie Hughes,.00%,0,178,E
2023,146,0,36799,Stephan Jaeger,.00%,0,244,E
2023,146,0,24024,Zach Johnson,.00%,0,136,E
2023,146,0,37455,Si Woo Kim,.00%,0,200,E
2023,146,0,58696,Peter Kuest,.00%,0,92,E
2023,146,0,33410,Andrew Landry,.00%,0,160,E
2023,146,0,28775,Nate Lashley,.00%,0,214,E
2023,146,0,27129,Luke List,.00%,0,200,E
2023,146,0,51491,Brandon Matthews,.00%,0,118,E
2023,146,0,39546,Keith Mitchell,.00%,0,188,E
2023,146,0,55789,Taylor Montgomery,.00%,0,204,E
2023,146,0,49947,Taylor Moore,.00%,0,202,E
2023,146,0,29289,S.Y. Noh,.00%,0,136,E
2023,146,0,36724,Augusto Núñez,.00%,0,170,E
2023,146,0,40250,Taylor Pendrith,.00%,0,198,E
2023,146,0,22056,Cameron Percy,.00%,0,134,E
2023,146,0,25818,Scott Piercy,.00%,0,198,E
2023,146,0,46970,Jon Rahm,.00%,0,142,E
2023,146,0,53165,Doc Redman,.00%,0,156,E
2023,146,0,36699,Patrick Rodgers,.00%,0,204,E
2023,146,0,48867,Matti Schmid,.00%,0,158,E
2023,146,0,50095,Austin Smotherman,.00%,0,200,E
2023,146,0,55893,Sam Stevens,.00%,0,212,E
2023,146,0,34431,Robert Streb,.00%,0,162,E
2023,146,0,27214,Kevin Streelman,.00%,0,192,E
2023,146,0,27963,Chris Stroud,.00%,0,114,E
2023,146,0,33448,Justin Thomas,.00%,0,144,E
2023,146,0,58168,Davis Thompson,.00%,0,192,E
2023,146,0,25632,Jimmy Walker,.00%,0,172,E
2023,146,0,52411,Kyle Westmoreland,.00%,0,158,E
2023,146,0,57366,Cameron Young,.00%,0,172,E
2023,146,0,45242,Kevin Yu,.00%,0,142,E
2022,1,0,23983,Luke Donald,5.97,8,134,+0.50
2022,2,0,36884,Ben Kohles,4.76,6,126,+0.50
2022,3,0,23108,Matt Kuchar,4.23,6,142,+0.67
2022,4,0,19803,Ryan Armour,4.0,4,100,+0.25
2022,4,0,27895,Jonas Blixt,4.0,4,100,+0.75
2022,6,0,39953,Chase Seiffert,3.92,4,102,-0.25
2022,7,0,27770,Camilo Villegas,3.62,5,138,+0.60
2022,8,0,31560,Brian Stuard,3.37,6,178,+0.33
2022,9,0,27095,Nick Watney,3.29,5,152,E
2022,10,0,29970,Dylan Frittelli,3.23,6,186,+0.50
2022,10,0,35891,Cameron Smith,3.23,4,124,+0.50
2022,12,0,29974,Branden Grace,3.13,3,96,+0.67
2022,13,0,25686,Jason Dufner,3.0,3,100,E
2022,14,0,36801,Mark Hubbard,2.94,4,136,E
2022,14,0,36799,Stephan Jaeger,2.94,5,170,+0.80
2022,16,0,46435,Austin Cook,2.9,4,138,+0.25
2022,17,0,25198,Francesco Molinari,2.83,3,106,-0.33
2022,18,0,54421,Garrick Higgo,2.78,3,108,+1.33
2022,19,0,24925,Jonathan Byrd,2.63,3,114,E
2022,19,0,51997,Andrew Novak,2.63,4,152,+0.75
2022,21,0,30927,Brendon Todd,2.53,4,158,E
2022,22,0,45522,Christiaan Bezuidenhout,2.5,4,160,+0.75
2022,22,0,49766,Hank Lebioda,2.5,4,160,E
2022,24,0,28114,Dawie van der Walt,2.42,3,124,+0.67
2022,25,0,49298,Kramer Hickok,2.3,4,174,+0.75
2022,26,0,24138,Ian Poulter,2.27,2,88,E
2022,26,0,25493,Nick Taylor,2.27,4,176,+0.25
2022,26,0,40006,Erik van Rooyen,2.27,2,88,E
2022,29,0,54783,Dylan Wu,2.24,3,134,+1.00
2022,30,0,27644,Brian Harman,2.2,4,182,+0.50
2022,31,0,35879,Kelly Kraft,2.17,3,138,+1.00
2022,32,0,34360,Patrick Reed,2.14,3,140,E
2022,33,0,39324,J.J. Spaun,2.11,4,190,+0.25
2022,34,0,47483,Will Zalatoris,2.08,3,144,+0.33
2022,35,0,47983,Chad Ramey,2.05,3,146,+0.67
2022,36,0,30978,Kiradech Aphibarnrat,1.89,2,106,-0.50
2022,37,0,39058,Lucas Herbert,1.85,2,108,+1.00
2022,38,0,52372,Cameron Champ,1.79,2,112,E
2022,39,0,51634,Sahith Theegala,1.77,4,226,+1.00
2022,40,0,36699,Patrick Rodgers,1.76,3,170,+0.33
2022,40,0,51894,Vince Whaley,1.76,3,170,E
2022,42,0,45526,Abraham Ancer,1.72,2,116,E
2022,42,0,24361,Pat Perez,1.72,2,116,-0.50
2022,44,0,36871,Matthew NeSmith,1.7,3,176,+0.67
2022,45,0,46414,Aaron Rai,1.69,3,178,+0.33
2022,46,0,37455,Si Woo Kim,1.6,3,188,+0.33
2022,47,0,29289,S.Y. Noh,1.59,2,126,E
2022,48,0,34363,Tyrrell Hatton,1.56,2,128,+0.50
2022,48,0,24024,Zach Johnson,1.56,2,128,+0.50
2022,50,0,34466,Peter Malnati,1.52,3,198,+0.67
2022,51,0,40115,Adam Svensson,1.5,3,200,+0.67
2022,52,0,32102,Rickie Fowler,1.49,2,134,-0.50
2022,53,0,40098,Matt Fitzpatrick,1.43,2,140,E
2022,53,0,29420,Billy Horschel,1.43,2,140,-0.50
2022,55,0,32662,Michael Gligic,1.41,2,142,+1.00
2022,56,0,31420,Anirban Lahiri,1.39,2,144,+0.50
2022,57,0,52374,Brandon Wu,1.35,2,148,-1.00
2022,58,0,45486,Joaquin Niemann,1.32,2,152,-1.00
2022,59,0,34098,Russell Henley,1.28,2,156,E
2022,59,0,29908,C.T. Pan,1.28,2,156,+0.50
2022,59,0,28252,Seamus Power,1.28,2,156,-0.50
2022,62,0,47504,Sam Burns,1.25,2,160,+0.50
2022,63,0,49947,Taylor Moore,1.19,2,168,-0.50
2022,63,0,32150,Michael Thompson,1.19,2,168,E
2022,65,0,47347,Adam Schenk,1.16,2,172,+0.50
2022,66,0,32640,Troy Merritt,1.15,2,174,-1.00
2022,67,0,39971,Sungjae Im,1.14,2,176,E
2022,67,0,36326,David Lipsky,1.14,2,176,+1.50
2022,69,0,33122,Russell Knox,1.12,2,178,E
2022,69,0,47529,Mito Pereira,1.12,2,178,+1.00
2022,71,0,48084,Wesley Bryan,1.11,1,90,E
2022,71,0,32757,Patton Kizzire,1.11,2,180,+0.50
2022,71,0,34256,Andrew Putnam,1.11,2,180,+0.50
2022,74,0,36852,Jim Knous,0.98,1,102,E
2022,75,0,29926,Danny Lee,0.96,1,104,-1.00
2022,76,0,23325,Vaughn Taylor,0.94,1,106,E
2022,77,0,23621,Rory Sabbatini,0.91,1,110,+1.00
2022,78,0,24980,Scott Gutschewski,0.89,1,112,+1.00
2022,78,0,50525,Collin Morikawa,0.89,1,112,E
2022,80,0,26300,Matt Jones,0.88,1,114,E
