YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,1,0,29221,Webb Simpson,75.68%,37,28
2024,2,0,52215,Robert MacIntyre,74.51%,51,38
2024,3,0,52453,Nicolai Højgaard,73.81%,42,31
2024,4,0,27064,Jhonattan Vegas,73.08%,52,38
2024,5,0,56630,Akshay Bhatia,72.84%,81,59
2024,6,0,40006,Erik van Rooyen,72.73%,66,48
2024,7,0,32367,Jorge Campillo,72.50%,40,29
2024,7,0,52514,Trace Crowe,72.50%,40,29
2024,9,0,31646,Emiliano Grillo,71.88%,64,46
2024,10,0,48119,Ben Taylor,71.74%,46,33
2024,11,0,23108,Matt Kuchar,71.43%,63,45
2024,12,0,36799,Stephan Jaeger,71.23%,73,52
2024,13,0,52666,Sami Valimaki,71.19%,59,42
2024,14,0,27644,Brian Harman,71.01%,69,49
2024,15,0,46442,Maverick McNealy,70.37%,54,38
2024,16,0,40250,Taylor Pendrith,70.18%,57,40
2024,17,0,22371,Aaron Baddeley,70.00%,40,28
2024,17,0,48153,Matthieu Pavon,70.00%,50,35
2024,19,0,49947,Taylor Moore,69.88%,83,58
2024,20,0,34099,Harris English,69.77%,86,60
2024,21,0,32102,Rickie Fowler,69.70%,66,46
2024,22,0,39324,J.J. Spaun,69.35%,62,43
2024,23,0,49960,Sepp Straka,69.23%,52,36
2024,24,0,52375,Doug Ghim,68.75%,64,44
2024,25,0,55789,Taylor Montgomery,68.18%,44,30
2024,26,0,52374,Brandon Wu,67.92%,53,36
2024,27,0,51894,Vince Whaley,67.86%,28,19
2024,28,0,47995,Davis Riley,67.69%,65,44
2024,29,0,28237,Rory McIlroy,67.31%,52,35
2024,30,0,35506,Mackenzie Hughes,67.19%,64,43
2024,31,0,30926,Chris Kirk,67.16%,67,45
2024,32,0,39997,Corey Conners,67.11%,76,51
2024,33,0,45522,Christiaan Bezuidenhout,66.67%,63,42
2024,33,0,60004,Jacob Bridgeman,66.67%,60,40
2024,33,0,30911,Tommy Fleetwood,66.67%,51,34
