YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2024,0,46046,Scottie Scheffler,.62%,2,324
2024,0,48081,Xander Schauffele,.83%,3,360
2024,0,51894,Vince Whaley,1.01%,4,396
2024,0,47679,Victor Perez,1.06%,4,378
2024,0,35506,Mackenzie Hughes,1.07%,5,468
2024,0,51634,Sahith Theegala,1.11%,5,450
2024,0,39975,Michael Kim,1.23%,6,486
2024,0,29908,C.T. Pan,1.23%,4,324
2024,0,32333,Kevin Tway,1.23%,4,324
2024,0,50525,Collin Morikawa,1.32%,5,378
2024,0,47504,Sam Burns,1.39%,5,360
2024,0,28252,Seamus Power,1.44%,7,486
2024,0,51997,Andrew Novak,1.45%,6,414
2024,0,24502,Adam Scott,1.46%,5,342
2024,0,40250,Taylor Pendrith,1.52%,6,396
2024,0,39327,Ben Silverman,1.52%,6,396
2024,0,57362,Austin Eckroat,1.56%,7,450
2024,0,49947,Taylor Moore,1.59%,8,504
2024,0,34046,Jordan Spieth,1.59%,6,378
2024,0,52453,Nicolai Højgaard,1.63%,5,306
2024,0,36801,Mark Hubbard,1.65%,8,486
2024,0,27644,Brian Harman,1.69%,7,414
2024,0,52215,Robert MacIntyre,1.69%,7,414
2024,0,46414,Aaron Rai,1.69%,7,414
2024,0,52375,Doug Ghim,1.71%,8,468
2024,0,37275,Sam Ryder,1.71%,8,468
2024,0,47591,Eric Cole,1.74%,10,576
2024,0,32839,Hideki Matsuyama,1.75%,6,342
2024,0,56630,Akshay Bhatia,1.78%,8,450
2024,0,50188,S.H. Kim,1.79%,10,558
2024,0,60004,Jacob Bridgeman,1.85%,8,432
2024,0,45609,Tyler Duncan,1.85%,8,432
2024,0,47420,Jake Knapp,1.85%,7,378
2024,0,28237,Rory McIlroy,1.85%,6,324
2024,0,31646,Emiliano Grillo,1.93%,8,414
2024,0,57975,Harry Hall,1.93%,8,414
2024,0,27936,Martin Laird,1.93%,8,414
2024,0,47483,Will Zalatoris,1.94%,7,360
2024,0,46442,Maverick McNealy,2.00%,9,450
2024,0,45157,Cam Davis,2.02%,8,396
2024,0,28089,Jason Day,2.05%,7,342
