YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2024,1,0,49947,Taylor Moore,46.46%,92,198,-0.13
2024,2,0,12716,Charley Hoffman,45.71%,64,140,-0.42
2024,3,0,57366,Cameron Young,45.06%,73,162,-0.18
2024,4,0,47995,Davis Riley,44.52%,65,146,-0.26
2024,5,0,33448,Justin Thomas,44.03%,59,134,-0.10
2024,6,0,48081,Xander Schauffele,43.67%,69,158,-0.16
2024,7,0,29725,Tony Finau,43.04%,68,158,-0.31
2024,8,0,55893,Sam Stevens,41.84%,82,196,-0.27
2024,9,0,51766,Wyndham Clark,41.79%,56,134,-0.36
2024,10,0,33399,Adam Hadwin,41.77%,66,158,-0.15
2024,11,0,27064,Jhonattan Vegas,41.67%,60,144,-0.27
2024,11,0,47483,Will Zalatoris,41.67%,55,132,-0.02
2024,13,0,46717,Viktor Hovland,41.23%,47,114,-0.15
2024,14,0,47347,Adam Schenk,40.76%,75,184,-0.09
2024,15,0,39546,Keith Mitchell,40.12%,65,162,-0.26
2024,16,0,33653,Thomas Detry,39.55%,53,134,-0.23
2024,16,0,59866,Nick Dunlap,39.55%,53,134,-0.17
2024,18,0,60767,Blaine Hale Jr.,39.42%,41,104,-0.24
2024,19,0,31323,Gary Woodland,39.38%,63,160,-0.16
2024,20,0,48117,Kurt Kitayama,39.24%,62,158,-0.24
2024,21,0,47504,Sam Burns,39.04%,57,146,-0.23
2024,22,0,36699,Patrick Rodgers,39.00%,78,200,-0.22
2024,23,0,47679,Victor Perez,38.89%,56,144,-0.32
2024,24,0,51070,Vincent Norrman,38.78%,38,98,E
2024,25,0,51634,Sahith Theegala,38.71%,72,186,-0.28
2024,26,0,34046,Jordan Spieth,38.57%,54,140,-0.20
2024,27,0,33968,Thorbjørn Olesen,38.54%,37,96,-0.03
2024,28,0,45242,Kevin Yu,38.36%,56,146,-0.21
2024,29,0,46442,Maverick McNealy,38.04%,70,184,-0.29
2024,30,0,30911,Tommy Fleetwood,38.03%,54,142,-0.11
2024,31,0,40006,Erik van Rooyen,37.97%,60,158,-0.10
2024,32,0,37212,Paul Barjon,37.74%,40,106,-0.05
2024,33,0,35450,Patrick Cantlay,37.69%,49,130,-0.14
2024,34,0,28089,Jason Day,37.68%,52,138,-0.12
2024,35,0,51696,Rico Hoey,37.50%,63,168,-0.30
2024,35,0,50484,Hayden Springer,37.50%,54,144,-0.33
2024,37,0,40098,Matt Fitzpatrick,37.32%,53,142,-0.32
2024,37,0,24502,Adam Scott,37.32%,53,142,-0.26
2024,39,0,46340,Alex Smalley,37.16%,55,148,-0.38
2024,40,0,33204,Shane Lowry,37.14%,52,140,-0.15
2024,41,0,37378,Min Woo Lee,37.12%,49,132,-0.16
2024,42,0,35461,Beau Hossler,37.06%,63,170,-0.08
2024,43,0,22405,Justin Rose,36.89%,45,122,-0.13
2024,44,0,39324,J.J. Spaun,36.88%,59,160,-0.08
2024,45,0,55454,Carl Yuan,36.72%,47,128,-0.23
2024,46,0,33141,Keegan Bradley,36.71%,58,158,-0.09
2024,47,0,33948,Byeong Hun An,36.67%,55,150,-0.22
2024,48,0,32366,Kevin Chappell,36.61%,41,112,-0.37
2024,49,0,28252,Seamus Power,36.46%,70,192,-0.11
2024,50,0,54576,Patrick Fishburn,36.43%,51,140,-0.39
2024,51,0,47663,Kevin Dougherty,36.29%,45,124,-0.07
2024,52,0,36799,Stephan Jaeger,36.08%,57,158,-0.23
2024,53,0,50493,Justin Suh,35.81%,53,148,-0.34
2024,54,0,39975,Michael Kim,35.80%,58,162,-0.12
2024,55,0,35506,Mackenzie Hughes,35.79%,68,190,-0.34
2024,56,0,34255,Joseph Bramlett,35.71%,60,168,-0.32
2024,56,0,45609,Tyler Duncan,35.71%,50,140,-0.26
2024,56,0,50188,S.H. Kim,35.71%,75,210,-0.17
2024,56,0,48699,Callum Tarren,35.71%,50,140,-0.28
2024,60,0,39997,Corey Conners,35.63%,62,174,-0.21
2024,60,0,47988,Nick Hardy,35.63%,62,174,-0.32
2024,62,0,30163,Henrik Norlander,35.61%,47,132,-0.36
2024,63,0,38991,Alejandro Tosti,35.51%,49,138,-0.08
2024,64,0,34099,Harris English,35.48%,66,186,-0.23
2024,65,0,52955,Ludvig Åberg,35.33%,53,150,-0.42
2024,66,0,27129,Luke List,35.06%,54,154,-0.07
2024,67,0,32070,Rafael Campos,35.00%,42,120,-0.33
2024,67,0,58168,Davis Thompson,35.00%,63,180,-0.05
2024,67,0,52666,Sami Valimaki,35.00%,42,120,-0.17
2024,70,0,51997,Andrew Novak,34.94%,58,166,-0.22
2024,71,0,50095,Austin Smotherman,34.91%,37,106,-0.27
2024,72,0,40026,Daniel Berger,34.87%,53,152,-0.23
2024,72,0,40250,Taylor Pendrith,34.87%,53,152,-0.28
2024,74,0,59442,Parker Coody,34.55%,38,110,-0.32
2024,75,0,23320,Ryan Palmer,34.52%,29,84,-0.31
2024,76,0,40115,Adam Svensson,34.11%,73,214,-0.15
2024,77,0,51894,Vince Whaley,34.03%,49,144,-0.27
2024,78,0,29936,Ryan Fox,33.97%,53,156,-0.09
2024,79,0,54591,Ben Griffin,33.93%,76,224,-0.24
2024,80,0,57362,Austin Eckroat,33.89%,61,180,-0.13
2024,81,0,59095,Chris Gotterup,33.80%,48,142,-0.29
2024,82,0,45157,Cam Davis,33.77%,52,154,-0.10
2024,83,0,27139,David Skinns,33.54%,55,164,-0.38
2024,84,0,33408,Tyson Alexander,33.33%,50,150,+0.16
2024,84,0,34021,Bud Cauley,33.33%,36,108,-0.22
2024,84,0,59143,Mac Meissner,33.33%,48,144,-0.27
2024,84,0,48153,Matthieu Pavon,33.33%,42,126,-0.38
2024,88,0,34587,Chan Kim,33.13%,53,160,-0.38
2024,89,0,52514,Trace Crowe,33.09%,45,136,-0.33
2024,90,0,48084,Wesley Bryan,33.00%,33,100,-0.42
2024,91,0,39977,Max Homa,32.91%,52,158,-0.25
2024,92,0,59836,Pierceson Coody,32.69%,51,156,-0.25
2024,93,0,35532,Tom Hoge,32.67%,66,202,-0.26
2024,93,0,47420,Jake Knapp,32.67%,49,150,-0.12
2024,95,0,27214,Kevin Streelman,32.61%,45,138,-0.27
2024,96,0,34563,Chesson Hadley,32.58%,43,132,-0.21
2024,97,0,52453,Nicolai Højgaard,32.46%,37,114,+0.03
2024,98,0,46046,Scottie Scheffler,32.39%,46,142,-0.22
2024,99,0,39971,Sungjae Im,32.18%,56,174,-0.09
2024,100,0,35617,Martin Trainer,32.00%,32,100,-0.22
2024,101,0,56630,Akshay Bhatia,31.98%,55,172,-0.20
2024,102,0,30926,Chris Kirk,31.82%,49,154,-0.16
2024,103,0,32640,Troy Merritt,31.76%,47,148,-0.32
2024,104,0,29420,Billy Horschel,31.58%,48,152,-0.17
2024,105,0,29221,Webb Simpson,31.37%,32,102,-0.38
2024,106,0,32102,Rickie Fowler,31.17%,48,154,-0.02
2024,107,0,46113,Ryan McCormick,31.15%,38,122,-0.21
2024,108,0,54421,Garrick Higgo,31.01%,49,158,-0.33
2024,109,0,54628,Lee Hodges,30.77%,56,182,-0.21
2024,110,0,32757,Patton Kizzire,30.65%,38,124,-0.29
2024,110,0,48119,Ben Taylor,30.65%,38,124,-0.21
2024,112,0,35310,Lanto Griffin,30.56%,44,144,-0.20
2024,113,0,51977,Max Greyserman,30.52%,47,154,-0.17
2024,114,0,28775,Nate Lashley,30.41%,45,148,-0.29
