YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,0,51997,Andrew Novak,"34' 0""",4247.417,125,-7
2024,0,39975,Michael Kim,"34' 2""",3176.167,93,-14
2024,0,46717,Viktor Hovland,"34' 5""",3096.167,90,-12
2024,0,52666,Sami Valimaki,"34' 9""",3443.167,99,-8
2024,0,48084,Wesley Bryan,"34' 10""",1915.417,55,-7
2024,0,48117,Kurt Kitayama,"34' 10""",3869.667,111,-14
2024,0,48081,Xander Schauffele,"34' 10""",4071.5,117,-11
2024,0,29725,Tony Finau,"35' 4""",3813.167,108,-5
2024,0,37212,Paul Barjon,"35' 5""",2584.917,73,+2
2024,0,52215,Robert MacIntyre,"35' 8""",3673.583,103,-8
2024,0,39324,J.J. Spaun,"35' 8""",3671.75,103,-9
2024,0,47988,Nick Hardy,"36' 1""",4257.917,118,-22
2024,0,39546,Keith Mitchell,"36' 2""",4626.583,128,-25
2024,0,39971,Sungjae Im,"36' 3""",4858.333,134,-13
2024,0,57366,Cameron Young,"36' 4""",4284.917,118,-13
2024,0,48319,Tom Whitney,"36' 6""",3063.083,84,+5
2024,0,38991,Alejandro Tosti,"36' 7""",2853.167,78,-11
2024,0,31323,Gary Woodland,"36' 7""",3551.167,97,-11
2024,0,50095,Austin Smotherman,"36' 8""",2202.167,60,-1
2024,0,40006,Erik van Rooyen,"36' 9""",4230.917,115,-15
2024,0,45522,Christiaan Bezuidenhout,"36' 11""",4351.833,118,-13
2024,0,40098,Matt Fitzpatrick,"37' 1""",3634.333,98,-10
2024,0,29535,Brice Garnett,"37' 1""",3004.917,81,-4
2024,0,35532,Tom Hoge,"37' 1""",5483.417,148,-5
2024,0,37275,Sam Ryder,"37' 1""",3561.75,96,-3
2024,0,57900,Chandler Phillips,"37' 2""",4791.167,129,+7
2024,0,46046,Scottie Scheffler,"37' 3""",3981.667,107,-17
2024,0,32367,Jorge Campillo,"37' 10""",3062.167,81,-9
2024,0,32839,Hideki Matsuyama,"37' 11""",3980.083,105,-1
2024,0,55454,Carl Yuan,"37' 11""",3147.0,83,-3
2024,0,33948,Byeong Hun An,"38' 0""",3720.0,98,-13
2024,0,40026,Daniel Berger,"38' 0""",3797.333,100,-6
2024,0,27139,David Skinns,"38' 0""",3838.167,101,-11
