YEAR,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
2024,0,46046,Scottie Scheffler,42
2024,0,35461,Beau Hossler,34
2024,0,27349,Alex Noren,34
2024,0,49771,J.T. Poston,33
2024,0,56630,Akshay Bhatia,30
2024,0,27129,Luke List,30
2024,0,40006,Erik van Rooyen,28
2024,0,36801,Mark Hubbard,27
2024,0,54576,Patrick Fishburn,24
2024,0,46717,Viktor Hovland,24
2024,0,32757,Patton Kizzire,24
2024,0,47504,Sam Burns,23
2024,0,45609,Tyler Duncan,23
2024,0,55893,Sam Stevens,23
2024,0,54591,Ben Griffin,22
2024,0,46442,Maverick McNealy,22
2024,0,40250,Taylor Pendrith,22
2024,0,39324,J.J. Spaun,22
2024,0,33448,Justin Thomas,22
2024,0,30927,Brendon Todd,22
2024,0,51977,Max Greyserman,21
2024,0,60004,Jacob Bridgeman,20
2024,0,48153,Matthieu Pavon,20
2024,0,47983,Chad Ramey,20
2024,0,52955,Ludvig Åberg,19
2024,0,25900,Lucas Glover,19
2024,0,60767,Blaine Hale Jr.,19
2024,0,39058,Lucas Herbert,19
2024,0,35532,Tom Hoge,19
2024,0,47993,Denny McCarthy,19
2024,0,50095,Austin Smotherman,19
2024,0,52374,Brandon Wu,19
2024,0,27644,Brian Harman,18
2024,0,39977,Max Homa,18
2024,0,39975,Michael Kim,18
2024,0,35449,Adam Long,18
2024,0,51890,Greyson Sigg,18
2024,0,51766,Wyndham Clark,17
2024,0,39997,Corey Conners,17
2024,0,46435,Austin Cook,17
2024,0,56762,Will Gordon,17
2024,0,30926,Chris Kirk,17
2024,0,55789,Taylor Montgomery,17
2024,0,24140,Sean O'Hair,17
2024,0,28252,Seamus Power,17
2024,0,39327,Ben Silverman,17
2024,0,27770,Camilo Villegas,17
2024,0,52513,Carson Young,17
2024,0,51349,Nico Echavarria,16
2024,0,52375,Doug Ghim,16
2024,0,47988,Nick Hardy,16
2024,0,51696,Rico Hoey,16
2024,0,47420,Jake Knapp,16
2024,0,39546,Keith Mitchell,16
2024,0,36871,Matt NeSmith,16
2024,0,55454,Carl Yuan,16
2024,0,33948,Byeong Hun An,15
2024,0,22371,Aaron Baddeley,15
2024,0,34099,Harris English,15
2024,0,29725,Tony Finau,15
2024,0,29535,Brice Garnett,15
2024,0,36799,Stephan Jaeger,15
2024,0,23108,Matt Kuchar,15
2024,0,32791,K.H. Lee,15
2024,0,34256,Andrew Putnam,15
2024,0,47347,Adam Schenk,15
2024,0,50493,Justin Suh,15
2024,0,40115,Adam Svensson,15
2024,0,30911,Tommy Fleetwood,14
2024,0,12716,Charley Hoffman,14
2024,0,35506,Mackenzie Hughes,14
2024,0,33413,Ben Martin,14
2024,0,51997,Andrew Novak,14
2024,0,48867,Matti Schmid,14
2024,0,31560,Brian Stuard,14
2024,0,25493,Nick Taylor,14
2024,0,32333,Kevin Tway,14
2024,0,66743,Luke Clanton,13
2024,0,52514,Trace Crowe,13
2024,0,45157,Cam Davis,13
2024,0,50497,Adrien Dumont de Chassart,13
2024,0,57975,Harry Hall,13
2024,0,24024,Zach Johnson,13
2024,0,35879,Kelly Kraft,13
2024,0,32839,Hideki Matsuyama,13
2024,0,31202,William McGirt,13
2024,0,47679,Victor Perez,13
2024,0,46414,Aaron Rai,13
2024,0,26476,Chez Reavie,13
2024,0,36699,Patrick Rodgers,13
2024,0,29221,Webb Simpson,13
2024,0,34046,Jordan Spieth,13
2024,0,51600,Jimmy Stanger,13
2024,0,58168,Davis Thompson,13
2024,0,27064,Jhonattan Vegas,13
2024,0,31323,Gary Woodland,13
2024,0,40058,Zac Blair,12
2024,0,32367,Jorge Campillo,12
2024,0,35450,Patrick Cantlay,12
2024,0,20229,Stewart Cink,12
2024,0,33653,Thomas Detry,12
2024,0,57362,Austin Eckroat,12
2024,0,32102,Rickie Fowler,12
2024,0,39954,Cody Gribble,12
2024,0,34098,Russell Henley,12
2024,0,39971,Sungjae Im,12
2024,0,34587,Chan Kim,12
2024,0,37455,Si Woo Kim,12
2024,0,33204,Shane Lowry,12
2024,0,52215,Robert MacIntyre,12
2024,0,59143,Mac Meissner,12
2024,0,33968,Thorbjørn Olesen,12
2024,0,36824,Paul Peterson,12
2024,0,48081,Xander Schauffele,12
2024,0,46340,Alex Smalley,12
2024,0,54783,Dylan Wu,12
2024,0,40026,Daniel Berger,11
2024,0,45522,Christiaan Bezuidenhout,11
2024,0,47591,Eric Cole,11
2024,0,59836,Pierceson Coody,11
2024,0,37338,Zecheng Dou,11
2024,0,32448,James Hahn,11
2024,0,51287,Ryo Hisatsune,11
2024,0,50188,S.H. Kim,11
2024,0,32816,Satoshi Kodaira,11
2024,0,40162,Justin Lower,11
2024,0,26596,Ryan Moore,11
2024,0,29289,S.Y. Noh,11
2024,0,57900,Chandler Phillips,11
2024,0,37275,Sam Ryder,11
2024,0,33486,Roger Sloan,11
2024,0,49960,Sepp Straka,11
2024,0,48887,Matt Wallace,11
2024,0,45242,Kevin Yu,11
2024,0,47483,Will Zalatoris,11
2024,0,55930,Fred Biondi,10
2024,0,33141,Keegan Bradley,10
2024,0,34255,Joseph Bramlett,10
2024,0,32070,Rafael Campos,10
2024,0,59095,Chris Gotterup,10
2024,0,24924,Bill Haas,10
2024,0,34363,Tyrrell Hatton,10
2024,0,55955,Matthew Jordan,10
2024,0,48117,Kurt Kitayama,10
2024,0,27936,Martin Laird,10
2024,0,36326,David Lipsky,10
2024,0,46113,Ryan McCormick,10
2024,0,49947,Taylor Moore,10
2024,0,30163,Henrik Norlander,10
2024,0,29908,C.T. Pan,10
2024,0,50484,Hayden Springer,10
2024,0,48119,Ben Taylor,10
2024,0,38991,Alejandro Tosti,10
2024,0,51894,Vince Whaley,10
2024,0,28259,Sangmoon Bae,9
2024,0,34374,Erik Barnes,9
2024,0,52372,Cameron Champ,9
2024,0,59442,Parker Coody,9
2024,0,23541,Ben Crane,9
2024,0,39436,Joshua Creel,9
2024,0,59866,Nick Dunlap,9
2024,0,47079,Harrison Endycott,9
2024,0,34563,Chesson Hadley,9
2024,0,33399,Adam Hadwin,9
2024,0,54421,Garrick Higgo,9
2024,0,60067,Joe Highsmith,9
2024,0,29420,Billy Horschel,9
