YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2011,0,23800,Bryce Molder,72.22,13,18
2011,0,23638,Brendon de Jonge,66.67,12,18
2011,0,19846,Brian Gay,66.67,12,18
2011,0,26300,Matt Jones,66.67,12,18
2011,0,1116,Michael Bradley,61.11,11,18
2011,0,25686,Jason Dufner,61.11,11,18
2011,0,9011,David Duval,61.11,11,18
2011,0,23320,Ryan Palmer,61.11,11,18
2011,0,24361,Pat Perez,61.11,11,18
2011,0,1948,Tim Petrovic,61.11,11,18
2011,0,29221,Webb Simpson,61.11,11,18
2011,0,12510,Chad Campbell,55.56,10,18
2011,0,21731,Freddie Jacobson,55.56,10,18
2011,0,10860,Justin Leonard,55.56,10,18
2011,0,6515,Shaun Micheel,55.56,10,18
2011,0,21753,Brian Davis,50.0,9,18
2011,0,28679,Fabián Gómez,50.0,9,18
2011,0,24604,Hunter Haas,50.0,9,18
2011,0,8075,Jerry Kelly,50.0,9,18
2011,0,27797,Derek Lamely,50.0,9,18
2011,0,26881,Jarrod Lyle,50.0,9,18
2011,0,10585,Scott McCarron,50.0,9,18
2011,0,25396,Kevin Na,50.0,9,18
2011,0,2206,David Toms,50.0,9,18
2011,0,27064,Jhonattan Vegas,50.0,9,18
2011,0,28087,Kris Blanks,44.44,8,18
2011,0,32366,Kevin Chappell,44.44,8,18
2011,0,30926,Chris Kirk,44.44,8,18
2011,0,23548,Bill Lunde,44.44,8,18
2011,0,27963,Chris Stroud,44.44,8,18
2011,0,20070,Matt Bettencourt,38.89,7,18
2011,0,33141,Keegan Bradley,38.89,7,18
2011,0,20593,Greg Chalmers,38.89,7,18
2011,0,11123,Chris Couch,38.89,7,18
2011,0,21805,Harrison Frazar,38.89,7,18
2011,0,24924,Bill Haas,38.89,7,18
2011,0,21961,Charles Howell III,38.89,7,18
2011,0,30711,Colt Knost,38.89,7,18
2011,0,28475,Jeff Overton,38.89,7,18
2011,0,25240,D.A. Points,38.89,7,18
2011,0,25834,Daniel Summerhays,38.89,7,18
2011,0,33419,Cameron Tringale,38.89,7,18
2011,0,31323,Gary Woodland,38.89,7,18
2011,0,20472,Alex Cejka,33.33,6,18
2011,0,23353,J.J. Henry,33.33,6,18
2011,0,6573,Brandt Jobe,33.33,6,18
2011,0,27466,Spencer Levin,33.33,6,18
2011,0,28158,Steve Marino,33.33,6,18
2011,0,26679,Kevin Stadler,33.33,6,18
2011,0,27214,Kevin Streelman,33.33,6,18
2011,0,23325,Vaughn Taylor,33.33,6,18
2011,0,6004,Stephen Ames,27.78,5,18
2011,0,27936,Martin Laird,27.78,5,18
2011,0,22913,John Rollins,27.78,5,18
2011,0,30110,Kyle Stanley,27.78,5,18
2011,0,26289,Boo Weekley,27.78,5,18
2011,0,21878,Mark Wilson,27.78,5,18
2011,0,21350,Ryuji Imada,22.22,4,18
2011,0,23108,Matt Kuchar,22.22,4,18
2011,0,31401,Zack Miller,22.22,4,18
2011,0,28486,Michael Putnam,22.22,4,18
2011,0,12602,Dean Wilson,22.22,4,18
2011,0,1313,Steve Elkington,16.67,3,18
2011,0,6643,Paul Goydos,16.67,3,18
2011,0,23788,D.J. Trahan,16.67,3,18
2011,0,29910,Blake Adams,11.11,2,18
2010,0,26420,Richard Johnson,77.78,14,18
2010,0,19846,Brian Gay,72.22,13,18
2010,0,2206,David Toms,72.22,13,18
2010,0,11123,Chris Couch,61.11,11,18
2010,0,24361,Pat Perez,61.11,11,18
2010,0,25190,Jeff Quinney,61.11,11,18
