YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
2024,1,0,52372,Cameron Champ,126.64,24568.64,194
2024,2,0,47663,Kevin Dougherty,125.99,29607.17,235
2024,3,0,31323,Gary Woodland,125.26,31564.37,252
2024,4,0,59095,Chris Gotterup,124.85,32087.1,257
2024,5,0,37378,Min Woo Lee,124.28,28460.12,229
2024,6,0,28237,Rory McIlroy,123.6,28057.02,227
2024,7,0,47420,Jake Knapp,123.35,37251.9,302
2024,8,0,48081,Xander Schauffele,123.05,29654.67,241
2024,9,0,29725,Tony Finau,122.82,37584.44,306
2024,10,0,51766,Wyndham Clark,122.5,29522.26,241
2024,11,0,38991,Alejandro Tosti,122.3,31431.31,257
2024,12,0,51070,Vincent Norrman,122.14,24306.01,199
2024,13,0,50484,Hayden Springer,122.07,31005.35,254
2024,14,0,57366,Cameron Young,121.93,38407.55,315
2024,15,1,54576,Patrick Fishburn,121.6,26143.33,215
2024,15,0,51696,Rico Hoey,121.6,31981.96,263
2024,17,0,33653,Thomas Detry,121.23,28972.96,239
2024,18,0,48699,Callum Tarren,121.04,30986.48,256
2024,19,0,56149,Wilson Furr,120.86,24171.38,200
2024,20,0,37212,Paul Barjon,120.79,22830.19,189
2024,21,0,27064,Jhonattan Vegas,120.75,32602.62,270
2024,22,0,34255,Joseph Bramlett,120.72,37665.94,312
2024,23,0,52453,Nicolai Højgaard,120.67,22806.81,189
2024,24,0,59866,Nick Dunlap,120.48,29036.26,241
2024,24,1,27129,Luke List,120.48,33734.54,280
2024,26,0,40250,Taylor Pendrith,120.34,38870.52,323
2024,27,0,47347,Adam Schenk,120.29,42824.59,356
2024,28,0,28420,Ryan Brehm,120.13,24986.17,208
2024,29,0,29936,Ryan Fox,120.1,26541.4,221
2024,30,0,48117,Kurt Kitayama,120.04,25088.3,209
2024,31,0,49947,Taylor Moore,120.0,44039.63,367
2024,32,3,32333,Kevin Tway,119.95,24590.04,205
2024,33,-1,51977,Max Greyserman,119.93,31301.91,261
2024,34,-1,36699,Patrick Rodgers,119.92,47489.44,396
2024,35,-1,47504,Sam Burns,119.86,33320.38,278
2024,36,0,59836,Pierceson Coody,119.79,34860.32,291
2024,37,1,51894,Vince Whaley,119.61,30021.04,251
2024,38,-1,27139,David Skinns,119.58,35396.98,296
2024,39,0,54421,Garrick Higgo,119.4,35462.69,297
2024,40,0,52955,Ludvig Åberg,119.38,32112.16,269
2024,41,0,24502,Adam Scott,119.31,34002.53,285
2024,42,0,39546,Keith Mitchell,119.25,39949.99,335
2024,43,0,46046,Scottie Scheffler,119.21,33616.8,282
2024,44,0,33948,Byeong Hun An,119.19,34685.12,291
2024,45,0,45242,Kevin Yu,119.06,32384.21,272
2024,46,0,48153,Matthieu Pavon,118.92,24972.96,210
2024,46,0,47679,Victor Perez,118.92,28660.45,241
2024,48,0,39977,Max Homa,118.88,31145.87,262
2024,49,0,36799,Stephan Jaeger,118.86,33875.15,285
2024,50,0,55789,Taylor Montgomery,118.82,21506.09,181
2024,51,0,46113,Ryan McCormick,118.79,24588.77,207
2024,52,0,40006,Erik van Rooyen,118.7,37865.52,319
2024,53,0,59442,Parker Coody,118.64,25388.94,214
2024,54,0,48867,Matti Schmid,118.55,31772.12,268
2024,55,0,55893,Sam Stevens,118.37,41428.12,350
2024,56,0,52215,Robert MacIntyre,118.23,31095.59,263
2024,57,1,35310,Lanto Griffin,118.19,29903.24,253
2024,57,0,46442,Maverick McNealy,118.19,41484.52,351
2024,59,1,50497,Adrien Dumont de Chassart,117.99,31030.17,263
2024,59,0,55454,Carl Yuan,117.99,26784.16,227
2024,61,0,35450,Patrick Cantlay,117.96,30316.21,257
2024,62,0,33408,Tyson Alexander,117.93,31723.67,269
2024,63,0,33448,Justin Thomas,117.79,26974.89,229
2024,64,0,50188,S.H. Kim,117.74,43446.19,369
2024,65,0,34046,Jordan Spieth,117.62,33168.46,282
2024,66,0,28089,Jason Day,117.48,30310.46,258
2024,67,0,35617,Martin Trainer,117.42,21957.79,187
2024,68,-1,39997,Corey Conners,117.36,40841.34,348
2024,68,-1,51634,Sahith Theegala,117.36,43190.16,368
2024,70,0,47483,Will Zalatoris,117.32,28155.9,240
2024,71,0,34099,Harris English,117.26,36701.21,313
2024,72,0,58168,Davis Thompson,117.21,38562.44,329
2024,73,1,36871,Matt NeSmith,117.06,33245.77,284
2024,74,-1,60067,Joe Highsmith,117.05,30197.92,258
2024,75,-1,47988,Nick Hardy,117.02,41775.16,357
2024,76,0,40098,Matt Fitzpatrick,116.97,30295.4,259
2024,77,0,32070,Rafael Campos,116.93,25489.7,218
2024,78,0,33968,Thorbjørn Olesen,116.83,19043.13,163
2024,79,0,60767,Blaine Hale Jr.,116.82,21727.85,186
2024,80,0,45157,Cam Davis,116.62,31603.01,271
2024,81,0,46340,Alex Smalley,116.6,29732.98,255
2024,82,0,60004,Jacob Bridgeman,116.58,32059.88,275
2024,83,0,34466,Peter Malnati,116.43,39817.6,342
2024,84,0,47995,Davis Riley,116.41,35620.32,306
2024,85,0,57975,Harry Hall,116.35,33857.53,291
2024,86,0,27349,Alex Noren,116.22,24754.47,213
2024,87,1,48887,Matt Wallace,116.15,26597.34,229
2024,88,-1,56630,Akshay Bhatia,116.13,38787.47,334
2024,89,0,46717,Viktor Hovland,116.07,24026.54,207
2024,90,0,40115,Adam Svensson,116.04,49434.93,426
2024,91,0,28252,Seamus Power,115.96,42788.33,369
2024,92,1,50493,Justin Suh,115.82,32778.29,283
2024,93,-1,32839,Hideki Matsuyama,115.8,32076.71,277
2024,94,0,32366,Kevin Chappell,115.75,23380.95,202
2024,95,0,35506,Mackenzie Hughes,115.69,45234.92,391
2024,96,0,39324,J.J. Spaun,115.61,38846.62,336
2024,97,0,46414,Aaron Rai,115.58,41148.2,356
2024,98,0,33141,Keegan Bradley,115.57,35365.44,306
2024,99,2,36801,Mark Hubbard,115.51,45512.08,394
2024,99,0,37275,Sam Ryder,115.51,34421.69,298
2024,99,0,48119,Ben Taylor,115.51,26568.3,230
2024,102,0,52514,Trace Crowe,115.44,31513.97,273
2024,103,0,32791,K.H. Lee,115.38,34844.58,302
2024,104,0,57362,Austin Eckroat,115.31,38630.37,335
2024,104,4,39975,Michael Kim,115.31,34937.6,303
2024,106,-1,30911,Tommy Fleetwood,115.3,31245.87,271
2024,106,-1,35532,Tom Hoge,115.3,44851.38,389
2024,108,-1,12716,Charley Hoffman,115.29,28591.79,248
2024,109,-1,34374,Erik Barnes,115.27,24206.63,210
2024,110,0,32757,Patton Kizzire,115.22,28689.75,249
2024,111,-1,39971,Sungjae Im,115.17,40770.25,354
2024,112,1,40026,Daniel Berger,115.11,31884.99,277
2024,113,-1,51997,Andrew Novak,115.08,33719.43,293
2024,114,0,33399,Adam Hadwin,115.0,36111.01,314
2024,115,-1,33204,Shane Lowry,114.96,33108.37,288
2024,116,1,54628,Lee Hodges,114.94,40344.11,351
2024,117,-1,52666,Sami Valimaki,114.92,25397.55,221
2024,118,0,47591,Eric Cole,114.91,45157.85,393
2024,119,0,54591,Ben Griffin,114.86,39742.25,346
2024,120,0,50525,Collin Morikawa,114.79,29845.37,260
2024,121,0,30926,Chris Kirk,114.78,36384.69,317
2024,122,2,30163,Henrik Norlander,114.73,22028.4,192
2024,123,-1,34563,Chesson Hadley,114.72,33957.05,296
2024,124,-1,22405,Justin Rose,114.68,26490.87,231
2024,125,0,32102,Rickie Fowler,114.62,29457.98,257
2024,126,0,32367,Jorge Campillo,114.38,20589.01,180
2024,127,0,37455,Si Woo Kim,114.34,41618.68,364
2024,128,0,29420,Billy Horschel,114.28,34169.06,299
2024,129,0,35461,Beau Hossler,114.25,41928.05,367
2024,130,0,55182,Tom Kim,114.15,38240.57,335
2024,131,0,55708,Hayden Buckley,114.09,33314.75,292
2024,132,0,34587,Chan Kim,113.99,33400.5,293
2024,133,0,54783,Dylan Wu,113.98,36472.73,320
2024,134,0,29221,Webb Simpson,113.92,26316.5,231
2024,135,0,27214,Kevin Streelman,113.84,31648.02,278
2024,136,0,59143,Mac Meissner,113.81,31866.93,280
2024,137,0,51349,Nico Echavarria,113.76,36401.72,320
2024,138,0,48084,Wesley Bryan,113.56,18851.42,166
2024,139,0,47983,Chad Ramey,113.54,35766.46,315
2024,140,0,50095,Austin Smotherman,113.37,19953.52,176
2024,141,0,27936,Martin Laird,113.21,27850.06,246
2024,142,0,40162,Justin Lower,113.16,41303.71,365
2024,142,0,48319,Tom Whitney,113.16,27724.76,245
2024,144,0,33486,Roger Sloan,113.14,26361.58,233
2024,145,0,49771,J.T. Poston,113.02,41139.39,364
2024,146,0,31646,Emiliano Grillo,112.94,37044.61,328
2024,147,0,36884,Ben Kohles,112.86,36453.79,323
2024,148,0,51287,Ryo Hisatsune,112.85,33066.06,293
2024,149,0,52374,Brandon Wu,112.82,33167.88,294
2024,150,-1,39327,Ben Silverman,112.73,40694.35,361
2024,151,0,27330,Josh Teater,112.7,21750.51,193
2024,152,0,45522,Christiaan Bezuidenhout,112.59,36929.67,328
2024,153,0,46441,Robby Shelton,112.55,36017.0,320
2024,154,1,34021,Bud Cauley,112.44,28898.34,257
2024,155,-1,23320,Ryan Palmer,112.43,20012.92,178
2024,156,0,57900,Chandler Phillips,112.32,37516.49,334
2024,157,0,52375,Doug Ghim,112.24,35130.32,313
2024,158,0,45609,Tyler Duncan,112.23,27609.02,246
2024,159,0,47993,Denny McCarthy,111.94,40296.81,360
2024,160,0,25493,Nick Taylor,111.9,38046.49,340
2024,161,0,28775,Nate Lashley,111.88,33115.62,296
2024,162,1,52513,Carson Young,111.86,37921.06,339
2024,163,-1,22371,Aaron Baddeley,111.84,30868.37,276
2024,164,0,49960,Sepp Straka,111.39,31523.22,283
2024,165,0,27770,Camilo Villegas,111.36,22271.94,200
2024,166,1,25900,Lucas Glover,111.25,38046.58,342
2024,166,0,34256,Andrew Putnam,111.25,38602.74,347
2024,168,1,32640,Troy Merritt,111.05,32205.85,290
2024,169,-1,34076,Joel Dahmen,111.03,34975.84,315
2024,170,0,34098,Russell Henley,110.75,32669.89,295
2024,171,0,51890,Greyson Sigg,110.68,34863.68,315
2024,172,0,40058,Zac Blair,110.5,39892.06,361
2024,173,0,27644,Brian Harman,110.45,41418.36,375
2024,174,0,36326,David Lipsky,110.41,30251.59,274
2024,175,0,29908,C.T. Pan,110.4,28372.16,257
2024,176,0,29478,Kevin Kisner,110.31,26362.91,239
2024,177,0,47806,Raul Pereda,109.67,20069.5,183
2024,178,0,26596,Ryan Moore,109.27,35838.95,328
2024,179,0,29535,Brice Garnett,109.02,21695.48,199
2024,180,0,30927,Brendon Todd,108.86,43869.54,403
2024,181,0,24024,Zach Johnson,108.41,23523.94,217
2024,182,0,27649,Brandt Snedeker,108.24,27385.42,253
2024,183,0,26476,Chez Reavie,108.03,30896.53,286
2024,184,0,23108,Matt Kuchar,107.97,32176.23,298
2023,1,0,51491,Brandon Matthews,126.51,14549.07,115
2023,2,0,52372,Cameron Champ,126.07,22693.09,180
2023,3,0,56762,Will Gordon,124.84,34330.97,275
2023,4,0,52411,Kyle Westmoreland,124.33,24617.01,198
2023,5,0,51766,Wyndham Clark,123.46,33951.34,275
2023,6,0,57366,Cameron Young,123.15,32019.98,260
2023,7,0,28237,Rory McIlroy,122.8,28367.52,231
2023,8,0,51414,Brent Grant,122.77,25904.23,211
2023,9,0,39058,Lucas Herbert,122.41,22155.47,181
2023,10,0,31323,Gary Woodland,122.16,34203.45,280
2023,11,0,34255,Joseph Bramlett,121.98,27078.65,222
2023,12,0,48699,Callum Tarren,121.95,39634.31,325
2023,13,0,48117,Kurt Kitayama,121.93,17924.32,147
2023,14,0,55789,Taylor Montgomery,121.87,34611.83,284
2023,15,0,51070,Vincent Norrman,121.77,30077.73,247
2023,16,0,47347,Adam Schenk,121.68,45144.41,371
2023,17,0,33653,Thomas Detry,121.62,28095.14,231
2023,18,0,32333,Kevin Tway,121.56,35494.96,292
2023,19,0,58696,Peter Kuest,121.28,15402.88,127
2023,20,0,46601,Trey Mullinax,121.24,30189.94,249
2023,21,0,24502,Adam Scott,121.09,24460.13,202
2023,22,0,27129,Luke List,120.98,39561.18,327
2023,23,0,46046,Scottie Scheffler,120.86,39036.86,323
2023,24,0,28420,Ryan Brehm,120.61,28342.79,235
2023,25,0,52955,Ludvig Åberg,120.26,19481.45,162
2023,26,0,49453,Trevor Cone,120.24,29939.31,249
2023,26,0,39067,MJ Daffue,120.24,32824.88,273
2023,28,0,48081,Xander Schauffele,120.21,28369.56,236
2023,29,0,48867,Matti Schmid,120.12,23182.92,193
2023,30,0,39977,Max Homa,119.82,33909.44,283
2023,31,0,46970,Jon Rahm,119.68,28963.47,242
2023,32,0,45242,Kevin Yu,119.63,15193.61,127
2023,33,0,54421,Garrick Higgo,119.58,40657.92,340
2023,34,0,36699,Patrick Rodgers,119.49,40386.84,338
2023,35,0,55893,Sam Stevens,119.47,41218.51,345
2023,36,0,47504,Sam Burns,119.38,31993.29,268
2023,37,0,58967,Trevor Werbylo,119.32,28875.22,242
2023,38,0,27554,Scott Harrington,119.24,28140.61,236
2023,39,0,32662,Michael Gligic,119.22,23724.29,199
2023,39,0,36724,Augusto Núñez,119.22,25989.05,218
2023,41,0,33948,Byeong Hun An,119.06,41552.39,349
2023,42,0,39546,Keith Mitchell,118.94,34611.19,291
2023,42,0,39335,Kevin Roy,118.94,22718.3,191
2023,44,0,28089,Jason Day,118.65,30610.61,258
2023,45,0,40250,Taylor Pendrith,118.58,41148.13,347
2023,46,0,52453,Nicolai Hojgaard,118.54,15410.08,130
