YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
2024,1,0,29725,Tony Finau,"1' 10""",762,1393.833
2024,2,0,28089,Jason Day,"1' 11""",569,1105.417
2024,2,0,34098,Russell Henley,"1' 11""",623,1204.833
2024,2,0,37455,Si Woo Kim,"1' 11""",793,1513.333
2024,2,0,51997,Andrew Novak,"1' 11""",835,1570.417
2024,2,0,47679,Victor Perez,"1' 11""",683,1329.833
2024,2,0,51890,Greyson Sigg,"1' 11""",754,1473.083
2024,2,0,32333,Kevin Tway,"1' 11""",497,949.833
2024,2,0,27064,Jhonattan Vegas,"1' 11""",683,1335.0
2024,10,0,52955,Ludvig Åberg,"2' 0""",686,1377.917
2024,10,0,33948,Byeong Hun An,"2' 0""",683,1368.917
2024,10,0,22371,Aaron Baddeley,"2' 0""",584,1162.083
2024,10,0,45522,Christiaan Bezuidenhout,"2' 0""",707,1423.667
2024,10,0,35450,Patrick Cantlay,"2' 0""",543,1089.75
2024,10,0,34021,Bud Cauley,"2' 0""",564,1131.667
2024,10,0,59442,Parker Coody,"2' 0""",519,1020.333
2024,10,0,30911,Tommy Fleetwood,"2' 0""",682,1361.25
2024,10,0,25900,Lucas Glover,"2' 0""",823,1632.25
2024,10,0,54591,Ben Griffin,"2' 0""",966,1940.667
2024,10,0,27644,Brian Harman,"2' 0""",814,1626.0
2024,10,0,36799,Stephan Jaeger,"2' 0""",764,1533.75
2024,10,0,55182,Tom Kim,"2' 0""",753,1494.083
2024,10,0,32839,Hideki Matsuyama,"2' 0""",640,1296.75
2024,10,0,49947,Taylor Moore,"2' 0""",926,1885.083
2024,10,0,27349,Alex Noren,"2' 0""",632,1268.583
2024,10,0,30163,Henrik Norlander,"2' 0""",532,1084.0
2024,10,0,23320,Ryan Palmer,"2' 0""",386,787.75
2024,10,0,49771,J.T. Poston,"2' 0""",795,1593.667
2024,10,0,48081,Xander Schauffele,"2' 0""",702,1423.5
