YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
2024,1,0,39975,Michael Kim,18
2024,2,0,51349,Nico Echavarria,16
2024,3,0,33948,Byeong Hun An,15
2024,4,0,36699,Patrick Rodgers,13
2024,5,0,57362,Austin Eckroat,12
2024,5,0,30911,Tommy Fleetwood,12
2024,5,0,32102,Rickie Fowler,12
2024,5,0,52215,Robert MacIntyre,12
2024,5,0,46442,Maverick McNealy,12
2024,5,0,59143,Mac Meissner,12
2024,5,0,36824,Paul Peterson,12
2024,12,0,35450,Patrick Cantlay,11
2024,12,0,54576,Patrick Fishburn,11
2024,12,0,51977,Max Greyserman,11
2024,15,0,57975,Harry Hall,10
2024,15,0,36801,Mark Hubbard,10
2024,15,0,55955,Matthew Jordan,10
2024,15,0,36326,David Lipsky,10
2024,15,0,40115,Adam Svensson,10
2024,20,0,39436,Joshua Creel,9
2024,20,0,39971,Sungjae Im,9
2024,20,0,51950,Max McGreevy,9
2024,20,0,33448,Justin Thomas,9
2024,20,0,57364,Michael Thorbjornsen,9
2024,20,0,29939,Fabrizio Zanotti,9
2024,26,0,55930,Fred Biondi,8
2024,26,0,46594,Ricardo Gouveia,8
2024,26,0,54628,Lee Hodges,8
2024,26,0,48117,Kurt Kitayama,8
2024,26,0,28237,Rory McIlroy,8
2024,26,0,32344,Lukas Nemecz,8
2024,26,0,35706,Niklas Norgaard,8
2024,26,0,40250,Taylor Pendrith,8
2024,26,0,49771,J.T. Poston,8
2024,26,0,34371,Adrien Saddier,8
2024,36,0,47504,Sam Burns,7
2024,36,0,58605,Quade Cummins,7
2024,36,0,34563,Chesson Hadley,7
2024,36,0,33204,Shane Lowry,7
2024,36,0,51635,Chris Nido,7
2024,36,0,48119,Ben Taylor,7
2024,42,0,34021,Bud Cauley,6
2024,42,0,20229,Stewart Cink,6
2024,42,0,31681,Louis de Jager,6
2024,42,0,32627,Espen Kofstad,6
2024,42,0,47993,Denny McCarthy,6
2024,42,0,29908,C.T. Pan,6
2024,42,0,57737,Jayden Schaper,6
2024,49,0,60369,Sam Bairstow,5
2024,49,0,29479,Scott Brown,5
2024,49,0,52444,Filippo Celli,5
2024,49,0,23983,Luke Donald,5
2024,49,0,59018,Ryan Gerard,5
2024,49,0,31646,Emiliano Grillo,5
2024,49,0,33597,Harry Higgs,5
2024,49,0,33122,Russell Knox,5
2024,49,0,37378,Min Woo Lee,5
2024,49,0,48153,Matthieu Pavon,5
2024,49,0,34360,Patrick Reed,5
2024,49,0,46046,Scottie Scheffler,5
2024,49,0,34610,Matthias Schwab,5
2024,49,0,24502,Adam Scott,5
2024,49,0,23788,D.J. Trahan,5
2024,49,0,48640,Johannes Veerman,5
2024,49,0,32139,Danny Willett,5
2024,49,0,45242,Kevin Yu,5
2024,67,0,24461,Thomas Aiken,4
2024,67,0,47125,Matt Atkins,4
2024,67,0,51661,Nick Bachem,4
2024,67,0,56630,Akshay Bhatia,4
2024,67,0,58816,Marcus Byrd,4
2024,67,0,26499,Rafa Cabrera Bello,4
2024,67,0,66743,Luke Clanton,4
2024,67,0,59077,Spencer Cross,4
2024,67,0,59866,Nick Dunlap,4
2024,67,0,37066,Grant Forrest,4
2024,67,0,55074,Sebastian Friedrichsen,4
2024,67,0,57593,Ian Gilligan,4
2024,67,0,25900,Lucas Glover,4
2024,67,0,46402,Talor Gooch,4
2024,67,0,56762,Will Gordon,4
2024,67,0,60065,Ryan Hall,4
2024,67,0,27644,Brian Harman,4
2024,67,0,34098,Russell Henley,4
2024,67,0,51696,Rico Hoey,4
2024,67,0,12716,Charley Hoffman,4
2024,67,0,46717,Viktor Hovland,4
2024,67,0,35506,Mackenzie Hughes,4
2024,67,0,63454,Johnny Keefer,4
2024,67,0,34500,Ryosuke Kinoshita,4
2024,67,0,27936,Martin Laird,4
2024,67,0,37250,Romain Langasque,4
2024,67,0,47443,Junghwan Lee,4
2024,67,0,55509,Hurly Long,4
2024,67,0,55789,Taylor Montgomery,4
2024,67,0,34213,Grayson Murray,4
2024,67,0,58188,James Nicholas,4
2024,67,0,29289,S.Y. Noh,4
2024,67,0,30756,Andrea Pavan,4
2024,67,0,48052,Max Rottluff,4
2024,67,0,66583,Taisei Shimizu,4
2024,67,0,50095,Austin Smotherman,4
2024,67,0,50484,Hayden Springer,4
2024,67,0,55893,Sam Stevens,4
2024,67,0,54218,Yuta Sugiura,4
2024,67,0,35314,Andy Sullivan,4
2024,67,0,50584,Connor Syme,4
2024,67,0,57864,Jackson Van Paris,4
2024,67,0,52513,Carson Young,4
2024,110,0,24846,Ricky Barnes,3
2024,110,0,40026,Daniel Berger,3
2024,110,0,66417,Blades Brown,3
2024,110,0,66742,Jackson Buchanan,3
2024,110,0,29268,Bronson Burgoon,3
