YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,VICTORIES
2024,1,0,46046,Scottie Scheffler,7.0
2024,2,0,59866,Nick Dunlap,2.0
2024,2,0,57362,Austin Eckroat,2.0
2024,2,0,52215,Robert MacIntyre,2.0
2024,2,0,32839,Hideki Matsuyama,2.0
2024,2,0,28237,Rory McIlroy,2.0
2024,2,0,48081,Xander Schauffele,2.0
2024,8,0,56630,Akshay Bhatia,1.0
2024,8,0,33141,Keegan Bradley,1.0
2024,8,0,32070,Rafael Campos,1.0
2024,8,0,51766,Wyndham Clark,1.0
2024,8,0,45157,Cam Davis,1.0
2024,8,0,47959,Bryson DeChambeau,1.0
2024,8,0,51349,Nico Echavarria,1.0
2024,8,0,29535,Brice Garnett,1.0
2024,8,0,59095,Chris Gotterup,1.0
2024,8,0,57975,Harry Hall,1.0
2024,8,0,29420,Billy Horschel,1.0
2024,8,0,36799,Stephan Jaeger,1.0
2024,8,0,30926,Chris Kirk,1.0
2024,8,0,32757,Patton Kizzire,1.0
2024,8,0,47420,Jake Knapp,1.0
2024,8,0,33204,Shane Lowry,1.0
2024,8,0,34466,Peter Malnati,1.0
2024,8,0,59141,Matt McCarty,1.0
2024,8,0,46442,Maverick McNealy,1.0
2024,8,0,34213,Grayson Murray,1.0
2024,8,0,48153,Matthieu Pavon,1.0
2024,8,0,40250,Taylor Pendrith,1.0
2024,8,0,49771,J.T. Poston,1.0
2024,8,0,46414,Aaron Rai,1.0
2024,8,0,47995,Davis Riley,1.0
2024,8,0,25493,Nick Taylor,1.0
2024,8,0,58168,Davis Thompson,1.0
2024,8,0,27064,Jhonattan Vegas,1.0
2024,8,0,45242,Kevin Yu,1.0
2024,37,0,66415,Ryan Abbate,0.0
2024,37,0,52955,Ludvig Åberg,0.0
2024,37,0,51856,Tom Adrounie,0.0
2024,37,0,24461,Thomas Aiken,0.0
2024,37,0,64267,Blaze Akana,0.0
2024,37,0,67118,Kihei Akina,0.0
2024,37,0,49303,Anders Albertson,0.0
2024,37,0,33408,Tyson Alexander,0.0
2024,37,0,33948,Byeong Hun An,0.0
2024,37,0,45526,Abraham Ancer,0.0
2024,37,0,52370,Mason Andersen,0.0
2024,37,0,57321,Matthew Anderson,0.0
2024,37,0,59636,Samuel Anderson,0.0
2024,37,0,1024,Billy Andrade,0.0
2024,37,0,30978,Kiradech Aphibarnrat,0.0
2024,37,0,45194,Marcus Armitage,0.0
2024,37,0,19803,Ryan Armour,0.0
2024,37,0,54625,Dawson Armstrong,0.0
2024,37,0,52096,Adri Arnaus,0.0
2024,37,0,47125,Matt Atkins,0.0
2024,37,0,56676,John Augenstein,0.0
2024,37,0,45527,Kevin Aylwin,0.0
2024,37,0,64052,Angel Ayora,0.0
2024,37,0,51661,Nick Bachem,0.0
2024,37,0,22371,Aaron Baddeley,0.0
2024,37,0,28259,Sangmoon Bae,0.0
