YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
2014,1,0,29926,Danny Lee,"96' 9""",96.75,1
2014,2,0,29518,Brendan Steele,"76' 1""",76.083,1
2014,3,0,29222,Billy Hurley III,"69' 11""",69.917,1
2014,4,0,21878,Mark Wilson,"67' 2""",67.167,1
2014,5,0,29461,Jamie Lovemark,"65' 9""",65.75,1
2014,6,0,24138,Ian Poulter,"65' 8""",131.25,2
2014,7,0,34264,Hudson Swafford,"65' 3""",130.417,2
2014,8,0,31193,Jim Renner,"64' 2""",64.167,1
2014,9,0,33141,Keegan Bradley,"58' 4""",58.333,1
2014,10,0,28307,Matt Every,"56' 11""",113.833,2
2014,11,0,27644,Brian Harman,"55' 11""",55.917,1
2014,12,0,34021,Bud Cauley,"55' 5""",55.417,1
2014,13,0,22371,Aaron Baddeley,"53' 4""",53.333,1
2014,13,0,28500,Martin Flores,"53' 4""",53.333,1
2014,15,0,35541,John Peterson,"52' 7""",52.583,1
2014,16,0,26329,Louis Oosthuizen,"52' 6""",105.0,2
2014,16,0,28486,Michael Putnam,"52' 6""",52.5,1
2014,18,0,25240,D.A. Points,"52' 2""",52.167,1
2014,19,0,7867,Woody Austin,"52' 1""",52.083,1
2014,20,0,23621,Rory Sabbatini,"49' 11""",249.417,5
2014,21,0,29221,Webb Simpson,"48' 1""",48.083,1
2014,22,0,27936,Martin Laird,"47' 7""",47.583,1
2014,23,0,29425,Andrew Svoboda,"47' 6""",47.5,1
2014,24,0,30926,Chris Kirk,"44' 9""",44.75,1
2014,25,0,24358,Robert Garrigus,"44' 3""",44.25,1
2014,26,0,27141,J.B. Holmes,"43' 6""",43.5,1
2014,27,0,24924,Bill Haas,"41' 10""",41.833,1
2014,28,0,24494,Erik Compton,"41' 1""",41.083,1
2014,29,0,23409,James Driscoll,"40' 2""",80.25,2
2014,30,0,25345,Carl Pettersson,"39' 10""",39.833,1
2014,31,0,33461,Morgan Hoffmann,"39' 8""",39.667,1
2014,32,0,32333,Kevin Tway,"39' 7""",39.583,1
2014,33,0,25562,Andres Romero,"38' 11""",38.917,1
2014,34,0,24361,Pat Perez,"38' 1""",38.083,1
2014,35,0,20104,Ken Duke,"37' 8""",37.667,1
2014,36,0,30110,Kyle Stanley,"37' 7""",37.583,1
2014,37,0,20098,Stuart Appleby,"37' 0""",37.0,1
2014,38,0,24781,Hunter Mahan,"35' 2""",35.167,1
2014,39,0,22046,Geoff Ogilvy,"34' 6""",172.333,5
2014,40,0,6567,Vijay Singh,"34' 4""",34.333,1
2014,41,0,21753,Brian Davis,"33' 11""",33.917,1
2014,42,0,27895,Jonas Blixt,"33' 5""",33.417,1
2014,43,0,25274,Steven Bowditch,"33' 0""",33.0,1
2014,44,0,25396,Kevin Na,"32' 11""",32.917,1
2014,45,0,27330,Josh Teater,"31' 11""",31.917,1
2014,46,0,32334,Charlie Beljan,"31' 5""",62.833,2
2014,47,0,34360,Patrick Reed,"31' 0""",31.0,1
2014,48,0,33419,Cameron Tringale,"30' 5""",30.417,1
2014,49,0,23108,Matt Kuchar,"29' 8""",29.667,1
2014,50,0,27933,John Merrick,"29' 5""",29.417,1
2014,51,0,26289,Boo Weekley,"28' 11""",57.75,2
2014,52,0,32102,Rickie Fowler,"28' 10""",28.833,1
2014,53,0,23638,Brendon de Jonge,"28' 9""",28.75,1
2014,54,0,33418,Shawn Stefani,"28' 0""",28.0,1
2014,55,0,27436,Graham DeLaet,"27' 7""",27.583,1
2014,56,0,25900,Lucas Glover,"26' 2""",104.583,4
2014,57,0,28475,Jeff Overton,"24' 0""",24.0,1
2014,58,0,2206,David Toms,"22' 2""",22.167,1
2014,59,0,33122,Russell Knox,"21' 5""",42.75,2
2014,59,0,28780,Nicholas Thompson,"21' 5""",21.417,1
2014,61,0,24490,George McNeill,"21' 0""",21.0,1
2014,62,0,32448,James Hahn,"20' 2""",20.167,1
2014,63,0,28237,Rory McIlroy,"19' 2""",19.167,1
2014,64,0,30925,Dustin Johnson,"17' 8""",17.667,1
2014,65,0,26758,David Hearn,"17' 2""",17.167,1
2014,66,0,25632,Jimmy Walker,"14' 11""",14.917,1
2014,67,0,28092,D.H. Lee,"10' 8""",10.667,1
2014,68,0,25191,Gonzalo Fernandez-Castaño,"10' 0""",10.0,1
2014,69,0,20396,Lee Westwood,"8' 1""",8.083,1
2014,70,0,31202,William McGirt,"4' 10""",4.833,1
2013,1,0,28135,Aaron Watkins,"89' 7""",89.583,1
2013,2,0,22806,Doug LaBelle II,"81' 5""",81.417,1
2013,3,0,12510,Chad Campbell,"79' 7""",79.583,1
2013,4,0,25240,D.A. Points,"77' 10""",155.667,2
2013,5,0,30944,Jason Kokrak,"74' 2""",148.25,2
2013,6,0,32200,Roberto Castro,"68' 10""",137.583,2
2013,7,0,27503,Steve LeBrun,"68' 3""",68.25,1
2013,8,0,23800,Bryce Molder,"66' 1""",66.083,1
2013,9,0,25804,Bubba Watson,"64' 10""",64.833,1
2013,10,0,23497,Tag Ridings,"63' 8""",63.667,1
2013,11,0,10885,Robert Allenby,"63' 2""",63.167,1
2013,12,0,28237,Rory McIlroy,"58' 4""",58.333,1
2013,13,0,27214,Kevin Streelman,"55' 4""",55.333,1
2013,14,0,34409,David Lingmerth,"53' 10""",107.667,2
2013,15,0,6567,Vijay Singh,"52' 6""",52.5,1
2013,16,0,33141,Keegan Bradley,"52' 4""",52.333,1
2013,17,0,32334,Charlie Beljan,"52' 3""",52.25,1
2013,18,0,25444,Justin Hicks,"52' 1""",156.333,3
2013,19,0,27120,Troy Matteson,"51' 11""",51.917,1
2013,20,0,23621,Rory Sabbatini,"51' 10""",51.833,1
2013,21,0,22046,Geoff Ogilvy,"51' 4""",51.333,1
2013,22,0,34098,Russell Henley,"49' 10""",99.667,2
2013,23,0,34174,John Huh,"49' 0""",97.917,2
2013,24,0,34360,Patrick Reed,"48' 2""",48.167,1
2013,25,0,23541,Ben Crane,"47' 3""",141.75,3
2013,26,0,29740,Brad Fritsch,"46' 5""",92.75,2
2013,27,0,29425,Andrew Svoboda,"45' 4""",45.333,1
2013,28,0,32366,Kevin Chappell,"44' 11""",44.917,1
2013,29,0,30926,Chris Kirk,"44' 1""",88.167,2
2013,30,0,30163,Henrik Norlander,"43' 3""",43.25,1
2013,31,0,6522,Ernie Els,"43' 0""",43.0,1
2013,32,0,20848,Ángel Cabrera,"42' 7""",42.583,1
2013,33,0,27330,Josh Teater,"41' 8""",41.667,1
2013,34,0,25274,Steven Bowditch,"40' 11""",81.833,2
2013,35,0,35539,Luke Guthrie,"40' 10""",40.833,1
2013,36,0,27770,Camilo Villegas,"40' 6""",40.5,1
2013,37,0,26331,Charl Schwartzel,"39' 11""",39.917,1
2013,38,0,24846,Ricky Barnes,"39' 9""",79.417,2
2013,39,0,25336,Alistair Presnell,"37' 1""",37.083,1
2013,40,0,30692,Scott Stallings,"36' 5""",36.417,1
2013,40,0,20396,Lee Westwood,"36' 5""",72.75,2
2013,42,0,24924,Bill Haas,"36' 0""",36.0,1
2013,43,0,26596,Ryan Moore,"34' 4""",34.333,1
2013,44,0,23325,Vaughn Taylor,"33' 10""",33.833,1
2013,45,0,1320,Bob Estes,"32' 9""",32.75,1
2013,46,0,23638,Brendon de Jonge,"31' 11""",31.917,1
