YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
2024,0,46113,Ryan McCormick,30.89%,232,751
2024,0,32367,Jorge Campillo,30.86%,191,619
2024,0,52374,Brandon Wu,30.86%,304,985
2024,0,47347,Adam Schenk,30.80%,332,1078
2024,0,59095,Chris Gotterup,30.79%,266,864
2024,0,49947,Taylor Moore,30.79%,363,1179
2024,0,48117,Kurt Kitayama,30.77%,300,975
2024,0,34563,Chesson Hadley,30.75%,250,813
2024,0,28252,Seamus Power,30.65%,358,1168
2024,0,37212,Paul Barjon,30.62%,184,601
2024,0,47988,Nick Hardy,30.58%,337,1102
2024,0,25493,Nick Taylor,30.47%,294,965
2024,0,34255,Joseph Bramlett,30.46%,321,1054
2024,0,35310,Lanto Griffin,30.45%,285,936
2024,0,29221,Webb Simpson,30.44%,172,565
2024,0,40026,Daniel Berger,30.41%,295,970
2024,0,55454,Carl Yuan,30.39%,220,724
2024,0,48319,Tom Whitney,30.33%,256,844
2024,0,27936,Martin Laird,30.29%,272,898
2024,0,27214,Kevin Streelman,30.29%,255,842
2024,0,54576,Patrick Fishburn,30.26%,282,932
2024,0,60767,Blaine Hale Jr.,30.21%,184,609
2024,0,48153,Matthieu Pavon,30.21%,226,748
2024,0,50497,Adrien Dumont de Chassart,30.07%,264,878
2024,0,24024,Zach Johnson,30.07%,172,572
2024,0,31646,Emiliano Grillo,29.95%,301,1005
2024,0,56149,Wilson Furr,29.94%,203,678
2024,0,46414,Aaron Rai,29.90%,331,1107
2024,0,51287,Ryo Hisatsune,29.89%,318,1064
2024,0,36326,David Lipsky,29.89%,252,843
2024,0,52375,Doug Ghim,29.82%,354,1187
2024,0,29535,Brice Garnett,29.79%,182,611
2024,0,32333,Kevin Tway,29.78%,226,759
2024,0,27349,Alex Noren,29.75%,252,847
2024,0,29908,C.T. Pan,29.75%,213,716
2024,0,34466,Peter Malnati,29.71%,246,828
2024,0,39327,Ben Silverman,29.69%,291,980
2024,0,36884,Ben Kohles,29.47%,315,1069
2024,0,49960,Sepp Straka,29.44%,275,934
2024,0,52453,Nicolai Højgaard,29.34%,196,668
2024,0,22371,Aaron Baddeley,29.28%,243,830
2024,0,45242,Kevin Yu,29.26%,275,940
2024,0,34076,Joel Dahmen,29.25%,332,1135
2024,0,30911,Tommy Fleetwood,29.22%,251,859
2024,0,48699,Callum Tarren,29.19%,244,836
2024,0,34256,Andrew Putnam,29.18%,286,980
2024,0,47663,Kevin Dougherty,29.02%,222,765
2024,0,40115,Adam Svensson,28.91%,375,1297
2024,0,27139,David Skinns,28.88%,298,1032
2024,0,27649,Brandt Snedeker,28.87%,192,665
2024,0,52372,Cameron Champ,28.76%,201,699
2024,0,34374,Erik Barnes,28.71%,172,599
2024,0,23108,Matt Kuchar,28.62%,249,870
2024,0,55708,Hayden Buckley,28.61%,240,839
2024,0,47679,Victor Perez,28.59%,253,885
2024,0,35617,Martin Trainer,28.55%,159,557
2024,0,23320,Ryan Palmer,28.36%,135,476
2024,0,54628,Lee Hodges,28.23%,315,1116
2024,0,26596,Ryan Moore,28.23%,251,889
2024,0,48119,Ben Taylor,28.15%,199,707
2024,0,50095,Austin Smotherman,28.12%,196,697
2024,0,28775,Nate Lashley,28.09%,261,929
2024,0,40058,Zac Blair,27.89%,273,979
2024,0,59442,Parker Coody,27.83%,182,654
2024,0,28420,Ryan Brehm,27.81%,198,712
2024,0,27770,Camilo Villegas,27.79%,189,680
2024,0,34021,Bud Cauley,27.74%,190,685
2024,0,26476,Chez Reavie,27.69%,234,845
2024,0,27330,Josh Teater,27.66%,177,640
2024,0,47483,Will Zalatoris,27.52%,213,774
2024,0,29478,Kevin Kisner,27.44%,166,605
2024,0,47806,Raul Pereda,27.33%,132,483
2024,0,45609,Tyler Duncan,26.77%,227,848
2024,0,51890,Greyson Sigg,25.79%,252,977
2024,0,36871,Matt NeSmith,25.71%,235,914
2024,0,51070,Vincent Norrman,23.75%,143,602
2023,0,55789,Taylor Montgomery,38.21%,441,1154
2023,0,52955,Ludvig Åberg,35.87%,236,658
2023,0,46970,Jon Rahm,35.83%,321,896
2023,0,47591,Eric Cole,35.72%,533,1492
2023,0,39977,Max Homa,35.47%,366,1032
2023,0,24502,Adam Scott,35.16%,282,802
2023,0,35450,Patrick Cantlay,35.14%,317,902
2023,0,46717,Viktor Hovland,34.98%,376,1075
2023,0,28237,Rory McIlroy,34.27%,267,779
2023,0,48081,Xander Schauffele,34.21%,340,994
2023,0,57366,Cameron Young,34.21%,365,1067
2023,0,37275,Sam Ryder,34.19%,454,1328
2023,0,51634,Sahith Theegala,34.14%,422,1236
2023,0,39058,Lucas Herbert,34.10%,236,692
2023,0,39971,Sungjae Im,33.98%,422,1242
2023,0,34363,Tyrrell Hatton,33.83%,315,931
2023,0,55182,Tom Kim,33.78%,380,1125
2023,0,50493,Justin Suh,33.68%,458,1360
2023,0,35617,Martin Trainer,33.65%,248,737
2023,0,30911,Tommy Fleetwood,33.64%,289,859
2023,0,52453,Nicolai Hojgaard,33.63%,191,568
2023,0,47504,Sam Burns,33.62%,311,925
2023,0,51766,Wyndham Clark,33.60%,416,1238
2023,0,57975,Harry Hall,33.50%,408,1218
2023,0,58696,Peter Kuest,33.39%,203,608
2023,0,33948,Byeong Hun An,33.31%,402,1207
2023,0,33141,Keegan Bradley,33.20%,328,988
2023,0,25818,Scott Piercy,33.19%,384,1157
2023,0,31577,Tano Goya,33.18%,369,1112
2023,0,35532,Tom Hoge,33.17%,417,1257
2023,0,33448,Justin Thomas,33.14%,281,848
2023,0,33653,Thomas Detry,33.13%,384,1159
2023,0,32102,Rickie Fowler,33.11%,388,1172
2023,0,59018,Ryan Gerard,33.10%,239,722
2023,0,32757,Patton Kizzire,33.00%,396,1200
2023,0,29725,Tony Finau,32.92%,343,1042
2023,0,55454,Carl Yuan,32.91%,334,1015
2023,0,47128,Richy Werenski,32.89%,367,1116
2023,0,40006,Erik van Rooyen,32.85%,314,956
2023,0,48867,Matti Schmid,32.82%,320,975
2023,0,22405,Justin Rose,32.79%,263,802
2023,0,28089,Jason Day,32.78%,315,961
2023,0,50188,S.H. Kim,32.73%,413,1262
2023,0,25493,Nick Taylor,32.60%,357,1095
2023,0,46046,Scottie Scheffler,32.59%,382,1172
2023,0,50525,Collin Morikawa,32.53%,336,1033
2023,0,47995,Davis Riley,32.51%,393,1209
2023,0,54421,Garrick Higgo,32.50%,402,1237
2023,0,30927,Brendon Todd,32.45%,402,1239
2023,0,34046,Jordan Spieth,32.41%,268,827
2023,0,39067,MJ Daffue,32.39%,400,1235
2023,0,50095,Austin Smotherman,32.38%,387,1195
2023,0,49771,J.T. Poston,32.36%,401,1239
2023,0,54591,Ben Griffin,32.35%,462,1428
2023,0,40162,Justin Lower,32.29%,421,1304
2023,0,34563,Chesson Hadley,32.28%,378,1171
2023,0,45242,Kevin Yu,32.14%,297,924
2023,0,34466,Peter Malnati,32.12%,345,1074
2023,0,29289,S.Y. Noh,31.94%,260,814
2023,0,33597,Harry Higgs,31.93%,311,974
2023,0,35461,Beau Hossler,31.92%,421,1319
2023,0,51070,Vincent Norrman,31.90%,335,1050
2023,0,33413,Ben Martin,31.88%,403,1264
2023,0,27554,Scott Harrington,31.87%,304,954
2023,0,47993,Denny McCarthy,31.87%,384,1205
2023,0,56630,Akshay Bhatia,31.83%,339,1065
2023,0,52374,Brandon Wu,31.83%,451,1417
2023,0,48084,Wesley Bryan,31.79%,178,560
2023,0,28252,Seamus Power,31.78%,306,963
2023,0,47983,Chad Ramey,31.71%,385,1214
2023,0,46442,Maverick McNealy,31.70%,227,716
2023,0,36799,Stephan Jaeger,31.65%,488,1542
2023,0,23320,Ryan Palmer,31.64%,305,964
2023,0,37338,Zecheng Dou,31.61%,372,1177
2023,0,56762,Will Gordon,31.56%,446,1413
2023,0,27644,Brian Harman,31.56%,357,1131
2023,0,33399,Adam Hadwin,31.55%,337,1068
2023,0,51414,Brent Grant,31.52%,325,1031
2023,0,35506,Mackenzie Hughes,31.52%,330,1047
2023,0,39546,Keith Mitchell,31.52%,360,1142
2023,0,40115,Adam Svensson,31.50%,469,1489
2023,0,25900,Lucas Glover,31.41%,398,1267
2023,0,45157,Cam Davis,31.40%,347,1105
2023,0,34255,Joseph Bramlett,31.33%,307,980
2023,0,37455,Si Woo Kim,31.33%,371,1184
2023,0,28775,Nate Lashley,31.32%,420,1341
2023,0,54783,Dylan Wu,31.22%,419,1342
2023,0,20229,Stewart Cink,31.19%,296,949
2023,0,49960,Sepp Straka,31.08%,350,1126
2023,0,39997,Corey Conners,31.06%,337,1085
2023,0,47988,Nick Hardy,30.99%,454,1465
2023,0,40098,Matt Fitzpatrick,30.95%,264,853
2023,0,32839,Hideki Matsuyama,30.94%,323,1044
2023,0,29221,Webb Simpson,30.82%,200,649
2023,0,27129,Luke List,30.79%,391,1270
2023,0,32816,Satoshi Kodaira,30.74%,241,784
2023,0,30926,Chris Kirk,30.71%,339,1104
2023,0,31646,Emiliano Grillo,30.70%,424,1381
2023,0,48117,Kurt Kitayama,30.68%,251,818
2023,0,49947,Taylor Moore,30.67%,357,1164
2023,0,36699,Patrick Rodgers,30.67%,369,1203
2023,0,58168,Davis Thompson,30.67%,365,1190
2023,0,35449,Adam Long,30.63%,412,1345
2023,0,36801,Mark Hubbard,30.56%,434,1420
2023,0,32640,Troy Merritt,30.56%,330,1080
2023,0,48699,Callum Tarren,30.53%,367,1202
2023,0,29420,Billy Horschel,30.43%,224,736
2023,0,34409,David Lingmerth,30.43%,294,966
2023,0,52372,Cameron Champ,30.35%,295,972
2023,0,39954,Cody Gribble,30.35%,258,850
2023,0,22371,Aaron Baddeley,30.33%,286,943
2023,0,32791,K.H. Lee,30.33%,400,1319
2023,0,33408,Tyson Alexander,30.31%,331,1092
2023,0,57362,Austin Eckroat,30.30%,359,1185
2023,0,29970,Dylan Frittelli,30.22%,252,834
2023,0,26596,Ryan Moore,30.21%,313,1036
2023,0,39335,Kevin Roy,30.20%,283,937
2023,0,34098,Russell Henley,30.19%,317,1050
2023,0,23108,Matt Kuchar,30.18%,335,1110
2023,0,46441,Robby Shelton,30.15%,369,1224
2023,0,46414,Aaron Rai,30.13%,395,1311
2023,0,47079,Harrison Endycott,30.12%,319,1059
2023,0,24140,Sean O'Hair,30.11%,187,621
2023,0,46340,Alex Smalley,30.10%,419,1392
2023,0,35879,Kelly Kraft,30.09%,325,1080
2023,0,55893,Sam Stevens,30.09%,386,1283
2023,0,40058,Zac Blair,30.08%,280,931
2023,0,27974,Sung Kang,30.07%,178,592
2023,0,49453,Trevor Cone,29.95%,307,1025
2023,0,31202,William McGirt,29.92%,187,625
2023,0,32366,Kevin Chappell,29.91%,204,682
2023,0,48119,Ben Taylor,29.90%,369,1234
2023,0,52411,Kyle Westmoreland,29.90%,282,943
2023,0,31323,Gary Woodland,29.81%,302,1013
2023,0,52513,Carson Young,29.78%,369,1239
2023,0,27349,Alex Noren,29.77%,326,1095
2023,0,36326,David Lipsky,29.76%,372,1250
2023,0,27936,Martin Laird,29.75%,327,1099
2023,0,45609,Tyler Duncan,29.71%,355,1195
2023,0,31560,Brian Stuard,29.71%,243,818
2023,0,39324,J.J. Spaun,29.60%,383,1294
2023,0,51491,Brandon Matthews,29.58%,202,683
2023,0,34099,Harris English,29.57%,333,1126
2023,0,51890,Greyson Sigg,29.56%,386,1306
2023,0,46435,Austin Cook,29.52%,294,996
2023,0,25632,Jimmy Walker,29.49%,292,990
2023,0,46601,Trey Mullinax,29.43%,239,812
2023,0,52375,Doug Ghim,29.37%,351,1195
2023,0,35901,Paul Haley II,29.32%,314,1071
2023,0,45522,Christiaan Bezuidenhout,29.29%,304,1038
2023,0,12716,Charley Hoffman,29.25%,291,995
2023,0,51997,Andrew Novak,29.21%,335,1147
2023,0,48887,Matt Wallace,29.19%,284,973
2023,0,33204,Shane Lowry,29.13%,215,738
2023,0,25686,Jason Dufner,29.12%,327,1123
2023,0,28420,Ryan Brehm,29.10%,289,993
2023,0,40250,Taylor Pendrith,29.10%,360,1237
2023,0,34256,Andrew Putnam,29.02%,404,1392
2023,0,47347,Adam Schenk,28.97%,420,1450
2023,0,29908,C.T. Pan,28.91%,196,678
2023,0,51349,Nico Echavarria,28.85%,266,922
2023,0,51950,Max McGreevy,28.71%,302,1052
2023,0,34076,Joel Dahmen,28.70%,318,1108
2023,0,53165,Doc Redman,28.64%,281,981
2023,0,54628,Lee Hodges,28.61%,359,1255
2023,0,32333,Kevin Tway,28.61%,351,1227
2023,0,29535,Brice Garnett,28.56%,311,1089
2023,0,36871,Matt NeSmith,28.56%,353,1236
2023,0,55708,Hayden Buckley,28.42%,293,1031
2023,0,39975,Michael Kim,28.41%,337,1186
2023,0,30692,Scott Stallings,28.33%,281,992
2023,0,33410,Andrew Landry,28.32%,260,918
2023,0,36724,Augusto Núñez,28.30%,296,1046
2023,0,32448,James Hahn,28.13%,276,981
2023,0,24925,Jonathan Byrd,28.02%,197,703
2023,0,58967,Trevor Werbylo,27.93%,267,956
2023,0,49298,Kramer Hickok,27.89%,333,1194
2023,0,34610,Matthias Schwab,27.79%,336,1209
2023,0,32139,Danny Willett,27.72%,204,736
2023,0,34431,Robert Streb,27.70%,267,964
2023,0,27214,Kevin Streelman,27.70%,318,1148
2023,0,27095,Nick Watney,27.68%,240,867
2023,0,26476,Chez Reavie,27.64%,327,1183
2023,0,19803,Ryan Armour,27.63%,315,1140
2023,0,35310,Lanto Griffin,27.49%,193,702
2023,0,27963,Chris Stroud,27.41%,193,704
2023,0,32662,Michael Gligic,27.14%,228,840
2023,0,30163,Henrik Norlander,26.95%,304,1128
2023,0,22056,Cameron Percy,26.83%,224,835
2023,0,33122,Russell Knox,26.73%,393,1470
2023,0,49766,Hank Lebioda,26.55%,197,742
2023,0,24024,Zach Johnson,25.78%,207,803
2023,0,31557,Jim Herman,25.70%,240,934
2022,0,35891,Cameron Smith,37.57,284,756
2022,0,33448,Justin Thomas,36.62,342,934
2022,0,57366,Cameron Young,36.44,348,955
2022,0,35450,Patrick Cantlay,36.17,306,846
2022,0,46717,Viktor Hovland,35.88,301,839
2022,0,51894,Vince Whaley,35.46,345,973
2022,0,28237,Rory McIlroy,35.11,264,752
2022,0,46046,Scottie Scheffler,34.77,379,1090
2022,0,47504,Sam Burns,34.51,341,988
2022,0,39058,Lucas Herbert,34.4,193,561
2022,0,48081,Xander Schauffele,34.21,311,909
2022,0,46442,Maverick McNealy,33.87,357,1054
2022,0,45157,Cam Davis,33.82,325,961
2022,0,29926,Danny Lee,33.68,194,576
2022,0,34264,Hudson Swafford,33.59,258,768
2022,0,32839,Hideki Matsuyama,33.52,296,883
2022,0,47483,Will Zalatoris,33.37,322,965
2022,0,56278,Matthew Wolff,33.33,175,525
2022,0,34046,Jordan Spieth,33.26,297,893
2022,0,26851,Marc Leishman,33.22,285,858
2022,0,47995,Davis Riley,33.22,375,1129
2022,0,46601,Trey Mullinax,33.1,325,982
2022,0,22405,Justin Rose,32.96,207,628
2022,0,34363,Tyrrell Hatton,32.93,242,735
2022,0,23621,Rory Sabbatini,32.86,207,630
2022,0,37189,Harold Varner III,32.85,271,825
2022,0,30692,Scott Stallings,32.83,370,1127
2022,0,34466,Peter Malnati,32.8,390,1189
2022,0,45486,Joaquin Niemann,32.72,318,972
2022,0,36689,Brooks Koepka,32.69,170,520
2022,0,24502,Adam Scott,32.65,286,876
2022,0,36799,Stephan Jaeger,32.54,314,965
2022,0,39546,Keith Mitchell,32.54,340,1045
2022,0,28089,Jason Day,32.53,215,661
2022,0,49964,Aaron Wise,32.52,347,1067
2022,0,34174,John Huh,32.51,289,889
2022,0,33667,Carlos Ortiz,32.47,225,693
2022,0,46402,Talor Gooch,32.43,286,882
2022,0,34098,Russell Henley,32.43,322,993
2022,0,36852,Jim Knous,32.41,188,580
2022,0,40115,Adam Svensson,32.4,392,1210
2022,0,31646,Emiliano Grillo,32.39,332,1025
2022,0,47856,Seth Reeves,32.33,258,798
2022,0,46550,Brandon Hagy,32.19,281,873
2022,0,39977,Max Homa,32.13,311,968
2022,0,47128,Richy Werenski,32.11,228,710
2022,0,27139,David Skinns,32.1,243,757
2022,0,29725,Tony Finau,32.09,353,1100
2022,0,46970,Jon Rahm,32.04,289,902
2022,0,48117,Kurt Kitayama,31.96,264,826
2022,0,28775,Nate Lashley,31.93,295,924
2022,0,40162,Justin Lower,31.92,278,871
2022,0,28252,Seamus Power,31.91,307,962
2022,0,33486,Roger Sloan,31.86,266,835
2022,0,32150,Michael Thompson,31.85,308,967
2022,0,32366,Kevin Chappell,31.81,209,657
2022,0,22056,Cameron Percy,31.81,167,525
2022,0,35532,Tom Hoge,31.73,363,1144
2022,0,21961,Charles Howell III,31.64,218,689
2022,0,35310,Lanto Griffin,31.55,289,916
2022,0,25818,Scott Piercy,31.55,272,862
2022,0,32816,Satoshi Kodaira,31.54,194,615
2022,0,35506,Mackenzie Hughes,31.46,291,925
2022,0,40250,Taylor Pendrith,31.44,283,900
2022,0,36884,Ben Kohles,31.41,240,764
2022,0,50525,Collin Morikawa,31.39,232,739
2022,0,32640,Troy Merritt,31.36,324,1033
2022,0,48822,Sebastián Muñoz,31.35,311,992
2022,0,29221,Webb Simpson,31.32,213,680
2022,0,51766,Wyndham Clark,31.31,356,1137
2022,0,37455,Si Woo Kim,31.31,361,1153
2022,0,51634,Sahith Theegala,31.31,422,1348
2022,0,35879,Kelly Kraft,31.17,245,786
2022,0,32757,Patton Kizzire,31.16,330,1059
2022,0,24138,Ian Poulter,31.16,153,491
2022,0,27974,Sung Kang,31.12,295,948
2022,0,24361,Pat Perez,31.09,222,714
2022,0,49947,Taylor Moore,31.07,320,1030
2022,0,37275,Sam Ryder,31.07,321,1033
2022,0,45526,Abraham Ancer,31.03,216,696
2022,0,47983,Chad Ramey,31.02,268,864
2022,0,26300,Matt Jones,31.0,221,713
2022,0,37212,Paul Barjon,30.98,259,836
2022,0,35617,Martin Trainer,30.98,276,891
2022,0,32791,K.H. Lee,30.97,358,1156
2022,0,48084,Wesley Bryan,30.96,165,533
2022,0,29289,S.Y. Noh,30.92,235,760
2022,0,25198,Francesco Molinari,30.91,187,605
2022,0,36801,Mark Hubbard,30.89,257,832
2022,0,48699,Callum Tarren,30.88,256,829
2022,0,30944,Jason Kokrak,30.87,221,716
2022,0,30911,Tommy Fleetwood,30.85,203,658
2022,0,40006,Erik van Rooyen,30.84,173,561
2022,0,29478,Kevin Kisner,30.82,245,795
2022,0,33141,Keegan Bradley,30.81,293,951
2022,0,39324,J.J. Spaun,30.74,351,1142
2022,0,34076,Joel Dahmen,30.73,319,1038
2022,0,39971,Sungjae Im,30.7,342,1114
2022,0,51950,Max McGreevy,30.7,253,824
2022,0,52372,Cameron Champ,30.67,207,675
2022,0,33419,Cameron Tringale,30.67,342,1115
2022,0,30927,Brendon Todd,30.62,297,970
2022,0,47988,Nick Hardy,30.59,223,729
2022,0,30978,Kiradech Aphibarnrat,30.54,186,609
2022,0,12716,Charley Hoffman,30.53,247,809
2022,0,45609,Tyler Duncan,30.52,304,996
2022,0,49771,J.T. Poston,30.52,322,1055
2022,0,47993,Denny McCarthy,30.43,357,1173
2022,0,23325,Vaughn Taylor,30.39,193,635
2022,0,23108,Matt Kuchar,30.34,247,814
2022,0,36326,David Lipsky,30.33,326,1075
2022,0,32662,Michael Gligic,30.22,259,857
2022,0,33204,Shane Lowry,30.21,213,705
2022,0,33399,Adam Hadwin,30.2,331,1096
2022,0,40098,Matt Fitzpatrick,30.17,254,842
2022,0,29908,C.T. Pan,30.17,296,981
2022,0,28114,Dawie van der Walt,30.14,214,710
2022,0,52374,Brandon Wu,30.14,277,919
2022,0,34360,Patrick Reed,30.04,237,789
2022,0,27064,Jhonattan Vegas,30.0,282,940
2022,0,29420,Billy Horschel,29.99,257,857
2022,0,49766,Hank Lebioda,29.9,282,943
2022,0,27895,Jonas Blixt,29.87,158,529
2022,0,34563,Chesson Hadley,29.81,279,936
2022,0,50095,Austin Smotherman,29.78,282,947
2022,0,54421,Garrick Higgo,29.77,198,665
2022,0,35461,Beau Hossler,29.7,237,798
2022,0,29970,Dylan Frittelli,29.52,317,1074
2022,0,51997,Andrew Novak,29.52,261,884
2022,0,47529,Mito Pereira,29.52,328,1111
2022,0,27349,Alex Noren,29.5,223,756
2022,0,10381,Curtis Thompson,29.48,214,726
2022,0,31420,Anirban Lahiri,29.47,247,838
2022,0,45522,Christiaan Bezuidenhout,29.4,279,949
2022,0,32102,Rickie Fowler,29.38,233,793
2022,0,30926,Chris Kirk,29.36,293,998
2022,0,23983,Luke Donald,29.34,230,784
2022,0,25900,Lucas Glover,29.33,335,1142
2022,0,51890,Greyson Sigg,29.28,323,1103
2022,0,34256,Andrew Putnam,29.27,329,1124
2022,0,32333,Kevin Tway,29.27,262,895
2022,0,46340,Alex Smalley,29.26,333,1138
2022,0,39997,Corey Conners,29.23,328,1122
2022,0,53165,Doc Redman,29.18,279,956
2022,0,49298,Kramer Hickok,29.1,314,1079
2022,0,48887,Matt Wallace,29.02,193,665
2022,0,46435,Austin Cook,29.0,230,793
2022,0,35449,Adam Long,29.0,308,1062
2022,0,20229,Stewart Cink,28.87,272,942
2022,0,25493,Nick Taylor,28.86,297,1029
2022,0,24024,Zach Johnson,28.84,214,742
2022,0,32448,James Hahn,28.76,241,838
2022,0,27129,Luke List,28.73,287,999
2022,0,27644,Brian Harman,28.7,314,1094
2022,0,23320,Ryan Palmer,28.7,231,805
2022,0,34610,Matthias Schwab,28.7,248,864
2022,0,27770,Camilo Villegas,28.69,233,812
2022,0,25686,Jason Dufner,28.65,165,576
2022,0,49960,Sepp Straka,28.64,336,1173
2022,0,47347,Adam Schenk,28.57,298,1043
2022,0,34255,Joseph Bramlett,28.53,285,999
2022,0,39436,Joshua Creel,28.38,145,511
2022,0,32139,Danny Willett,28.33,204,720
2022,0,36871,Matthew NeSmith,28.24,320,1133
2022,0,29535,Brice Garnett,28.17,262,930
2022,0,55708,Hayden Buckley,28.02,318,1135
2022,0,36699,Patrick Rodgers,28.02,290,1035
