YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
2024,0,47504,Sam Burns,37.35%,316,846
2024,0,51766,Wyndham Clark,36.85%,290,787
2024,0,46046,Scottie Scheffler,36.81%,342,929
2024,0,57975,Harry Hall,36.48%,348,954
2024,0,50188,S.H. Kim,36.15%,423,1170
2024,0,40250,Taylor Pendrith,35.78%,327,914
2024,0,52514,Trace Crowe,35.51%,288,811
2024,0,59866,Nick Dunlap,35.41%,273,771
2024,0,50525,Collin Morikawa,35.31%,327,926
2024,0,60004,Jacob Bridgeman,35.15%,336,956
2024,0,51977,Max Greyserman,35.09%,333,949
2024,0,48084,Wesley Bryan,35.04%,219,625
2024,0,37275,Sam Ryder,35.04%,321,916
2024,0,57900,Chandler Phillips,34.87%,340,975
2024,0,33653,Thomas Detry,34.69%,264,761
2024,0,12716,Charley Hoffman,34.60%,292,844
2024,0,46717,Viktor Hovland,34.58%,240,694
2024,0,39971,Sungjae Im,34.45%,351,1019
2024,0,33948,Byeong Hun An,34.39%,314,913
2024,0,39546,Keith Mitchell,34.28%,351,1024
2024,0,35532,Tom Hoge,34.26%,421,1229
2024,0,47591,Eric Cole,34.25%,412,1203
2024,0,38991,Alejandro Tosti,34.25%,275,803
2024,0,52955,Ludvig Åberg,34.06%,313,919
2024,0,28089,Jason Day,34.01%,267,785
2024,0,46442,Maverick McNealy,33.96%,381,1122
2024,0,35450,Patrick Cantlay,33.74%,248,735
2024,0,28237,Rory McIlroy,33.74%,274,812
2024,0,51894,Vince Whaley,33.68%,291,864
2024,0,45157,Cam Davis,33.56%,295,879
2024,0,55789,Taylor Montgomery,33.56%,197,587
2024,0,36799,Stephan Jaeger,33.44%,313,936
2024,0,55182,Tom Kim,33.40%,314,940
2024,0,48867,Matti Schmid,33.37%,325,974
2024,0,57366,Cameron Young,33.37%,321,962
2024,0,60067,Joe Highsmith,33.33%,294,882
2024,0,35506,Mackenzie Hughes,33.33%,361,1083
2024,0,34046,Jordan Spieth,33.33%,276,828
2024,0,50484,Hayden Springer,33.22%,297,894
2024,0,47995,Davis Riley,33.18%,280,844
2024,0,48081,Xander Schauffele,33.13%,329,993
2024,0,40098,Matt Fitzpatrick,33.09%,272,822
2024,0,35461,Beau Hossler,33.05%,350,1059
2024,0,49771,J.T. Poston,33.04%,334,1011
2024,0,51634,Sahith Theegala,33.04%,374,1132
2024,0,39975,Michael Kim,33.00%,335,1015
2024,0,47420,Jake Knapp,32.99%,291,882
2024,0,54783,Dylan Wu,32.99%,323,979
2024,0,47993,Denny McCarthy,32.96%,321,974
2024,0,51349,Nico Echavarria,32.91%,364,1106
2024,0,33408,Tyson Alexander,32.90%,280,851
2024,0,27064,Jhonattan Vegas,32.87%,308,937
2024,0,24502,Adam Scott,32.86%,278,846
2024,0,40006,Erik van Rooyen,32.86%,325,989
2024,0,29936,Ryan Fox,32.79%,303,924
2024,0,32757,Patton Kizzire,32.79%,262,799
2024,0,33968,Thorbjørn Olesen,32.67%,180,551
2024,0,36801,Mark Hubbard,32.62%,395,1211
2024,0,40162,Justin Lower,32.62%,396,1214
2024,0,37455,Si Woo Kim,32.53%,336,1033
2024,0,51696,Rico Hoey,32.52%,346,1064
2024,0,59836,Pierceson Coody,32.50%,312,960
2024,0,33448,Justin Thomas,32.45%,256,789
2024,0,52513,Carson Young,32.34%,348,1076
2024,0,50493,Justin Suh,32.25%,287,890
2024,0,29725,Tony Finau,32.24%,315,977
2024,0,27644,Brian Harman,32.20%,332,1031
2024,0,33399,Adam Hadwin,32.14%,296,921
2024,0,45522,Christiaan Bezuidenhout,32.11%,272,847
2024,0,51997,Andrew Novak,32.11%,340,1059
2024,0,30926,Chris Kirk,32.09%,292,910
2024,0,55893,Sam Stevens,32.03%,394,1230
2024,0,56630,Akshay Bhatia,32.02%,326,1018
2024,0,33141,Keegan Bradley,31.97%,305,954
2024,0,32640,Troy Merritt,31.97%,281,879
2024,0,52666,Sami Valimaki,31.95%,224,701
2024,0,52215,Robert MacIntyre,31.93%,273,855
2024,0,39324,J.J. Spaun,31.93%,326,1021
2024,0,34587,Chan Kim,31.89%,323,1013
2024,0,58168,Davis Thompson,31.89%,353,1107
2024,0,54591,Ben Griffin,31.84%,447,1404
2024,0,34098,Russell Henley,31.77%,271,853
2024,0,39997,Corey Conners,31.76%,349,1099
2024,0,46441,Robby Shelton,31.75%,280,882
2024,0,32070,Rafael Campos,31.66%,233,736
2024,0,39977,Max Homa,31.64%,286,904
2024,0,36699,Patrick Rodgers,31.55%,396,1255
2024,0,33204,Shane Lowry,31.50%,264,838
2024,0,37378,Min Woo Lee,31.48%,244,775
2024,0,32839,Hideki Matsuyama,31.48%,278,883
2024,0,47983,Chad Ramey,31.48%,323,1026
2024,0,54421,Garrick Higgo,31.46%,302,960
2024,0,34099,Harris English,31.43%,346,1101
2024,0,57362,Austin Eckroat,31.40%,336,1070
2024,0,27129,Luke List,31.38%,295,940
2024,0,32102,Rickie Fowler,31.33%,282,900
2024,0,30163,Henrik Norlander,31.29%,266,850
2024,0,22405,Justin Rose,31.22%,217,695
2024,0,33486,Roger Sloan,31.20%,249,798
2024,0,31323,Gary Woodland,31.16%,296,950
2024,0,25900,Lucas Glover,31.14%,359,1153
2024,0,32366,Kevin Chappell,31.05%,213,686
2024,0,59143,Mac Meissner,31.05%,281,905
2024,0,32791,K.H. Lee,31.01%,294,948
2024,0,30927,Brendon Todd,30.99%,348,1123
2024,0,29420,Billy Horschel,30.94%,280,905
2024,0,46340,Alex Smalley,30.91%,289,935
2024,0,48887,Matt Wallace,30.91%,247,799
