YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
2024,0,45522,Christiaan Bezuidenhout,45.10%,617,1368
2024,0,55789,Taylor Montgomery,45.06%,438,972
2024,0,47504,Sam Burns,44.82%,589,1314
2024,0,51766,Wyndham Clark,44.69%,539,1206
2024,0,50525,Collin Morikawa,44.30%,630,1422
2024,0,28089,Jason Day,44.20%,549,1242
2024,0,47993,Denny McCarthy,44.00%,689,1566
2024,0,33653,Thomas Detry,43.95%,530,1206
2024,0,57900,Chandler Phillips,43.64%,652,1494
2024,0,47591,Eric Cole,43.61%,840,1926
2024,0,50188,S.H. Kim,43.54%,823,1890
2024,0,57975,Harry Hall,43.40%,625,1440
2024,0,40098,Matt Fitzpatrick,43.27%,553,1278
2024,0,34098,Russell Henley,43.23%,568,1314
2024,0,30927,Brendon Todd,43.15%,769,1782
2024,0,35506,Mackenzie Hughes,42.92%,734,1710
2024,0,35450,Patrick Cantlay,42.91%,502,1170
2024,0,51977,Max Greyserman,42.78%,593,1386
2024,0,39971,Sungjae Im,42.72%,669,1566
2024,0,22371,Aaron Baddeley,42.39%,557,1314
2024,0,28237,Rory McIlroy,42.35%,526,1242
2024,0,46046,Scottie Scheffler,42.33%,541,1278
2024,0,40250,Taylor Pendrith,42.32%,579,1368
2024,0,37455,Si Woo Kim,42.23%,669,1584
2024,0,34099,Harris English,42.17%,706,1674
2024,0,39977,Max Homa,42.12%,599,1422
2024,0,48081,Xander Schauffele,42.12%,599,1422
2024,0,24502,Adam Scott,42.10%,538,1278
2024,0,35532,Tom Hoge,42.08%,765,1818
2024,0,56630,Akshay Bhatia,41.80%,647,1548
2024,0,27644,Brian Harman,41.70%,653,1566
2024,0,33948,Byeong Hun An,41.56%,561,1350
2024,0,57366,Cameron Young,41.56%,606,1458
2024,0,46442,Maverick McNealy,41.55%,688,1656
2024,0,59866,Nick Dunlap,41.54%,501,1206
2024,0,32839,Hideki Matsuyama,41.52%,553,1332
2024,0,34466,Peter Malnati,41.48%,560,1350
2024,0,52215,Robert MacIntyre,41.44%,537,1296
2024,0,22405,Justin Rose,41.44%,455,1098
2024,0,29221,Webb Simpson,41.39%,380,918
2024,0,60004,Jacob Bridgeman,41.24%,579,1404
2024,0,29420,Billy Horschel,41.23%,564,1368
2024,0,51894,Vince Whaley,41.20%,534,1296
2024,0,37275,Sam Ryder,41.19%,556,1350
2024,0,47806,Raul Pereda,41.13%,348,846
2024,0,52955,Ludvig Åberg,41.11%,555,1350
2024,0,33486,Roger Sloan,41.08%,488,1188
2024,0,49771,J.T. Poston,41.05%,628,1530
