YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
2024,0,54576,Patrick Fishburn,23.88%,67,16.0
2024,0,51977,Max Greyserman,23.60%,89,21.0
2024,0,26476,Chez Reavie,22.54%,71,16.0
2024,0,37275,Sam Ryder,20.99%,81,17.0
2024,0,50484,Hayden Springer,19.67%,61,12.0
2024,0,39327,Ben Silverman,19.64%,112,22.0
2024,0,37455,Si Woo Kim,19.39%,98,19.0
2024,0,51894,Vince Whaley,19.12%,68,13.0
2024,0,57975,Harry Hall,18.92%,74,14.0
2024,0,32102,Rickie Fowler,18.68%,91,17.0
2024,0,46113,Ryan McCormick,18.60%,43,8.0
2024,0,29478,Kevin Kisner,18.52%,54,10.0
2024,0,32757,Patton Kizzire,18.46%,65,12.0
2024,0,33653,Thomas Detry,18.39%,87,16.0
2024,0,40098,Matt Fitzpatrick,18.18%,77,14.0
2024,0,49771,J.T. Poston,18.10%,105,19.0
2024,0,32839,Hideki Matsuyama,18.06%,72,13.0
2024,0,39971,Sungjae Im,17.76%,107,19.0
2024,0,22405,Justin Rose,17.14%,70,12.0
2024,0,48887,Matt Wallace,16.88%,77,13.0
2024,0,35450,Patrick Cantlay,16.67%,66,11.0
2024,0,32366,Kevin Chappell,16.67%,54,9.0
2024,0,46717,Viktor Hovland,16.67%,66,11.0
2024,0,32640,Troy Merritt,16.67%,72,12.0
2024,0,28237,Rory McIlroy,16.46%,79,13.0
2024,0,45157,Cam Davis,16.33%,98,16.0
2024,0,47591,Eric Cole,16.26%,123,20.0
2024,0,47983,Chad Ramey,16.09%,87,14.0
2024,0,34098,Russell Henley,15.91%,88,14.0
2024,0,46441,Robby Shelton,15.91%,88,14.0
2024,0,28775,Nate Lashley,15.66%,83,13.0
2024,0,32791,K.H. Lee,15.53%,103,16.0
2024,0,54783,Dylan Wu,15.38%,91,14.0
2024,0,40162,Justin Lower,15.32%,111,17.0
2024,0,40058,Zac Blair,15.24%,105,16.0
2024,0,27644,Brian Harman,15.24%,105,16.0
2024,0,48867,Matti Schmid,15.24%,105,16.0
2024,0,36801,Mark Hubbard,15.18%,112,17.0
2024,0,33408,Tyson Alexander,15.15%,66,10.0
2024,0,51634,Sahith Theegala,15.09%,106,16.0
2024,0,47993,Denny McCarthy,15.05%,93,14.0
2024,0,39975,Michael Kim,15.00%,100,15.0
2024,0,24502,Adam Scott,15.00%,80,12.0
2024,0,60004,Jacob Bridgeman,14.93%,67,10.0
2024,0,36699,Patrick Rodgers,14.93%,134,20.0
2024,0,55454,Carl Yuan,14.93%,67,10.0
2024,0,29725,Tony Finau,14.81%,108,16.0
2024,0,60767,Blaine Hale Jr.,14.81%,54,8.0
2024,0,27214,Kevin Streelman,14.81%,81,12.0
2024,0,33204,Shane Lowry,14.63%,82,12.0
2024,0,27349,Alex Noren,14.63%,82,12.0
2024,0,51997,Andrew Novak,14.62%,130,19.0
2024,0,32070,Rafael Campos,14.55%,55,8.0
2024,0,24024,Zach Johnson,14.55%,55,8.0
2024,0,40006,Erik van Rooyen,14.43%,97,14.0
2024,0,57366,Cameron Young,14.29%,84,12.0
2024,0,39977,Max Homa,14.13%,92,13.0
2024,0,29908,C.T. Pan,14.13%,92,13.0
2024,0,52215,Robert MacIntyre,14.08%,71,10.0
2024,0,47504,Sam Burns,13.98%,93,13.0
2024,0,27129,Luke List,13.92%,79,11.0
2024,0,50188,S.H. Kim,13.89%,108,15.0
2024,0,48153,Matthieu Pavon,13.89%,72,10.0
2024,0,46442,Maverick McNealy,13.86%,101,14.0
2024,0,52513,Carson Young,13.86%,101,14.0
2024,0,60067,Joe Highsmith,13.85%,65,9.0
2024,0,47679,Victor Perez,13.79%,87,12.0
2024,0,46046,Scottie Scheffler,13.79%,87,12.0
2024,0,55182,Tom Kim,13.68%,95,13.0
2024,0,27649,Brandt Snedeker,13.64%,66,9.0
2024,0,22371,Aaron Baddeley,13.58%,81,11.0
2024,0,45522,Christiaan Bezuidenhout,13.58%,81,11.0
2024,0,52374,Brandon Wu,13.48%,89,12.0
2024,0,40250,Taylor Pendrith,13.46%,104,14.0
2024,0,30911,Tommy Fleetwood,13.41%,82,11.0
2024,0,36799,Stephan Jaeger,13.41%,82,11.0
2024,0,35532,Tom Hoge,13.16%,114,15.0
2024,0,48081,Xander Schauffele,13.13%,99,13.0
2024,0,37212,Paul Barjon,13.04%,46,6.0
2024,0,51766,Wyndham Clark,12.99%,77,10.0
2024,0,54591,Ben Griffin,12.80%,125,16.0
2024,0,55893,Sam Stevens,12.80%,125,16.0
2024,0,35506,Mackenzie Hughes,12.77%,94,12.0
2024,0,35617,Martin Trainer,12.77%,47,6.0
2024,0,29936,Ryan Fox,12.75%,102,13.0
2024,0,25493,Nick Taylor,12.75%,102,13.0
2024,0,57900,Chandler Phillips,12.50%,104,13.0
2024,0,28252,Seamus Power,12.50%,128,16.0
2024,0,27770,Camilo Villegas,12.50%,56,7.0
2024,0,46340,Alex Smalley,12.35%,81,10.0
2024,0,55789,Taylor Montgomery,12.28%,57,7.0
2024,0,34374,Erik Barnes,12.24%,49,6.0
2024,0,48084,Wesley Bryan,12.24%,49,6.0
2024,0,34255,Joseph Bramlett,12.22%,90,11.0
2024,0,50525,Collin Morikawa,12.16%,74,9.0
2024,0,38991,Alejandro Tosti,12.16%,74,9.0
2024,0,54421,Garrick Higgo,12.05%,83,10.0
2024,0,59836,Pierceson Coody,12.00%,75,9.0
2024,0,35310,Lanto Griffin,12.00%,75,9.0
2024,0,48119,Ben Taylor,12.00%,75,9.0
2024,0,25900,Lucas Glover,11.88%,101,12.0
2024,0,26596,Ryan Moore,11.88%,101,12.0
