YEAR,MOVEMENT,PLAYER_ID,PLAYER,RATING
2020,0,27141,J.B. Holmes,8.9
2020,0,37454,Whee Kim,8.4
2020,0,30911,Tommy Fleetwood,8.3
2020,0,27958,Ryan Blaum,8.2
2020,0,23541,Ben Crane,8.1
2020,0,36689,Brooks Koepka,7.6
2018,0,27436,Graham DeLaet,9.3
2018,0,29378,Daisuke Kataoka,9.0
2018,0,8075,Jerry Kelly,9.0
2018,0,29289,S.Y. Noh,9.0
2018,0,39953,Chase Seiffert,8.9
2018,0,47574,Scott Strohmeyer,8.9
2018,0,22405,Justin Rose,8.8
2018,0,30925,Dustin Johnson,8.7
2018,0,55573,John VanDerLaan,8.7
2018,0,48887,Matt Wallace,8.7
2018,3,34076,Joel Dahmen,8.6
2018,-3,47959,Bryson DeChambeau,8.6
2018,-3,36689,Brooks Koepka,8.6
2018,3,28237,Rory McIlroy,8.6
2018,4,25364,Paul Casey,8.5
2018,-1,28089,Jason Day,8.5
2018,4,29725,Tony Finau,8.5
2018,4,46402,Talor Gooch,8.5
2018,4,29420,Billy Horschel,8.5
2018,4,22293,Heath Slocum,8.5
2018,-1,33448,Justin Thomas,8.5
2018,-7,49964,Aaron Wise,8.5
2018,4,8793,Tiger Woods,8.5
2018,1,29268,Bronson Burgoon,8.4
2018,1,51766,Wyndham Clark,8.4
2018,1,30911,Tommy Fleetwood,8.4
2018,1,33461,Morgan Hoffmann,8.4
2018,1,28775,Nate Lashley,8.4
2018,1,29926,Danny Lee,8.4
2018,1,27933,John Merrick,8.4
2018,-10,25198,Francesco Molinari,8.4
2018,1,45486,Joaquin Niemann,8.4
2018,1,25240,D.A. Points,8.4
2018,1,26476,Chez Reavie,8.4
2018,1,46046,Scottie Scheffler,8.4
2018,1,29221,Webb Simpson,8.4
2018,1,30110,Kyle Stanley,8.4
2018,1,21528,Henrik Stenson,8.4
2018,1,30261,Ryan Yip,8.4
2018,1,26418,Adam Bland,8.3
2018,1,26499,Rafa Cabrera Bello,8.3
2018,1,34021,Bud Cauley,8.3
2018,1,32102,Rickie Fowler,8.3
2018,1,21209,Sergio Garcia,8.3
2018,1,39954,Cody Gribble,8.3
2018,1,31646,Emiliano Grillo,8.3
2018,1,46550,Brandon Hagy,8.3
2018,1,27141,J.B. Holmes,8.3
2018,1,47989,Sam Horsfield,8.3
2018,1,24024,Zach Johnson,8.3
2018,1,39384,Alex Kang,8.3
2018,1,34409,David Lingmerth,8.3
2018,1,26596,Ryan Moore,8.3
2018,1,48822,Sebastián Muñoz,8.3
2018,-15,25396,Kevin Na,8.3
2018,1,33968,Thorbjørn Olesen,8.3
2018,1,49771,J.T. Poston,8.3
2018,1,37275,Sam Ryder,8.3
2018,1,37189,Harold Varner III,8.3
2018,1,31323,Gary Woodland,8.3
2018,5,35545,Blayne Barber,8.2
2018,5,27958,Ryan Blaum,8.2
2018,-20,35450,Patrick Cantlay,8.2
2018,5,34099,Harris English,8.2
2018,5,29936,Ryan Fox,8.2
2018,5,26758,David Hearn,8.2
2018,5,34098,Russell Henley,8.2
2018,5,31557,Jim Herman,8.2
2018,5,35461,Beau Hossler,8.2
2018,5,26300,Matt Jones,8.2
2018,5,30944,Jason Kokrak,8.2
