YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2024,0,35450,Patrick Cantlay,-.227
2024,0,52375,Doug Ghim,-.207
2024,0,28237,Rory McIlroy,-.207
2024,0,34098,Russell Henley,-.200
2024,0,50493,Justin Suh,-.158
2024,0,30927,Brendon Todd,-.150
2024,0,35617,Martin Trainer,-.148
2024,0,46717,Viktor Hovland,-.138
2024,0,33653,Thomas Detry,-.130
2024,0,35532,Tom Hoge,-.129
2024,0,35461,Beau Hossler,-.108
2024,0,50484,Hayden Springer,-.103
2024,0,46441,Robby Shelton,-.100
2024,0,40026,Daniel Berger,-.087
2024,0,51977,Max Greyserman,-.087
2024,0,52374,Brandon Wu,-.087
2024,0,51997,Andrew Novak,-.086
2024,0,23108,Matt Kuchar,-.083
2024,0,51894,Vince Whaley,-.081
2024,0,51766,Wyndham Clark,-.080
2024,0,27064,Jhonattan Vegas,-.079
2024,0,32367,Jorge Campillo,-.077
2024,0,29535,Brice Garnett,-.077
2024,0,29725,Tony Finau,-.074
2024,0,50095,Austin Smotherman,-.071
2024,0,54591,Ben Griffin,-.067
2024,0,33399,Adam Hadwin,-.065
2024,0,24502,Adam Scott,-.063
2024,0,49947,Taylor Moore,-.061
2024,0,50525,Collin Morikawa,-.056
2024,0,54576,Patrick Fishburn,-.050
2024,0,46046,Scottie Scheffler,-.048
2024,0,33408,Tyson Alexander,-.042
2024,0,27349,Alex Noren,-.040
2024,0,51287,Ryo Hisatsune,-.038
2024,0,39327,Ben Silverman,-.036
2024,0,59143,Mac Meissner,-.033
2024,0,48319,Tom Whitney,-.033
2024,0,32333,Kevin Tway,-.032
2024,0,34587,Chan Kim,-.029
2024,0,37455,Si Woo Kim,-.029
2024,0,47983,Chad Ramey,-.029
2024,0,54421,Garrick Higgo,-.027
2024,0,40006,Erik van Rooyen,-.026
2024,0,34046,Jordan Spieth,-.023
2024,0,52955,Ludvig Åberg,E
2024,0,34021,Bud Cauley,E
2024,0,39997,Corey Conners,E
2024,0,40098,Matt Fitzpatrick,E
2024,0,59095,Chris Gotterup,E
2024,0,57975,Harry Hall,E
2024,0,35506,Mackenzie Hughes,E
2024,0,24024,Zach Johnson,E
2024,0,55182,Tom Kim,E
2024,0,30926,Chris Kirk,E
2024,0,29478,Kevin Kisner,E
2024,0,32757,Patton Kizzire,E
2024,0,33204,Shane Lowry,E
2024,0,47993,Denny McCarthy,E
2024,0,46113,Ryan McCormick,E
2024,0,26476,Chez Reavie,E
2024,0,37275,Sam Ryder,E
2024,0,51890,Greyson Sigg,E
2024,0,33448,Justin Thomas,E
2024,0,55893,Sam Stevens,+.017
2024,0,57900,Chandler Phillips,+.022
2024,0,33948,Byeong Hun An,+.026
2024,0,47988,Nick Hardy,+.026
2024,0,27129,Luke List,+.029
2024,0,40162,Justin Lower,+.030
2024,0,56630,Akshay Bhatia,+.031
2024,0,39975,Michael Kim,+.033
2024,0,56149,Wilson Furr,+.037
2024,0,34563,Chesson Hadley,+.037
2024,0,25900,Lucas Glover,+.038
2024,0,51634,Sahith Theegala,+.044
2024,0,59442,Parker Coody,+.045
2024,0,35310,Lanto Griffin,+.048
2024,0,32791,K.H. Lee,+.048
2024,0,51696,Rico Hoey,+.053
2024,0,29221,Webb Simpson,+.053
2024,0,29908,C.T. Pan,+.056
2024,0,27139,David Skinns,+.056
2024,0,60767,Blaine Hale Jr.,+.059
2024,0,27644,Brian Harman,+.059
2024,0,54628,Lee Hodges,+.059
2024,0,46414,Aaron Rai,+.059
