YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
2014,0,29926,Danny Lee,"96' 9""",96.75,1
2014,0,29518,Brendan Steele,"76' 1""",76.083,1
2014,0,29222,Billy Hurley III,"69' 11""",69.917,1
2014,0,21878,Mark Wilson,"67' 2""",67.167,1
2014,0,29461,Jamie Lovemark,"65' 9""",65.75,1
2014,0,24138,Ian Poulter,"65' 8""",131.25,2
2014,0,34264,Hudson Swafford,"65' 3""",130.417,2
2014,0,31193,Jim Renner,"64' 2""",64.167,1
2014,0,33141,Keegan Bradley,"58' 4""",58.333,1
2014,0,28307,Matt Every,"56' 11""",113.833,2
2014,0,27644,Brian Harman,"55' 11""",55.917,1
2014,0,34021,Bud Cauley,"55' 5""",55.417,1
2014,0,22371,Aaron Baddeley,"53' 4""",53.333,1
2014,0,28500,Martin Flores,"53' 4""",53.333,1
2014,0,35541,John Peterson,"52' 7""",52.583,1
2014,0,26329,Louis Oosthuizen,"52' 6""",105.0,2
2014,0,28486,Michael Putnam,"52' 6""",52.5,1
2014,0,25240,D.A. Points,"52' 2""",52.167,1
2014,0,7867,Woody Austin,"52' 1""",52.083,1
2014,0,23621,Rory Sabbatini,"49' 11""",249.417,5
2014,0,29221,Webb Simpson,"48' 1""",48.083,1
2014,0,27936,Martin Laird,"47' 7""",47.583,1
2014,0,29425,Andrew Svoboda,"47' 6""",47.5,1
2014,0,30926,Chris Kirk,"44' 9""",44.75,1
2014,0,24358,Robert Garrigus,"44' 3""",44.25,1
2014,0,27141,J.B. Holmes,"43' 6""",43.5,1
2014,0,24924,Bill Haas,"41' 10""",41.833,1
2014,0,24494,Erik Compton,"41' 1""",41.083,1
2014,0,23409,James Driscoll,"40' 2""",80.25,2
2014,0,25345,Carl Pettersson,"39' 10""",39.833,1
2014,0,33461,Morgan Hoffmann,"39' 8""",39.667,1
2014,0,32333,Kevin Tway,"39' 7""",39.583,1
2014,0,25562,Andres Romero,"38' 11""",38.917,1
2014,0,24361,Pat Perez,"38' 1""",38.083,1
2014,0,20104,Ken Duke,"37' 8""",37.667,1
2014,0,30110,Kyle Stanley,"37' 7""",37.583,1
2014,0,20098,Stuart Appleby,"37' 0""",37.0,1
2014,0,24781,Hunter Mahan,"35' 2""",35.167,1
2014,0,22046,Geoff Ogilvy,"34' 6""",172.333,5
2014,0,6567,Vijay Singh,"34' 4""",34.333,1
2014,0,21753,Brian Davis,"33' 11""",33.917,1
2014,0,27895,Jonas Blixt,"33' 5""",33.417,1
2014,0,27120,Troy Matteson,"33' 1""",33.083,1
2014,0,25274,Steven Bowditch,"33' 0""",33.0,1
2014,0,25396,Kevin Na,"32' 11""",32.917,1
2014,0,27330,Josh Teater,"31' 11""",31.917,1
2014,0,32334,Charlie Beljan,"31' 5""",62.833,2
2014,0,34360,Patrick Reed,"31' 0""",31.0,1
