YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
2024,0,48081,Xander Schauffele,.56%,2,360
2024,0,47993,Denny McCarthy,.69%,3,432
2024,0,45522,Christiaan Bezuidenhout,.76%,3,396
2024,0,24502,Adam Scott,.88%,3,342
2024,0,33448,Justin Thomas,.88%,3,342
2024,0,59836,Pierceson Coody,1.11%,5,450
2024,0,48119,Ben Taylor,1.11%,5,450
2024,0,59442,Parker Coody,1.17%,4,342
2024,0,30911,Tommy Fleetwood,1.17%,4,342
2024,0,34098,Russell Henley,1.17%,4,342
2024,0,55789,Taylor Montgomery,1.17%,4,342
2024,0,22405,Justin Rose,1.17%,4,342
2024,0,22371,Aaron Baddeley,1.21%,5,414
2024,0,37378,Min Woo Lee,1.23%,4,324
2024,0,46717,Viktor Hovland,1.39%,4,288
2024,0,23108,Matt Kuchar,1.39%,6,432
2024,0,27214,Kevin Streelman,1.45%,6,414
2024,0,28089,Jason Day,1.46%,5,342
2024,0,33653,Thomas Detry,1.46%,5,342
2024,0,33204,Shane Lowry,1.54%,5,324
2024,0,47679,Victor Perez,1.59%,6,378
2024,0,51997,Andrew Novak,1.62%,7,432
2024,0,57975,Harry Hall,1.69%,7,414
2024,0,54421,Garrick Higgo,1.71%,8,468
2024,0,30927,Brendon Todd,1.79%,9,504
2024,0,29725,Tony Finau,1.85%,7,378
2024,0,59095,Chris Gotterup,1.85%,8,432
2024,0,33399,Adam Hadwin,1.85%,8,432
2024,0,36801,Mark Hubbard,1.85%,9,486
2024,0,55893,Sam Stevens,1.85%,9,486
2024,0,55708,Hayden Buckley,1.92%,9,468
2024,0,40162,Justin Lower,1.92%,10,522
2024,0,50493,Justin Suh,1.92%,9,468
2024,0,52215,Robert MacIntyre,1.93%,8,414
2024,0,49960,Sepp Straka,1.93%,8,414
2024,0,57362,Austin Eckroat,2.00%,9,450
2024,0,54783,Dylan Wu,2.00%,9,450
2024,0,59143,Mac Meissner,2.02%,8,396
2024,0,30163,Henrik Norlander,2.05%,7,342
2024,0,37455,Si Woo Kim,2.08%,9,432
2024,0,49771,J.T. Poston,2.08%,9,432
2024,0,34256,Andrew Putnam,2.08%,9,432
2024,0,36699,Patrick Rodgers,2.11%,11,522
2024,0,34099,Harris English,2.14%,10,468
2024,0,35506,Mackenzie Hughes,2.14%,10,468
2024,0,39324,J.J. Spaun,2.14%,10,468
2024,0,29936,Ryan Fox,2.17%,9,414
2024,0,34563,Chesson Hadley,2.17%,9,414
2024,0,51766,Wyndham Clark,2.22%,8,360
2024,0,50497,Adrien Dumont de Chassart,2.22%,10,450
2024,0,39971,Sungjae Im,2.22%,10,450
2024,0,33968,Thorbjørn Olesen,2.22%,6,270
2024,0,39975,Michael Kim,2.26%,11,486
2024,0,33141,Keegan Bradley,2.27%,9,396
2024,0,39997,Corey Conners,2.27%,9,396
2024,0,45157,Cam Davis,2.27%,9,396
2024,0,32102,Rickie Fowler,2.27%,9,396
2024,0,55182,Tom Kim,2.27%,9,396
2024,0,34021,Bud Cauley,2.29%,7,306
2024,0,45609,Tyler Duncan,2.31%,10,432
2024,0,27129,Luke List,2.35%,11,468
2024,0,46442,Maverick McNealy,2.35%,11,468
2024,0,36871,Matt NeSmith,2.35%,11,468
2024,0,34374,Erik Barnes,2.38%,9,378
2024,0,54628,Lee Hodges,2.38%,12,504
2024,0,29420,Billy Horschel,2.38%,9,378
2024,0,54576,Patrick Fishburn,2.42%,10,414
2024,0,51977,Max Greyserman,2.42%,10,414
2024,0,31646,Emiliano Grillo,2.42%,10,414
2024,0,60067,Joe Highsmith,2.42%,10,414
2024,0,46414,Aaron Rai,2.42%,10,414
2024,0,40006,Erik van Rooyen,2.42%,10,414
2024,0,56630,Akshay Bhatia,2.44%,11,450
2024,0,25493,Nick Taylor,2.44%,11,450
2024,0,25900,Lucas Glover,2.47%,12,486
2024,0,28237,Rory McIlroy,2.47%,8,324
2024,0,46046,Scottie Scheffler,2.47%,8,324
2024,0,52955,Ludvig Åberg,2.50%,9,360
2024,0,39977,Max Homa,2.53%,10,396
2024,0,60004,Jacob Bridgeman,2.55%,11,432
2024,0,34466,Peter Malnati,2.56%,12,468
2024,0,32757,Patton Kizzire,2.65%,10,378
2024,0,35461,Beau Hossler,2.67%,12,450
2024,0,36884,Ben Kohles,2.67%,13,486
2024,0,46340,Alex Smalley,2.67%,13,486
2024,0,40115,Adam Svensson,2.69%,15,558
2024,0,33408,Tyson Alexander,2.78%,13,468
2024,0,40026,Daniel Berger,2.78%,12,432
2024,0,40058,Zac Blair,2.78%,13,468
2024,0,34255,Joseph Bramlett,2.78%,13,468
2024,0,40098,Matt Fitzpatrick,2.78%,10,360
2024,0,35532,Tom Hoge,2.78%,14,504
2024,0,24024,Zach Johnson,2.78%,8,288
2024,0,48117,Kurt Kitayama,2.78%,11,396
2024,0,49947,Taylor Moore,2.78%,14,504
2024,0,46441,Robby Shelton,2.78%,12,432
2024,0,39327,Ben Silverman,2.78%,11,396
2024,0,34046,Jordan Spieth,2.78%,11,396
2024,0,52375,Doug Ghim,2.88%,14,486
2024,0,51696,Rico Hoey,2.89%,13,450
2024,0,52372,Cameron Champ,2.90%,12,414
2024,0,27936,Martin Laird,2.90%,12,414
2024,0,12716,Charley Hoffman,2.91%,11,378
2024,0,35450,Patrick Cantlay,2.94%,9,306
2024,0,23320,Ryan Palmer,2.96%,8,270
2024,0,32640,Troy Merritt,2.99%,14,468
2024,0,47995,Davis Riley,3.01%,13,432
2024,0,54591,Ben Griffin,3.03%,18,594
2024,0,47504,Sam Burns,3.06%,11,360
2024,0,35617,Martin Trainer,3.06%,11,360
2024,0,32333,Kevin Tway,3.09%,10,324
2024,0,57900,Chandler Phillips,3.11%,14,450
2024,0,27644,Brian Harman,3.14%,13,414
2024,0,50484,Hayden Springer,3.14%,13,414
2024,0,33948,Byeong Hun An,3.17%,12,378
2024,0,59866,Nick Dunlap,3.17%,12,378
2024,0,47420,Jake Knapp,3.17%,12,378
2024,0,51287,Ryo Hisatsune,3.21%,15,468
2024,0,27139,David Skinns,3.21%,15,468
2024,0,27349,Alex Noren,3.22%,11,342
2024,0,48887,Matt Wallace,3.22%,11,342
2024,0,27770,Camilo Villegas,3.24%,14,432
2024,0,48084,Wesley Bryan,3.27%,10,306
2024,0,32366,Kevin Chappell,3.27%,10,306
2024,0,52453,Nicolai Højgaard,3.27%,10,306
2024,0,40250,Taylor Pendrith,3.28%,13,396
2024,0,47988,Nick Hardy,3.29%,16,486
2024,0,52513,Carson Young,3.29%,16,486
2024,0,36326,David Lipsky,3.33%,15,450
2024,0,26476,Chez Reavie,3.33%,15,450
2024,0,47347,Adam Schenk,3.33%,18,540
2024,0,50095,Austin Smotherman,3.33%,9,270
2024,0,58168,Davis Thompson,3.33%,15,450
2024,0,31323,Gary Woodland,3.33%,15,450
2024,0,47483,Will Zalatoris,3.33%,12,360
2024,0,28252,Seamus Power,3.37%,17,504
2024,0,48699,Callum Tarren,3.42%,16,468
2024,0,47591,Eric Cole,3.47%,20,576
2024,0,36799,Stephan Jaeger,3.47%,15,432
2024,0,26596,Ryan Moore,3.47%,15,432
2024,0,48319,Tom Whitney,3.47%,15,432
