YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
2024,1,0,39324,J.J. Spaun,60.93%,92,151,-0.05
2024,2,0,50095,Austin Smotherman,60.27%,44,73,-0.11
2024,3,0,48081,Xander Schauffele,56.90%,99,174,-0.12
2024,4,0,54591,Ben Griffin,56.33%,129,229,-0.09
2024,5,0,35310,Lanto Griffin,56.10%,69,123,-0.10
2024,6,0,45242,Kevin Yu,55.65%,69,124,-0.09
2024,7,0,47988,Nick Hardy,55.33%,83,150,-0.13
2024,8,0,34076,Joel Dahmen,55.29%,94,170,-0.05
2024,9,0,46414,Aaron Rai,55.22%,127,230,-0.10
2024,10,0,52955,Ludvig Åberg,55.10%,81,147,-0.21
2024,11,0,29535,Brice Garnett,54.92%,67,122,-0.09
2024,12,0,39975,Michael Kim,54.89%,73,133,-0.21
2024,13,0,30163,Henrik Norlander,54.78%,63,115,E
2024,14,0,39546,Keith Mitchell,54.72%,87,159,-0.16
2024,15,0,27139,David Skinns,54.66%,88,161,-0.16
2024,16,0,52215,Robert MacIntyre,54.49%,85,156,-0.15
2024,17,0,37212,Paul Barjon,54.12%,46,85,+0.02
2024,18,0,28237,Rory McIlroy,53.97%,68,126,-0.13
2024,19,0,47420,Jake Knapp,53.70%,87,162,-0.07
2024,20,0,27064,Jhonattan Vegas,53.57%,60,112,-0.13
2024,21,0,46442,Maverick McNealy,53.54%,106,198,-0.13
2024,22,0,34587,Chan Kim,53.50%,84,157,-0.04
2024,23,0,51997,Andrew Novak,53.40%,102,191,-0.12
2024,24,0,32367,Jorge Campillo,53.23%,66,124,-0.17
2024,25,0,36699,Patrick Rodgers,53.16%,101,190,-0.16
2024,26,0,46046,Scottie Scheffler,52.99%,71,134,-0.06
2024,27,0,57366,Cameron Young,52.87%,83,157,-0.06
2024,28,0,49960,Sepp Straka,52.80%,85,161,-0.09
2024,29,0,54576,Patrick Fishburn,52.34%,56,107,-0.09
2024,30,0,52666,Sami Valimaki,52.29%,80,153,-0.18
2024,31,0,40026,Daniel Berger,52.05%,76,146,-0.11
2024,32,0,56149,Wilson Furr,52.04%,51,98,-0.04
2024,33,0,37378,Min Woo Lee,52.00%,65,125,-0.06
2024,34,0,26476,Chez Reavie,51.97%,79,152,-0.08
2024,35,0,33948,Byeong Hun An,51.94%,67,129,-0.15
2024,36,0,31323,Gary Woodland,51.90%,82,158,-0.18
2024,37,0,40006,Erik van Rooyen,51.61%,80,155,-0.11
2024,38,0,46340,Alex Smalley,51.59%,65,126,E
2024,39,0,51070,Vincent Norrman,51.52%,51,99,+0.16
2024,40,0,50484,Hayden Springer,51.33%,58,113,-0.07
2024,41,0,33141,Keegan Bradley,51.19%,86,168,-0.14
2024,42,0,36884,Ben Kohles,51.09%,117,229,-0.09
2024,43,0,29725,Tony Finau,50.90%,85,167,-0.14
2024,43,0,54628,Lee Hodges,50.90%,113,222,-0.07
2024,45,0,48867,Matti Schmid,50.76%,67,132,-0.06
2024,46,0,34255,Joseph Bramlett,50.67%,76,150,-0.13
2024,47,0,51977,Max Greyserman,50.64%,79,156,-0.19
2024,48,0,40250,Taylor Pendrith,50.63%,81,160,-0.11
2024,49,0,47663,Kevin Dougherty,50.51%,50,99,-0.06
2024,50,0,25493,Nick Taylor,50.50%,101,200,-0.11
2024,51,0,34256,Andrew Putnam,50.41%,124,246,-0.09
2024,52,0,46717,Viktor Hovland,50.39%,65,129,-0.22
2024,53,0,51890,Greyson Sigg,50.28%,91,181,-0.09
2024,54,0,31646,Emiliano Grillo,50.24%,104,207,-0.08
2024,55,0,60004,Jacob Bridgeman,50.00%,63,126,-0.10
2024,55,0,51349,Nico Echavarria,50.00%,90,180,-0.17
2024,55,0,52375,Doug Ghim,50.00%,97,194,-0.11
2024,55,0,33399,Adam Hadwin,50.00%,95,190,-0.08
2024,55,0,35532,Tom Hoge,50.00%,120,240,-0.13
2024,55,0,33204,Shane Lowry,50.00%,85,170,-0.07
2024,55,0,37275,Sam Ryder,50.00%,72,144,-0.19
