YEAR,MOVEMENT,PLAYER_ID,PLAYER,RANK/FEDEX MOVEMENT,OTT RANK/PREV FEDEX RANK,PUTT RANK/CUR FEDEX RANK
2020,10,35506,Mackenzie Hughes,1,2.243,0
2020,23,48081,Xander Schauffele,2,2.125,0
2020,44,25396,Kevin Na,3,0.608,0
2020,45,34363,Tyrrell Hatton,4,0.551,0
2020,29,29478,Kevin Kisner,5,0.413,0
2020,44,48822,Sebastián Muñoz,6,0.324,0
2020,19,35310,Lanto Griffin,7,0.306,0
2020,7,34360,Patrick Reed,8,0.305,0
2020,60,26851,Marc Leishman,9,0.273,0
2020,-9,30927,Brendon Todd,10,0.251,0
2020,27,28237,Rory McIlroy,11,0.244,0
2020,-3,30925,Dustin Johnson,12,0.236,0
2020,20,45486,Joaquin Niemann,13,0.211,0
2020,-7,45526,Abraham Ancer,14,0.115,0
2020,5,50525,Collin Morikawa,15,-0.015,0
2020,-13,29725,Tony Finau,16,-0.051,0
2020,-11,46970,Jon Rahm,17,-0.124,0
2020,0,29221,Webb Simpson,18,-0.136,0
2020,18,34099,Harris English,19,-0.155,0
2020,19,35891,Cameron Smith,20,-0.216,0
2020,23,40026,Daniel Berger,21,-0.253,0
2020,5,33448,Justin Thomas,22,-0.402,0
2020,8,32839,Hideki Matsuyama,23,-0.419,0
2020,37,29420,Billy Horschel,24,-0.446,0
2020,20,39971,Sungjae Im,25,-0.468,0
2020,30,46046,Scottie Scheffler,26,-0.66,0
2020,-22,47959,Bryson DeChambeau,27,-0.75,0
2020,29,23320,Ryan Palmer,28,-1.071,0
2020,-10,46717,Viktor Hovland,29,-1.482,0
2020,34,52372,Cameron Champ,30,-1.556,0
