YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
2024,0,48081,Xander Schauffele,67.87,1018,15
2024,0,57975,Harry Hall,68.12,1771,26
2024,0,48117,Kurt Kitayama,68.63,2196,32
2024,0,39975,Michael Kim,68.64,1510,22
2024,0,57900,Chandler Phillips,68.69,1786,26
2024,0,47504,Sam Burns,68.7,1374,20
2024,0,59143,Mac Meissner,68.75,1925,28
2024,0,39327,Ben Silverman,68.76,2338,34
2024,0,30163,Henrik Norlander,68.8,1032,15
2024,0,29420,Billy Horschel,68.83,1583,23
2024,0,32366,Kevin Chappell,68.84,1308,19
2024,0,46046,Scottie Scheffler,68.87,1033,15
2024,0,50484,Hayden Springer,68.9,1378,20
2024,0,46442,Maverick McNealy,68.92,1792,26
2024,0,54576,Patrick Fishburn,69.05,1450,21
2024,0,28252,Seamus Power,69.06,2279,33
2024,0,40250,Taylor Pendrith,69.15,1383,20
2024,0,51287,Ryo Hisatsune,69.16,2213,32
2024,0,39971,Sungjae Im,69.18,1937,28
2024,0,46414,Aaron Rai,69.2,2076,30
2024,0,60067,Joe Highsmith,69.21,1661,24
2024,0,40162,Justin Lower,69.24,2008,29
2024,0,47983,Chad Ramey,69.27,2286,33
2024,0,46441,Robby Shelton,69.27,1524,22
2024,0,34587,Chan Kim,69.28,2009,29
2024,0,55893,Sam Stevens,69.28,2217,32
2024,0,28089,Jason Day,69.31,1802,26
2024,0,24502,Adam Scott,69.35,1595,23
2024,0,51696,Rico Hoey,69.39,1943,28
2024,0,51977,Max Greyserman,69.42,1666,24
2024,0,60004,Jacob Bridgeman,69.43,1597,23
2024,0,46340,Alex Smalley,69.44,1111,16
2024,0,54591,Ben Griffin,69.46,2709,39
2024,0,50188,S.H. Kim,69.46,2709,39
2024,0,50525,Collin Morikawa,69.47,1181,17
2024,0,34098,Russell Henley,69.48,1737,25
2024,0,46717,Viktor Hovland,69.48,1737,25
2024,0,39324,J.J. Spaun,69.51,2433,35
2024,0,52514,Trace Crowe,69.52,1599,23
2024,0,51997,Andrew Novak,69.52,2016,29
2024,0,39546,Keith Mitchell,69.53,2225,32
2024,0,39997,Corey Conners,69.56,1878,27
2024,0,29908,C.T. Pan,69.56,1252,18
2024,0,40026,Daniel Berger,69.57,1600,23
2024,0,28775,Nate Lashley,69.57,1600,23
2024,0,32839,Hideki Matsuyama,69.59,1183,17
2024,0,29936,Ryan Fox,69.61,1253,18
2024,0,52375,Doug Ghim,69.61,1949,28
2024,0,36871,Matt NeSmith,69.62,1810,26
2024,0,48887,Matt Wallace,69.64,1741,25
2024,0,36326,David Lipsky,69.68,1533,22
2024,0,40006,Erik van Rooyen,69.68,1742,25
2024,0,32367,Jorge Campillo,69.69,1115,16
2024,0,27064,Jhonattan Vegas,69.7,1394,20
2024,0,52372,Cameron Champ,69.71,1185,17
2024,0,35310,Lanto Griffin,69.71,1673,24
2024,0,36699,Patrick Rodgers,69.72,2510,36
2024,0,25900,Lucas Glover,69.74,1883,27
2024,0,27349,Alex Noren,69.74,1604,23
2024,0,51766,Wyndham Clark,69.76,1465,21
2024,0,48867,Matti Schmid,69.78,1884,27
2024,0,26596,Ryan Moore,69.8,1396,20
2024,0,35506,Mackenzie Hughes,69.81,2234,32
2024,0,33448,Justin Thomas,69.81,1815,26
2024,0,31323,Gary Woodland,69.82,2304,33
2024,0,34076,Joel Dahmen,69.83,2095,30
2024,0,54628,Lee Hodges,69.85,2724,39
2024,0,35461,Beau Hossler,69.85,1816,26
2024,0,32791,K.H. Lee,69.85,1886,27
2024,0,36884,Ben Kohles,69.87,1607,23
2024,0,28237,Rory McIlroy,69.87,1048,15
2024,0,29535,Brice Garnett,69.89,1258,18
2024,0,49771,J.T. Poston,69.89,2586,37
2024,0,50095,Austin Smotherman,69.89,1957,28
2024,0,49960,Sepp Straka,69.89,1957,28
2024,0,35450,Patrick Cantlay,69.92,1678,24
2024,0,58168,Davis Thompson,69.94,2378,34
2024,0,50493,Justin Suh,69.95,1469,21
2024,0,45157,Cam Davis,69.96,1819,26
2024,0,27644,Brian Harman,69.96,1679,24
2024,0,24024,Zach Johnson,69.96,1609,23
2024,0,33486,Roger Sloan,69.97,2239,32
2024,0,52374,Brandon Wu,69.97,2589,37
2024,0,52955,Ludvig Åberg,70.0,1330,19
2024,0,51349,Nico Echavarria,70.0,2170,31
2024,0,49947,Taylor Moore,70.0,2730,39
2024,0,37455,Si Woo Kim,70.03,2661,38
2024,0,34256,Andrew Putnam,70.03,2731,39
2024,0,33948,Byeong Hun An,70.04,1961,28
2024,0,56630,Akshay Bhatia,70.04,1891,27
2024,0,40098,Matt Fitzpatrick,70.04,1611,23
2024,0,22405,Justin Rose,70.05,1401,20
2024,0,36801,Mark Hubbard,70.06,2242,32
2024,0,30911,Tommy Fleetwood,70.08,1682,24
2024,0,30926,Chris Kirk,70.09,2313,33
2024,0,52215,Robert MacIntyre,70.09,1612,23
2024,0,54421,Garrick Higgo,70.11,1893,27
2024,0,45609,Tyler Duncan,70.15,1824,26
