YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
2024,1,0,34098,Russell Henley,.99%,13,1314
2024,2,0,48081,Xander Schauffele,1.05%,15,1422
2024,3,0,45522,Christiaan Bezuidenhout,1.32%,18,1368
2024,4,0,47679,Victor Perez,1.39%,18,1296
2024,5,0,35506,Mackenzie Hughes,1.52%,26,1710
2024,6,0,50525,Collin Morikawa,1.55%,22,1422
2024,7,0,31646,Emiliano Grillo,1.70%,26,1530
2024,8,0,47504,Sam Burns,1.75%,23,1314
2024,9,0,52215,Robert MacIntyre,1.77%,23,1296
2024,10,0,27644,Brian Harman,1.79%,28,1566
2024,11,0,51997,Andrew Novak,1.81%,27,1494
2024,12,0,22371,Aaron Baddeley,1.83%,24,1314
2024,13,0,47993,Denny McCarthy,1.85%,29,1566
2024,14,0,46046,Scottie Scheffler,1.88%,24,1278
2024,14,0,24502,Adam Scott,1.88%,24,1278
2024,16,0,55789,Taylor Montgomery,1.95%,19,972
2024,17,0,57362,Austin Eckroat,1.98%,32,1620
2024,17,0,34046,Jordan Spieth,1.98%,25,1260
2024,19,0,46442,Maverick McNealy,1.99%,33,1656
2024,19,0,33448,Justin Thomas,1.99%,24,1206
2024,21,0,28089,Jason Day,2.01%,25,1242
2024,21,0,51894,Vince Whaley,2.01%,26,1296
2024,23,0,30911,Tommy Fleetwood,2.03%,26,1278
2024,24,0,33141,Keegan Bradley,2.04%,29,1422
2024,24,0,54421,Garrick Higgo,2.04%,29,1422
2024,24,0,34256,Andrew Putnam,2.04%,29,1422
2024,27,0,23108,Matt Kuchar,2.05%,27,1314
2024,27,0,40250,Taylor Pendrith,2.05%,28,1368
2024,29,0,48119,Ben Taylor,2.06%,23,1116
2024,30,0,51766,Wyndham Clark,2.07%,25,1206
2024,31,0,49960,Sepp Straka,2.09%,29,1386
2024,32,0,37378,Min Woo Lee,2.10%,25,1188
2024,33,0,56630,Akshay Bhatia,2.13%,33,1548
2024,33,0,47591,Eric Cole,2.13%,41,1926
2024,35,0,35450,Patrick Cantlay,2.14%,25,1170
2024,35,0,46717,Viktor Hovland,2.14%,22,1026
