YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
2024,1,0,46046,Scottie Scheffler,1.68,1571,935,36.81%
2024,2,0,47504,Sam Burns,1.685,1432,850,37.35%
2024,3,0,51766,Wyndham Clark,1.694,1335,788,36.85%
2024,4,0,50525,Collin Morikawa,1.704,1580,927,35.31%
2024,4,0,40250,Taylor Pendrith,1.704,1563,917,35.78%
2024,6,0,46717,Viktor Hovland,1.707,1188,696,34.58%
2024,7,0,57975,Harry Hall,1.708,1633,956,36.48%
2024,8,0,28089,Jason Day,1.714,1351,788,34.01%
2024,8,0,34098,Russell Henley,1.714,1464,854,31.77%
2024,10,0,45522,Christiaan Bezuidenhout,1.715,1456,849,32.11%
2024,10,0,51977,Max Greyserman,1.715,1629,950,35.09%
2024,12,0,59866,Nick Dunlap,1.717,1331,775,35.41%
2024,12,0,47993,Denny McCarthy,1.717,1684,981,32.96%
2024,14,0,60004,Jacob Bridgeman,1.72,1651,960,35.15%
2024,14,0,57900,Chandler Phillips,1.72,1680,977,34.87%
2024,14,0,34046,Jordan Spieth,1.72,1428,830,33.33%
2024,17,0,48084,Wesley Bryan,1.721,1081,628,35.04%
2024,18,0,35506,Mackenzie Hughes,1.722,1875,1089,33.33%
2024,19,0,48081,Xander Schauffele,1.723,1714,995,33.13%
2024,20,0,55789,Taylor Montgomery,1.724,1014,588,33.56%
2024,21,0,35532,Tom Hoge,1.725,2122,1230,34.26%
2024,22,0,33653,Thomas Detry,1.728,1320,764,34.69%
2024,22,0,40098,Matt Fitzpatrick,1.728,1422,823,33.09%
2024,22,0,51894,Vince Whaley,1.728,1495,865,33.68%
2024,25,0,47591,Eric Cole,1.729,2087,1207,34.25%
2024,26,0,52514,Trace Crowe,1.73,1408,814,35.51%
2024,26,0,39975,Michael Kim,1.73,1770,1023,33.00%
2024,28,0,24502,Adam Scott,1.731,1468,848,32.86%
2024,29,0,46442,Maverick McNealy,1.732,1948,1125,33.96%
2024,30,0,27644,Brian Harman,1.733,1787,1031,32.20%
2024,30,0,39971,Sungjae Im,1.733,1768,1020,34.45%
2024,32,0,51349,Nico Echavarria,1.734,1925,1110,32.91%
2024,32,0,50188,S.H. Kim,1.734,2037,1175,36.15%
2024,34,0,40162,Justin Lower,1.735,2108,1215,32.62%
2024,34,0,51997,Andrew Novak,1.735,1844,1063,32.11%
2024,34,0,49771,J.T. Poston,1.735,1754,1011,33.04%
2024,37,0,56630,Akshay Bhatia,1.737,1775,1022,32.02%
2024,38,0,52955,Ludvig Åberg,1.738,1599,920,34.06%
2024,38,0,33948,Byeong Hun An,1.738,1587,913,34.39%
2024,38,0,35461,Beau Hossler,1.738,1849,1064,33.05%
2024,38,0,30927,Brendon Todd,1.738,1953,1124,30.99%
2024,42,0,12716,Charley Hoffman,1.739,1468,844,34.60%
2024,42,0,37455,Si Woo Kim,1.739,1802,1036,32.53%
2024,44,0,37275,Sam Ryder,1.74,1594,916,35.04%
2024,45,0,28237,Rory McIlroy,1.741,1421,816,33.74%
