YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
2024,0,33948,Byeong Hun An,27.86%,39,140
2024,0,23320,Ryan Palmer,26.56%,17,64
2024,0,37275,Sam Ryder,26.13%,29,111
2024,0,34046,Jordan Spieth,25.96%,27,104
2024,0,57975,Harry Hall,25.74%,35,136
2024,0,48084,Wesley Bryan,25.71%,18,70
2024,0,35450,Patrick Cantlay,24.72%,22,89
2024,0,54783,Dylan Wu,24.35%,28,115
2024,0,34374,Erik Barnes,24.32%,18,74
2024,0,25900,Lucas Glover,24.32%,27,111
2024,0,32757,Patton Kizzire,24.11%,27,112
2024,0,51977,Max Greyserman,23.77%,29,122
2024,0,30926,Chris Kirk,23.58%,25,106
2024,0,52514,Trace Crowe,23.33%,21,90
2024,0,60067,Joe Highsmith,23.15%,25,108
2024,0,46113,Ryan McCormick,23.08%,24,104
2024,0,24502,Adam Scott,22.83%,29,127
2024,0,50188,S.H. Kim,22.70%,37,163
2024,0,28089,Jason Day,22.12%,25,113
2024,0,27936,Martin Laird,22.12%,25,113
2024,0,27349,Alex Noren,22.11%,21,95
2024,0,39997,Corey Conners,21.99%,31,141
2024,0,48867,Matti Schmid,21.97%,29,132
2024,0,32367,Jorge Campillo,21.79%,17,78
2024,0,48119,Ben Taylor,21.71%,28,129
2024,0,59095,Chris Gotterup,21.69%,41,189
2024,0,51634,Sahith Theegala,21.67%,39,180
2024,0,49947,Taylor Moore,21.55%,39,181
2024,0,55893,Sam Stevens,21.43%,33,154
2024,0,52375,Doug Ghim,21.37%,25,117
2024,0,27064,Jhonattan Vegas,21.37%,25,117
2024,0,33968,Thorbjørn Olesen,21.28%,20,94
2024,0,35310,Lanto Griffin,21.14%,26,123
2024,0,39971,Sungjae Im,21.05%,28,133
2024,0,39546,Keith Mitchell,20.98%,30,143
2024,0,37378,Min Woo Lee,20.80%,26,125
2024,0,28775,Nate Lashley,20.72%,23,111
2024,0,48117,Kurt Kitayama,20.67%,31,150
2024,0,29725,Tony Finau,20.63%,26,126
2024,0,57366,Cameron Young,20.61%,27,131
2024,0,40006,Erik van Rooyen,20.57%,29,141
2024,0,33141,Keegan Bradley,20.22%,18,89
2024,0,32366,Kevin Chappell,20.22%,18,89
2024,0,47663,Kevin Dougherty,20.17%,24,119
2024,0,34255,Joseph Bramlett,20.13%,30,149
2024,0,27139,David Skinns,20.00%,27,135
2024,0,27214,Kevin Streelman,20.00%,21,105
2024,0,59866,Nick Dunlap,19.69%,25,127
2024,0,51894,Vince Whaley,19.64%,22,112
2024,0,54576,Patrick Fishburn,19.57%,27,138
2024,0,40162,Justin Lower,19.31%,28,145
2024,0,51766,Wyndham Clark,19.29%,27,140
2024,0,32070,Rafael Campos,19.23%,15,78
2024,0,52215,Robert MacIntyre,19.23%,25,130
2024,0,25493,Nick Taylor,19.23%,25,130
2024,0,55182,Tom Kim,19.20%,24,125
2024,0,48699,Callum Tarren,19.14%,31,162
2024,0,33448,Justin Thomas,19.13%,22,115
2024,0,60004,Jacob Bridgeman,19.05%,24,126
2024,0,30163,Henrik Norlander,19.05%,16,84
2024,0,29420,Billy Horschel,19.00%,19,100
2024,0,29936,Ryan Fox,18.79%,28,149
2024,0,39975,Michael Kim,18.75%,24,128
2024,0,58168,Davis Thompson,18.60%,24,129
2024,0,35617,Martin Trainer,18.56%,18,97
2024,0,55454,Carl Yuan,18.56%,18,97
2024,0,36699,Patrick Rodgers,18.48%,34,184
2024,0,28237,Rory McIlroy,18.46%,24,130
2024,0,37212,Paul Barjon,18.35%,20,109
2024,0,52374,Brandon Wu,18.31%,26,142
2024,0,38991,Alejandro Tosti,18.30%,28,153
2024,0,60767,Blaine Hale Jr.,18.28%,17,93
2024,0,54591,Ben Griffin,18.27%,36,197
2024,0,12716,Charley Hoffman,18.24%,27,148
2024,0,50525,Collin Morikawa,18.18%,18,99
2024,0,40250,Taylor Pendrith,18.18%,24,132
2024,0,40115,Adam Svensson,18.02%,31,172
2024,0,50095,Austin Smotherman,17.95%,14,78
2024,0,33399,Adam Hadwin,17.92%,19,106
2024,0,47995,Davis Riley,17.89%,22,123
2024,0,51349,Nico Echavarria,17.74%,22,124
2024,0,47504,Sam Burns,17.48%,18,103
2024,0,59836,Pierceson Coody,17.42%,23,132
2024,0,46442,Maverick McNealy,17.39%,28,161
2024,0,30927,Brendon Todd,17.39%,20,115
2024,0,46046,Scottie Scheffler,17.33%,13,75
2024,0,46340,Alex Smalley,17.29%,23,133
2024,0,56630,Akshay Bhatia,17.21%,21,122
2024,0,47988,Nick Hardy,17.19%,33,192
2024,0,46414,Aaron Rai,17.14%,18,105
2024,0,34256,Andrew Putnam,17.04%,23,135
2024,0,27770,Camilo Villegas,16.98%,18,106
2024,0,40098,Matt Fitzpatrick,16.83%,17,101
2024,0,36326,David Lipsky,16.83%,17,101
2024,0,57362,Austin Eckroat,16.81%,19,113
2024,0,36799,Stephan Jaeger,16.79%,23,137
2024,0,36801,Mark Hubbard,16.77%,28,167
2024,0,35532,Tom Hoge,16.75%,34,203
2024,0,48153,Matthieu Pavon,16.67%,13,78
2024,0,35506,Mackenzie Hughes,16.57%,30,181
2024,0,33408,Tyson Alexander,16.55%,23,139
2024,0,48081,Xander Schauffele,16.54%,22,133
2024,0,50493,Justin Suh,16.54%,21,127
2024,0,32640,Troy Merritt,16.52%,19,115
2024,0,55708,Hayden Buckley,16.49%,16,97
2024,0,24024,Zach Johnson,16.44%,12,73
2024,0,32839,Hideki Matsuyama,16.42%,22,134
2024,0,51287,Ryo Hisatsune,16.38%,19,116
