YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
2021,0,35230,Nelson Ledesma,3.0,3,1
2021,0,29479,Scott Brown,3.5,7,2
2021,0,32333,Kevin Tway,3.5,7,2
2021,0,24024,Zach Johnson,3.667,11,3
2021,0,32839,Hideki Matsuyama,3.667,11,3
2021,0,45486,Joaquin Niemann,3.667,11,3
2021,0,19846,Brian Gay,3.8,19,5
2021,0,35532,Tom Hoge,3.8,19,5
2021,0,48822,Sebastián Muñoz,3.8,19,5
2021,0,45526,Abraham Ancer,4.0,12,3
2021,0,22371,Aaron Baddeley,4.0,4,1
2021,0,33404,Chris Baker,4.0,4,1
2021,0,33141,Keegan Bradley,4.0,12,3
2021,0,47504,Sam Burns,4.0,20,5
2021,0,32070,Rafael Campos,4.0,4,1
2021,0,25364,Paul Casey,4.0,8,2
2021,0,52372,Cameron Champ,4.0,4,1
2021,0,24357,K.J. Choi,4.0,8,2
2021,0,34076,Joel Dahmen,4.0,8,2
2021,0,47959,Bryson DeChambeau,4.0,8,2
2021,0,29725,Tony Finau,4.0,8,2
2021,0,30911,Tommy Fleetwood,4.0,8,2
2021,0,21209,Sergio Garcia,4.0,12,3
2021,0,29535,Brice Garnett,4.0,12,3
2021,0,52375,Doug Ghim,4.0,16,4
2021,0,24924,Bill Haas,4.0,4,1
2021,0,34363,Tyrrell Hatton,4.0,12,3
2021,0,33490,Bo Hoag,4.0,16,4
2021,0,27141,J.B. Holmes,4.0,8,2
2021,0,39977,Max Homa,4.0,12,3
2021,0,29420,Billy Horschel,4.0,16,4
2021,0,35461,Beau Hossler,4.0,4,1
2021,0,46717,Viktor Hovland,4.0,12,3
2021,0,34174,John Huh,4.0,4,1
2021,0,39971,Sungjae Im,4.0,16,4
2021,0,26300,Matt Jones,4.0,16,4
2021,0,39975,Michael Kim,4.0,8,2
2021,0,30926,Chris Kirk,4.0,16,4
2021,0,32757,Patton Kizzire,4.0,12,3
2021,0,32816,Satoshi Kodaira,4.0,8,2
2021,0,36689,Brooks Koepka,4.0,8,2
2021,0,27936,Martin Laird,4.0,8,2
2021,0,35104,Tom Lewis,4.0,8,2
2021,0,24781,Hunter Mahan,4.0,4,1
2021,0,34466,Peter Malnati,4.0,16,4
2021,0,39546,Keith Mitchell,4.0,8,2
2021,0,50525,Collin Morikawa,4.0,20,5
2021,0,25396,Kevin Na,4.0,20,5
2021,0,33667,Carlos Ortiz,4.0,12,3
2021,0,23320,Ryan Palmer,4.0,4,1
2021,0,24361,Pat Perez,4.0,16,4
2021,0,27556,Ted Potter Jr.,4.0,4,1
2021,0,24138,Ian Poulter,4.0,12,3
2021,0,46970,Jon Rahm,4.0,8,2
2021,0,53165,Doc Redman,4.0,12,3
2021,0,34360,Patrick Reed,4.0,4,1
2021,0,22405,Justin Rose,4.0,4,1
2021,0,48081,Xander Schauffele,4.0,8,2
2021,0,46046,Scottie Scheffler,4.0,8,2
2021,0,29221,Webb Simpson,4.0,12,3
2021,0,34046,Jordan Spieth,4.0,12,3
2021,0,30692,Scott Stallings,4.0,4,1
2021,0,29518,Brendan Steele,4.0,16,4
2021,0,33448,Justin Thomas,4.0,4,1
2021,0,30927,Brendon Todd,4.0,20,5
2021,0,35617,Martin Trainer,4.0,8,2
2021,0,33419,Cameron Tringale,4.0,12,3
2021,0,23623,Bo Van Pelt,4.0,4,1
2021,0,40006,Erik van Rooyen,4.0,4,1
2021,0,35658,Kris Ventura,4.0,4,1
2021,0,25632,Jimmy Walker,4.0,4,1
2021,0,27095,Nick Watney,4.0,4,1
2021,0,25804,Bubba Watson,4.0,4,1
2021,0,20396,Lee Westwood,4.0,12,3
2021,0,32139,Danny Willett,4.0,12,3
2021,0,49964,Aaron Wise,4.0,8,2
2021,0,56278,Matthew Wolff,4.0,8,2
2021,0,31323,Gary Woodland,4.0,4,1
2021,0,45157,Cam Davis,4.167,25,6
2021,0,32791,K.H. Lee,4.167,25,6
2021,0,40098,Matt Fitzpatrick,4.2,21,5
2021,0,29974,Branden Grace,4.2,21,5
2021,0,34098,Russell Henley,4.2,21,5
2021,0,35506,Mackenzie Hughes,4.2,21,5
2021,0,27974,Sung Kang,4.2,21,5
2021,0,36871,Matthew NeSmith,4.2,21,5
2021,0,27349,Alex Noren,4.2,21,5
2021,0,31560,Brian Stuard,4.2,21,5
2021,0,20229,Stewart Cink,4.25,17,4
2021,0,46435,Austin Cook,4.25,17,4
2021,0,29970,Dylan Frittelli,4.25,17,4
2021,0,35310,Lanto Griffin,4.25,17,4
2021,0,27554,Scott Harrington,4.25,17,4
2021,0,31557,Jim Herman,4.25,17,4
2021,0,33597,Harry Higgs,4.25,17,4
2021,0,37455,Si Woo Kim,4.25,17,4
2021,0,33410,Andrew Landry,4.25,17,4
2021,0,29926,Danny Lee,4.25,17,4
2021,0,27129,Luke List,4.25,17,4
2021,0,46442,Maverick McNealy,4.25,17,4
2021,0,49771,J.T. Poston,4.25,17,4
2021,0,30110,Kyle Stanley,4.25,17,4
2021,0,27214,Kevin Streelman,4.25,17,4
2021,0,27770,Camilo Villegas,4.25,17,4
2021,0,19803,Ryan Armour,4.333,13,3
2021,0,40026,Daniel Berger,4.333,13,3
2021,0,35450,Patrick Cantlay,4.333,13,3
2021,0,34099,Harris English,4.333,13,3
2021,0,32102,Rickie Fowler,4.333,13,3
2021,0,46402,Talor Gooch,4.333,13,3
2021,0,32448,James Hahn,4.333,13,3
2021,0,12716,Charley Hoffman,4.333,26,6
2021,0,23108,Matt Kuchar,4.333,13,3
2021,0,40042,Tyler McCumber,4.333,13,3
2021,0,30163,Henrik Norlander,4.333,13,3
2021,0,49960,Sepp Straka,4.333,26,6
2021,0,34264,Hudson Swafford,4.333,13,3
2021,0,23325,Vaughn Taylor,4.333,13,3
2021,0,51766,Wyndham Clark,4.4,22,5
2021,0,27644,Brian Harman,4.4,22,5
2021,0,21961,Charles Howell III,4.4,22,5
2021,0,34431,Robert Streb,4.4,22,5
2021,0,47483,Will Zalatoris,4.4,22,5
2021,0,33948,Byeong Hun An,4.5,9,2
2021,0,39997,Corey Conners,4.5,18,4
2021,0,25686,Jason Dufner,4.5,9,2
2021,0,49298,Kramer Hickok,4.5,9,2
