YEAR,MOVEMENT,PLAYER_ID,PLAYER,% TIMES IMPROVED,# OF TIMES IMPROVED
2024,0,52955,Ludvig Åberg,100.0,6
2024,0,45522,Christiaan Bezuidenhout,100.0,9
2024,0,60767,Blaine Hale Jr.,100.0,5
2024,0,29420,Billy Horschel,100.0,8
2024,0,48117,Kurt Kitayama,100.0,11
2024,0,46113,Ryan McCormick,100.0,6
2024,0,40250,Taylor Pendrith,100.0,4
2024,0,46046,Scottie Scheffler,100.0,3
2024,0,25900,Lucas Glover,90.9,10
2024,0,47679,Victor Perez,88.9,8
2024,0,34046,Jordan Spieth,87.5,7
2024,0,33948,Byeong Hun An,85.7,6
2024,0,40098,Matt Fitzpatrick,85.7,6
2024,0,30911,Tommy Fleetwood,85.7,6
2024,0,34098,Russell Henley,85.7,6
2024,0,23108,Matt Kuchar,85.7,6
2024,0,34256,Andrew Putnam,85.7,12
2024,0,24502,Adam Scott,85.7,6
2024,0,51766,Wyndham Clark,83.3,5
2024,0,48119,Ben Taylor,83.3,5
2024,0,54783,Dylan Wu,83.3,10
2024,0,28252,Seamus Power,81.8,9
2024,0,36699,Patrick Rodgers,81.8,9
2024,0,32070,Rafael Campos,80.0,4
2024,0,39971,Sungjae Im,80.0,4
2024,0,37455,Si Woo Kim,80.0,8
2024,0,52215,Robert MacIntyre,80.0,4
2024,0,59143,Mac Meissner,80.0,8
2024,0,27349,Alex Noren,80.0,4
2024,0,48081,Xander Schauffele,80.0,4
2024,0,33448,Justin Thomas,80.0,4
2024,0,47988,Nick Hardy,78.6,11
2024,0,32366,Kevin Chappell,77.8,7
2024,0,52374,Brandon Wu,77.8,7
2024,0,39997,Corey Conners,75.0,9
2024,0,34099,Harris English,75.0,9
2024,0,51977,Max Greyserman,75.0,6
2024,0,57975,Harry Hall,75.0,9
2024,0,51287,Ryo Hisatsune,75.0,9
2024,0,30926,Chris Kirk,75.0,6
2024,0,40162,Justin Lower,75.0,9
2024,0,51997,Andrew Novak,75.0,6
2024,0,29908,C.T. Pan,75.0,3
2024,0,27214,Kevin Streelman,75.0,6
2024,0,34255,Joseph Bramlett,72.7,8
2024,0,37378,Min Woo Lee,72.7,8
2024,0,47663,Kevin Dougherty,71.4,5
2024,0,39546,Keith Mitchell,71.4,5
2024,0,30163,Henrik Norlander,71.4,5
2024,0,48867,Matti Schmid,71.4,5
2024,0,39324,J.J. Spaun,71.4,5
2024,0,50484,Hayden Springer,71.4,5
2024,0,40026,Daniel Berger,70.0,7
2024,0,59095,Chris Gotterup,70.0,7
2024,0,12716,Charley Hoffman,70.0,7
2024,0,51890,Greyson Sigg,70.0,7
2024,0,39327,Ben Silverman,70.0,7
2024,0,58168,Davis Thompson,70.0,7
2024,0,31323,Gary Woodland,70.0,7
2024,0,52375,Doug Ghim,69.2,9
2024,0,35506,Mackenzie Hughes,69.2,9
2024,0,33141,Keegan Bradley,66.7,6
2024,0,47504,Sam Burns,66.7,2
2024,0,28089,Jason Day,66.7,8
2024,0,29535,Brice Garnett,66.7,4
2024,0,27644,Brian Harman,66.7,8
2024,0,51696,Rico Hoey,66.7,6
2024,0,35532,Tom Hoge,66.7,10
2024,0,39977,Max Homa,66.7,8
2024,0,39975,Michael Kim,66.7,6
2024,0,36884,Ben Kohles,66.7,8
2024,0,28775,Nate Lashley,66.7,6
2024,0,23320,Ryan Palmer,66.7,4
2024,0,57900,Chandler Phillips,66.7,10
2024,0,47995,Davis Riley,66.7,8
2024,0,50493,Justin Suh,66.7,6
2024,0,46442,Maverick McNealy,64.3,9
2024,0,33408,Tyson Alexander,63.6,7
2024,0,47993,Denny McCarthy,63.6,7
2024,0,40006,Erik van Rooyen,63.6,7
2024,0,52513,Carson Young,63.6,7
2024,0,32367,Jorge Campillo,62.5,5
2024,0,51349,Nico Echavarria,62.5,5
