YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
2024,0,46717,Viktor Hovland,31.33%,26,83
2024,0,50484,Hayden Springer,28.57%,26,91
2024,0,48153,Matthieu Pavon,27.40%,20,73
2024,0,34563,Chesson Hadley,26.79%,30,112
2024,0,32640,Troy Merritt,26.56%,17,64
2024,0,33968,Thorbjørn Olesen,26.39%,19,72
2024,0,29725,Tony Finau,26.23%,32,122
2024,0,38991,Alejandro Tosti,23.44%,30,128
2024,0,59095,Chris Gotterup,23.08%,27,117
2024,0,33653,Thomas Detry,22.68%,22,97
2024,0,28237,Rory McIlroy,22.50%,18,80
2024,0,39327,Ben Silverman,22.43%,24,107
2024,0,34587,Chan Kim,22.13%,27,122
2024,0,36699,Patrick Rodgers,22.00%,33,150
2024,0,52215,Robert MacIntyre,21.93%,25,114
2024,0,46046,Scottie Scheffler,21.78%,22,101
2024,0,32102,Rickie Fowler,21.59%,19,88
2024,0,39971,Sungjae Im,21.37%,28,131
2024,0,54591,Ben Griffin,21.05%,32,152
2024,0,60767,Blaine Hale Jr.,20.51%,16,78
2024,0,32839,Hideki Matsuyama,20.39%,21,103
2024,0,48084,Wesley Bryan,20.27%,15,74
2024,0,30926,Chris Kirk,20.24%,17,84
2024,0,26596,Ryan Moore,20.21%,19,94
2024,0,51766,Wyndham Clark,20.20%,20,99
2024,0,52513,Carson Young,20.19%,21,104
2024,0,46442,Maverick McNealy,20.00%,26,130
2024,0,39546,Keith Mitchell,19.88%,33,166
2024,0,57975,Harry Hall,19.72%,28,142
2024,0,47504,Sam Burns,19.57%,18,92
2024,0,56630,Akshay Bhatia,19.51%,24,123
2024,0,40250,Taylor Pendrith,19.40%,26,134
2024,0,51634,Sahith Theegala,19.40%,26,134
2024,0,55789,Taylor Montgomery,19.33%,23,119
2024,0,31323,Gary Woodland,19.33%,23,119
2024,0,34046,Jordan Spieth,19.32%,17,88
2024,0,27349,Alex Noren,19.27%,21,109
2024,0,58168,Davis Thompson,19.26%,26,135
