YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 10'-15',TOTAL 3 PUTTS
2024,0,37455,Si Woo Kim,4,24
2024,0,29908,C.T. Pan,4,23
2024,0,37275,Sam Ryder,4,39
2024,0,46340,Alex Smalley,4,33
2024,0,52513,Carson Young,4,45
2024,0,37212,Paul Barjon,3,29
2024,0,48084,Wesley Bryan,3,17
2024,0,59866,Nick Dunlap,3,34
2024,0,55182,Tom Kim,3,31
2024,0,30926,Chris Kirk,3,31
2024,0,29478,Kevin Kisner,3,34
2024,0,34256,Andrew Putnam,3,28
2024,0,47347,Adam Schenk,3,44
2024,0,50484,Hayden Springer,3,34
2024,0,38991,Alejandro Tosti,3,51
2024,0,40006,Erik van Rooyen,3,34
2024,0,48319,Tom Whitney,3,38
2024,0,55454,Carl Yuan,3,39
2024,0,52955,Ludvig Åberg,2,29
2024,0,34255,Joseph Bramlett,2,53
2024,0,34021,Bud Cauley,2,24
2024,0,51766,Wyndham Clark,2,21
2024,0,47591,Eric Cole,2,32
2024,0,39997,Corey Conners,2,35
2024,0,29725,Tony Finau,2,33
2024,0,40098,Matt Fitzpatrick,2,27
2024,0,56149,Wilson Furr,2,33
2024,0,29535,Brice Garnett,2,30
2024,0,25900,Lucas Glover,2,27
2024,0,54591,Ben Griffin,2,36
2024,0,35310,Lanto Griffin,2,40
2024,0,34563,Chesson Hadley,2,28
2024,0,47988,Nick Hardy,2,43
2024,0,60067,Joe Highsmith,2,32
2024,0,39975,Michael Kim,2,27
2024,0,48117,Kurt Kitayama,2,34
2024,0,47420,Jake Knapp,2,33
2024,0,32791,K.H. Lee,2,35
2024,0,37378,Min Woo Lee,2,23
2024,0,36326,David Lipsky,2,38
2024,0,33204,Shane Lowry,2,26
2024,0,32839,Hideki Matsuyama,2,31
2024,0,32640,Troy Merritt,2,29
2024,0,39546,Keith Mitchell,2,46
2024,0,55789,Taylor Montgomery,2,16
2024,0,33968,Thorbjørn Olesen,2,16
2024,0,48153,Matthieu Pavon,2,27
2024,0,49771,J.T. Poston,2,30
2024,0,47983,Chad Ramey,2,39
2024,0,29221,Webb Simpson,2,27
2024,0,50095,Austin Smotherman,2,16
2024,0,50493,Justin Suh,2,32
2024,0,40115,Adam Svensson,2,57
2024,0,51634,Sahith Theegala,2,42
2024,0,52374,Brandon Wu,2,38
2024,0,54783,Dylan Wu,2,37
2024,0,33408,Tyson Alexander,1,31
2024,0,33948,Byeong Hun An,1,33
2024,0,22371,Aaron Baddeley,1,21
2024,0,40026,Daniel Berger,1,27
2024,0,40058,Zac Blair,1,36
2024,0,28420,Ryan Brehm,1,29
2024,0,60004,Jacob Bridgeman,1,27
2024,0,35450,Patrick Cantlay,1,18
