YEAR,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
2024,0,52513,Carson Young,42,20
2024,0,34099,Harris English,40,1
2024,0,51349,Nico Echavarria,38,3
2024,0,26476,Chez Reavie,38,4
2024,0,32366,Kevin Chappell,36,1
2024,0,36699,Patrick Rodgers,36,2
2024,0,52374,Brandon Wu,36,0
2024,0,27139,David Skinns,35,3
2024,0,46435,Austin Cook,34,0
2024,0,59018,Ryan Gerard,34,6
2024,0,40115,Adam Svensson,34,1
2024,0,60004,Jacob Bridgeman,33,1
2024,0,56762,Will Gordon,33,2
2024,0,23108,Matt Kuchar,32,0
2024,0,32640,Troy Merritt,32,3
2024,0,37275,Sam Ryder,32,3
2024,0,46340,Alex Smalley,32,3
2024,0,48119,Ben Taylor,32,1
2024,0,32139,Danny Willett,32,7
2024,0,48084,Wesley Bryan,31,0
2024,0,36326,David Lipsky,31,0
2024,0,40162,Justin Lower,31,0
2024,0,57975,Harry Hall,30,6
2024,0,34076,Joel Dahmen,29,0
2024,0,35310,Lanto Griffin,29,0
2024,0,52372,Cameron Champ,28,6
2024,0,34587,Chan Kim,28,1
2024,0,37455,Si Woo Kim,28,5
2024,0,36871,Matt NeSmith,28,0
2024,0,34256,Andrew Putnam,28,3
2024,0,25349,Tim Wilkinson,28,1
2024,0,54591,Ben Griffin,27,3
2024,0,36884,Ben Kohles,27,1
2024,0,50525,Collin Morikawa,27,0
2024,0,48867,Matti Schmid,26,3
2024,0,34431,Robert Streb,26,1
2024,0,40058,Zac Blair,25,1
2024,0,61520,Santiago de la Fuente,25,25
2024,0,23983,Luke Donald,25,25
2024,0,32791,K.H. Lee,25,0
2024,0,31202,William McGirt,25,6
2024,0,19803,Ryan Armour,24,6
2024,0,52375,Doug Ghim,24,3
2024,0,35461,Beau Hossler,24,0
2024,0,35879,Kelly Kraft,24,4
2024,0,30163,Henrik Norlander,24,1
2024,0,47983,Chad Ramey,24,0
2024,0,50493,Justin Suh,24,3
2024,0,47988,Nick Hardy,23,2
2024,0,60067,Joe Highsmith,23,4
2024,0,35449,Adam Long,23,6
2024,0,59143,Mac Meissner,23,1
2024,0,46414,Aaron Rai,23,3
2024,0,27214,Kevin Streelman,23,3
2024,0,35617,Martin Trainer,23,0
2024,0,48319,Tom Whitney,23,1
2024,0,33408,Tyson Alexander,22,7
2024,0,32448,James Hahn,22,0
2024,0,35532,Tom Hoge,22,0
2024,0,36799,Stephan Jaeger,22,0
2024,0,26596,Ryan Moore,22,3
2024,0,48153,Matthieu Pavon,22,0
