YEAR,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
2024,0,40115,Adam Svensson,46,57
2024,0,34255,Joseph Bramlett,45,53
2024,0,34587,Chan Kim,41,48
2024,0,39546,Keith Mitchell,41,46
2024,0,48699,Callum Tarren,40,47
2024,0,47988,Nick Hardy,38,43
2024,0,36884,Ben Kohles,37,46
2024,0,26596,Ryan Moore,37,44
2024,0,57366,Cameron Young,37,45
2024,0,55893,Sam Stevens,36,40
2024,0,59095,Chris Gotterup,35,39
2024,0,48887,Matt Wallace,35,41
2024,0,31323,Gary Woodland,35,41
2024,0,52513,Carson Young,35,45
2024,0,45242,Kevin Yu,35,37
2024,0,35310,Lanto Griffin,34,40
2024,0,36801,Mark Hubbard,34,37
2024,0,50188,S.H. Kim,34,42
2024,0,40162,Justin Lower,34,40
2024,0,51070,Vincent Norrman,34,36
2024,0,38991,Alejandro Tosti,34,51
2024,0,54628,Lee Hodges,33,37
2024,0,27129,Luke List,33,35
2024,0,28252,Seamus Power,33,35
2024,0,47983,Chad Ramey,33,39
2024,0,47347,Adam Schenk,33,44
2024,0,58168,Davis Thompson,33,36
2024,0,51696,Rico Hoey,32,38
2024,0,36326,David Lipsky,32,38
2024,0,36699,Patrick Rodgers,32,35
2024,0,27649,Brandt Snedeker,32,35
2024,0,47483,Will Zalatoris,32,33
2024,0,55708,Hayden Buckley,31,32
2024,0,32070,Rafael Campos,31,35
2024,0,54591,Ben Griffin,31,36
2024,0,48867,Matti Schmid,31,38
2024,0,25493,Nick Taylor,31,36
2024,0,51634,Sahith Theegala,31,42
2024,0,52374,Brandon Wu,31,38
2024,0,34076,Joel Dahmen,30,42
2024,0,48117,Kurt Kitayama,30,34
2024,0,47420,Jake Knapp,30,33
2024,0,27936,Martin Laird,30,34
2024,0,49947,Taylor Moore,30,33
2024,0,37275,Sam Ryder,30,39
2024,0,51890,Greyson Sigg,30,35
2024,0,40058,Zac Blair,29,36
2024,0,51287,Ryo Hisatsune,29,32
2024,0,36871,Matt NeSmith,29,33
2024,0,50493,Justin Suh,29,32
