YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,0,34021,Bud Cauley,"11' 6""",447.417,39,-15
2024,0,46046,Scottie Scheffler,"12' 11""",515.833,40,-18
2024,0,51766,Wyndham Clark,"13' 1""",561.25,43,-13
2024,0,33141,Keegan Bradley,"13' 3""",770.25,58,-17
2024,0,27770,Camilo Villegas,"13' 7""",514.917,38,-8
2024,0,52955,Ludvig Åberg,"13' 8""",627.083,46,-12
2024,0,59866,Nick Dunlap,"13' 8""",616.833,45,-11
2024,0,34098,Russell Henley,"13' 9""",878.667,64,-19
2024,0,47995,Davis Riley,"14' 0""",782.917,56,-11
2024,0,39977,Max Homa,"14' 2""",651.5,46,-8
2024,0,29725,Tony Finau,"14' 4""",602.917,42,-13
2024,0,33968,Thorbjørn Olesen,"14' 4""",401.0,28,-2
2024,0,45157,Cam Davis,"14' 5""",733.167,51,-11
2024,0,48119,Ben Taylor,"14' 5""",461.417,32,-3
2024,0,48084,Wesley Bryan,"14' 7""",567.25,39,-4
2024,0,35532,Tom Hoge,"14' 9""",826.417,56,-14
2024,0,50484,Hayden Springer,"14' 9""",679.333,46,-8
2024,0,31646,Emiliano Grillo,"14' 10""",681.667,46,-4
2024,0,28237,Rory McIlroy,"14' 10""",327.167,22,-9
2024,0,45522,Christiaan Bezuidenhout,"14' 11""",942.083,63,-9
2024,0,55789,Taylor Montgomery,"14' 11""",298.25,20,-5
2024,0,40250,Taylor Pendrith,"14' 11""",717.833,48,-11
2024,0,59143,Mac Meissner,"15' 0""",823.667,55,-7
2024,0,55182,Tom Kim,"15' 1""",662.75,44,-10
2024,0,32839,Hideki Matsuyama,"15' 1""",662.667,44,-8
2024,0,46442,Maverick McNealy,"15' 1""",1218.667,81,-23
2024,0,24502,Adam Scott,"15' 1""",634.667,42,-9
2024,0,33486,Roger Sloan,"15' 2""",850.583,56,-22
2024,0,34076,Joel Dahmen,"15' 3""",1205.5,79,-16
2024,0,39975,Michael Kim,"15' 5""",633.25,41,-12
2024,0,33204,Shane Lowry,"15' 6""",728.583,47,-16
2024,0,30926,Chris Kirk,"15' 7""",887.25,57,-17
2024,0,50095,Austin Smotherman,"15' 7""",295.667,19,-6
2024,0,27214,Kevin Streelman,"15' 7""",811.583,52,-11
2024,0,30927,Brendon Todd,"15' 7""",1155.333,74,-25
2024,0,32102,Rickie Fowler,"15' 9""",677.667,43,-14
2024,0,52375,Doug Ghim,"15' 9""",946.583,60,-11
2024,0,50525,Collin Morikawa,"15' 9""",757.25,48,-8
2024,0,48319,Tom Whitney,"15' 9""",756.417,48,-12
2024,0,32367,Jorge Campillo,"15' 10""",379.667,24,-5
2024,0,57975,Harry Hall,"15' 10""",1027.333,65,-15
2024,0,51696,Rico Hoey,"16' 0""",686.25,43,-9
2024,0,35461,Beau Hossler,"16' 0""",1074.667,67,-19
2024,0,54783,Dylan Wu,"16' 0""",927.083,58,-12
2024,0,35506,Mackenzie Hughes,"16' 1""",787.583,49,-8
2024,0,49960,Sepp Straka,"16' 1""",754.417,47,-11
2024,0,34374,Erik Barnes,"16' 2""",501.333,31,-6
