YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
2024,1,0,57900,Chandler Phillips,20.3,108799.0,149
2024,2,0,51696,Rico Hoey,20.8,133052.0,178
2024,3,0,37212,Paul Barjon,20.9,93494.0,124
2024,4,0,32757,Patton Kizzire,21.0,91644.0,121
2024,5,0,39997,Corey Conners,21.1,161857.0,213
2024,6,0,12716,Charley Hoffman,21.2,107589.0,141
2024,6,0,50484,Hayden Springer,21.2,115351.0,151
2024,8,0,35450,Patrick Cantlay,21.3,117082.0,153
2024,9,0,39975,Michael Kim,21.4,108616.0,141
2024,9,0,59143,Mac Meissner,21.4,102633.0,133
2024,11,0,39971,Sungjae Im,21.7,153904.0,197
2024,11,0,48117,Kurt Kitayama,21.7,153827.0,197
2024,11,0,46442,Maverick McNealy,21.7,138067.0,177
2024,14,0,52955,Ludvig Åberg,21.8,146922.0,187
2024,15,0,46046,Scottie Scheffler,22.0,145225.0,183
2024,16,0,52666,Sami Valimaki,22.1,101096.0,127
2024,17,0,25900,Lucas Glover,22.2,123226.0,154
2024,17,0,47993,Denny McCarthy,22.2,120847.0,151
2024,19,0,56149,Wilson Furr,22.3,88251.0,110
2024,19,0,46717,Viktor Hovland,22.3,118860.0,148
2024,19,0,50095,Austin Smotherman,22.3,76428.0,95
2024,19,0,38991,Alejandro Tosti,22.3,143132.0,178
2024,23,0,28420,Ryan Brehm,22.4,101796.0,126
2024,23,0,34076,Joel Dahmen,22.4,114687.0,142
2024,23,0,54421,Garrick Higgo,22.4,114411.0,142
2024,23,0,39546,Keith Mitchell,22.4,170772.0,212
2024,27,0,32367,Jorge Campillo,22.5,72105.0,89
2024,27,0,32366,Kevin Chappell,22.5,74589.0,92
2024,27,0,54576,Patrick Fishburn,22.5,126532.0,156
2024,27,0,50493,Justin Suh,22.5,102210.0,126
2024,31,0,52372,Cameron Champ,22.6,112055.0,138
2024,31,0,59866,Nick Dunlap,22.6,129964.0,160
2024,31,0,34587,Chan Kim,22.6,142411.0,175
2024,31,0,36871,Matt NeSmith,22.6,102382.0,126
2024,31,0,46414,Aaron Rai,22.6,138350.0,170
2024,31,0,48867,Matti Schmid,22.6,138888.0,171
2024,31,0,48699,Callum Tarren,22.6,120457.0,148
2024,31,0,52513,Carson Young,22.6,125333.0,154
2024,39,0,34374,Erik Barnes,22.7,71005.0,87
2024,39,0,34255,Joseph Bramlett,22.7,166962.0,204
2024,39,0,33653,Thomas Detry,22.7,119976.0,147
2024,39,0,52375,Doug Ghim,22.7,147601.0,181
2024,39,0,29221,Webb Simpson,22.7,89240.0,109
2024,44,0,47663,Kevin Dougherty,22.8,122912.0,150
2024,44,0,29908,C.T. Pan,22.8,92573.0,113
2024,46,0,47988,Nick Hardy,22.9,161787.0,196
2024,46,0,50188,S.H. Kim,22.9,189536.0,230
2024,46,0,27214,Kevin Streelman,22.9,91415.0,111
2024,49,0,33948,Byeong Hun An,23.0,160497.0,194
2024,49,0,39977,Max Homa,23.0,146816.0,177
2024,51,0,52215,Robert MacIntyre,23.1,123797.0,149
2024,52,0,47591,Eric Cole,23.2,192103.0,230
2024,52,0,29725,Tony Finau,23.2,159207.0,191
2024,52,0,36801,Mark Hubbard,23.2,184349.0,221
2024,52,0,49771,J.T. Poston,23.2,145583.0,174
2024,52,0,28252,Seamus Power,23.2,172534.0,207
2024,57,0,33141,Keegan Bradley,23.3,138262.0,165
2024,57,0,47504,Sam Burns,23.3,145339.0,173
2024,57,0,40098,Matt Fitzpatrick,23.3,132702.0,158
2024,57,0,60067,Joe Highsmith,23.3,128356.0,153
2024,57,0,27064,Jhonattan Vegas,23.3,147655.0,176
2024,62,0,32839,Hideki Matsuyama,23.4,129467.0,154
2024,62,0,23320,Ryan Palmer,23.4,70798.0,84
2024,62,0,46441,Robby Shelton,23.4,111359.0,132
