YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,1,0,46340,Alex Smalley,"34' 5""",1102.5,32,+3
2024,2,0,32640,Troy Merritt,"35' 3""",1411.0,40,+4
2024,3,0,56149,Wilson Furr,"35' 5""",815.167,23,+3
2024,4,0,47483,Will Zalatoris,"35' 6""",1349.75,38,+8
2024,5,0,34563,Chesson Hadley,"35' 7""",1386.833,39,+2
2024,6,0,51890,Greyson Sigg,"35' 9""",1824.167,51,+5
2024,7,0,48153,Matthieu Pavon,"36' 3""",870.75,24,E
2024,8,0,35617,Martin Trainer,"37' 1""",1223.333,33,+5
2024,9,0,39324,J.J. Spaun,"37' 3""",1638.083,44,+2
2024,10,0,31323,Gary Woodland,"37' 10""",2271.5,60,-2
2024,11,0,48084,Wesley Bryan,"38' 0""",873.25,23,+1
2024,12,0,55454,Carl Yuan,"38' 1""",1293.5,34,+6
2024,13,0,27330,Josh Teater,"38' 3""",1185.583,31,+4
2024,14,0,46113,Ryan McCormick,"38' 10""",1435.75,37,+3
2024,15,0,26476,Chez Reavie,"39' 0""",1208.583,31,+1
2024,16,0,51287,Ryo Hisatsune,"39' 1""",1759.667,45,+7
2024,17,0,27349,Alex Noren,"39' 2""",1606.333,41,+2
2024,18,0,33204,Shane Lowry,"39' 4""",1571.917,40,+3
2024,18,0,33968,Thorbjørn Olesen,"39' 4""",1376.833,35,+4
2024,18,0,27064,Jhonattan Vegas,"39' 4""",1889.083,48,+6
2024,21,0,32367,Jorge Campillo,"39' 7""",1147.5,29,+7
2024,22,0,25900,Lucas Glover,"39' 9""",1946.25,49,-2
2024,23,0,33653,Thomas Detry,"39' 10""",2072.5,52,+8
2024,24,0,39997,Corey Conners,"39' 11""",1874.417,47,E
2024,25,0,50525,Collin Morikawa,"40' 0""",1438.917,36,+5
2024,26,0,32070,Rafael Campos,"40' 1""",1324.083,33,+7
2024,26,0,32366,Kevin Chappell,"40' 1""",840.917,21,+2
2024,28,0,46414,Aaron Rai,"40' 2""",1165.917,29,+3
2024,29,0,60004,Jacob Bridgeman,"40' 4""",1934.833,48,+3
2024,29,0,59095,Chris Gotterup,"40' 4""",1735.833,43,+2
2024,29,0,24024,Zach Johnson,"40' 4""",1411.0,35,+4
2024,32,0,57975,Harry Hall,"40' 6""",2389.0,59,-3
2024,32,0,48867,Matti Schmid,"40' 6""",1660.333,41,+9
2024,34,0,54421,Garrick Higgo,"40' 7""",1783.833,44,+3
2024,34,0,33448,Justin Thomas,"40' 7""",2152.417,53,+9
2024,36,0,39971,Sungjae Im,"40' 8""",1870.083,46,+2
2024,37,0,34076,Joel Dahmen,"40' 10""",1919.667,47,+3
2024,38,0,51977,Max Greyserman,"40' 11""",1800.583,44,+4
2024,39,0,34374,Erik Barnes,"41' 2""",1523.917,37,+8
2024,39,0,40026,Daniel Berger,"41' 2""",1440.75,35,+6
2024,39,0,34256,Andrew Putnam,"41' 2""",2140.333,52,+2
2024,39,0,34046,Jordan Spieth,"41' 2""",1357.75,33,+2
2024,43,0,45157,Cam Davis,"41' 3""",1857.917,45,+7
2024,44,0,40162,Justin Lower,"41' 6""",2322.0,56,+4
2024,45,0,54576,Patrick Fishburn,"41' 7""",1373.167,33,+7
2024,46,0,36799,Stephan Jaeger,"41' 8""",1583.0,38,+9
2024,46,0,48117,Kurt Kitayama,"41' 8""",2166.5,52,+6
2024,46,0,28237,Rory McIlroy,"41' 8""",1876.417,45,+4
