YEAR,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
2024,0,22405,Justin Rose,7
2024,0,45242,Kevin Yu,7
2024,0,51766,Wyndham Clark,6
2024,0,27644,Brian Harman,6
2024,0,31202,William McGirt,6
2024,0,50525,Collin Morikawa,6
2024,0,51997,Andrew Novak,6
2024,0,33486,Roger Sloan,6
2024,0,40006,Erik van Rooyen,6
2024,0,37212,Paul Barjon,5
2024,0,40026,Daniel Berger,5
2024,0,51349,Nico Echavarria,5
2024,0,29725,Tony Finau,5
2024,0,29936,Ryan Fox,5
2024,0,54421,Garrick Higgo,5
2024,0,29420,Billy Horschel,5
2024,0,39971,Sungjae Im,5
2024,0,32839,Hideki Matsuyama,5
2024,0,23320,Ryan Palmer,5
2024,0,57900,Chandler Phillips,5
2024,0,47995,Davis Riley,5
2024,0,34046,Jordan Spieth,5
2024,0,50484,Hayden Springer,5
2024,0,58168,Davis Thompson,5
2024,0,57364,Michael Thorbjornsen,5
2024,0,35617,Martin Trainer,5
2024,0,47128,Richy Werenski,5
2024,0,57366,Cameron Young,5
2024,0,52955,Ludvig Åberg,4
2024,0,33948,Byeong Hun An,4
2024,0,45522,Christiaan Bezuidenhout,4
2024,0,56630,Akshay Bhatia,4
2024,0,33141,Keegan Bradley,4
2024,0,60004,Jacob Bridgeman,4
2024,0,55708,Hayden Buckley,4
2024,0,47504,Sam Burns,4
2024,0,32367,Jorge Campillo,4
2024,0,34021,Bud Cauley,4
2024,0,47591,Eric Cole,4
2024,0,59836,Pierceson Coody,4
2024,0,52514,Trace Crowe,4
2024,0,45157,Cam Davis,4
2024,0,50762,Alejandro Del Rey,4
2024,0,33653,Thomas Detry,4
2024,0,50497,Adrien Dumont de Chassart,4
2024,0,45609,Tyler Duncan,4
2024,0,59866,Nick Dunlap,4
2024,0,57362,Austin Eckroat,4
2024,0,40098,Matt Fitzpatrick,4
2024,0,30750,Tommy Gainey,4
2024,0,25900,Lucas Glover,4
2024,0,54591,Ben Griffin,4
2024,0,35310,Lanto Griffin,4
2024,0,24924,Bill Haas,4
2024,0,33399,Adam Hadwin,4
2024,0,32448,James Hahn,4
2024,0,57975,Harry Hall,4
2024,0,51287,Ryo Hisatsune,4
2024,0,54628,Lee Hodges,4
2024,0,51696,Rico Hoey,4
2024,0,12716,Charley Hoffman,4
2024,0,52453,Nicolai Højgaard,4
2024,0,35461,Beau Hossler,4
2024,0,46717,Viktor Hovland,4
2024,0,36801,Mark Hubbard,4
2024,0,37455,Si Woo Kim,4
2024,0,55182,Tom Kim,4
2024,0,30926,Chris Kirk,4
2024,0,29478,Kevin Kisner,4
2024,0,47420,Jake Knapp,4
2024,0,27936,Martin Laird,4
2024,0,37378,Min Woo Lee,4
2024,0,40162,Justin Lower,4
2024,0,40042,Tyler McCumber,4
2024,0,46442,Maverick McNealy,4
2024,0,58944,Blake McShea,4
2024,0,32640,Troy Merritt,4
2024,0,39546,Keith Mitchell,4
2024,0,49947,Taylor Moore,4
2024,0,34213,Grayson Murray,4
2024,0,51635,Chris Nido,4
2024,0,30163,Henrik Norlander,4
2024,0,33968,Thorbjørn Olesen,4
2024,0,29908,C.T. Pan,4
2024,0,40250,Taylor Pendrith,4
2024,0,28252,Seamus Power,4
2024,0,46970,Jon Rahm,4
2024,0,26476,Chez Reavie,4
2024,0,36699,Patrick Rodgers,4
2024,0,37275,Sam Ryder,4
2024,0,48081,Xander Schauffele,4
2024,0,46046,Scottie Scheffler,4
2024,0,48867,Matti Schmid,4
2024,0,47888,Taiga Semikawa,4
2024,0,46441,Robby Shelton,4
2024,0,51890,Greyson Sigg,4
2024,0,39327,Ben Silverman,4
2024,0,46340,Alex Smalley,4
2024,0,30692,Scott Stallings,4
2024,0,51600,Jimmy Stanger,4
2024,0,49960,Sepp Straka,4
2024,0,48119,Ben Taylor,4
2024,0,25493,Nick Taylor,4
2024,0,51634,Sahith Theegala,4
2024,0,33448,Justin Thomas,4
2024,0,30927,Brendon Todd,4
2024,0,38991,Alejandro Tosti,4
2024,0,27064,Jhonattan Vegas,4
2024,0,48887,Matt Wallace,4
2024,0,51894,Vince Whaley,4
2024,0,48319,Tom Whitney,4
2024,0,31323,Gary Woodland,4
2024,0,52513,Carson Young,4
2024,0,47483,Will Zalatoris,4
2024,0,49303,Anders Albertson,3
2024,0,33408,Tyson Alexander,3
2024,0,28259,Sangmoon Bae,3
2024,0,60369,Sam Bairstow,3
2024,0,33404,Chris Baker,3
2024,0,34374,Erik Barnes,3
2024,0,34310,Alexander Björk,3
2024,0,40058,Zac Blair,3
2024,0,24671,David Bradshaw,3
2024,0,34255,Joseph Bramlett,3
2024,0,66417,Blades Brown,3
2024,0,48084,Wesley Bryan,3
2024,0,24925,Jonathan Byrd,3
2024,0,58716,Ethan Cairns,3
2024,0,32070,Rafael Campos,3
2024,0,35450,Patrick Cantlay,3
2024,0,45734,John Catlin,3
2024,0,52372,Cameron Champ,3
2024,0,32366,Kevin Chappell,3
2024,0,20229,Stewart Cink,3
2024,0,24494,Erik Compton,3
2024,0,39997,Corey Conners,3
2024,0,59442,Parker Coody,3
2024,0,23541,Ben Crane,3
2024,0,39436,Joshua Creel,3
2024,0,58605,Quade Cummins,3
2024,0,39067,MJ Daffue,3
2024,0,34076,Joel Dahmen,3
2024,0,28089,Jason Day,3
2024,0,51680,Alistair Docherty,3
2024,0,47663,Kevin Dougherty,3
2024,0,34099,Harris English,3
2024,0,54576,Patrick Fishburn,3
2024,0,57123,Steven Fisk,3
2024,0,30911,Tommy Fleetwood,3
2024,0,32102,Rickie Fowler,3
2024,0,55074,Sebastian Friedrichsen,3
2024,0,29970,Dylan Frittelli,3
2024,0,56149,Wilson Furr,3
2024,0,51734,Nicolo Galletti,3
2024,0,29535,Brice Garnett,3
2024,0,52375,Doug Ghim,3
2024,0,32662,Michael Gligic,3
2024,0,56762,Will Gordon,3
2024,0,59095,Chris Gotterup,3
2024,0,46594,Ricardo Gouveia,3
2024,0,51977,Max Greyserman,3
2024,0,39954,Cody Gribble,3
2024,0,31646,Emiliano Grillo,3
2024,0,61534,Jeffrey Guan,3
2024,0,24980,Scott Gutschewski,3
2024,0,34563,Chesson Hadley,3
2024,0,60767,Blaine Hale Jr.,3
2024,0,47988,Nick Hardy,3
2024,0,20766,Padraig Harrington,3
2024,0,34363,Tyrrell Hatton,3
2024,0,34098,Russell Henley,3
2024,0,39058,Lucas Herbert,3
2024,0,63774,Caleb Hicks,3
2024,0,35532,Tom Hoge,3
2024,0,39977,Max Homa,3
2024,0,35506,Mackenzie Hughes,3
2024,0,36799,Stephan Jaeger,3
2024,0,57688,Casey Jarvis,3
2024,0,30925,Dustin Johnson,3
2024,0,24024,Zach Johnson,3
2024,0,48632,Yuto Katsuragawa,3
2024,0,34587,Chan Kim,3
2024,0,60895,Kris Kim,3
2024,0,39975,Michael Kim,3
2024,0,50188,S.H. Kim,3
2024,0,48117,Kurt Kitayama,3
2024,0,32757,Patton Kizzire,3
2024,0,36852,Jim Knous,3
2024,0,36689,Brooks Koepka,3
2024,0,36884,Ben Kohles,3
2024,0,23108,Matt Kuchar,3
2024,0,34607,Francesco Laporta,3
2024,0,45523,Thriston Lawrence,3
2024,0,32791,K.H. Lee,3
2024,0,46837,Yuxin Lin,3
2024,0,37278,Nicholas Lindheim,3
2024,0,34409,David Lingmerth,3
2024,0,36326,David Lipsky,3
2024,0,27129,Luke List,3
2024,0,33204,Shane Lowry,3
2024,0,52215,Robert MacIntyre,3
2024,0,34466,Peter Malnati,3
2024,0,47993,Denny McCarthy,3
2024,0,59141,Matt McCarty,3
2024,0,46113,Ryan McCormick,3
2024,0,51950,Max McGreevy,3
2024,0,28237,Rory McIlroy,3
2024,0,59143,Mac Meissner,3
2024,0,39834,Guido Migliozzi,3
2024,0,25198,Francesco Molinari,3
2024,0,55789,Taylor Montgomery,3
2024,0,26596,Ryan Moore,3
2024,0,55420,Cooper Musselman,3
2024,0,32344,Lukas Nemecz,3
2024,0,36871,Matt NeSmith,3
2024,0,29289,S.Y. Noh,3
2024,0,27349,Alex Noren,3
2024,0,48153,Matthieu Pavon,3
2024,0,47806,Raul Pereda,3
