YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,0,52375,Doug Ghim,"40' 10""",2939.667,72,-34
2024,0,52514,Trace Crowe,"41' 8""",1250.833,30,-8
2024,0,46441,Robby Shelton,"42' 2""",2108.583,50,-20
2024,0,33968,Thorbjørn Olesen,"42' 3""",1393.417,33,-11
2024,0,35532,Tom Hoge,"42' 7""",3318.833,78,-29
2024,0,56149,Wilson Furr,"43' 9""",1269.75,29,-15
2024,0,52666,Sami Valimaki,"43' 9""",2055.25,47,-14
2024,0,52215,Robert MacIntyre,"44' 4""",2481.5,56,-16
2024,0,26476,Chez Reavie,"44' 4""",1639.25,37,-3
2024,0,39324,J.J. Spaun,"44' 9""",2505.667,56,-31
2024,0,48867,Matti Schmid,"45' 1""",2073.583,46,-17
2024,0,51287,Ryo Hisatsune,"45' 6""",2777.167,61,-24
2024,0,51634,Sahith Theegala,"45' 10""",2932.5,64,-18
2024,0,54628,Lee Hodges,"46' 2""",3232.083,70,-19
2024,0,39975,Michael Kim,"46' 3""",2267.167,49,-11
2024,0,32367,Jorge Campillo,"46' 4""",1669.0,36,-14
2024,0,48081,Xander Schauffele,"46' 9""",3597.333,77,-34
2024,0,33486,Roger Sloan,"46' 10""",1638.167,35,-8
2024,0,56630,Akshay Bhatia,"47' 3""",3214.25,68,-17
2024,0,47806,Raul Pereda,"47' 3""",755.417,16,-6
2024,0,52453,Nicolai Højgaard,"47' 4""",1562.917,33,-9
2024,0,27330,Josh Teater,"47' 4""",1183.833,25,-10
2024,0,47663,Kevin Dougherty,"47' 6""",1805.333,38,-13
2024,0,33399,Adam Hadwin,"47' 6""",3040.083,64,-16
2024,0,50095,Austin Smotherman,"47' 6""",1425.0,30,-15
2024,0,52372,Cameron Champ,"47' 8""",2002.5,42,-25
2024,0,30163,Henrik Norlander,"47' 8""",1762.417,37,-13
2024,0,32366,Kevin Chappell,"47' 9""",1192.833,25,-13
2024,0,29908,C.T. Pan,"47' 9""",2436.083,51,-22
2024,0,30911,Tommy Fleetwood,"47' 10""",3300.75,69,-22
2024,0,12716,Charley Hoffman,"47' 11""",1965.75,41,-7
2024,0,57900,Chandler Phillips,"47' 11""",2633.583,55,-21
2024,0,33653,Thomas Detry,"48' 1""",2594.417,54,-12
2024,0,47983,Chad Ramey,"48' 2""",2795.0,58,-15
2024,0,35450,Patrick Cantlay,"48' 3""",2411.833,50,-18
2024,0,32102,Rickie Fowler,"48' 3""",2171.583,45,-8
2024,0,39546,Keith Mitchell,"48' 3""",2893.25,60,-27
2024,0,33448,Justin Thomas,"48' 4""",2515.167,52,-18
2024,0,51997,Andrew Novak,"48' 5""",2760.417,57,-24
2024,0,28775,Nate Lashley,"48' 6""",2425.5,50,-16
2024,0,57362,Austin Eckroat,"48' 7""",3353.083,69,-25
2024,0,48699,Callum Tarren,"48' 7""",2185.167,45,-9
2024,0,59442,Parker Coody,"48' 8""",1411.0,29,-7
2024,0,45522,Christiaan Bezuidenhout,"48' 9""",2728.333,56,-7
2024,0,33141,Keegan Bradley,"48' 11""",2837.333,58,-16
2024,0,52374,Brandon Wu,"48' 11""",1956.333,40,-10
2024,0,52513,Carson Young,"49' 0""",2937.583,60,-19
2024,0,34076,Joel Dahmen,"49' 1""",2208.917,45,-7
2024,0,37455,Si Woo Kim,"49' 1""",3094.333,63,-14
2024,0,36699,Patrick Rodgers,"49' 1""",2798.917,57,-25
2024,0,39971,Sungjae Im,"49' 2""",3540.5,72,-25
2024,0,51977,Max Greyserman,"49' 3""",2463.0,50,-17
2024,0,58168,Davis Thompson,"49' 3""",3051.333,62,-18
2024,0,27064,Jhonattan Vegas,"49' 3""",1871.333,38,-11
2024,0,40250,Taylor Pendrith,"49' 5""",2370.083,48,-7
2024,0,29725,Tony Finau,"49' 6""",3216.25,65,-9
2024,0,34256,Andrew Putnam,"49' 6""",3019.25,61,-7
2024,0,46414,Aaron Rai,"49' 6""",3812.333,77,-19
2024,0,32839,Hideki Matsuyama,"49' 7""",2480.25,50,-13
2024,0,55893,Sam Stevens,"49' 7""",2727.083,55,-15
2024,0,54591,Ben Griffin,"49' 8""",3126.583,63,-16
2024,0,46046,Scottie Scheffler,"49' 8""",3375.417,68,-25
2024,0,48119,Ben Taylor,"49' 8""",1886.417,38,-15
2024,0,36326,David Lipsky,"49' 9""",2089.083,42,-13
2024,0,59143,Mac Meissner,"49' 9""",2388.917,48,-16
2024,0,51696,Rico Hoey,"49' 10""",2241.583,45,-12
2024,0,52955,Ludvig Åberg,"50' 2""",3311.5,66,-24
2024,0,32757,Patton Kizzire,"50' 3""",1406.083,28,-15
2024,0,29221,Webb Simpson,"50' 4""",1662.333,33,-9
2024,0,25493,Nick Taylor,"50' 4""",2921.0,58,-17
2024,0,25900,Lucas Glover,"50' 5""",3225.25,64,-13
2024,0,46717,Viktor Hovland,"50' 5""",2468.75,49,-16
2024,0,47993,Denny McCarthy,"50' 5""",2926.25,58,-14
2024,0,32640,Troy Merritt,"50' 6""",2120.75,42,-8
2024,0,40115,Adam Svensson,"50' 6""",3988.167,79,-23
2024,0,29936,Ryan Fox,"50' 7""",2629.083,52,-13
2024,0,55182,Tom Kim,"50' 7""",3642.583,72,-18
2024,0,24502,Adam Scott,"50' 7""",2985.083,59,-21
2024,0,54421,Garrick Higgo,"50' 8""",1468.5,29,-9
2024,0,50188,S.H. Kim,"50' 9""",3910.333,77,-25
2024,0,51070,Vincent Norrman,"50' 9""",1876.333,37,-8
2024,0,27214,Kevin Streelman,"50' 10""",2491.833,49,-14
2024,0,48084,Wesley Bryan,"50' 11""",1222.667,24,-10
2024,0,35506,Mackenzie Hughes,"50' 11""",3566.25,70,-23
2024,0,55454,Carl Yuan,"50' 11""",1731.417,34,-16
2024,0,45157,Cam Davis,"51' 0""",3009.333,59,-20
2024,0,60067,Joe Highsmith,"51' 0""",1835.5,36,-13
2024,0,38991,Alejandro Tosti,"51' 2""",2303.333,45,-11
2024,0,39997,Corey Conners,"51' 4""",3696.917,72,-18
2024,0,33204,Shane Lowry,"51' 4""",2926.25,57,-23
2024,0,28237,Rory McIlroy,"51' 4""",3029.0,59,-25
2024,0,36871,Matt NeSmith,"51' 4""",1797.25,35,-10
2024,0,27139,David Skinns,"51' 5""",2312.667,45,-17
2024,0,48887,Matt Wallace,"51' 5""",2004.833,39,-2
2024,0,34021,Bud Cauley,"51' 6""",1647.75,32,-10
2024,0,48117,Kurt Kitayama,"51' 6""",2782.75,54,-18
2024,0,34098,Russell Henley,"51' 7""",2942.333,57,-14
2024,0,50497,Adrien Dumont de Chassart,"51' 8""",1962.167,38,-14
2024,0,51890,Greyson Sigg,"51' 9""",2847.5,55,-14
2024,0,27129,Luke List,"51' 10""",2953.083,57,-22
2024,0,48319,Tom Whitney,"51' 10""",2230.167,43,-16
2024,0,27349,Alex Noren,"51' 11""",2490.333,48,-20
2024,0,55708,Hayden Buckley,"52' 0""",2340.583,45,-9
2024,0,60004,Jacob Bridgeman,"52' 1""",1719.583,33,-13
2024,0,47591,Eric Cole,"52' 1""",4116.333,79,-26
2024,0,45609,Tyler Duncan,"52' 1""",2186.083,42,-11
2024,0,40058,Zac Blair,"52' 2""",3545.917,68,-1
2024,0,45242,Kevin Yu,"52' 2""",2608.25,50,-12
2024,0,40026,Daniel Berger,"52' 4""",2461.417,47,-17
2024,0,39977,Max Homa,"52' 4""",3244.833,62,-11
2024,0,34046,Jordan Spieth,"52' 4""",2928.833,56,-19
2024,0,54576,Patrick Fishburn,"52' 5""",2044.75,39,-10
2024,0,50484,Hayden Springer,"52' 6""",1889.583,36,-12
2024,0,30927,Brendon Todd,"52' 6""",3882.667,74,-5
2024,0,28420,Ryan Brehm,"52' 7""",1736.25,33,-4
2024,0,27644,Brian Harman,"52' 8""",3897.667,74,-17
2024,0,55789,Taylor Montgomery,"52' 10""",1585.417,30,-7
2024,0,39327,Ben Silverman,"52' 10""",2590.833,49,-8
2024,0,46442,Maverick McNealy,"53' 1""",3182.75,60,-19
2024,0,31646,Emiliano Grillo,"53' 3""",3566.5,67,-7
2024,0,50493,Justin Suh,"53' 3""",2611.0,49,-16
2024,0,24024,Zach Johnson,"53' 4""",2239.5,42,-15
2024,0,46113,Ryan McCormick,"53' 4""",1226.667,23,-3
2024,0,31323,Gary Woodland,"53' 4""",3309.0,62,-11
2024,0,32070,Rafael Campos,"53' 5""",1869.417,35,-9
2024,0,51349,Nico Echavarria,"53' 5""",2671.833,50,-19
2024,0,36801,Mark Hubbard,"53' 5""",3736.583,70,-10
2024,0,47483,Will Zalatoris,"53' 5""",2671.667,50,-5
2024,0,30926,Chris Kirk,"53' 7""",3428.75,64,-7
2024,0,26596,Ryan Moore,"53' 7""",2838.333,53,-11
2024,0,40162,Justin Lower,"53' 8""",2629.917,49,-9
2024,0,49960,Sepp Straka,"53' 8""",3489.75,65,-9
2024,0,51766,Wyndham Clark,"53' 9""",2847.417,53,-17
2024,0,47420,Jake Knapp,"53' 9""",3173.25,59,-14
2024,0,47347,Adam Schenk,"53' 9""",3817.333,71,-29
2024,0,59866,Nick Dunlap,"53' 10""",2638.417,49,-16
2024,0,47679,Victor Perez,"53' 10""",2261.167,42,-6
2024,0,49947,Taylor Moore,"54' 1""",4327.667,80,-17
2024,0,57366,Cameron Young,"54' 2""",3683.417,68,-19
2024,0,29535,Brice Garnett,"54' 3""",2388.083,44,-10
2024,0,23320,Ryan Palmer,"54' 4""",1303.5,24,-4
2024,0,33948,Byeong Hun An,"54' 5""",2612.833,48,-12
2024,0,34099,Harris English,"54' 5""",3101.083,57,-12
2024,0,22405,Justin Rose,"54' 5""",2938.75,54,-13
2024,0,36799,Stephan Jaeger,"54' 7""",3441.0,63,-22
2024,0,49771,J.T. Poston,"54' 7""",3659.583,67,-17
2024,0,33408,Tyson Alexander,"54' 8""",2622.083,48,-11
2024,0,59836,Pierceson Coody,"54' 8""",2678.833,49,-19
2024,0,22371,Aaron Baddeley,"54' 11""",1921.167,35,+1
2024,0,36884,Ben Kohles,"54' 11""",3238.25,59,+4
2024,0,59095,Chris Gotterup,"55' 0""",2696.333,49,-11
2024,0,34587,Chan Kim,"55' 0""",3078.75,56,-19
2024,0,47504,Sam Burns,"55' 1""",3909.167,71,-27
2024,0,37212,Paul Barjon,"55' 4""",1660.417,30,-13
2024,0,46340,Alex Smalley,"55' 4""",2379.333,43,-15
2024,0,37378,Min Woo Lee,"55' 5""",3160.833,57,-20
2024,0,48153,Matthieu Pavon,"55' 8""",3005.5,54,-12
2024,0,40006,Erik van Rooyen,"55' 10""",2792.333,50,-17
2024,0,54783,Dylan Wu,"56' 0""",2802.0,50,-11
2024,0,28252,Seamus Power,"56' 3""",3996.0,71,-24
2024,0,28089,Jason Day,"56' 4""",3099.25,55,-14
2024,0,40098,Matt Fitzpatrick,"56' 5""",2820.25,50,-12
2024,0,35310,Lanto Griffin,"56' 5""",1693.5,30,-11
2024,0,27936,Martin Laird,"56' 5""",2424.583,43,-8
2024,0,37275,Sam Ryder,"56' 6""",2937.667,52,-17
2024,0,35617,Martin Trainer,"56' 7""",1358.167,24,-9
2024,0,47988,Nick Hardy,"57' 5""",3443.333,60,-23
2024,0,50525,Collin Morikawa,"57' 6""",3852.833,67,-17
2024,0,47995,Davis Riley,"57' 8""",3056.833,53,-24
2024,0,29420,Billy Horschel,"57' 9""",3408.667,59,-11
2024,0,32333,Kevin Tway,"57' 9""",2078.25,36,-19
2024,0,35461,Beau Hossler,"57' 10""",3991.917,69,-14
2024,0,23108,Matt Kuchar,"57' 11""",3126.417,54,-3
2024,0,34374,Erik Barnes,"58' 2""",1861.333,32,-7
2024,0,34255,Joseph Bramlett,"58' 2""",3024.167,52,-19
2024,0,34563,Chesson Hadley,"58' 10""",2587.5,44,-18
2024,0,60767,Blaine Hale Jr.,"60' 0""",1620.333,27,-6
2024,0,27770,Camilo Villegas,"60' 1""",2042.5,34,-2
2024,0,34466,Peter Malnati,"61' 3""",3244.583,53,-7
2024,0,57975,Harry Hall,"61' 9""",2903.917,47,-21
2024,0,32791,K.H. Lee,"62' 11""",2958.333,47,-13
2024,0,29478,Kevin Kisner,"63' 6""",1776.917,28,E
2024,0,51894,Vince Whaley,"63' 7""",2287.583,36,-8
2024,0,27649,Brandt Snedeker,"65' 7""",2362.333,36,-2
2023,0,58696,Peter Kuest,"36' 9""",1029.75,28,-16
2023,0,39975,Michael Kim,"40' 0""",1758.667,44,-18
2023,0,12716,Charley Hoffman,"42' 1""",1808.667,43,-13
2023,0,32139,Danny Willett,"42' 1""",1767.5,42,-12
2023,0,35901,Paul Haley II,"42' 5""",2333.167,55,-12
2023,0,28237,Rory McIlroy,"42' 7""",2042.333,48,-12
2023,0,52453,Nicolai Hojgaard,"43' 9""",874.417,20,-4
2023,0,26476,Chez Reavie,"44' 1""",2996.0,68,-8
2023,0,30692,Scott Stallings,"44' 11""",2694.583,60,-18
2023,0,50525,Collin Morikawa,"45' 0""",2607.917,58,-20
2023,0,39067,MJ Daffue,"45' 1""",2570.75,57,-21
2023,0,48867,Matti Schmid,"45' 2""",1895.833,42,-18
2023,0,36724,Augusto Núñez,"45' 9""",2059.167,45,-20
