YEAR,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,0,37455,Si Woo Kim,16.67%,72,12.0
2024,0,55893,Sam Stevens,16.07%,56,9.0
2024,0,27649,Brandt Snedeker,15.38%,39,6.0
2024,0,51766,Wyndham Clark,14.89%,47,7.0
2024,0,39975,Michael Kim,14.55%,55,8.0
2024,0,39971,Sungjae Im,14.29%,49,7.0
2024,0,33653,Thomas Detry,13.73%,51,7.0
2024,0,52955,Ludvig Åberg,13.70%,73,10.0
2024,0,40006,Erik van Rooyen,13.56%,59,8.0
2024,0,46046,Scottie Scheffler,13.04%,46,6.0
2024,0,47993,Denny McCarthy,12.07%,58,7.0
2024,0,47663,Kevin Dougherty,11.76%,34,4.0
2024,0,52514,Trace Crowe,11.54%,52,6.0
2024,0,30911,Tommy Fleetwood,11.43%,70,8.0
2024,0,40098,Matt Fitzpatrick,11.32%,53,6.0
2024,0,24502,Adam Scott,11.32%,53,6.0
2024,0,23108,Matt Kuchar,11.29%,62,7.0
2024,0,39977,Max Homa,11.11%,63,7.0
2024,0,29420,Billy Horschel,11.11%,45,5.0
2024,0,32791,K.H. Lee,11.11%,63,7.0
2024,0,34466,Peter Malnati,11.11%,63,7.0
2024,0,27936,Martin Laird,10.71%,56,6.0
2024,0,23320,Ryan Palmer,10.71%,28,3.0
2024,0,39324,J.J. Spaun,10.67%,75,8.0
2024,0,47483,Will Zalatoris,10.64%,47,5.0
2024,0,34099,Harris English,10.61%,66,7.0
2024,0,29936,Ryan Fox,10.61%,66,7.0
2024,0,40162,Justin Lower,10.61%,66,7.0
2024,0,33204,Shane Lowry,10.61%,66,7.0
2024,0,36799,Stephan Jaeger,10.53%,57,6.0
2024,0,32367,Jorge Campillo,10.26%,39,4.0
2024,0,27064,Jhonattan Vegas,10.17%,59,6.0
2024,0,51696,Rico Hoey,10.00%,60,6.0
2024,0,51894,Vince Whaley,10.00%,50,5.0
2024,0,52375,Doug Ghim,9.86%,71,7.0
2024,0,48887,Matt Wallace,9.80%,51,5.0
2024,0,40026,Daniel Berger,9.62%,52,5.0
2024,0,51349,Nico Echavarria,9.62%,52,5.0
2024,0,37275,Sam Ryder,9.43%,53,5.0
2024,0,35532,Tom Hoge,9.38%,64,6.0
2024,0,55454,Carl Yuan,9.30%,43,4.0
2024,0,57366,Cameron Young,9.26%,54,5.0
2024,0,56630,Akshay Bhatia,9.23%,65,6.0
2024,0,60004,Jacob Bridgeman,9.09%,55,5.0
2024,0,48867,Matti Schmid,9.09%,55,5.0
2024,0,46340,Alex Smalley,9.09%,44,4.0
2024,0,38991,Alejandro Tosti,9.09%,66,6.0
2024,0,49947,Taylor Moore,8.97%,78,7.0
2024,0,47504,Sam Burns,8.93%,56,5.0
