YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2024,1,0,48117,Kurt Kitayama,"30' 1""",24832.417,826,-0.14
2024,2,0,35532,Tom Hoge,"30' 7""",33928.833,1109,-0.13
2024,2,0,59143,Mac Meissner,"30' 7""",23904.167,781,-0.15
2024,4,0,34076,Joel Dahmen,"30' 9""",27215.25,885,-0.09
2024,5,0,25900,Lucas Glover,"31' 0""",31125.083,1004,-0.13
2024,5,0,46046,Scottie Scheffler,"31' 0""",23861.333,769,-0.23
2024,7,0,57900,Chandler Phillips,"31' 1""",28368.917,913,-0.15
2024,7,0,39324,J.J. Spaun,"31' 1""",26705.083,860,-0.14
2024,9,0,32757,Patton Kizzire,"31' 2""",19561.667,627,-0.14
2024,10,0,27064,Jhonattan Vegas,"31' 3""",22028.5,704,-0.14
2024,11,0,33948,Byeong Hun An,"31' 5""",21964.5,699,-0.12
2024,12,0,48084,Wesley Bryan,"31' 6""",11676.667,371,-0.09
2024,13,0,52453,Nicolai Højgaard,"31' 7""",15809.25,501,-0.09
2024,13,0,39975,Michael Kim,"31' 7""",22113.667,700,-0.14
2024,15,0,52375,Doug Ghim,"31' 8""",32044.833,1013,-0.13
2024,15,0,39546,Keith Mitchell,"31' 8""",26549.583,838,-0.16
2024,17,0,51997,Andrew Novak,"31' 9""",28465.167,896,-0.16
2024,17,0,50095,Austin Smotherman,"31' 9""",14531.833,458,-0.11
2024,19,0,60004,Jacob Bridgeman,"31' 10""",21760.917,684,-0.16
2024,20,0,46717,Viktor Hovland,"31' 11""",19071.333,597,-0.13
2024,20,0,32839,Hideki Matsuyama,"31' 11""",23925.167,750,-0.19
2024,22,0,52514,Trace Crowe,"32' 0""",19040.0,595,-0.14
2024,23,0,52513,Carson Young,"32' 2""",30244.833,940,-0.11
2024,24,0,56630,Akshay Bhatia,"32' 3""",30925.0,960,-0.14
2024,24,0,29936,Ryan Fox,"32' 3""",23867.917,741,-0.14
2024,24,0,45242,Kevin Yu,"32' 3""",23895.417,740,-0.13
2024,27,0,26596,Ryan Moore,"32' 4""",27083.5,838,-0.08
2024,27,0,27214,Kevin Streelman,"32' 4""",22338.25,690,-0.08
2024,29,0,40026,Daniel Berger,"32' 5""",25081.0,774,-0.10
2024,29,0,45522,Christiaan Bezuidenhout,"32' 5""",27997.75,863,-0.13
2024,29,0,47591,Eric Cole,"32' 5""",35368.417,1090,-0.16
2024,29,0,60067,Joe Highsmith,"32' 5""",21859.667,674,-0.14
2024,29,0,40162,Justin Lower,"32' 5""",32517.833,1003,-0.11
2024,29,0,36871,Matt NeSmith,"32' 5""",24284.583,749,-0.09
2024,29,0,28252,Seamus Power,"32' 5""",36635.333,1129,-0.14
2024,29,0,48319,Tom Whitney,"32' 5""",19528.25,602,-0.05
2024,37,0,52955,Ludvig Åberg,"32' 6""",25636.5,789,-0.17
2024,37,0,48867,Matti Schmid,"32' 6""",24003.667,738,-0.12
2024,37,0,57366,Cameron Young,"32' 6""",27356.917,841,-0.11
2024,40,0,33141,Keegan Bradley,"32' 7""",28332.167,869,-0.14
2024,40,0,39997,Corey Conners,"32' 7""",31311.0,962,-0.14
2024,40,0,52215,Robert MacIntyre,"32' 7""",23694.417,727,-0.12
2024,40,0,39327,Ben Silverman,"32' 7""",28768.333,884,-0.12
2024,44,0,56149,Wilson Furr,"32' 8""",16495.5,505,-0.07
2024,44,0,51696,Rico Hoey,"32' 8""",25872.167,793,-0.14
2024,44,0,47420,Jake Knapp,"32' 8""",24811.5,760,-0.12
2024,44,0,32640,Troy Merritt,"32' 8""",23137.917,708,-0.08
2024,44,0,26476,Chez Reavie,"32' 8""",22526.083,689,-0.09
2024,44,0,48081,Xander Schauffele,"32' 8""",26996.833,826,-0.19
2024,50,0,34021,Bud Cauley,"32' 9""",19723.333,603,-0.10
2024,50,0,54576,Patrick Fishburn,"32' 9""",20673.25,632,-0.14
2024,50,0,54628,Lee Hodges,"32' 9""",36234.333,1107,-0.10
2024,50,0,30163,Henrik Norlander,"32' 9""",20184.167,617,-0.13
2024,50,0,27139,David Skinns,"32' 9""",25079.083,765,-0.13
2024,50,0,46340,Alex Smalley,"32' 9""",22853.25,697,-0.10
2024,56,0,31646,Emiliano Grillo,"32' 10""",31533.917,961,-0.12
2024,57,0,29725,Tony Finau,"32' 11""",27489.25,835,-0.14
2024,57,0,34587,Chan Kim,"32' 11""",29584.75,899,-0.11
2024,57,0,40006,Erik van Rooyen,"32' 11""",25231.5,766,-0.16
2024,60,0,51977,Max Greyserman,"33' 0""",24239.917,735,-0.15
2024,60,0,52666,Sami Valimaki,"33' 0""",22200.417,673,-0.11
2024,62,0,54591,Ben Griffin,"33' 1""",35051.417,1060,-0.14
2024,63,0,39971,Sungjae Im,"33' 2""",32402.417,978,-0.13
2024,63,0,36326,David Lipsky,"33' 2""",23331.75,703,-0.12
2024,63,0,46414,Aaron Rai,"33' 2""",33823.417,1021,-0.14
2024,63,0,40115,Adam Svensson,"33' 2""",40892.083,1233,-0.10
2024,67,0,51287,Ryo Hisatsune,"33' 3""",28496.833,858,-0.12
2024,67,0,12716,Charley Hoffman,"33' 3""",22388.25,674,-0.11
2024,67,0,33486,Roger Sloan,"33' 3""",20816.167,626,-0.10
2024,70,0,59442,Parker Coody,"33' 4""",18093.917,543,-0.09
2024,70,0,28775,Nate Lashley,"33' 4""",25398.167,762,-0.10
2024,70,0,33204,Shane Lowry,"33' 4""",25068.667,753,-0.12
2024,70,0,28237,Rory McIlroy,"33' 4""",24696.5,741,-0.13
2024,70,0,33448,Justin Thomas,"33' 4""",22758.25,683,-0.13
2024,75,0,51766,Wyndham Clark,"33' 5""",22795.75,682,-0.17
2024,75,0,47988,Nick Hardy,"33' 5""",28894.333,864,-0.10
2024,75,0,47679,Victor Perez,"33' 5""",24764.417,741,-0.11
2024,75,0,51890,Greyson Sigg,"33' 5""",27845.333,834,-0.07
2024,79,0,29535,Brice Garnett,"33' 6""",19481.083,582,-0.11
2024,79,0,33399,Adam Hadwin,"33' 6""",28541.583,852,-0.10
2024,79,0,36699,Patrick Rodgers,"33' 6""",34358.083,1025,-0.10
2024,79,0,55454,Carl Yuan,"33' 6""",20248.833,605,-0.07
2024,83,0,32366,Kevin Chappell,"33' 7""",15533.25,463,-0.10
2024,83,0,50497,Adrien Dumont de Chassart,"33' 7""",21736.333,647,-0.06
2024,83,0,59866,Nick Dunlap,"33' 7""",24655.583,734,-0.11
2024,83,0,51349,Nico Echavarria,"33' 7""",28605.833,852,-0.13
2024,83,0,55182,Tom Kim,"33' 7""",29720.917,885,-0.10
2024,83,0,46113,Ryan McCormick,"33' 7""",16953.0,505,-0.06
2024,83,0,29908,C.T. Pan,"33' 7""",23862.25,710,-0.13
2024,83,0,55893,Sam Stevens,"33' 7""",30728.25,916,-0.12
2024,91,0,46442,Maverick McNealy,"33' 8""",30982.583,920,-0.14
2024,91,0,47483,Will Zalatoris,"33' 8""",23556.833,700,-0.11
2024,93,0,27644,Brian Harman,"33' 9""",33757.833,1000,-0.13
2024,93,0,47993,Denny McCarthy,"33' 9""",32459.583,962,-0.14
2024,93,0,48153,Matthieu Pavon,"33' 9""",22192.5,658,-0.08
2024,93,0,40250,Taylor Pendrith,"33' 9""",27110.667,803,-0.13
2024,97,0,57362,Austin Eckroat,"33' 10""",33888.667,1001,-0.10
2024,97,0,57975,Harry Hall,"33' 10""",26789.583,791,-0.12
2024,97,0,29420,Billy Horschel,"33' 10""",27600.25,815,-0.12
2024,97,0,25493,Nick Taylor,"33' 10""",31554.167,932,-0.10
2024,101,0,34563,Chesson Hadley,"33' 11""",24421.5,720,-0.09
2024,101,0,36799,Stephan Jaeger,"33' 11""",29340.5,865,-0.13
2024,101,0,37455,Si Woo Kim,"33' 11""",33124.25,977,-0.14
2024,101,0,49771,J.T. Poston,"33' 11""",32390.417,954,-0.14
2024,101,0,50493,Justin Suh,"33' 11""",25400.333,748,-0.08
2024,106,0,47504,Sam Burns,"34' 0""",27067.417,796,-0.17
2024,106,0,45157,Cam Davis,"34' 0""",28254.583,831,-0.13
2024,106,0,37378,Min Woo Lee,"34' 0""",22705.75,667,-0.10
2024,106,0,51634,Sahith Theegala,"34' 0""",32669.833,961,-0.15
2024,110,0,22405,Justin Rose,"34' 1""",21950.583,644,-0.09
2024,110,0,37275,Sam Ryder,"34' 1""",25038.333,734,-0.10
2024,110,0,29221,Webb Simpson,"34' 1""",19727.417,579,-0.08
2024,113,0,47983,Chad Ramey,"34' 2""",28812.417,844,-0.10
2024,113,0,48887,Matt Wallace,"34' 2""",22034.25,645,-0.12
2024,115,0,32070,Rafael Campos,"34' 3""",17081.0,499,-0.07
2024,115,0,35450,Patrick Cantlay,"34' 3""",21861.167,639,-0.14
2024,115,0,47663,Kevin Dougherty,"34' 3""",18803.583,549,-0.07
2024,115,0,32102,Rickie Fowler,"34' 3""",27581.167,806,-0.10
2024,115,0,36801,Mark Hubbard,"34' 3""",37946.083,1109,-0.12
2024,115,0,36884,Ben Kohles,"34' 3""",31906.5,932,-0.08
2024,115,0,27129,Luke List,"34' 3""",25211.0,736,-0.13
2024,115,0,55789,Taylor Montgomery,"34' 3""",16831.917,492,-0.09
2024,115,0,47347,Adam Schenk,"34' 3""",31434.583,918,-0.10
2024,115,0,58168,Davis Thompson,"34' 3""",33334.083,973,-0.13
2024,125,0,34255,Joseph Bramlett,"34' 4""",26867.5,782,-0.10
2024,125,0,33653,Thomas Detry,"34' 4""",26353.667,767,-0.11
2024,125,0,39977,Max Homa,"34' 4""",27255.75,793,-0.10
2024,125,0,24024,Zach Johnson,"34' 4""",18503.5,539,-0.13
2024,125,0,48699,Callum Tarren,"34' 4""",20677.0,602,-0.04
2024,130,0,54421,Garrick Higgo,"34' 5""",23966.417,696,-0.08
2024,130,0,46441,Robby Shelton,"34' 5""",26734.083,776,-0.09
2024,130,0,49960,Sepp Straka,"34' 5""",29760.667,864,-0.10
2024,130,0,54783,Dylan Wu,"34' 5""",28768.667,835,-0.07
2024,134,0,40098,Matt Fitzpatrick,"34' 7""",25958.667,751,-0.13
2024,134,0,34046,Jordan Spieth,"34' 7""",25810.333,746,-0.11
2024,134,0,52374,Brandon Wu,"34' 7""",25688.417,742,-0.08
2024,137,0,35310,Lanto Griffin,"34' 8""",23936.667,690,-0.11
2024,137,0,34098,Russell Henley,"34' 8""",28221.75,814,-0.12
2024,137,0,24502,Adam Scott,"34' 8""",24558.583,708,-0.12
