YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
2024,1,0,50525,Collin Morikawa,27.69%,54,195
2024,2,0,40162,Justin Lower,27.17%,72,265
2024,3,0,52514,Trace Crowe,27.11%,45,166
2024,4,0,46717,Viktor Hovland,26.28%,36,137
2024,5,0,33204,Shane Lowry,25.71%,45,175
2024,6,0,22405,Justin Rose,25.17%,37,147
2024,7,0,34256,Andrew Putnam,25.13%,49,195
2024,8,0,51287,Ryo Hisatsune,24.75%,50,202
2024,9,0,31646,Emiliano Grillo,24.66%,55,223
2024,10,0,35506,Mackenzie Hughes,24.34%,55,226
2024,11,0,32791,K.H. Lee,24.24%,48,198
2024,12,0,33486,Roger Sloan,24.18%,37,153
2024,13,0,56630,Akshay Bhatia,24.11%,54,224
2024,14,0,51634,Sahith Theegala,24.04%,50,208
2024,15,0,52955,Ludvig Åberg,24.00%,48,200
2024,16,0,57975,Harry Hall,23.90%,49,205
2024,17,0,32367,Jorge Campillo,23.85%,26,109
2024,18,0,26476,Chez Reavie,23.65%,35,148
2024,19,0,28089,Jason Day,23.64%,39,165
2024,20,0,45522,Christiaan Bezuidenhout,23.41%,48,205
2024,21,0,52513,Carson Young,23.25%,53,228
2024,22,0,24024,Zach Johnson,23.13%,31,134
2024,23,0,40006,Erik van Rooyen,23.08%,42,182
2024,24,0,27644,Brian Harman,22.93%,47,205
2024,25,0,51696,Rico Hoey,22.92%,44,192
2024,26,0,55789,Taylor Montgomery,22.90%,30,131
2024,27,0,59836,Pierceson Coody,22.89%,46,201
2024,28,0,39975,Michael Kim,22.87%,43,188
2024,29,0,27129,Luke List,22.49%,47,209
2024,30,0,39971,Sungjae Im,22.47%,51,227
2024,31,0,31323,Gary Woodland,22.34%,42,188
2024,32,0,50484,Hayden Springer,22.29%,35,157
2024,33,0,46046,Scottie Scheffler,22.28%,41,184
2024,34,0,37275,Sam Ryder,22.22%,42,189
2024,35,0,54591,Ben Griffin,22.18%,63,284
2024,36,0,39546,Keith Mitchell,22.00%,44,200
2024,37,0,59866,Nick Dunlap,21.84%,38,174
2024,38,0,34098,Russell Henley,21.81%,41,188
2024,39,0,47347,Adam Schenk,21.78%,49,225
2024,40,0,29725,Tony Finau,21.76%,47,216
2024,41,0,29478,Kevin Kisner,21.71%,28,129
2024,42,0,48084,Wesley Bryan,21.70%,23,106
2024,43,0,47504,Sam Burns,21.67%,39,180
2024,44,0,24502,Adam Scott,21.51%,37,172
2024,45,0,60004,Jacob Bridgeman,21.43%,39,182
2024,46,0,37455,Si Woo Kim,21.32%,42,197
2024,47,0,30163,Henrik Norlander,21.29%,33,155
2024,48,0,51894,Vince Whaley,21.19%,32,151
2024,49,0,25493,Nick Taylor,21.10%,46,218
2024,50,0,40115,Adam Svensson,20.98%,60,286
2024,51,0,37378,Min Woo Lee,20.97%,39,186
2024,52,0,35310,Lanto Griffin,20.90%,37,177
2024,53,0,60067,Joe Highsmith,20.67%,37,179
2024,54,0,45157,Cam Davis,20.65%,38,184
2024,55,0,35532,Tom Hoge,20.60%,55,267
2024,56,0,27649,Brandt Snedeker,20.57%,29,141
2024,57,0,39324,J.J. Spaun,20.56%,44,214
2024,58,0,47983,Chad Ramey,20.53%,39,190
2024,59,0,51997,Andrew Novak,20.51%,48,234
2024,59,0,48153,Matthieu Pavon,20.51%,32,156
2024,61,0,49960,Sepp Straka,20.44%,37,181
2024,62,0,23108,Matt Kuchar,20.43%,38,186
2024,63,0,35450,Patrick Cantlay,20.37%,33,162
2024,64,0,38991,Alejandro Tosti,20.33%,37,182
2024,65,0,40058,Zac Blair,20.32%,38,187
2024,66,0,48867,Matti Schmid,20.31%,39,192
2024,67,0,58168,Davis Thompson,20.30%,54,266
2024,68,0,52666,Sami Valimaki,20.24%,34,168
2024,69,0,34587,Chan Kim,20.19%,43,213
2024,70,0,59143,Mac Meissner,20.12%,33,164
2024,71,0,48081,Xander Schauffele,20.10%,42,209
2024,72,0,57366,Cameron Young,20.09%,45,224
2024,73,0,28252,Seamus Power,20.07%,54,269
2024,74,0,49771,J.T. Poston,20.00%,46,230
2024,74,0,27214,Kevin Streelman,20.00%,34,170
2024,74,0,27770,Camilo Villegas,20.00%,24,120
2024,77,0,50497,Adrien Dumont de Chassart,19.89%,36,181
2024,77,0,36871,Matt NeSmith,19.89%,37,186
2024,79,0,47591,Eric Cole,19.86%,57,287
2024,80,0,52453,Nicolai Højgaard,19.85%,26,131
2024,81,0,35461,Beau Hossler,19.82%,43,217
2024,82,0,40026,Daniel Berger,19.75%,31,157
2024,83,0,26596,Ryan Moore,19.69%,38,193
2024,84,0,60767,Blaine Hale Jr.,19.67%,24,122
2024,85,0,33399,Adam Hadwin,19.57%,36,184
2024,86,0,51766,Wyndham Clark,19.54%,34,174
2024,87,0,51349,Nico Echavarria,19.53%,42,215
2024,88,0,54783,Dylan Wu,19.52%,41,210
2024,89,0,32102,Rickie Fowler,19.51%,40,205
2024,90,0,48887,Matt Wallace,19.50%,31,159
2024,91,0,25900,Lucas Glover,19.40%,45,232
2024,92,0,54628,Lee Hodges,19.28%,48,249
2024,93,0,46414,Aaron Rai,19.23%,40,208
2024,94,0,48117,Kurt Kitayama,19.15%,45,235
2024,95,0,23320,Ryan Palmer,19.05%,20,105
2024,96,0,33948,Byeong Hun An,18.97%,37,195
2024,97,0,52215,Robert MacIntyre,18.95%,36,190
2024,98,0,29936,Ryan Fox,18.92%,35,185
2024,99,0,30927,Brendon Todd,18.83%,45,239
2024,100,0,47420,Jake Knapp,18.81%,41,218
2024,101,0,32757,Patton Kizzire,18.75%,30,160
2024,102,0,32070,Rafael Campos,18.70%,23,123
2024,103,0,34076,Joel Dahmen,18.64%,41,220
2024,104,0,33653,Thomas Detry,18.52%,35,189
2024,105,0,55893,Sam Stevens,18.50%,47,254
2024,106,0,51977,Max Greyserman,18.48%,34,184
2024,107,0,55182,Tom Kim,18.42%,35,190
2024,108,0,30926,Chris Kirk,18.41%,37,201
2024,109,0,29420,Billy Horschel,18.27%,38,208
2024,110,0,36801,Mark Hubbard,18.22%,45,247
2024,110,0,47995,Davis Riley,18.22%,39,214
2024,112,0,39997,Corey Conners,18.18%,40,220
2024,113,0,55454,Carl Yuan,18.12%,27,149
2024,114,0,36799,Stephan Jaeger,18.00%,36,200
2024,115,0,54421,Garrick Higgo,17.95%,35,195
2024,116,0,27139,David Skinns,17.90%,41,229
2024,116,0,34046,Jordan Spieth,17.90%,29,162
2024,118,0,40098,Matt Fitzpatrick,17.88%,32,179
2024,119,0,36326,David Lipsky,17.77%,35,197
2024,120,0,33448,Justin Thomas,17.75%,30,169
2024,121,0,36699,Patrick Rodgers,17.67%,50,283
2024,122,0,47993,Denny McCarthy,17.65%,39,221
2024,122,0,27349,Alex Noren,17.65%,27,153
2024,122,0,33968,Thorbjørn Olesen,17.65%,18,102
2024,125,0,47663,Kevin Dougherty,17.56%,23,131
2024,126,0,50188,S.H. Kim,17.53%,44,251
2024,127,0,36884,Ben Kohles,17.46%,33,189
2024,128,0,12716,Charley Hoffman,17.44%,30,172
2024,129,0,30911,Tommy Fleetwood,17.39%,32,184
2024,130,0,57900,Chandler Phillips,17.32%,40,231
2024,131,0,32366,Kevin Chappell,17.21%,21,122
2024,132,0,39327,Ben Silverman,17.11%,39,228
2024,133,0,57362,Austin Eckroat,17.09%,34,199
2024,134,0,40250,Taylor Pendrith,17.06%,36,211
2024,135,0,52375,Doug Ghim,16.95%,40,236
2024,136,0,22371,Aaron Baddeley,16.88%,26,154
2024,137,0,27064,Jhonattan Vegas,16.84%,32,190
2024,138,0,32839,Hideki Matsuyama,16.75%,33,197
2024,139,0,34374,Erik Barnes,16.52%,19,115
2024,140,0,33141,Keegan Bradley,16.51%,35,212
2024,141,0,28237,Rory McIlroy,16.40%,31,189
2024,142,0,28775,Nate Lashley,16.39%,30,183
2024,143,0,34466,Peter Malnati,16.36%,35,214
2024,144,0,45609,Tyler Duncan,16.25%,26,160
2024,144,0,46442,Maverick McNealy,16.25%,39,240
2024,146,0,50095,Austin Smotherman,16.07%,18,112
2024,147,0,34021,Bud Cauley,16.05%,26,162
2024,148,0,47988,Nick Hardy,16.02%,37,231
2024,149,0,51890,Greyson Sigg,15.87%,33,208
2024,150,0,34563,Chesson Hadley,15.84%,32,202
2024,150,0,45242,Kevin Yu,15.84%,32,202
2024,152,0,29908,C.T. Pan,15.82%,25,158
2024,153,0,46113,Ryan McCormick,15.79%,24,152
2024,153,0,46441,Robby Shelton,15.79%,30,190
2024,155,0,59095,Chris Gotterup,15.58%,31,199
2024,156,0,37212,Paul Barjon,15.28%,22,144
2024,157,0,27330,Josh Teater,15.24%,16,105
2024,158,0,46340,Alex Smalley,15.15%,30,198
2024,158,0,50493,Justin Suh,15.15%,30,198
2024,160,0,55708,Hayden Buckley,15.08%,30,199
2024,161,0,59442,Parker Coody,14.97%,22,147
2024,162,0,48699,Callum Tarren,14.81%,24,162
2024,163,0,33408,Tyson Alexander,14.59%,27,185
2024,164,0,29221,Webb Simpson,14.56%,23,158
2024,165,0,49947,Taylor Moore,14.41%,33,229
2024,166,0,29535,Brice Garnett,14.39%,20,139
2024,167,0,54576,Patrick Fishburn,14.29%,24,168
2024,167,0,52374,Brandon Wu,14.29%,25,175
2024,167,0,47483,Will Zalatoris,14.29%,24,168
2024,170,0,32640,Troy Merritt,14.20%,24,169
2024,171,0,51070,Vincent Norrman,14.07%,19,135
2024,172,0,32333,Kevin Tway,13.99%,20,143
2024,173,0,56149,Wilson Furr,13.60%,17,125
2024,174,0,34255,Joseph Bramlett,13.55%,29,214
2024,175,0,27936,Martin Laird,13.46%,21,156
2024,175,0,48319,Tom Whitney,13.46%,21,156
2024,177,0,39977,Max Homa,13.14%,23,175
2024,178,0,28420,Ryan Brehm,12.98%,17,131
2024,179,0,34099,Harris English,12.61%,28,222
2024,180,0,35617,Martin Trainer,12.40%,15,121
2024,181,0,47679,Victor Perez,12.24%,24,196
2024,182,0,52372,Cameron Champ,12.14%,21,173
2024,183,0,48119,Ben Taylor,9.43%,15,159
2024,184,0,47806,Raul Pereda,6.86%,7,102
2023,1,0,33399,Adam Hadwin,25.43%,59,232
2023,2,0,33141,Keegan Bradley,25.22%,57,226
2023,3,0,49771,J.T. Poston,25.00%,67,268
2023,4,0,55789,Taylor Montgomery,24.81%,64,258
2023,5,0,34098,Russell Henley,24.60%,61,248
2023,6,0,39977,Max Homa,24.55%,54,220
2023,7,0,22405,Justin Rose,24.32%,45,185
2023,8,0,29725,Tony Finau,23.58%,54,229
2023,9,0,32816,Satoshi Kodaira,23.28%,27,116
2023,10,0,37275,Sam Ryder,22.80%,57,250
2023,11,0,49960,Sepp Straka,22.66%,58,256
2023,12,0,28089,Jason Day,22.64%,48,212
2023,13,0,34563,Chesson Hadley,22.53%,57,253
