YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2024,0,51287,Ryo Hisatsune,39.88%,67,168,-0.01
2024,0,39977,Max Homa,39.87%,63,158,+0.02
2024,0,28775,Nate Lashley,39.86%,59,148,-0.17
2024,0,23108,Matt Kuchar,39.73%,58,146,+0.02
2024,0,39971,Sungjae Im,39.08%,68,174,-0.19
2024,0,51349,Nico Echavarria,38.64%,68,176,-0.21
2024,0,51997,Andrew Novak,38.55%,64,166,-0.16
2024,0,24024,Zach Johnson,38.54%,37,96,+0.08
2024,0,22405,Justin Rose,38.52%,47,122,-0.06
2024,0,50493,Justin Suh,38.51%,57,148,-0.11
2024,0,32367,Jorge Campillo,38.46%,40,104,-0.23
2024,0,32102,Rickie Fowler,38.31%,59,154,-0.05
2024,0,48319,Tom Whitney,38.24%,52,136,-0.04
2024,0,33204,Shane Lowry,37.86%,53,140,-0.11
2024,0,56630,Akshay Bhatia,37.79%,65,172,-0.23
2024,0,27214,Kevin Streelman,37.68%,52,138,+0.08
2024,0,22371,Aaron Baddeley,37.67%,55,146,-0.27
2024,0,26476,Chez Reavie,37.50%,51,136,-0.16
2024,0,29221,Webb Simpson,37.25%,38,102,E
2024,0,32791,K.H. Lee,37.18%,58,156,-0.19
2024,0,40162,Justin Lower,37.11%,72,194,-0.22
2024,0,34099,Harris English,37.10%,69,186,-0.22
2024,0,54783,Dylan Wu,36.88%,59,160,-0.10
2024,0,30927,Brendon Todd,36.87%,73,198,-0.23
2024,0,45522,Christiaan Bezuidenhout,36.84%,56,152,-0.27
2024,0,46441,Robby Shelton,36.84%,56,152,-0.05
2024,0,37275,Sam Ryder,36.67%,55,150,-0.18
2024,0,30911,Tommy Fleetwood,36.62%,52,142,-0.23
2024,0,60004,Jacob Bridgeman,36.54%,57,156,-0.30
2024,0,49771,J.T. Poston,36.47%,62,170,-0.18
2024,0,28089,Jason Day,36.23%,50,138,-0.22
2024,0,27649,Brandt Snedeker,36.21%,42,116,-0.12
2024,0,57362,Austin Eckroat,36.11%,65,180,+0.03
2024,0,34256,Andrew Putnam,36.08%,57,158,-0.18
2024,0,48887,Matt Wallace,35.94%,46,128,-0.11
2024,0,54591,Ben Griffin,35.71%,80,224,-0.16
2024,0,51890,Greyson Sigg,35.53%,54,152,-0.09
2024,0,28252,Seamus Power,35.42%,68,192,-0.16
2024,0,40098,Matt Fitzpatrick,35.21%,50,142,-0.28
2024,0,46046,Scottie Scheffler,35.21%,50,142,-0.28
2024,0,33653,Thomas Detry,35.07%,47,134,-0.09
2024,0,30926,Chris Kirk,35.06%,54,154,-0.24
2024,0,36326,David Lipsky,34.78%,48,138,-0.27
2024,0,59442,Parker Coody,34.55%,38,110,+0.08
2024,0,33968,Thorbjørn Olesen,34.38%,33,96,-0.27
2024,0,32333,Kevin Tway,34.17%,41,120,-0.27
2024,0,48153,Matthieu Pavon,34.13%,43,126,-0.05
2024,0,35461,Beau Hossler,34.12%,58,170,-0.17
2024,0,27936,Martin Laird,34.03%,49,144,-0.10
2024,0,48084,Wesley Bryan,34.00%,34,100,-0.26
2024,0,52514,Trace Crowe,33.82%,46,136,-0.07
2024,0,34374,Erik Barnes,33.33%,36,108,-0.08
2024,0,52215,Robert MacIntyre,33.33%,48,144,-0.19
2024,0,45157,Cam Davis,33.12%,51,154,-0.14
2024,0,27129,Luke List,33.12%,51,154,-0.16
2024,0,50497,Adrien Dumont de Chassart,33.11%,49,148,+0.10
2024,0,32640,Troy Merritt,33.11%,49,148,-0.10
2024,0,47806,Raul Pereda,32.98%,31,94,+0.06
2024,0,58168,Davis Thompson,32.78%,59,180,-0.19
2024,0,39997,Corey Conners,32.76%,57,174,-0.28
2024,0,35506,Mackenzie Hughes,32.63%,62,190,-0.26
2024,0,47347,Adam Schenk,32.61%,60,184,-0.18
2024,0,45609,Tyler Duncan,32.14%,45,140,-0.20
2024,0,59866,Nick Dunlap,32.09%,43,134,+0.09
2024,0,50095,Austin Smotherman,32.08%,34,106,-0.24
2024,0,33408,Tyson Alexander,32.00%,48,150,-0.25
2024,0,35617,Martin Trainer,32.00%,32,100,E
2024,0,34587,Chan Kim,31.88%,51,160,-0.08
2024,0,34563,Chesson Hadley,31.82%,42,132,-0.17
2024,0,33141,Keegan Bradley,31.65%,50,158,-0.08
2024,0,33399,Adam Hadwin,31.65%,50,158,-0.06
2024,0,29908,C.T. Pan,31.36%,37,118,-0.03
2024,0,27139,David Skinns,31.10%,51,164,-0.18
2024,0,36699,Patrick Rodgers,31.00%,62,200,-0.21
2024,0,35450,Patrick Cantlay,30.77%,40,130,-0.33
2024,0,60067,Joe Highsmith,30.71%,43,140,-0.16
2024,0,32757,Patton Kizzire,30.65%,38,124,-0.08
2024,0,59143,Mac Meissner,30.56%,44,144,-0.14
2024,0,26596,Ryan Moore,30.56%,44,144,-0.23
2024,0,32366,Kevin Chappell,30.36%,34,112,-0.15
2024,0,30163,Henrik Norlander,30.30%,40,132,-0.25
2024,0,40250,Taylor Pendrith,30.26%,46,152,-0.15
2024,0,47995,Davis Riley,30.14%,44,146,-0.07
2024,0,29936,Ryan Fox,30.13%,47,156,-0.13
2024,0,47988,Nick Hardy,29.89%,52,174,+0.02
2024,0,23320,Ryan Palmer,29.76%,25,84,-0.20
2024,0,54421,Garrick Higgo,29.75%,47,158,-0.04
2024,0,29478,Kevin Kisner,29.63%,32,108,E
2024,0,28420,Ryan Brehm,29.17%,35,120,+0.03
2024,0,48117,Kurt Kitayama,29.11%,46,158,-0.35
2024,0,55893,Sam Stevens,29.08%,57,196,-0.07
2024,0,39975,Michael Kim,29.01%,47,162,-0.19
2024,0,24502,Adam Scott,28.87%,41,142,-0.15
2024,0,55789,Taylor Montgomery,28.70%,31,108,E
2024,0,46113,Ryan McCormick,28.69%,35,122,-0.31
2024,0,51634,Sahith Theegala,28.49%,53,186,-0.21
2024,0,48119,Ben Taylor,28.23%,35,124,-0.03
2024,0,39324,J.J. Spaun,28.13%,45,160,-0.11
2024,0,56149,Wilson Furr,28.07%,32,114,+0.09
2024,0,52453,Nicolai Højgaard,28.07%,32,114,+0.13
2024,0,47420,Jake Knapp,28.00%,42,150,-0.07
2024,0,51696,Rico Hoey,27.98%,47,168,-0.17
2024,0,12716,Charley Hoffman,27.86%,39,140,+0.13
2024,0,29725,Tony Finau,27.85%,44,158,-0.20
2024,0,35310,Lanto Griffin,27.78%,40,144,E
2024,0,33448,Justin Thomas,27.61%,37,134,-0.22
2024,0,48867,Matti Schmid,27.56%,43,156,-0.23
2024,0,46717,Viktor Hovland,27.19%,31,114,-0.23
2024,0,46442,Maverick McNealy,27.17%,50,184,-0.12
2024,0,51894,Vince Whaley,27.08%,39,144,+0.03
2024,0,40026,Daniel Berger,26.97%,41,152,-0.12
2024,0,27330,Josh Teater,26.92%,28,104,-0.07
2024,0,59836,Pierceson Coody,26.28%,41,156,+0.15
2024,0,50188,S.H. Kim,26.19%,55,210,-0.22
2024,0,60767,Blaine Hale Jr.,25.96%,27,104,+0.19
2024,0,49947,Taylor Moore,25.76%,51,198,+0.04
2024,0,46340,Alex Smalley,25.68%,38,148,+0.08
2024,0,45242,Kevin Yu,25.34%,37,146,-0.22
2024,0,51977,Max Greyserman,25.32%,39,154,-0.21
2024,0,32070,Rafael Campos,25.00%,30,120,-0.23
2024,0,47679,Victor Perez,25.00%,36,144,-0.06
2024,0,34046,Jordan Spieth,25.00%,35,140,-0.26
2024,0,52955,Ludvig Åberg,24.67%,37,150,-0.22
2024,0,47483,Will Zalatoris,23.48%,31,132,-0.13
2024,0,36799,Stephan Jaeger,23.42%,37,158,+0.03
2024,0,40006,Erik van Rooyen,23.42%,37,158,-0.11
2024,0,47504,Sam Burns,23.29%,34,146,+0.09
2024,0,57366,Cameron Young,22.84%,37,162,-0.30
2024,0,37212,Paul Barjon,22.64%,24,106,+0.04
2024,0,51766,Wyndham Clark,22.39%,30,134,-0.23
2024,0,48081,Xander Schauffele,22.15%,35,158,-0.20
2024,0,54576,Patrick Fishburn,22.14%,31,140,-0.19
2024,0,48699,Callum Tarren,22.14%,31,140,-0.03
2024,0,50484,Hayden Springer,20.83%,30,144,-0.27
2024,0,51070,Vincent Norrman,20.41%,20,98,-0.10
2024,0,39546,Keith Mitchell,19.14%,31,162,-0.23
2024,0,34255,Joseph Bramlett,18.45%,31,168,-0.03
2024,0,38991,Alejandro Tosti,18.12%,25,138,E
2024,0,55454,Carl Yuan,17.97%,23,128,+0.04
2024,0,27064,Jhonattan Vegas,17.36%,25,144,-0.16
2024,0,59095,Chris Gotterup,16.90%,24,142,+0.21
2024,0,33948,Byeong Hun An,16.67%,25,150,-0.12
2024,0,31323,Gary Woodland,16.25%,26,160,+0.19
2024,0,47663,Kevin Dougherty,15.32%,19,124,-0.26
2024,0,28237,Rory McIlroy,15.22%,21,138,-0.05
2024,0,37378,Min Woo Lee,13.64%,18,132,E
2024,0,52372,Cameron Champ,13.16%,15,114,-0.13
2023,0,50525,Collin Morikawa,48.77%,79,162,-0.09
2023,0,24024,Zach Johnson,48.53%,66,136,-0.03
2023,0,29535,Brice Garnett,47.09%,81,172,-0.20
2023,0,25900,Lucas Glover,47.00%,94,200,-0.11
2023,0,34466,Peter Malnati,46.32%,88,190,-0.10
2023,0,34098,Russell Henley,45.24%,76,168,-0.33
2023,0,27644,Brian Harman,45.16%,84,186,-0.02
2023,0,22056,Cameron Percy,44.78%,60,134,-0.20
2023,0,40115,Adam Svensson,43.85%,107,244,-0.18
2023,0,45522,Christiaan Bezuidenhout,43.82%,78,178,-0.12
2023,0,40058,Zac Blair,43.59%,68,156,-0.16
2023,0,59018,Ryan Gerard,43.55%,54,124,-0.20
2023,0,35901,Paul Haley II,43.48%,80,184,-0.01
2023,0,40162,Justin Lower,42.66%,93,218,-0.16
2023,0,32139,Danny Willett,42.54%,57,134,-0.12
2023,0,25818,Scott Piercy,41.92%,83,198,-0.24
2023,0,49298,Kramer Hickok,41.75%,81,194,-0.04
2023,0,46414,Aaron Rai,41.43%,87,210,-0.18
2023,0,26476,Chez Reavie,41.15%,79,192,-0.03
2023,0,47079,Harrison Endycott,41.01%,73,178,+0.01
2023,0,52513,Carson Young,40.91%,81,198,-0.14
2023,0,30927,Brendon Todd,40.87%,85,208,-0.22
2023,0,51349,Nico Echavarria,40.38%,63,156,-0.08
2023,0,33399,Adam Hadwin,40.34%,71,176,-0.10
2023,0,27936,Martin Laird,40.34%,71,176,-0.15
2023,0,34610,Matthias Schwab,40.29%,83,206,-0.14
2023,0,37275,Sam Ryder,40.09%,89,222,-0.19
2023,0,26596,Ryan Moore,39.76%,66,166,-0.30
2023,0,22405,Justin Rose,39.71%,54,136,-0.09
2023,0,27214,Kevin Streelman,39.58%,76,192,-0.17
2023,0,55182,Tom Kim,39.44%,71,180,-0.13
2023,0,34256,Andrew Putnam,39.19%,87,222,-0.30
2023,0,37455,Si Woo Kim,39.00%,78,200,-0.10
2023,0,31557,Jim Herman,38.96%,60,154,E
2023,0,46435,Austin Cook,38.82%,66,170,-0.30
2023,0,28775,Nate Lashley,38.79%,83,214,-0.30
2023,0,33410,Andrew Landry,38.75%,62,160,-0.16
2023,0,27349,Alex Noren,38.59%,71,184,-0.01
2023,0,39324,J.J. Spaun,38.24%,78,204,-0.03
2023,0,32448,James Hahn,38.13%,61,160,-0.08
2023,0,47983,Chad Ramey,38.12%,77,202,-0.10
2023,0,19803,Ryan Armour,38.04%,70,184,-0.37
2023,0,30926,Chris Kirk,38.04%,70,184,+0.01
2023,0,51950,Max McGreevy,38.04%,70,184,-0.01
2023,0,32640,Troy Merritt,38.04%,70,184,-0.10
2023,0,49771,J.T. Poston,38.00%,76,200,-0.12
2023,0,36871,Matt NeSmith,37.88%,75,198,-0.04
2023,0,36326,David Lipsky,37.86%,78,206,-0.12
2023,0,34431,Robert Streb,37.65%,61,162,+0.02
2023,0,35532,Tom Hoge,37.50%,78,208,-0.03
2023,0,54628,Lee Hodges,37.38%,80,214,-0.14
2023,0,33413,Ben Martin,37.38%,77,206,-0.22
2023,0,47128,Richy Werenski,37.37%,74,198,-0.15
2023,0,50095,Austin Smotherman,37.00%,74,200,-0.11
2023,0,49960,Sepp Straka,36.96%,68,184,-0.06
2023,0,22371,Aaron Baddeley,36.88%,59,160,-0.19
2023,0,29221,Webb Simpson,36.84%,42,114,-0.14
2023,0,36801,Mark Hubbard,36.64%,85,232,-0.16
2023,0,39971,Sungjae Im,36.54%,76,208,-0.18
2023,0,35506,Mackenzie Hughes,36.52%,65,178,-0.15
2023,0,33122,Russell Knox,36.40%,83,228,-0.12
2023,0,35449,Adam Long,36.28%,82,226,-0.21
2023,0,23108,Matt Kuchar,36.26%,66,182,-0.27
2023,0,29420,Billy Horschel,35.94%,46,128,-0.20
2023,0,24925,Jonathan Byrd,35.83%,43,120,-0.35
2023,0,51997,Andrew Novak,35.79%,68,190,-0.25
2023,0,55708,Hayden Buckley,35.71%,60,168,-0.08
2023,0,30163,Henrik Norlander,35.71%,65,182,-0.32
2023,0,51890,Greyson Sigg,35.71%,75,210,-0.24
2023,0,46441,Robby Shelton,35.58%,74,208,-0.07
2023,0,35879,Kelly Kraft,35.56%,64,180,-0.09
2023,0,52375,Doug Ghim,35.48%,66,186,-0.17
2023,0,25493,Nick Taylor,35.48%,66,186,-0.15
2023,0,54591,Ben Griffin,35.29%,84,238,-0.30
2023,0,53165,Doc Redman,35.26%,55,156,+0.07
2023,0,52374,Brandon Wu,35.22%,81,230,-0.12
2023,0,50493,Justin Suh,35.09%,80,228,-0.08
2023,0,47993,Denny McCarthy,35.00%,70,200,-0.11
2023,0,32816,Satoshi Kodaira,34.92%,44,126,-0.07
2023,0,35617,Martin Trainer,34.92%,44,126,-0.23
2023,0,29908,C.T. Pan,34.91%,37,106,+0.05
2023,0,32839,Hideki Matsuyama,34.48%,60,174,-0.05
2023,0,39954,Cody Gribble,34.29%,48,140,-0.21
2023,0,25686,Jason Dufner,34.07%,62,182,-0.11
2023,0,32757,Patton Kizzire,34.00%,68,200,-0.04
2023,0,33597,Harry Higgs,33.93%,57,168,-0.26
2023,0,33204,Shane Lowry,33.87%,42,124,-0.19
2023,0,20229,Stewart Cink,33.75%,54,160,+0.06
2023,0,35461,Beau Hossler,33.64%,74,220,-0.07
2023,0,32791,K.H. Lee,33.64%,72,214,-0.13
2023,0,31646,Emiliano Grillo,33.63%,76,226,-0.26
2023,0,47591,Eric Cole,33.33%,84,252,-0.07
2023,0,34046,Jordan Spieth,33.33%,48,144,-0.10
2023,0,33408,Tyson Alexander,33.16%,63,190,-0.06
2023,0,57362,Austin Eckroat,33.16%,65,196,-0.08
2023,0,45609,Tyler Duncan,32.98%,62,188,-0.16
2023,0,23320,Ryan Palmer,32.91%,52,158,-0.12
2023,0,39335,Kevin Roy,32.89%,50,152,-0.12
2023,0,24140,Sean O'Hair,32.69%,34,104,-0.18
2023,0,34076,Joel Dahmen,32.61%,60,184,-0.17
2023,0,34099,Harris English,32.47%,63,194,-0.11
2023,0,35310,Lanto Griffin,32.46%,37,114,-0.24
2023,0,40098,Matt Fitzpatrick,32.19%,47,146,-0.15
2023,0,31560,Brian Stuard,32.19%,47,146,-0.30
2023,0,31202,William McGirt,32.08%,34,106,-0.18
2023,0,29970,Dylan Frittelli,32.05%,50,156,-0.06
2023,0,39977,Max Homa,31.98%,55,172,-0.27
2023,0,30692,Scott Stallings,31.55%,53,168,E
2023,0,48081,Xander Schauffele,31.48%,51,162,-0.12
2023,0,25632,Jimmy Walker,31.40%,54,172,-0.07
2023,0,34563,Chesson Hadley,31.38%,59,188,-0.25
2023,0,28089,Jason Day,31.25%,50,160,-0.04
2023,0,31577,Tano Goya,31.11%,56,180,-0.09
2023,0,56630,Akshay Bhatia,30.95%,52,168,-0.31
2023,0,37338,Zecheng Dou,30.93%,60,194,+0.07
2023,0,39997,Corey Conners,30.81%,53,172,+0.08
2023,0,34409,David Lingmerth,30.68%,54,176,-0.06
2023,0,33141,Keegan Bradley,30.49%,50,164,-0.02
2023,0,32366,Kevin Chappell,30.36%,34,112,-0.18
2023,0,27095,Nick Watney,30.26%,46,152,-0.13
2023,0,51634,Sahith Theegala,30.19%,64,212,-0.11
2023,0,46442,Maverick McNealy,30.16%,38,126,-0.21
2023,0,34363,Tyrrell Hatton,30.13%,47,156,-0.11
2023,0,47347,Adam Schenk,29.83%,71,238,-0.07
2023,0,27963,Chris Stroud,29.82%,34,114,-0.26
2023,0,54783,Dylan Wu,29.72%,63,212,-0.22
2023,0,58967,Trevor Werbylo,29.52%,49,166,-0.14
2023,0,36799,Stephan Jaeger,29.51%,72,244,-0.13
2023,0,57975,Harry Hall,29.41%,60,204,+0.03
2023,0,47995,Davis Riley,29.41%,60,204,-0.17
2023,0,39975,Michael Kim,29.38%,57,194,-0.09
2023,0,30911,Tommy Fleetwood,29.05%,43,148,-0.12
2023,0,40006,Erik van Rooyen,28.85%,45,156,-0.13
2023,0,47988,Nick Hardy,28.81%,68,236,-0.29
2023,0,28252,Seamus Power,28.66%,47,164,+0.11
2023,0,46717,Viktor Hovland,28.41%,50,176,-0.20
2023,0,49947,Taylor Moore,28.22%,57,202,-0.11
2023,0,48084,Wesley Bryan,28.13%,27,96,-0.07
2023,0,55454,Carl Yuan,27.98%,47,168,-0.02
2023,0,50188,S.H. Kim,27.93%,62,222,-0.05
2023,0,48119,Ben Taylor,27.83%,59,212,+0.02
2023,0,46340,Alex Smalley,27.23%,61,224,+0.07
2023,0,49766,Hank Lebioda,27.05%,33,122,+0.12
2023,0,32662,Michael Gligic,26.71%,39,146,+0.08
2023,0,12716,Charley Hoffman,26.54%,43,162,-0.05
2023,0,36724,Augusto Núñez,26.47%,45,170,-0.11
2023,0,39058,Lucas Herbert,25.81%,32,124,+0.06
2023,0,39067,MJ Daffue,25.73%,53,206,-0.09
2023,0,27974,Sung Kang,25.51%,25,98,-0.20
2023,0,55789,Taylor Montgomery,25.49%,52,204,-0.23
2023,0,27554,Scott Harrington,25.00%,40,160,-0.28
2023,0,36699,Patrick Rodgers,24.51%,50,204,-0.14
2023,0,29725,Tony Finau,24.40%,41,168,-0.10
2023,0,29289,S.Y. Noh,24.26%,33,136,+0.06
2023,0,54421,Garrick Higgo,23.79%,49,206,-0.20
2023,0,35450,Patrick Cantlay,23.61%,34,144,-0.32
2023,0,33448,Justin Thomas,23.61%,34,144,-0.15
2023,0,24502,Adam Scott,23.53%,32,136,-0.06
2023,0,32102,Rickie Fowler,23.44%,45,192,-0.11
2023,0,39546,Keith Mitchell,23.40%,44,188,-0.07
2023,0,48117,Kurt Kitayama,22.92%,33,144,-0.09
2023,0,46046,Scottie Scheffler,22.73%,40,176,-0.18
2023,0,49453,Trevor Cone,22.56%,37,164,-0.30
2023,0,45157,Cam Davis,22.53%,41,182,+0.12
2023,0,56762,Will Gordon,22.07%,49,222,+0.04
2023,0,32333,Kevin Tway,21.78%,44,202,-0.20
2023,0,55893,Sam Stevens,21.70%,46,212,+0.02
2023,0,28420,Ryan Brehm,21.51%,37,172,+0.16
2023,0,48887,Matt Wallace,21.43%,36,168,-0.17
2023,0,51070,Vincent Norrman,21.18%,36,170,-0.28
2023,0,46970,Jon Rahm,21.13%,30,142,+0.10
2023,0,57366,Cameron Young,20.93%,36,172,+0.08
2023,0,33653,Thomas Detry,20.71%,41,198,+0.02
2023,0,27129,Luke List,20.50%,41,200,+0.07
2023,0,52411,Kyle Westmoreland,20.25%,32,158,-0.25
2023,0,47504,Sam Burns,19.75%,32,162,-0.09
2023,0,40250,Taylor Pendrith,19.70%,39,198,-0.13
2023,0,51414,Brent Grant,19.64%,33,168,E
2023,0,48867,Matti Schmid,19.62%,31,158,E
2023,0,58168,Davis Thompson,19.27%,37,192,-0.05
2023,0,46601,Trey Mullinax,17.61%,25,142,+0.24
2023,0,45242,Kevin Yu,17.61%,25,142,-0.24
2023,0,34255,Joseph Bramlett,16.88%,27,160,-0.19
2023,0,58696,Peter Kuest,16.30%,15,92,-0.07
2023,0,33948,Byeong Hun An,16.19%,34,210,+0.06
2023,0,31323,Gary Woodland,15.66%,26,166,+0.12
2023,0,52372,Cameron Champ,15.38%,24,156,-0.21
2023,0,51766,Wyndham Clark,14.71%,30,204,E
2023,0,48699,Callum Tarren,14.14%,28,198,E
2023,0,51491,Brandon Matthews,12.71%,15,118,-0.13
2023,0,28237,Rory McIlroy,12.50%,16,128,-0.19
2023,0,52955,Ludvig Åberg,12.00%,12,100,E
2023,0,52453,Nicolai Hojgaard,11.96%,11,92,+0.18
2022,0,32150,Michael Thompson,46.43,78,168,-0.17
2022,0,33399,Adam Hadwin,45.0,81,180,-0.05
2022,0,34360,Patrick Reed,45.0,63,140,-0.13
2022,0,27644,Brian Harman,44.51,81,182,-0.17
2022,0,33122,Russell Knox,44.38,79,178,-0.10
2022,0,36326,David Lipsky,44.32,78,176,-0.14
2022,0,29420,Billy Horschel,44.29,62,140,-0.13
2022,0,29221,Webb Simpson,44.07,52,118,-0.12
2022,0,24925,Jonathan Byrd,43.86,50,114,-0.12
2022,0,47983,Chad Ramey,43.84,64,146,-0.23
2022,0,39324,J.J. Spaun,43.68,83,190,-0.19
2022,0,28775,Nate Lashley,43.42,66,152,-0.24
2022,0,25900,Lucas Glover,42.47,79,186,-0.10
2022,0,49771,J.T. Poston,42.05,74,176,-0.01
2022,0,47993,Denny McCarthy,42.0,84,200,-0.24
2022,0,27649,Brandt Snedeker,41.53,49,118,-0.35
2022,0,35532,Tom Hoge,41.3,76,184,-0.22
2022,0,35449,Adam Long,41.07,69,168,-0.14
2022,0,27214,Kevin Streelman,40.91,72,176,-0.15
2022,0,28089,Jason Day,40.35,46,114,-0.07
2022,0,29478,Kevin Kisner,40.15,53,132,-0.36
2022,0,27936,Martin Laird,40.15,53,132,-0.09
2022,0,52375,Doug Ghim,40.0,64,160,-0.14
2022,0,37275,Sam Ryder,39.88,67,168,-0.01
2022,0,35506,Mackenzie Hughes,39.74,62,156,+0.11
2022,0,24361,Pat Perez,39.66,46,116,-0.17
2022,0,39436,Joshua Creel,39.36,37,94,+0.14
2022,0,35310,Lanto Griffin,39.19,58,148,-0.10
2022,0,34098,Russell Henley,39.1,61,156,-0.20
2022,0,24024,Zach Johnson,39.06,50,128,-0.12
2022,0,30692,Scott Stallings,39.06,75,192,-0.15
2022,0,49766,Hank Lebioda,38.75,62,160,-0.23
2022,0,23108,Matt Kuchar,38.73,55,142,-0.31
2022,0,25198,Francesco Molinari,38.68,41,106,-0.20
2022,0,33597,Harry Higgs,38.16,58,152,+0.24
2022,0,47128,Richy Werenski,38.1,48,126,E
2022,0,25686,Jason Dufner,38.0,38,100,-0.05
2022,0,53165,Doc Redman,38.0,57,150,-0.19
2022,0,35110,Brett Drewitt,37.93,44,116,-0.09
2022,0,32640,Troy Merritt,37.93,66,174,-0.30
2022,0,34174,John Huh,37.84,56,148,-0.25
2022,0,28252,Seamus Power,37.82,59,156,-0.17
2022,0,29535,Brice Garnett,37.66,58,154,-0.29
2022,0,45522,Christiaan Bezuidenhout,37.5,60,160,-0.07
2022,0,30163,Henrik Norlander,37.5,51,136,-0.20
2022,0,24138,Ian Poulter,37.5,33,88,E
2022,0,55708,Hayden Buckley,37.36,68,182,-0.22
2022,0,32791,K.H. Lee,37.23,70,188,-0.04
2022,0,49960,Sepp Straka,37.23,70,188,-0.17
2022,0,34256,Andrew Putnam,37.22,67,180,-0.15
2022,0,45609,Tyler Duncan,37.2,61,164,-0.16
2022,0,28114,Dawie van der Walt,37.1,46,124,-0.07
2022,0,34466,Peter Malnati,36.87,73,198,-0.10
2022,0,23983,Luke Donald,36.57,49,134,-0.10
2022,0,54628,Lee Hodges,36.56,68,186,-0.15
2022,0,34076,Joel Dahmen,36.47,62,170,-0.29
2022,0,26476,Chez Reavie,36.47,62,170,-0.03
2022,0,34610,Matthias Schwab,36.43,51,140,-0.10
2022,0,22056,Cameron Percy,36.36,32,88,-0.09
2022,0,30926,Chris Kirk,36.25,58,160,+0.05
2022,0,27974,Sung Kang,36.18,55,152,-0.09
2022,0,54783,Dylan Wu,35.82,48,134,-0.04
2022,0,25493,Nick Taylor,35.8,63,176,E
2022,0,29926,Danny Lee,35.58,37,104,+0.08
2022,0,51997,Andrew Novak,35.53,54,152,-0.17
2022,0,46435,Austin Cook,35.51,49,138,-0.29
2022,0,27770,Camilo Villegas,35.51,49,138,-0.27
2022,0,40115,Adam Svensson,35.5,71,200,-0.25
2022,0,46414,Aaron Rai,35.39,63,178,-0.13
2022,0,22405,Justin Rose,35.19,38,108,+0.13
2022,0,52374,Brandon Wu,35.14,52,148,-0.12
2022,0,27895,Jonas Blixt,35.0,35,100,+0.06
2022,0,51890,Greyson Sigg,35.0,63,180,-0.06
2022,0,34563,Chesson Hadley,34.87,53,152,-0.04
2022,0,35879,Kelly Kraft,34.78,48,138,E
2022,0,33486,Roger Sloan,34.78,48,138,+0.04
2022,0,51950,Max McGreevy,34.72,50,144,-0.16
2022,0,35891,Cameron Smith,34.68,43,124,-0.30
2022,0,23621,Rory Sabbatini,34.55,38,110,-0.08
2022,0,21961,Charles Howell III,34.26,37,108,-0.27
2022,0,49947,Taylor Moore,33.93,57,168,-0.11
2022,0,49298,Kramer Hickok,33.33,58,174,-0.16
2022,0,29908,C.T. Pan,33.33,52,156,E
